      #Energy        TDOS-UP        TDOS-DOWN
     -22.70100       0.00000       0.00000
     -22.67100       0.00000       0.00000
     -22.64100       0.00000       0.00000
     -22.61100       0.00000       0.00000
     -22.58100       0.00000       0.00000
     -22.55100       0.00000       0.00000
     -22.52100       0.00000       0.00000
     -22.49100       0.00000       0.00000
     -22.46200       0.00000       0.00000
     -22.43200       0.00000       0.00000
     -22.40200       0.00000       0.00000
     -22.37200       0.00000       0.00000
     -22.34200       0.00000       0.00000
     -22.31200       0.00000       0.00000
     -22.28200       0.00000       0.00000
     -22.25200       0.00000       0.00000
     -22.22300       0.00000       0.00000
     -22.19300       0.00000       0.00000
     -22.16300       0.00000       0.00000
     -22.13300       0.00000       0.00000
     -22.10300       0.00000       0.00000
     -22.07300       0.00000       0.00000
     -22.04300       0.00000       0.00000
     -22.01300       0.00000       0.00000
     -21.98300       0.00000       0.00000
     -21.95400       0.00000       0.00000
     -21.92400       0.00000       0.00000
     -21.89400       0.00000       0.00000
     -21.86400       0.00000       0.00000
     -21.83400       0.00000       0.00000
     -21.80400       0.00000       0.00000
     -21.77400       0.00000       0.00000
     -21.74400       0.00000       0.00000
     -21.71500       0.00000       0.00000
     -21.68500       0.00000       0.00000
     -21.65500       0.00000       0.00000
     -21.62500       0.00000       0.00000
     -21.59500       0.00000      -0.00000
     -21.56500       0.00000      -0.00000
     -21.53500       0.00000      -0.00000
     -21.50500       0.00005      -0.00000
     -21.47500       0.00218      -0.00026
     -21.44600       0.05371      -0.00930
     -21.41600       0.69520      -0.17480
     -21.38600       4.79800      -1.73500
     -21.35600      17.96000      -9.21900
     -21.32600      37.77000     -26.82000
     -21.29600      49.64000     -45.28000
     -21.26600      53.17000     -52.36000
     -21.23600      61.12000     -56.49000
     -21.20700      68.83000     -65.40000
     -21.17700      59.61000     -66.76000
     -21.14700      34.78000     -48.75000
     -21.11700      17.17000     -24.78000
     -21.08700      18.82000     -16.61000
     -21.05700      29.63000     -24.59000
     -21.02700      36.02000     -33.51000
     -20.99700      38.11000     -36.64000
     -20.96800      40.17000     -38.86000
     -20.93800      40.45000     -40.88000
     -20.90800      33.52000     -38.06000
     -20.87800      19.03000     -26.57000
     -20.84800       6.56600     -12.03000
     -20.81800       1.30100      -3.26300
     -20.78800       0.14340      -0.50630
     -20.75800       0.00856      -0.04344
     -20.72800       0.00028      -0.00200
     -20.69900       0.00090      -0.00012
     -20.66900       0.02951      -0.00371
     -20.63900       0.50230      -0.09503
     -20.60900       4.45900      -1.26400
     -20.57900      20.72000      -8.76400
     -20.54900      50.65000     -31.77000
     -20.51900      66.68000     -60.67000
     -20.48900      54.10000     -63.85000
     -20.46000      43.42000     -47.56000
     -20.43000      47.72000     -44.64000
     -20.40000      54.08000     -52.59000
     -20.37000      54.39000     -56.88000
     -20.34000      42.21000     -50.88000
     -20.31000      22.04000     -32.83000
     -20.28000       9.08500     -14.01000
     -20.25000      10.41000      -7.19700
     -20.22100      21.82000     -13.65000
     -20.19100      35.03000     -27.64000
     -20.16100      43.23000     -41.15000
     -20.13100      41.32000     -45.53000
     -20.10100      28.56000     -36.28000
     -20.07100      13.59000     -20.62000
     -20.04100       4.32900      -8.53500
     -20.01100       0.86870      -2.44400
     -19.98100       0.10120      -0.43050
     -19.95200       0.00641      -0.04226
     -19.92200       0.00021      -0.00219
     -19.89200       0.00000      -0.00006
     -19.86200       0.00000      -0.00000
     -19.83200       0.00000      -0.00000
     -19.80200       0.00000      -0.00000
     -19.77200       0.00000      -0.00000
     -19.74200       0.00000      -0.00000
     -19.71300       0.00000      -0.00000
     -19.68300       0.00000      -0.00000
     -19.65300       0.00001      -0.00000
     -19.62300       0.00037      -0.00007
     -19.59300       0.00967      -0.00233
     -19.56300       0.12960      -0.04243
     -19.53300       0.90680      -0.39960
     -19.50300       3.41600      -1.99500
     -19.47400       7.46300      -5.55700
     -19.44400      11.68000      -9.97900
     -19.41400      18.22000     -15.64000
     -19.38400      27.91000     -24.67000
     -19.35400      33.56000     -32.10000
     -19.32400      31.15000     -32.19000
     -19.29400      23.53000     -26.52000
     -19.26400      15.60000     -18.57000
     -19.23400      10.59000     -12.40000
     -19.20500       7.57200      -8.72000
     -19.17500       6.32100      -6.61500
     -19.14500       8.90200      -7.41800
     -19.11500      17.83000     -13.77000
     -19.08500      29.66000     -25.43000
