      #Energy        TDOS-UP        TDOS-DOWN
     -25.48071       0.00000       0.00000
     -25.44571       0.00000       0.00000
     -25.40971       0.00000       0.00000
     -25.37371       0.00000       0.00000
     -25.33871       0.00000       0.00000
     -25.30271       0.00000       0.00000
     -25.26771       0.00000       0.00000
     -25.23171       0.00000       0.00000
     -25.19671       0.00000       0.00000
     -25.16071       0.00000       0.00000
     -25.12571       0.00000       0.00000
     -25.08971       0.00000       0.00000
     -25.05371       0.00000       0.00000
     -25.01871       0.00000       0.00000
     -24.98271       0.00000       0.00000
     -24.94771       0.00000       0.00000
     -24.91171       0.00000       0.00000
     -24.87671       0.00000       0.00000
     -24.84071       0.00000       0.00000
     -24.80571       0.00000       0.00000
     -24.76971       0.00000       0.00000
     -24.73371       0.00000       0.00000
     -24.69871       0.00000       0.00000
     -24.66271       0.00000       0.00000
     -24.62771       0.00000       0.00000
     -24.59171       0.00000       0.00000
     -24.55671       0.00000       0.00000
     -24.52071       0.00000       0.00000
     -24.48471       0.00000       0.00000
     -24.44971       0.00000       0.00000
     -24.41371       0.00000       0.00000
     -24.37871       0.00000       0.00000
     -24.34271       0.00000       0.00000
     -24.30771       0.00000       0.00000
     -24.27171       0.00000       0.00000
     -24.23671       0.00000       0.00000
     -24.20071       0.00000       0.00000
     -24.16471       0.00000       0.00000
     -24.12971       0.00000      -0.00000
     -24.09371       0.00000      -0.00000
     -24.05871       0.00000      -0.00000
     -24.02271       0.00046      -0.00025
     -23.98771       0.03054      -0.01869
     -23.95171       0.77450      -0.53700
     -23.91571       7.56600      -5.93400
     -23.88071      28.82000     -25.53000
     -23.84471      43.21000     -43.20000
     -23.80971      25.58000     -28.86000
     -23.77371       5.95300      -7.58900
     -23.73871       0.53960      -0.77810
     -23.70271       0.01881      -0.03073
     -23.66771       0.00025      -0.00046
     -23.63171       0.00000      -0.00000
     -23.59571       0.00000      -0.00000
     -23.56071       0.00000      -0.00000
     -23.52471       0.00000       0.00000
     -23.48971       0.00000       0.00000
     -23.45371       0.00000       0.00000
     -23.41871       0.00000       0.00000
     -23.38271       0.00000       0.00000
     -23.34771       0.00000       0.00000
     -23.31171       0.00000       0.00000
     -23.27571       0.00000       0.00000
     -23.24071       0.00000       0.00000
     -23.20471       0.00000       0.00000
     -23.16971       0.00000       0.00000
     -23.13371       0.00000       0.00000
     -23.09871       0.00000       0.00000
     -23.06271       0.00000       0.00000
     -23.02671       0.00000       0.00000
     -22.99171       0.00000       0.00000
     -22.95571       0.00000       0.00000
     -22.92071       0.00000       0.00000
     -22.88471       0.00000       0.00000
     -22.84971       0.00000       0.00000
     -22.81371       0.00000       0.00000
     -22.77871       0.00000       0.00000
     -22.74271       0.00000       0.00000
     -22.70671       0.00000       0.00000
     -22.67171       0.00000       0.00000
     -22.63571       0.00000       0.00000
     -22.60071       0.00000       0.00000
     -22.56471       0.00000       0.00000
     -22.52971       0.00000       0.00000
     -22.49371       0.00000       0.00000
     -22.45871       0.00000       0.00000
     -22.42271       0.00000       0.00000
     -22.38671       0.00000       0.00000
     -22.35171       0.00000       0.00000
     -22.31571       0.00000       0.00000
     -22.28071       0.00000       0.00000
     -22.24471       0.00000       0.00000
     -22.20971       0.00000       0.00000
     -22.17371       0.00000       0.00000
     -22.13771       0.00000       0.00000
     -22.10271       0.00000       0.00000
     -22.06671       0.00000       0.00000
     -22.03171       0.00000       0.00000
     -21.99571       0.00000       0.00000
     -21.96071       0.00000       0.00000
     -21.92471       0.00000       0.00000
     -21.88971       0.00000       0.00000
     -21.85371       0.00000       0.00000
     -21.81771       0.00000       0.00000
     -21.78271       0.00000       0.00000
     -21.74671       0.00000       0.00000
     -21.71171       0.00000       0.00000
     -21.67571       0.00000       0.00000
     -21.64071       0.00000       0.00000
     -21.60471       0.00000       0.00000
     -21.56871       0.00000       0.00000
     -21.53371       0.00000       0.00000
     -21.49771       0.00000       0.00000
     -21.46271       0.00000       0.00000
     -21.42671       0.00000       0.00000
     -21.39171       0.00000       0.00000
     -21.35571       0.00000       0.00000
     -21.32071       0.00000       0.00000
     -21.28471       0.00000       0.00000
     -21.24871       0.00000       0.00000
     -21.21371       0.00000       0.00000
     -21.17771       0.00000       0.00000
     -21.14271       0.00000       0.00000
     -21.10671       0.00000       0.00000
     -21.07171       0.00000       0.00000
     -21.03571       0.00000       0.00000
     -21.00071       0.00000       0.00000
     -20.96471       0.00000       0.00000
     -20.92871       0.00000       0.00000
     -20.89371       0.00000       0.00000
     -20.85771       0.00000       0.00000
     -20.82271       0.00000       0.00000
     -20.78671       0.00000       0.00000
     -20.75171       0.00000       0.00000
     -20.71571       0.00000       0.00000
     -20.67971       0.00000       0.00000
     -20.64471       0.00000       0.00000
     -20.60871       0.00000       0.00000
     -20.57371       0.00000       0.00000
     -20.53771       0.00000       0.00000
     -20.50271       0.00000       0.00000
     -20.46671       0.00000       0.00000
     -20.43171       0.00000       0.00000
     -20.39571       0.00000       0.00000
     -20.35971       0.00000       0.00000
     -20.32471       0.00000       0.00000
     -20.28871       0.00000       0.00000
     -20.25371       0.00000       0.00000
     -20.21771       0.00000      -0.00000
     -20.18271       0.00000      -0.00000
     -20.14671       0.00000      -0.00000
     -20.11071       0.00002      -0.00001
     -20.07571       0.00277      -0.00143
     -20.03971       0.12500      -0.07483
     -20.00471       2.16200      -1.49500
     -19.96871      14.47000     -11.53000
     -19.93371      37.90000     -34.79000
     -19.89771      39.16000     -41.36000
     -19.86271      15.96000     -19.40000
     -19.82671       2.54700      -3.57000
     -19.79071       0.15750      -0.25490
     -19.75571       0.00373      -0.00698
     -19.71971       0.00003      -0.00007
     -19.68471       0.00000      -0.00000
     -19.64871       0.00000      -0.00000
     -19.61371       0.00000      -0.00000
     -19.57771       0.00000       0.00000
     -19.54271       0.00000       0.00000
     -19.50671       0.00000       0.00000
     -19.47071       0.00000       0.00000
     -19.43571       0.00000       0.00000
     -19.39971       0.00000       0.00000
     -19.36471       0.00000       0.00000
     -19.32871       0.00000       0.00000
     -19.29371       0.00000       0.00000
     -19.25771       0.00000       0.00000
     -19.22171       0.00000       0.00000
     -19.18671       0.00000       0.00000
     -19.15071       0.00000       0.00000
     -19.11571       0.00000       0.00000
     -19.07971       0.00000       0.00000
     -19.04471       0.00000       0.00000
     -19.00871       0.00000       0.00000
     -18.97371       0.00000       0.00000
     -18.93771       0.00000       0.00000
     -18.90171       0.00000       0.00000
     -18.86671       0.00000       0.00000
     -18.83071       0.00000       0.00000
     -18.79571       0.00000       0.00000
     -18.75971       0.00000       0.00000
     -18.72471       0.00000      -0.00000
     -18.68871       0.00000      -0.00000
     -18.65371       0.00000      -0.00000
     -18.61771       0.00040      -0.00008
     -18.58171       0.02518      -0.00692
