      #Energy        TDOS-UP        TDOS-DOWN
     -23.67200       0.00000       0.00000
     -23.64200       0.00000       0.00000
     -23.61100       0.00000       0.00000
     -23.58000       0.00000       0.00000
     -23.54900       0.00000       0.00000
     -23.51800       0.00000       0.00000
     -23.48700       0.00000       0.00000
     -23.45600       0.00000       0.00000
     -23.42500       0.00000       0.00000
     -23.39400       0.00000       0.00000
     -23.36300       0.00000       0.00000
     -23.33200       0.00000       0.00000
     -23.30100       0.00000       0.00000
     -23.27000       0.00000       0.00000
     -23.23900       0.00000       0.00000
     -23.20800       0.00000       0.00000
     -23.17700       0.00000       0.00000
     -23.14600       0.00000       0.00000
     -23.11500       0.00000       0.00000
     -23.08400       0.00000       0.00000
     -23.05300       0.00000       0.00000
     -23.02200       0.00000       0.00000
     -22.99100       0.00000       0.00000
     -22.96100       0.00000       0.00000
     -22.93000       0.00000       0.00000
     -22.89900       0.00000       0.00000
     -22.86800       0.00000       0.00000
     -22.83700       0.00000       0.00000
     -22.80600       0.00000       0.00000
     -22.77500       0.00000       0.00000
     -22.74400       0.00000       0.00000
     -22.71300       0.00000       0.00000
     -22.68200       0.00000       0.00000
     -22.65100       0.00000       0.00000
     -22.62000       0.00000       0.00000
     -22.58900       0.00000       0.00000
     -22.55800       0.00000      -0.00000
     -22.52700       0.00000      -0.00000
     -22.49600       0.00000      -0.00000
     -22.46500       0.00000      -0.00000
     -22.43400       0.00013      -0.00013
     -22.40300       0.00696      -0.00696
     -22.37200       0.17190      -0.17190
     -22.34100       2.03600      -2.03600
     -22.31000      11.65000     -11.65000
     -22.28000      32.31000     -32.31000
     -22.24900      43.63000     -43.63000
     -22.21800      28.70000     -28.70000
     -22.18700       9.18600      -9.18600
     -22.15600       1.42500      -1.42500
     -22.12500       0.10660      -0.10660
     -22.09400       0.00383      -0.00383
     -22.06300       0.00008      -0.00008
     -22.03200       0.00102      -0.00102
     -22.00100       0.03670      -0.03670
     -21.97000       0.63200      -0.63200
     -21.93900       5.23800      -5.23800
     -21.90800      21.01000     -21.01000
     -21.87700      40.95000     -40.95000
     -21.84600      38.88000     -38.88000
     -21.81500      17.98000     -17.98000
     -21.78400       4.03800      -4.03800
     -21.75300       0.43860      -0.43860
     -21.72200       0.02291      -0.02291
     -21.69100       0.00057      -0.00057
     -21.66000       0.00001      -0.00001
     -21.62900       0.00000      -0.00000
     -21.59900       0.00000      -0.00000
     -21.56800       0.00000      -0.00000
     -21.53700       0.00000      -0.00000
     -21.50600       0.00000      -0.00000
     -21.47500       0.00000      -0.00000
     -21.44400       0.00002      -0.00002
     -21.41300       0.00129      -0.00129
     -21.38200       0.03513      -0.03513
     -21.35100       0.48400      -0.48400
     -21.32000       3.47700      -3.47700
     -21.28900      13.58000     -13.58000
     -21.25800      30.62000     -30.62000
     -21.22700      44.12000     -44.12000
     -21.19600      46.93000     -46.93000
     -21.16500      40.72000     -40.72000
     -21.13400      34.18000     -34.18000
     -21.10300      40.11000     -40.11000
     -21.07200      50.83000     -50.83000
     -21.04100      45.49000     -45.49000
     -21.01000      25.86000     -25.86000
     -20.97900      10.14000     -10.14000
     -20.94800       8.83900      -8.83900
     -20.91800      23.62000     -23.62000
     -20.88700      41.61000     -41.61000
     -20.85600      43.58000     -43.58000
     -20.82500      35.84000     -35.84000
     -20.79400      31.25000     -31.25000
     -20.76300      29.06000     -29.06000
     -20.73200      24.71000     -24.71000
     -20.70100      14.85000     -14.85000
     -20.67000       5.15500      -5.15500
     -20.63900       0.93840      -0.93840
     -20.60800       0.11880      -0.11880
     -20.57700       0.61070      -0.61070
     -20.54600       5.49600      -5.49600
     -20.51500      24.77000     -24.77000
     -20.48400      55.61000     -55.61000
     -20.45300      62.31000     -62.31000
     -20.42200      36.24000     -36.24000
     -20.39100      18.22000     -18.22000
     -20.36000      23.91000     -23.91000
     -20.32900      32.86000     -32.86000
     -20.29800      33.02000     -33.02000
     -20.26700      32.88000     -32.88000
     -20.23700      30.61000     -30.61000
     -20.20600      20.98000     -20.98000
     -20.17500      13.69000     -13.69000
     -20.14400      17.76000     -17.76000
     -20.11300      29.58000     -29.58000
     -20.08200      39.99000     -39.99000
     -20.05100      43.28000     -43.28000
     -20.02000      35.87000     -35.87000
     -19.98900      23.94000     -23.94000
     -19.95800      18.90000     -18.90000
     -19.92700      19.34000     -19.34000
     -19.89600      16.01000     -16.01000
     -19.86500       7.90900      -7.90900
     -19.83400       2.58600      -2.58600
     -19.80300       4.56600      -4.56600
     -19.77200      17.65000     -17.65000
     -19.74100      37.30000     -37.30000
     -19.71000      40.35000     -40.35000
     -19.67900      22.10000     -22.10000
     -19.64800       6.06500      -6.06500
     -19.61700       0.82550      -0.82550
     -19.58600       0.05523      -0.05523
     -19.55600       0.00205      -0.00205
     -19.52500       0.00779      -0.00779
     -19.49400       0.11820      -0.11820
     -19.46300       0.89540      -0.89540
     -19.43200       3.46900      -3.46900
     -19.40100       7.22100      -7.22100
     -19.37000       9.00600      -9.00600
     -19.33900       8.85900      -8.85900
     -19.30800      10.96000     -10.96000
     -19.27700      17.16000     -17.16000
     -19.24600      24.11000     -24.11000
     -19.21500      29.42000     -29.42000
     -19.18400      30.49000     -30.49000
     -19.15300      23.35000     -23.35000
     -19.12200      14.17000     -14.17000
     -19.09100       8.57500      -8.57500
     -19.06000       4.38500      -4.38500
     -19.02900       1.38400      -1.38400
     -18.99800       0.28820      -0.28820
     -18.96700       0.86140      -0.86140
     -18.93600       6.37600      -6.37600
     -18.90500      24.38000     -24.38000
     -18.87500      50.40000     -50.40000
     -18.84400      64.77000     -64.77000
