#K-Path              Spin-Up       Spin-Down
# NKPTS & NBANDS:  60 508
# Band-Index    1
   0.00000    -19.331540    -19.323006
   0.01681    -19.331540    -19.323006
   0.03361    -19.331539    -19.323005
   0.05042    -19.331535    -19.323001
   0.06722    -19.331532    -19.322998
   0.08403    -19.331528    -19.322994
   0.10083    -19.331525    -19.322992
   0.11764    -19.331523    -19.322989
   0.13444    -19.331521    -19.322988
   0.15125    -19.331521    -19.322987
   0.15125    -19.331521    -19.322987
   0.15671    -19.331521    -19.322988
   0.16217    -19.331521    -19.322988
   0.16763    -19.331522    -19.322989
   0.17309    -19.331523    -19.322990
   0.17855    -19.331523    -19.322990
   0.18401    -19.331522    -19.322989
   0.18947    -19.331522    -19.322989
   0.19493    -19.331522    -19.322989
   0.20039    -19.331523    -19.322989
   0.20039    -19.331523    -19.322989
   0.21469    -19.331523    -19.322990
   0.22898    -19.331525    -19.322991
   0.24328    -19.331527    -19.322994
   0.25758    -19.331530    -19.322996
   0.27187    -19.331532    -19.322998
   0.28617    -19.331535    -19.323001
   0.30046    -19.331535    -19.323001
   0.31476    -19.331537    -19.323003
   0.32905    -19.331538    -19.323004
   0.32905    -19.331538    -19.323004
   0.34335    -19.331537    -19.323003
   0.35764    -19.331535    -19.323001
   0.37194    -19.331535    -19.323001
   0.38624    -19.331532    -19.322998
   0.40053    -19.331530    -19.322996
   0.41483    -19.331527    -19.322994
   0.42912    -19.331525    -19.322991
   0.44342    -19.331523    -19.322990
   0.45771    -19.331523    -19.322989
   0.45771    -19.331523    -19.322989
   0.46317    -19.331522    -19.322989
   0.46863    -19.331522    -19.322989
   0.47409    -19.331522    -19.322989
   0.47956    -19.331523    -19.322990
   0.48502    -19.331523    -19.322990
   0.49048    -19.331522    -19.322989
   0.49594    -19.331521    -19.322988
   0.50140    -19.331521    -19.322988
   0.50686    -19.331521    -19.322987
   0.50686    -19.331521    -19.322987
   0.52366    -19.331521    -19.322988
   0.54047    -19.331523    -19.322989
   0.55727    -19.331525    -19.322992
   0.57408    -19.331528    -19.322994
   0.59088    -19.331532    -19.322998
   0.60769    -19.331535    -19.323001
   0.62450    -19.331539    -19.323005
   0.64130    -19.331540    -19.323006
   0.65811    -19.331540    -19.323006
 
 
# Band-Index    2
   0.65811    -19.331355    -19.322835
   0.64130    -19.331355    -19.322835
   0.62450    -19.331354    -19.322834
   0.60769    -19.331350    -19.322830
   0.59088    -19.331347    -19.322827
   0.57408    -19.331343    -19.322823
   0.55727    -19.331340    -19.322821
   0.54047    -19.331338    -19.322819
   0.52366    -19.331336    -19.322817
   0.50686    -19.331336    -19.322817
   0.50686    -19.331336    -19.322817
   0.50140    -19.331336    -19.322817
   0.49594    -19.331336    -19.322817
   0.49048    -19.331337    -19.322818
   0.48502    -19.331338    -19.322819
   0.47956    -19.331338    -19.322819
   0.47409    -19.331337    -19.322818
   0.46863    -19.331337    -19.322818
   0.46317    -19.331337    -19.322818
   0.45771    -19.331338    -19.322819
   0.45771    -19.331338    -19.322819
   0.44342    -19.331338    -19.322819
   0.42912    -19.331340    -19.322821
   0.41483    -19.331342    -19.322823
   0.40053    -19.331345    -19.322825
   0.38624    -19.331347    -19.322828
   0.37194    -19.331350    -19.322830
   0.35764    -19.331350    -19.322830
   0.34335    -19.331352    -19.322832
   0.32905    -19.331353    -19.322833
   0.32905    -19.331353    -19.322833
   0.31476    -19.331352    -19.322832
   0.30046    -19.331350    -19.322830
   0.28617    -19.331350    -19.322830
   0.27187    -19.331347    -19.322828
   0.25758    -19.331345    -19.322825
   0.24328    -19.331342    -19.322823
   0.22898    -19.331340    -19.322821
   0.21469    -19.331338    -19.322819
   0.20039    -19.331338    -19.322819
   0.20039    -19.331338    -19.322819
   0.19493    -19.331337    -19.322818
   0.18947    -19.331337    -19.322818
   0.18401    -19.331337    -19.322818
   0.17855    -19.331338    -19.322819
   0.17309    -19.331338    -19.322819
   0.16763    -19.331337    -19.322818
   0.16217    -19.331336    -19.322817
   0.15671    -19.331336    -19.322817
   0.15125    -19.331336    -19.322817
   0.15125    -19.331336    -19.322817
   0.13444    -19.331336    -19.322817
   0.11764    -19.331338    -19.322819
   0.10083    -19.331340    -19.322821
   0.08403    -19.331343    -19.322823
   0.06722    -19.331347    -19.322827
   0.05042    -19.331350    -19.322830
   0.03361    -19.331354    -19.322834
   0.01681    -19.331355    -19.322835
   0.00000    -19.331355    -19.322835
 
 
# Band-Index    3
   0.00000    -18.943569    -18.935794
   0.01681    -18.943576    -18.935800
   0.03361    -18.943591    -18.935814
   0.05042    -18.943616    -18.935838
   0.06722    -18.943647    -18.935867
   0.08403    -18.943680    -18.935898
   0.10083    -18.943712    -18.935927
   0.11764    -18.943737    -18.935950
   0.13444    -18.943754    -18.935966
   0.15125    -18.943759    -18.935971
   0.15125    -18.943759    -18.935971
   0.15671    -18.943760    -18.935972
   0.16217    -18.943760    -18.935972
   0.16763    -18.943760    -18.935972
   0.17309    -18.943760    -18.935972
   0.17855    -18.943760    -18.935972
   0.18401    -18.943758    -18.935970
   0.18947    -18.943757    -18.935969
   0.19493    -18.943756    -18.935968
   0.20039    -18.943755    -18.935968
   0.20039    -18.943755    -18.935968
   0.21469    -18.943741    -18.935954
   0.22898    -18.943720    -18.935934
   0.24328    -18.943692    -18.935909
   0.25758    -18.943661    -18.935880
   0.27187    -18.943631    -18.935851
   0.28617    -18.943604    -18.935826
   0.30046    -18.943581    -18.935805
   0.31476    -18.943566    -18.935790
   0.32905    -18.943561    -18.935786
   0.32905    -18.943561    -18.935786
   0.34335    -18.943566    -18.935790
   0.35764    -18.943581    -18.935805
   0.37194    -18.943604    -18.935826
   0.38624    -18.943631    -18.935851
   0.40053    -18.943661    -18.935880
   0.41483    -18.943692    -18.935909
   0.42912    -18.943720    -18.935934
   0.44342    -18.943741    -18.935954
   0.45771    -18.943755    -18.935968
   0.45771    -18.943755    -18.935968
   0.46317    -18.943756    -18.935968
   0.46863    -18.943757    -18.935969
   0.47409    -18.943758    -18.935970
   0.47956    -18.943760    -18.935972
   0.48502    -18.943760    -18.935972
   0.49048    -18.943760    -18.935972
   0.49594    -18.943760    -18.935972
   0.50140    -18.943760    -18.935972
   0.50686    -18.943759    -18.935971
   0.50686    -18.943759    -18.935971
   0.52366    -18.943754    -18.935966
   0.54047    -18.943737    -18.935950
   0.55727    -18.943712    -18.935927
   0.57408    -18.943680    -18.935898
   0.59088    -18.943647    -18.935867
   0.60769    -18.943616    -18.935837
   0.62450    -18.943591    -18.935814
   0.64130    -18.943576    -18.935800
   0.65811    -18.943569    -18.935794
 
 
# Band-Index    4
   0.65811    -18.943244    -18.935478
