#K-Path              Spin-Up       Spin-Down
# NKPTS & NBANDS:  60 508
# Band-Index    1
   0.00000    -18.326250    -18.309100
   0.01681    -18.325850    -18.308698
   0.03361    -18.324649    -18.307488
   0.05042    -18.322648    -18.305474
   0.06722    -18.319854    -18.302661
   0.08403    -18.316274    -18.299055
   0.10083    -18.311915    -18.294665
   0.11764    -18.306788    -18.289502
   0.13444    -18.300910    -18.283581
   0.15125    -18.294691    -18.277339
   0.15125    -18.294691    -18.277339
   0.15671    -18.295064    -18.277696
   0.16217    -18.295675    -18.278298
   0.16763    -18.296319    -18.278938
   0.17309    -18.296971    -18.279588
   0.17855    -18.297627    -18.280243
   0.18401    -18.298283    -18.280900
   0.18947    -18.298943    -18.281563
   0.19493    -18.299604    -18.282227
   0.20039    -18.300267    -18.282895
   0.20039    -18.300267    -18.282895
   0.21469    -18.305594    -18.288264
   0.22898    -18.310322    -18.293028
   0.24328    -18.314438    -18.297175
   0.25758    -18.317932    -18.300694
   0.27187    -18.320801    -18.303584
   0.28617    -18.323037    -18.305836
   0.30046    -18.324638    -18.307448
   0.31476    -18.325598    -18.308415
   0.32905    -18.325919    -18.308738
   0.32905    -18.325919    -18.308738
   0.34335    -18.325598    -18.308415
   0.35764    -18.324638    -18.307448
   0.37194    -18.323037    -18.305836
   0.38624    -18.320801    -18.303584
   0.40053    -18.317932    -18.300694
   0.41483    -18.314438    -18.297175
   0.42912    -18.310322    -18.293028
   0.44342    -18.305594    -18.288264
   0.45771    -18.300267    -18.282895
   0.45771    -18.300267    -18.282895
   0.46317    -18.299603    -18.282226
   0.46863    -18.298940    -18.281560
   0.47409    -18.298278    -18.280896
   0.47956    -18.297619    -18.280236
   0.48502    -18.296959    -18.279577
   0.49048    -18.296300    -18.278921
   0.49594    -18.295644    -18.278270
   0.50140    -18.295003    -18.277642
   0.50686    -18.294552    -18.277227
   0.50686    -18.294552    -18.277227
   0.52366    -18.300905    -18.283576
   0.54047    -18.306786    -18.289500
   0.55727    -18.311914    -18.294665
   0.57408    -18.316273    -18.299055
   0.59088    -18.319854    -18.302661
