      #Energy        TDOS-UP        TDOS-DOWN
     -22.93958       0.00000       0.00000
     -22.90658       0.00000       0.00000
     -22.87358       0.00000       0.00000
     -22.84058       0.00000       0.00000
     -22.80758       0.00000       0.00000
     -22.77458       0.00000       0.00000
     -22.74158       0.00000       0.00000
     -22.70858       0.00000       0.00000
     -22.67558       0.00000       0.00000
     -22.64258       0.00000       0.00000
     -22.60958       0.00000       0.00000
     -22.57658       0.00000       0.00000
     -22.54358       0.00000       0.00000
     -22.51058       0.00000       0.00000
     -22.47758       0.00000       0.00000
     -22.44458       0.00000       0.00000
     -22.41158       0.00000       0.00000
     -22.37858       0.00000       0.00000
     -22.34558       0.00000       0.00000
     -22.31258       0.00000       0.00000
     -22.27958       0.00000       0.00000
     -22.24658       0.00000       0.00000
     -22.21358       0.00000       0.00000
     -22.18058       0.00000       0.00000
     -22.14758       0.00000       0.00000
     -22.11458       0.00000       0.00000
     -22.08158       0.00000       0.00000
     -22.04858       0.00000       0.00000
     -22.01558       0.00000       0.00000
     -21.98258       0.00000       0.00000
     -21.94958       0.00000       0.00000
     -21.91658       0.00000       0.00000
     -21.88358       0.00000       0.00000
     -21.85058       0.00000       0.00000
     -21.81758       0.00000       0.00000
     -21.78458       0.00000       0.00000
     -21.75158       0.00000       0.00000
     -21.71858       0.00000      -0.00000
     -21.68558       0.00000      -0.00000
     -21.65258       0.00000      -0.00000
     -21.61958       0.00000      -0.00000
     -21.58658       0.00004      -0.00002
     -21.55358       0.00162      -0.00089
     -21.52058       0.03030      -0.01901
     -21.48758       0.27389      -0.19458
     -21.45458       1.28555      -1.01989
     -21.42158       3.44529      -2.99668
     -21.38858       5.91009      -5.51476
     -21.35558       7.42625      -7.24622
     -21.32258       7.91506      -7.87466
     -21.28958       7.99380      -7.98966
     -21.25658       7.99985      -7.99977
     -21.22358       8.00006      -8.00018
     -21.19058       8.00007      -8.00019
     -21.15758       8.00007      -8.00019
     -21.12458       8.00007      -8.00019
     -21.09158       8.00007      -8.00019
     -21.05858       8.00007      -8.00019
     -21.02558       8.00007      -8.00019
     -20.99258       8.00007      -8.00019
     -20.95958       8.00007      -8.00019
     -20.92658       8.00007      -8.00019
     -20.89358       8.00007      -8.00019
     -20.86058       8.00007      -8.00019
     -20.82858       8.00007      -8.00019
     -20.79558       8.00007      -8.00019
     -20.76258       8.00007      -8.00019
     -20.72958       8.00007      -8.00019
