      #Energy        TDOS-UP        TDOS-DOWN
     -19.73009       0.00000       0.00000
     -19.70009       0.00000       0.00000
     -19.67009       0.00000       0.00000
     -19.64009       0.00000       0.00000
     -19.61009       0.00000       0.00000
     -19.58109       0.00000       0.00000
     -19.55109       0.00000       0.00000
     -19.52109       0.00000       0.00000
     -19.49109       0.00000       0.00000
     -19.46109       0.00000       0.00000
     -19.43109       0.00000       0.00000
     -19.40209       0.00000       0.00000
     -19.37209       0.00000       0.00000
     -19.34209       0.00000       0.00000
     -19.31209       0.00000       0.00000
     -19.28209       0.00000       0.00000
     -19.25209       0.00000       0.00000
     -19.22209       0.00000       0.00000
     -19.19309       0.00000       0.00000
     -19.16309       0.00000       0.00000
     -19.13309       0.00000       0.00000
     -19.10309       0.00000       0.00000
     -19.07309       0.00000       0.00000
     -19.04309       0.00000       0.00000
     -19.01409       0.00000       0.00000
     -18.98409       0.00000       0.00000
     -18.95409       0.00000       0.00000
     -18.92409       0.00000       0.00000
     -18.89409       0.00000       0.00000
     -18.86409       0.00000       0.00000
     -18.83409       0.00000       0.00000
     -18.80509       0.00000       0.00000
     -18.77509       0.00000       0.00000
     -18.74509       0.00000       0.00000
     -18.71509       0.00000       0.00000
     -18.68509       0.00000       0.00000
     -18.65509       0.00000      -0.00000
     -18.62609       0.00000      -0.00000
     -18.59609       0.00000      -0.00000
     -18.56609       0.00000      -0.00000
     -18.53609       0.00000      -0.00000
     -18.50609       0.00003      -0.00003
     -18.47609       0.00080      -0.00080
     -18.44609       0.01036      -0.01036
     -18.41709       0.07678      -0.07678
     -18.38709       0.34360      -0.34360
     -18.35709       0.99262      -0.99262
     -18.32709       2.01741      -2.01741
     -18.29709       3.20904      -3.20904
     -18.26709       4.40963      -4.40963
     -18.23809       5.52456      -5.52456
     -18.20809       6.52741      -6.52741
     -18.17809       7.62294      -7.62294
     -18.14809       8.97306      -8.97306
     -18.11809      10.33408     -10.33408
     -18.08809      11.31395     -11.31395
     -18.05809      11.80080     -11.80080
     -18.02909      11.96240     -11.96240
     -17.99909      12.00153     -12.00153
     -17.96909      12.05342     -12.05342
     -17.93909      12.28520     -12.28520
     -17.90909      12.94615     -12.94615
     -17.87909      14.13585     -14.13585
     -17.84909      15.61819     -15.61819
     -17.82009      17.07442     -17.07442
     -17.79009      18.35574     -18.35574
     -17.76009      19.44292     -19.44292
     -17.73009      20.49785     -20.49785
     -17.70009      21.73530     -21.73530
     -17.67009      22.95454     -22.95454
     -17.64109      23.80578     -23.80578
     -17.61109      24.53314     -24.53314
     -17.58109      25.74433     -25.74433
     -17.55109      27.46291     -27.46291
     -17.52109      28.96734     -28.96734
     -17.49109      29.76261     -29.76261
     -17.46109      30.09153     -30.09153
     -17.43209      30.40091     -30.40091
     -17.40209      30.90368     -30.90368
     -17.37209      31.59986     -31.59986
     -17.34209      32.40990     -32.40990
     -17.31209      33.25875     -33.25875
     -17.28209      34.07237     -34.07237
     -17.25309      34.76019     -34.76019
     -17.22309      35.26281     -35.26281
     -17.19309      35.59325     -35.59325
     -17.16309      35.80147     -35.80147
     -17.13309      35.92313     -35.92313
     -17.10309      35.97961     -35.97961
     -17.07309      35.99737     -35.99737
     -17.04409      36.00270     -36.00270
     -17.01409      36.02345     -36.02345
     -16.98409      36.13437     -36.13437
     -16.95409      36.47214     -36.47214
     -16.92409      37.07922     -37.07922
     -16.89409      37.78480     -37.78480
     -16.86509      38.45382     -38.45382
     -16.83509      39.20596     -39.20596
     -16.80509      40.22314     -40.22314
     -16.77509      41.48596     -41.48596
     -16.74509      42.69848     -42.69848
     -16.71509      43.51494     -43.51494
     -16.68509      43.87805     -43.87805
     -16.65609      43.98076     -43.98076
     -16.62609      43.99865     -43.99865
     -16.59609      44.00050     -44.00050
     -16.56609      44.00061     -44.00061
     -16.53609      44.00064     -44.00064
     -16.50609      44.00117     -44.00117
     -16.47709      44.00674     -44.00674
     -16.44709      44.03846     -44.03846
     -16.41709      44.14164     -44.14164
     -16.38709      44.34581     -44.34581
     -16.35709      44.62125     -44.62125
     -16.32709      44.94245     -44.94245
     -16.29709      45.37433     -45.37433
     -16.26809      46.02872     -46.02872
     -16.23809      46.92652     -46.92652
     -16.20809      47.87699     -47.87699
     -16.17809      48.59078     -48.59078
     -16.14809      48.98032     -48.98032
     -16.11809      49.18131     -49.18131
     -16.08909      49.32896     -49.32896
     -16.05909      49.47638     -49.47638
     -16.02909      49.63434     -49.63434
     -15.99909      49.78995     -49.78995
     -15.96909      49.92474     -49.92474
     -15.93909      50.08573     -50.08573
     -15.90909      50.44325     -50.44325
     -15.88009      51.16883     -51.16883
     -15.85009      52.24331     -52.24331
     -15.82009      53.54687     -53.54687
     -15.79009      55.00743     -55.00743
     -15.76009      56.54126     -56.54126
     -15.73009      58.13090     -58.13090
     -15.70109      59.87171     -59.87171
     -15.67109      61.63969     -61.63969
     -15.64109      63.00116     -63.00116
     -15.61109      63.71255     -63.71255
     -15.58109      63.97727     -63.97727
     -15.55109      64.15151     -64.15151
     -15.52109      64.47487     -64.47487
     -15.49209      64.98257     -64.98257
     -15.46209      65.56936     -65.56936
     -15.43209      66.17331     -66.17331
     -15.40209      66.84531     -66.84531
     -15.37209      67.68803     -67.68803
     -15.34209      68.76565     -68.76565
     -15.31309      70.02519     -70.02519
     -15.28309      71.34352     -71.34352
     -15.25309      72.64380     -72.64380
     -15.22309      73.91722     -73.91722
     -15.19309      75.15511     -75.15511
     -15.16309      76.26183     -76.26183
     -15.13309      77.08412     -77.08412
     -15.10409      77.58897     -77.58897
     -15.07409      77.90343     -77.90343
     -15.04409      78.17606     -78.17606
