      #Energy        TDOS-UP        TDOS-DOWN
     -19.73009       0.00000       0.00000
     -19.70009       0.00000       0.00000
     -19.67009       0.00000       0.00000
     -19.64009       0.00000       0.00000
     -19.61009       0.00000       0.00000
     -19.58109       0.00000       0.00000
     -19.55109       0.00000       0.00000
     -19.52109       0.00000       0.00000
     -19.49109       0.00000       0.00000
     -19.46109       0.00000       0.00000
     -19.43109       0.00000       0.00000
     -19.40209       0.00000       0.00000
     -19.37209       0.00000       0.00000
     -19.34209       0.00000       0.00000
     -19.31209       0.00000       0.00000
     -19.28209       0.00000       0.00000
     -19.25209       0.00000       0.00000
     -19.22209       0.00000       0.00000
     -19.19309       0.00000       0.00000
     -19.16309       0.00000       0.00000
     -19.13309       0.00000       0.00000
     -19.10309       0.00000       0.00000
     -19.07309       0.00000       0.00000
     -19.04309       0.00000       0.00000
     -19.01409       0.00000       0.00000
     -18.98409       0.00000       0.00000
     -18.95409       0.00000       0.00000
     -18.92409       0.00000       0.00000
     -18.89409       0.00000       0.00000
     -18.86409       0.00000       0.00000
     -18.83409       0.00000       0.00000
     -18.80509       0.00000       0.00000
     -18.77509       0.00000       0.00000
     -18.74509       0.00000       0.00000
     -18.71509       0.00000       0.00000
     -18.68509       0.00000       0.00000
     -18.65509       0.00000      -0.00000
     -18.62609       0.00000      -0.00000
     -18.59609       0.00000      -0.00000
     -18.56609       0.00000      -0.00000
     -18.53609       0.00005      -0.00005
     -18.50609       0.00216      -0.00216
     -18.47609       0.04913      -0.04913
     -18.44609       0.59170      -0.59170
     -18.41709       3.85900      -3.85900
     -18.38709      14.02000     -14.02000
     -18.35709      29.47000     -29.47000
     -18.32709      39.20000     -39.20000
     -18.29709      40.65000     -40.65000
     -18.26709      39.80000     -39.80000
     -18.23809      34.91000     -34.91000
     -18.20809      32.29000     -32.29000
     -18.17809      41.12000     -41.12000
     -18.14809      49.35000     -49.35000
     -18.11809      41.85000     -41.85000
     -18.08809      23.81000     -23.81000
     -18.05809       8.81300      -8.81300
     -18.02909       2.01600      -2.01600
     -17.99909       0.60600      -0.60600
     -17.96909       2.87100      -2.87100
     -17.93909      12.66000     -12.66000
     -17.90909      31.63000     -31.63000
     -17.87909      48.09000     -48.09000
     -17.84909      51.24000     -51.24000
     -17.82009      46.34000     -46.34000
     -17.79009      39.52000     -39.52000
     -17.76009      33.33000     -33.33000
     -17.73009      37.36000     -37.36000
     -17.70009      45.56000     -45.56000
     -17.67009      36.14000     -36.14000
     -17.64109      20.90000     -20.90000
     -17.61109      27.84000     -27.84000
     -17.58109      53.32000     -53.32000
     -17.55109      61.84000     -61.84000
     -17.52109      38.97000     -38.97000
     -17.49109      14.32000     -14.32000
     -17.46109       7.72100      -7.72100
     -17.43209      13.01000     -13.01000
     -17.40209      20.68000     -20.68000
     -17.37209      25.97000     -25.97000
     -17.34209      28.31000     -28.31000
     -17.31209      28.57000     -28.57000
     -17.28209      25.95000     -25.95000
     -17.25309      20.14000     -20.14000
     -17.22309      13.54000     -13.54000
     -17.19309       8.60200      -8.60200
     -17.16309       5.35100      -5.35100
     -17.13309       2.80100      -2.80100
     -17.10309       0.98380      -0.98380
     -17.07309       0.20630      -0.20630
     -17.04409       0.15060      -0.15060
     -17.01409       1.24000      -1.24000
     -16.98409       6.19300      -6.19300
     -16.95409      16.44000     -16.44000
     -16.92409      24.24000     -24.24000
     -16.89409      23.04000     -23.04000
     -16.86509      21.79000     -21.79000
     -16.83509      28.61000     -28.61000
     -16.80509      39.55000     -39.55000
     -16.77509      45.07000     -45.07000
     -16.74509      36.18000     -36.18000
     -16.71509      18.53000     -18.53000
     -16.68509       5.80100      -5.80100
     -16.65609       1.08200      -1.08200
     -16.62609       0.11680      -0.11680
     -16.59609       0.00704      -0.00704
     -16.56609       0.00028      -0.00028
     -16.53609       0.00176      -0.00176
     -16.50609       0.03386      -0.03386
     -16.47709       0.33890      -0.33890
     -16.44709       1.78700      -1.78700
     -16.41709       5.12700      -5.12700
     -16.38709       8.55400      -8.55400
     -16.35709       9.90300      -9.90300
     -16.32709      11.62000     -11.62000
     -16.29709      17.32000     -17.32000
     -16.26809      26.53000     -26.53000
     -16.23809      33.63000     -33.63000
     -16.20809      30.06000     -30.06000
     -16.17809      17.77000     -17.77000
     -16.14809       8.33300      -8.33300
     -16.11809       5.13500      -5.13500
     -16.08909       4.75900      -4.75900
     -16.05909       5.11900      -5.11900
     -16.02909       5.46600      -5.46600
     -15.99909       4.96100      -4.96100
     -15.96909       4.07100      -4.07100
     -15.93909       6.71700      -6.71700
     -15.90909      17.24000     -17.24000
     -15.88009      31.38000     -31.38000
     -15.85009      40.62000     -40.62000
     -15.82009      46.73000     -46.73000
     -15.79009      51.14000     -51.14000
     -15.76009      51.64000     -51.64000
     -15.73009      54.88000     -54.88000
     -15.70109      61.77000     -61.77000
     -15.67109      56.70000     -56.70000
     -15.64109      34.53000     -34.53000
     -15.61109      13.14000     -13.14000
     -15.58109       4.59800      -4.59800
     -15.55109       7.07800      -7.07800
     -15.52109      14.59000     -14.59000
     -15.49209      19.43000     -19.43000
     -15.46209      19.89000     -19.89000
     -15.43209      20.58000     -20.58000
     -15.40209      24.45000     -24.45000
     -15.37209      32.02000     -32.02000
     -15.34209      40.19000     -40.19000
     -15.31309      44.21000     -44.21000
     -15.28309      44.13000     -44.13000
     -15.25309      43.00000     -43.00000
     -15.22309      42.33000     -42.33000
     -15.19309      40.62000     -40.62000
     -15.16309      33.54000     -33.54000
     -15.13309      21.56000     -21.56000
     -15.10409      12.27000     -12.27000
     -15.07409       8.80100      -8.80100
     -15.04409       9.46800      -9.46800
