      #Energy        TDOS-UP        TDOS-DOWN
     -19.67665       0.00000       0.00000
     -19.64665       0.00000       0.00000
     -19.61665       0.00000       0.00000
     -19.58765       0.00000       0.00000
     -19.55765       0.00000       0.00000
     -19.52765       0.00000       0.00000
     -19.49765       0.00000       0.00000
     -19.46765       0.00000       0.00000
     -19.43765       0.00000       0.00000
     -19.40765       0.00000       0.00000
     -19.37865       0.00000       0.00000
     -19.34865       0.00000       0.00000
     -19.31865       0.00000       0.00000
     -19.28865       0.00000       0.00000
     -19.25865       0.00000       0.00000
     -19.22865       0.00000       0.00000
     -19.19965       0.00000       0.00000
     -19.16965       0.00000       0.00000
     -19.13965       0.00000       0.00000
     -19.10965       0.00000       0.00000
     -19.07965       0.00000       0.00000
     -19.04965       0.00000       0.00000
     -19.02065       0.00000       0.00000
     -18.99065       0.00000       0.00000
     -18.96065       0.00000       0.00000
     -18.93065       0.00000       0.00000
     -18.90065       0.00000       0.00000
     -18.87065       0.00000       0.00000
     -18.84065       0.00000       0.00000
     -18.81165       0.00000       0.00000
     -18.78165       0.00000       0.00000
     -18.75165       0.00000       0.00000
     -18.72165       0.00000       0.00000
     -18.69165       0.00000       0.00000
     -18.66165       0.00000       0.00000
     -18.63265       0.00000       0.00000
     -18.60265       0.00000      -0.00000
     -18.57265       0.00000      -0.00000
     -18.54265       0.00000      -0.00000
     -18.51265       0.00000      -0.00000
     -18.48265       0.00000      -0.00000
     -18.45365       0.00003      -0.00001
     -18.42365       0.00079      -0.00019
     -18.39365       0.01036      -0.00335
     -18.36365       0.07734      -0.03217
     -18.33365       0.35019      -0.18214
     -18.30365       1.03266      -0.64719
     -18.27365       2.16171      -1.56287
     -18.24465       3.51785      -2.81725
     -18.21465       4.80714      -4.14683
     -18.18465       5.87188      -5.32482
     -18.15465       6.83934      -6.30585
     -18.12465       7.98345      -7.31807
     -18.09465       9.32721      -8.58140
     -18.06565      10.57338      -9.94813
     -18.03565      11.42610     -11.04793
     -18.00565      11.83857     -11.67908
     -17.97565      11.97200     -11.92699
     -17.94565      12.00915     -11.99216
     -17.91565      12.09104     -12.02942
     -17.88665      12.41942     -12.18875
     -17.85665      13.23722     -12.71178
     -17.82665      14.54875     -13.77368
     -17.79665      16.04797     -15.21666
     -17.76665      17.45320     -16.69903
     -17.73665      18.67908     -18.03263
     -17.70765      19.77799     -19.20107
     -17.67765      20.95344     -20.33459
     -17.64765      22.25945     -21.61434
     -17.61765      23.33627     -22.86141
     -17.58765      24.00457     -23.69876
     -17.55765      24.74851     -24.27380
     -17.52765      26.13180     -25.23260
     -17.49865      27.91244     -26.86044
     -17.46865      29.26395     -28.55513
     -17.43865      29.88047     -29.59093
     -17.40865      30.14909     -30.00685
     -17.37865      30.48231     -30.27387
     -17.34865      31.03124     -30.69479
     -17.31965      31.76773     -31.32906
     -17.28965      32.60537     -32.11672
     -17.25965      33.46630     -32.97616
     -17.22965      34.25993     -33.82454
     -17.19965      34.89137     -34.55894
     -17.16965      35.33421     -35.10683
     -17.14065      35.63036     -35.47856
     -17.11065      35.82383     -35.72496
     -17.08065      35.93564     -35.88004
     -17.05065      35.98464     -35.96108
     -17.02065      35.99909     -35.99123
     -16.99065      36.00641     -35.99941
     -16.96065      36.04618     -36.01390
     -16.93165      36.22023     -36.09679
     -16.90165      36.65684     -36.37803
     -16.87165      37.32096     -36.93562
     -16.84165      38.01641     -37.63420
     -16.81165      38.69575     -38.30444
     -16.78165      39.52937     -39.01601
     -16.75265      40.64692     -39.95854
     -16.72265      41.93383     -41.17383
     -16.69265      43.03945     -42.43090
     -16.66265      43.68805     -43.36225
     -16.63265      43.93415     -43.82227
     -16.60265      43.99248     -43.96726
     -16.57365      44.00082     -43.99550
     -16.54365      44.00152     -43.99878
     -16.51365      44.00155     -43.99900
     -16.48365      44.00158     -43.99902
     -16.45365      44.00215     -43.99920
     -16.42365      44.00803     -44.00162
     -16.39365      44.04101     -44.01900
     -16.36465      44.14677     -44.08871
     -16.33465      44.35443     -44.25445
     -16.30465      44.63812     -44.51141
     -16.27465      44.98667     -44.82776
     -16.24465      45.48069     -45.24375
     -16.21465      46.22105     -45.86758
     -16.18565      47.16971     -46.74044
     -16.15565      48.07972     -47.70282
     -16.12565      48.69803     -48.46616
     -16.09565      49.01832     -48.90224
     -16.06565      49.19541     -49.12317
     -16.03565      49.34007     -49.27383
     -16.00665      49.48984     -49.41860
     -15.97665      49.65082     -49.57426
     -15.94665      49.80773     -49.73512
     -15.91665      49.95005     -49.88222
     -15.88665      50.15751     -50.04422
     -15.85665      50.62644     -50.37517
     -15.82765      51.47871     -51.05869
     -15.79765      52.62581     -52.08986
     -15.76765      53.95434     -53.34125
     -15.73765      55.40269     -54.74529
     -15.70765      56.88237     -56.22303
     -15.67765      58.41264     -57.71808
     -15.64765      60.10971     -59.33205
     -15.61865      61.82395     -61.08329
     -15.58865      63.11190     -62.61728
     -15.55865      63.76408     -63.54579
     -15.52865      64.02352     -63.92411
     -15.49865      64.25625     -64.10940
     -15.46865      64.65374     -64.39669
     -15.43965      65.17910     -64.86176
     -15.40965      65.73579     -65.41234
     -15.37965      66.33053     -65.98619
     -15.34965      67.04030     -66.62942
     -15.31965      67.94464     -67.42648
     -15.28965      69.06772     -68.43765
     -15.26065      70.34030     -69.63742
     -15.23065      71.66988     -70.93731
     -15.20065      73.00305     -72.26570
     -15.17065      74.31159     -73.57916
     -15.14065      75.54195     -74.84951
     -15.11065      76.56714     -76.00765
     -15.08065      77.27379     -76.91139
     -15.05165      77.69828     -77.48927
     -15.02165      77.98368     -77.83800
     -14.99165      78.26565     -78.10978
     -14.96165      78.69343     -78.43479
     -14.93165      79.51600     -79.00029
     -14.90165      80.98494     -80.09084
     -14.87265      82.99789     -81.85103
     -14.84265      84.97756     -83.93888
     -14.81265      86.38876     -85.70727
     -14.78265      87.18508     -86.82140
     -14.75265      87.65642     -87.42763
     -14.72265      88.15238     -87.87674
     -14.69365      88.88245     -88.47670
     -14.66365      89.82588     -89.31494
     -14.63365      90.88928     -90.31060
     -14.60365      92.00937     -91.39548
     -14.57365      93.13708     -92.51885
     -14.54365      94.26941     -93.65372
     -14.51365      95.39487     -94.80246
     -14.48465      96.46991     -95.92733
     -14.45465      97.46079     -96.98103
     -14.42465      98.29843     -97.91044
     -14.39465      98.94226     -98.64319
     -14.36465      99.51864     -99.22211
     -14.33465     100.24722     -99.85072
     -14.30565     101.27436    -100.73313
     -14.27565     102.60991    -101.94558
     -14.24565     104.07989    -103.38990
     -14.21565     105.38620    -104.79423
     -14.18565     106.38155    -105.91850
     -14.15565     107.15996    -106.77018
     -14.12665     107.82841    -107.48264
     -14.09665     108.40673    -108.10543
     -14.06665     108.96850    -108.66212
     -14.03665     109.64918    -109.27491
     -14.00665     110.45758    -110.03959
     -13.97665     111.26464    -110.87410
     -13.94665     112.02544    -111.66520
     -13.91765     112.83713    -112.45793
     -13.88765     113.76251    -113.34497
     -13.85765     114.80859    -114.34122
     -13.82765     116.00762    -115.47295
     -13.79765     117.33436    -116.76120
     -13.76765     118.65917    -118.11376
     -13.73865     119.86923    -119.38395
     -13.70865     120.97351    -120.52121
     -13.67865     121.98543    -121.56640
     -13.64865     122.79771    -122.46940
     -13.61865     123.35500    -123.12397
     -13.58865     123.77382    -123.57950
     -13.55965     124.16877    -123.97713
     -13.52965     124.54477    -124.36358
     -13.49965     124.88541    -124.71630
     -13.46965     125.21262    -125.04202
     -13.43965     125.57460    -125.38087
     -13.40965     126.01894    -125.78462
     -13.38065     126.52489    -126.26835
     -13.35065     127.01295    -126.76536
     -13.32065     127.43655    -127.21193
     -13.29065     127.75663    -127.58763
     -13.26065     127.93111    -127.84548
     -13.23065     127.99007    -127.96295
     -13.20065     128.00770    -127.99663
     -13.17165     128.05880    -128.02445
     -13.14165     128.26773    -128.14847
     -13.11165     128.76906    -128.51929
     -13.08165     129.50659    -129.18087
     -13.05165     130.24785    -129.94601
     -13.02165     130.86005    -130.61191
     -12.99265     131.36944    -131.14443
     -12.96265     131.86137    -131.59817
     -12.93265     132.43582    -132.07354
     -12.90265     133.11844    -132.66410
     -12.87265     133.89088    -133.36687
     -12.84265     134.76941    -134.17810
     -12.81365     135.65092    -135.08811
     -12.78365     136.33399    -135.91800
     -12.75365     136.79265    -136.49856
     -12.72365     137.14806    -136.89202
     -12.69365     137.48855    -137.23654
     -12.66365     137.94796    -137.63731
     -12.63365     138.77158    -138.28740
     -12.60465     140.01924    -139.36930
     -12.57465     141.39478    -140.73558
     -12.54465     142.64170    -142.04248
     -12.51465     143.82730    -143.19899
     -12.48465     145.05019    -144.35623
     -12.45465     146.17760    -145.53526
     -12.42565     147.07224    -146.56285
     -12.39565     147.80470    -147.37125
     -12.36565     148.49269    -148.06312
     -12.33565     149.18501    -148.72455
     -12.30565     149.92149    -149.39733
     -12.27565     150.73332    -150.12963
     -12.24665     151.59096    -150.93714
     -12.21665     152.47322    -151.76837
     -12.18665     153.45038    -152.61661
     -12.15665     154.55048    -153.57690
     -12.12665     155.66550    -154.66805
     -12.09665     156.65146    -155.76129
     -12.06665     157.38496    -156.71039
     -12.03765     157.80044    -157.40928
     -12.00765     157.95954    -157.80605
     -11.97765     157.99710    -157.95916
     -11.94765     158.00782    -157.99665
     -11.91765     158.06155    -158.01969
     -11.88765     158.33420    -158.14517
     -11.85865     159.15006    -158.63082
     -11.82865     160.69196    -159.77419
     -11.79865     162.66820    -161.55363
     -11.76865     164.47718    -163.52092
     -11.73865     165.74977    -165.14772
     -11.70865     166.59965    -166.26214
     -11.67965     167.26645    -167.04234
     -11.64965     167.81314    -167.64141
     -11.61965     168.29478    -168.13096
     -11.58965     168.84580    -168.64766
     -11.55965     169.47158    -169.26343
     -11.52965     170.00887    -169.84967
     -11.50065     170.37812    -170.27013
     -11.47065     170.69173    -170.58162
     -11.44065     171.10100    -170.94144
     -11.41065     171.69529    -171.46173
     -11.38065     172.53040    -172.21074
     -11.35065     173.56321    -173.19476
     -11.32065     174.54827    -174.23085
     -11.29165     175.23492    -175.03254
     -11.26165     175.64121    -175.51537
     -11.23165     175.99319    -175.85273
     -11.20165     176.50198    -176.28185
     -11.17165     177.21221    -176.91970
     -11.14165     178.03180    -177.70110
     -11.11265     178.92495    -178.53412
     -11.08265     179.94925    -179.46427
     -11.05265     181.06756    -180.54766
     -11.02265     182.10290    -181.66104
     -10.99265     182.88952    -182.58851
     -10.96265     183.37429    -183.20638
     -10.93365     183.63549    -183.54445
     -10.90365     183.82622    -183.74407
     -10.87365     184.07446    -183.95480
     -10.84365     184.44807    -184.26667
     -10.81365     184.97328    -184.72205
     -10.78365     185.62337    -185.32216
     -10.75365     186.31718    -186.00448
     -10.72465     187.00726    -186.69113
     -10.69465     187.73629    -187.38762
     -10.66465     188.53081    -188.14813
     -10.63465     189.34160    -188.94713
     -10.60465     190.20864    -189.74748
     -10.57465     191.31665    -190.67778
     -10.54565     192.76515    -191.92873
     -10.51565     194.41731    -193.50509
     -10.48565     195.98443    -195.17576
     -10.45565     197.24045    -196.63664
     -10.42565     198.15285    -197.73182
     -10.39565     198.87098    -198.52217
     -10.36665     199.66849    -199.24865
     -10.33665     200.72249    -200.18075
     -10.30665     201.94106    -201.35724
     -10.27665     203.11442    -202.58566
     -10.24665     204.13544    -203.69098
     -10.21665     205.01829    -204.64247
     -10.18665     205.79253    -205.47311
     -10.15765     206.46545    -206.19795
     -10.12765     207.05750    -206.82358
     -10.09765     207.65791    -207.40369
     -10.06765     208.38514    -208.06483
     -10.03765     209.24323    -208.87800
     -10.00765     210.14190    -209.77817
      -9.97865     210.98984    -210.66177
      -9.94865     211.70350    -211.43690
      -9.91865     212.26019    -212.05282
      -9.88865     212.74302    -212.55147
      -9.85865     213.32791    -213.07683
