#K-Path              Spin-Up       Spin-Down
# NKPTS & NBANDS:  60 512
# Band-Index    1
   0.00000    -21.525619    -21.525619
   0.01681    -21.525619    -21.525619
   0.03361    -21.525619    -21.525619
   0.05042    -21.525617    -21.525617
   0.06722    -21.525616    -21.525616
   0.08403    -21.525616    -21.525616
   0.10083    -21.525615    -21.525615
   0.11764    -21.525615    -21.525615
   0.13444    -21.525615    -21.525615
   0.15125    -21.525615    -21.525615
   0.15125    -21.525615    -21.525615
   0.15671    -21.525616    -21.525616
   0.16217    -21.525616    -21.525616
   0.16763    -21.525617    -21.525617
   0.17309    -21.525617    -21.525617
   0.17855    -21.525618    -21.525618
   0.18401    -21.525617    -21.525617
   0.18947    -21.525616    -21.525616
   0.19493    -21.525616    -21.525616
   0.20039    -21.525617    -21.525617
   0.20039    -21.525617    -21.525617
   0.21469    -21.525616    -21.525616
   0.22898    -21.525618    -21.525618
   0.24328    -21.525618    -21.525618
   0.25758    -21.525617    -21.525617
   0.27187    -21.525616    -21.525616
   0.28617    -21.525615    -21.525615
   0.30046    -21.525614    -21.525614
   0.31476    -21.525614    -21.525614
   0.32905    -21.525616    -21.525616
   0.32905    -21.525616    -21.525616
   0.34335    -21.525614    -21.525614
   0.35764    -21.525614    -21.525614
   0.37194    -21.525615    -21.525615
   0.38624    -21.525616    -21.525616
   0.40053    -21.525617    -21.525617
   0.41483    -21.525618    -21.525618
   0.42912    -21.525618    -21.525618
   0.44342    -21.525616    -21.525616
   0.45771    -21.525617    -21.525617
   0.45771    -21.525617    -21.525617
   0.46317    -21.525616    -21.525616
   0.46863    -21.525616    -21.525616
   0.47409    -21.525617    -21.525617
   0.47956    -21.525618    -21.525618
   0.48502    -21.525618    -21.525618
   0.49048    -21.525617    -21.525617
   0.49594    -21.525616    -21.525616
   0.50140    -21.525616    -21.525616
   0.50686    -21.525616    -21.525616
   0.50686    -21.525616    -21.525616
   0.52366    -21.525615    -21.525615
   0.54047    -21.525615    -21.525615
   0.55727    -21.525615    -21.525615
   0.57408    -21.525616    -21.525616
   0.59088    -21.525616    -21.525616
   0.60769    -21.525617    -21.525617
   0.62450    -21.525619    -21.525619
   0.64130    -21.525620    -21.525620
   0.65811    -21.525619    -21.525619
 
 
# Band-Index    2
   0.65811    -21.525439    -21.525439
   0.64130    -21.525440    -21.525440
   0.62450    -21.525439    -21.525439
   0.60769    -21.525437    -21.525437
   0.59088    -21.525436    -21.525436
   0.57408    -21.525436    -21.525436
   0.55727    -21.525435    -21.525435
   0.54047    -21.525435    -21.525435
   0.52366    -21.525435    -21.525435
   0.50686    -21.525435    -21.525435
   0.50686    -21.525435    -21.525435
   0.50140    -21.525436    -21.525436
   0.49594    -21.525436    -21.525436
   0.49048    -21.525437    -21.525437
   0.48502    -21.525438    -21.525438
   0.47956    -21.525438    -21.525438
   0.47409    -21.525437    -21.525437
   0.46863    -21.525436    -21.525436
   0.46317    -21.525436    -21.525436
   0.45771    -21.525437    -21.525437
   0.45771    -21.525437    -21.525437
   0.44342    -21.525436    -21.525436
   0.42912    -21.525438    -21.525438
   0.41483    -21.525438    -21.525438
   0.40053    -21.525437    -21.525437
   0.38624    -21.525436    -21.525436
   0.37194    -21.525435    -21.525435
   0.35764    -21.525434    -21.525434
   0.34335    -21.525434    -21.525434
   0.32905    -21.525436    -21.525436
   0.32905    -21.525436    -21.525436
   0.31476    -21.525434    -21.525434
   0.30046    -21.525434    -21.525434
   0.28617    -21.525435    -21.525435
   0.27187    -21.525436    -21.525436
   0.25758    -21.525437    -21.525437
   0.24328    -21.525438    -21.525438
   0.22898    -21.525438    -21.525438
   0.21469    -21.525436    -21.525436
   0.20039    -21.525437    -21.525437
   0.20039    -21.525437    -21.525437
   0.19493    -21.525436    -21.525436
   0.18947    -21.525436    -21.525436
   0.18401    -21.525437    -21.525437
   0.17855    -21.525438    -21.525438
   0.17309    -21.525438    -21.525438
   0.16763    -21.525437    -21.525437
   0.16217    -21.525436    -21.525436
   0.15671    -21.525436    -21.525436
   0.15125    -21.525436    -21.525436
   0.15125    -21.525436    -21.525436
   0.13444    -21.525435    -21.525435
   0.11764    -21.525435    -21.525435
   0.10083    -21.525435    -21.525435
   0.08403    -21.525436    -21.525436
   0.06722    -21.525436    -21.525436
   0.05042    -21.525437    -21.525437
   0.03361    -21.525439    -21.525439
   0.01681    -21.525440    -21.525440
   0.00000    -21.525439    -21.525439
 
 
# Band-Index    3
   0.00000    -21.512210    -21.512210
   0.01681    -21.512210    -21.512210
   0.03361    -21.512209    -21.512209
   0.05042    -21.512208    -21.512208
   0.06722    -21.512207    -21.512207
   0.08403    -21.512207    -21.512207
   0.10083    -21.512206    -21.512206
   0.11764    -21.512205    -21.512205
   0.13444    -21.512205    -21.512205
   0.15125    -21.512205    -21.512205
   0.15125    -21.512205    -21.512205
   0.15671    -21.512206    -21.512206
   0.16217    -21.512206    -21.512206
   0.16763    -21.512206    -21.512206
   0.17309    -21.512206    -21.512206
   0.17855    -21.512207    -21.512207
   0.18401    -21.512206    -21.512206
   0.18947    -21.512206    -21.512206
   0.19493    -21.512205    -21.512205
   0.20039    -21.512206    -21.512206
   0.20039    -21.512206    -21.512206
   0.21469    -21.512205    -21.512205
   0.22898    -21.512206    -21.512206
   0.24328    -21.512206    -21.512206
   0.25758    -21.512206    -21.512206
   0.27187    -21.512205    -21.512205
   0.28617    -21.512207    -21.512207
   0.30046    -21.512206    -21.512206
   0.31476    -21.512205    -21.512205
   0.32905    -21.512204    -21.512204
   0.32905    -21.512204    -21.512204
   0.34335    -21.512205    -21.512205
   0.35764    -21.512206    -21.512206
   0.37194    -21.512207    -21.512207
   0.38624    -21.512205    -21.512205
   0.40053    -21.512206    -21.512206
   0.41483    -21.512206    -21.512206
   0.42912    -21.512206    -21.512206
   0.44342    -21.512205    -21.512205
   0.45771    -21.512206    -21.512206
   0.45771    -21.512206    -21.512206
   0.46317    -21.512205    -21.512205
   0.46863    -21.512206    -21.512206
   0.47409    -21.512206    -21.512206
   0.47956    -21.512207    -21.512207
   0.48502    -21.512207    -21.512207
   0.49048    -21.512206    -21.512206
   0.49594    -21.512206    -21.512206
   0.50140    -21.512206    -21.512206
   0.50686    -21.512206    -21.512206
   0.50686    -21.512206    -21.512206
   0.52366    -21.512205    -21.512205
   0.54047    -21.512205    -21.512205
   0.55727    -21.512206    -21.512206
   0.57408    -21.512207    -21.512207
   0.59088    -21.512207    -21.512207
   0.60769    -21.512208    -21.512208
   0.62450    -21.512209    -21.512209
   0.64130    -21.512210    -21.512210
   0.65811    -21.512210    -21.512210
 
 
# Band-Index    4
   0.65811    -21.512154    -21.512154
   0.64130    -21.512154    -21.512154
   0.62450    -21.512153    -21.512153
   0.60769    -21.512153    -21.512153
   0.59088    -21.512152    -21.512152
   0.57408    -21.512151    -21.512151
   0.55727    -21.512151    -21.512151
   0.54047    -21.512149    -21.512149
   0.52366    -21.512149    -21.512149
   0.50686    -21.512150    -21.512150
   0.50686    -21.512150    -21.512150
   0.50140    -21.512150    -21.512150
   0.49594    -21.512150    -21.512150
   0.49048    -21.512150    -21.512150
   0.48502    -21.512151    -21.512151
   0.47956    -21.512152    -21.512152
   0.47409    -21.512150    -21.512150
   0.46863    -21.512150    -21.512150
   0.46317    -21.512150    -21.512150
   0.45771    -21.512150    -21.512150
   0.45771    -21.512150    -21.512150
   0.44342    -21.512149    -21.512149
   0.42912    -21.512150    -21.512150
   0.41483    -21.512151    -21.512151
   0.40053    -21.512150    -21.512150
   0.38624    -21.512150    -21.512150
   0.37194    -21.512151    -21.512151
   0.35764    -21.512150    -21.512150
   0.34335    -21.512150    -21.512150
   0.32905    -21.512148    -21.512148
   0.32905    -21.512148    -21.512148
   0.31476    -21.512150    -21.512150
   0.30046    -21.512150    -21.512150
   0.28617    -21.512151    -21.512151
   0.27187    -21.512150    -21.512150
   0.25758    -21.512150    -21.512150
   0.24328    -21.512151    -21.512151
   0.22898    -21.512150    -21.512150
   0.21469    -21.512149    -21.512149
   0.20039    -21.512150    -21.512150
   0.20039    -21.512150    -21.512150
   0.19493    -21.512150    -21.512150
   0.18947    -21.512150    -21.512150
   0.18401    -21.512150    -21.512150
   0.17855    -21.512152    -21.512152
   0.17309    -21.512151    -21.512151
   0.16763    -21.512151    -21.512151
   0.16217    -21.512150    -21.512150
   0.15671    -21.512151    -21.512151
   0.15125    -21.512150    -21.512150
   0.15125    -21.512150    -21.512150
   0.13444    -21.512150    -21.512150
   0.11764    -21.512149    -21.512149
   0.10083    -21.512150    -21.512150
   0.08403    -21.512151    -21.512151
   0.06722    -21.512152    -21.512152
   0.05042    -21.512153    -21.512153
   0.03361    -21.512153    -21.512153
   0.01681    -21.512154    -21.512154
   0.00000    -21.512154    -21.512154
 
 
# Band-Index    5
   0.00000    -18.447972    -18.447972
   0.01681    -18.447465    -18.447465
   0.03361    -18.445948    -18.445948
   0.05042    -18.443434    -18.443434
   0.06722    -18.439948    -18.439948
   0.08403    -18.435515    -18.435515
   0.10083    -18.430177    -18.430177
   0.11764    -18.423977    -18.423977
   0.13444    -18.416975    -18.416975
   0.15125    -18.409513    -18.409513
   0.15125    -18.409513    -18.409513
   0.15671    -18.410065    -18.410065
   0.16217    -18.410812    -18.410812
   0.16763    -18.411567    -18.411567
   0.17309    -18.412319    -18.412319
   0.17855    -18.413070    -18.413070
   0.18401    -18.413819    -18.413819
   0.18947    -18.414571    -18.414571
   0.19493    -18.415325    -18.415325
   0.20039    -18.416084    -18.416084
   0.20039    -18.416084    -18.416084
   0.21469    -18.422222    -18.422222
   0.22898    -18.427720    -18.427720
   0.24328    -18.432541    -18.432541
   0.25758    -18.436657    -18.436657
   0.27187    -18.440052    -18.440052
   0.28617    -18.442709    -18.442709
   0.30046    -18.444616    -18.444616
   0.31476    -18.445762    -18.445762
   0.32905    -18.446145    -18.446145
   0.32905    -18.446145    -18.446145
   0.34335    -18.445762    -18.445762
   0.35764    -18.444616    -18.444616
   0.37194    -18.442709    -18.442709
   0.38624    -18.440052    -18.440052
   0.40053    -18.436657    -18.436657
   0.41483    -18.432541    -18.432541
   0.42912    -18.427720    -18.427720
   0.44342    -18.422222    -18.422222
   0.45771    -18.416084    -18.416084
   0.45771    -18.416084    -18.416084
   0.46317    -18.415329    -18.415329
   0.46863    -18.414579    -18.414579
   0.47409    -18.413832    -18.413832
   0.47956    -18.413090    -18.413090
   0.48502    -18.412348    -18.412348
   0.49048    -18.411607    -18.411607
   0.49594    -18.410874    -18.410874
   0.50140    -18.410179    -18.410179
   0.50686    -18.409763    -18.409763
   0.50686    -18.409763    -18.409763
   0.52366    -18.416992    -18.416992
   0.54047    -18.423986    -18.423986
   0.55727    -18.430182    -18.430182
   0.57408    -18.435518    -18.435518
   0.59088    -18.439949    -18.439949
   0.60769    -18.443435    -18.443435
   0.62450    -18.445948    -18.445948
   0.64130    -18.447465    -18.447465
   0.65811    -18.447972    -18.447972
 
 
# Band-Index    6
   0.65811    -18.408986    -18.408986
   0.64130    -18.408603    -18.408603
   0.62450    -18.407458    -18.407458
   0.60769    -18.405562    -18.405562
   0.59088    -18.402936    -18.402936
   0.57408    -18.399634    -18.399634
   0.55727    -18.395834    -18.395834
   0.54047    -18.393695    -18.393695
   0.52366    -18.400930    -18.400930
   0.50686    -18.408727    -18.408727
   0.50686    -18.408727    -18.408727
   0.50140    -18.408299    -18.408299
   0.49594    -18.407567    -18.407567
   0.49048    -18.406775    -18.406775
   0.48502    -18.405954    -18.405954
   0.47956    -18.405111    -18.405111
   0.47409    -18.404248    -18.404248
   0.46863    -18.403369    -18.403369
   0.46317    -18.402476    -18.402476
   0.45771    -18.401572    -18.401572
   0.45771    -18.401572    -18.401572
   0.44342    -18.394416    -18.394416
   0.42912    -18.396738    -18.396738
   0.41483    -18.401119    -18.401119
   0.40053    -18.405075    -18.405075
   0.38624    -18.408431    -18.408431
   0.37194    -18.411108    -18.411108
   0.35764    -18.413052    -18.413052
   0.34335    -18.414230    -18.414230
   0.32905    -18.414623    -18.414623
   0.32905    -18.414623    -18.414623
   0.31476    -18.414230    -18.414230
   0.30046    -18.413052    -18.413052
   0.28617    -18.411108    -18.411108
   0.27187    -18.408431    -18.408431
   0.25758    -18.405075    -18.405075
   0.24328    -18.401119    -18.401119
   0.22898    -18.396738    -18.396738
   0.21469    -18.394416    -18.394416
   0.20039    -18.401572    -18.401572
   0.20039    -18.401572    -18.401572
   0.19493    -18.402477    -18.402477
   0.18947    -18.403372    -18.403372
   0.18401    -18.404254    -18.404254
   0.17855    -18.405121    -18.405121
   0.17309    -18.405970    -18.405970
   0.16763    -18.406803    -18.406803
   0.16217    -18.407615    -18.407615
   0.15671    -18.408398    -18.408398
   0.15125    -18.408961    -18.408961
   0.15125    -18.408961    -18.408961
   0.13444    -18.400932    -18.400932
   0.11764    -18.393702    -18.393702
   0.10083    -18.395846    -18.395846
   0.08403    -18.399641    -18.399641
   0.06722    -18.402939    -18.402939
   0.05042    -18.405563    -18.405563
   0.03361    -18.407459    -18.407459
   0.01681    -18.408603    -18.408603
   0.00000    -18.408986    -18.408986
 
 
# Band-Index    7
   0.00000    -18.363977    -18.363977
   0.01681    -18.363862    -18.363862
   0.03361    -18.363591    -18.363591
   0.05042    -18.363397    -18.363397
   0.06722    -18.363666    -18.363666
   0.08403    -18.371139    -18.371139
   0.10083    -18.381076    -18.381076
