      #Energy        TDOS-UP        TDOS-DOWN
     -23.02191       0.00000       0.00000
     -22.98891       0.00000       0.00000
     -22.95591       0.00000       0.00000
     -22.92291       0.00000       0.00000
     -22.88991       0.00000       0.00000
     -22.85691       0.00000       0.00000
     -22.82391       0.00000       0.00000
     -22.79091       0.00000       0.00000
     -22.75791       0.00000       0.00000
     -22.72491       0.00000       0.00000
     -22.69191       0.00000       0.00000
     -22.65891       0.00000       0.00000
     -22.62591       0.00000       0.00000
     -22.59291       0.00000       0.00000
     -22.56091       0.00000       0.00000
     -22.52791       0.00000       0.00000
     -22.49491       0.00000       0.00000
     -22.46191       0.00000       0.00000
     -22.42891       0.00000       0.00000
     -22.39591       0.00000       0.00000
     -22.36291       0.00000       0.00000
     -22.32991       0.00000       0.00000
     -22.29691       0.00000       0.00000
     -22.26391       0.00000       0.00000
     -22.23091       0.00000       0.00000
     -22.19791       0.00000       0.00000
     -22.16491       0.00000       0.00000
     -22.13191       0.00000       0.00000
     -22.09891       0.00000       0.00000
     -22.06591       0.00000       0.00000
     -22.03291       0.00000       0.00000
     -21.99991       0.00000       0.00000
     -21.96691       0.00000       0.00000
     -21.93491       0.00000       0.00000
     -21.90191       0.00000       0.00000
     -21.86891       0.00000       0.00000
     -21.83591       0.00000       0.00000
     -21.80291       0.00000      -0.00000
     -21.76991       0.00000      -0.00000
     -21.73691       0.00000      -0.00000
     -21.70391       0.00000      -0.00000
     -21.67091       0.00005      -0.00005
     -21.63791       0.00190      -0.00190
     -21.60491       0.03512      -0.03512
     -21.57191       0.31198      -0.31198
     -21.53891       1.42623      -1.42623
     -21.50591       3.69921      -3.69921
     -21.47291       6.14253      -6.14253
     -21.43991       7.53303      -7.53303
     -21.40691       7.93837      -7.93837
     -21.37391       7.99607      -7.99607
     -21.34191       7.99991      -7.99991
     -21.30891       8.00003      -8.00003
     -21.27591       8.00003      -8.00003
     -21.24291       8.00003      -8.00003
     -21.20991       8.00003      -8.00003
     -21.17691       8.00003      -8.00003
     -21.14391       8.00003      -8.00003
     -21.11091       8.00003      -8.00003
     -21.07791       8.00003      -8.00003
     -21.04491       8.00003      -8.00003
     -21.01191       8.00003      -8.00003
     -20.97891       8.00003      -8.00003
     -20.94591       8.00003      -8.00003
     -20.91291       8.00003      -8.00003
     -20.87991       8.00003      -8.00003
     -20.84691       8.00003      -8.00003
     -20.81391       8.00003      -8.00003
     -20.78091       8.00003      -8.00003
     -20.74791       8.00003      -8.00003
     -20.71591       8.00003      -8.00003
     -20.68291       8.00003      -8.00003
     -20.64991       8.00003      -8.00003
     -20.61691       8.00003      -8.00003
     -20.58391       8.00003      -8.00003
     -20.55091       8.00003      -8.00003
     -20.51791       8.00003      -8.00003
     -20.48491       8.00003      -8.00003
     -20.45191       8.00003      -8.00003
     -20.41891       8.00003      -8.00003
     -20.38591       8.00003      -8.00003
     -20.35291       8.00003      -8.00003
     -20.31991       8.00003      -8.00003
     -20.28691       8.00003      -8.00003
     -20.25391       8.00003      -8.00003
     -20.22091       8.00003      -8.00003
     -20.18791       8.00003      -8.00003
     -20.15491       8.00003      -8.00003
     -20.12191       8.00003      -8.00003
     -20.08991       8.00003      -8.00003
     -20.05691       8.00003      -8.00003
     -20.02391       8.00003      -8.00003
     -19.99091       8.00003      -8.00003
     -19.95791       8.00003      -8.00003
     -19.92491       8.00003      -8.00003
     -19.89191       8.00003      -8.00003
     -19.85891       8.00003      -8.00003
     -19.82591       8.00003      -8.00003
     -19.79291       8.00003      -8.00003
     -19.75991       8.00003      -8.00003
     -19.72691       8.00003      -8.00003
     -19.69391       8.00003      -8.00003
     -19.66091       8.00003      -8.00003
     -19.62791       8.00003      -8.00003
     -19.59491       8.00003      -8.00003
     -19.56191       8.00003      -8.00003
     -19.52891       8.00003      -8.00003
     -19.49691       8.00003      -8.00003
     -19.46391       8.00003      -8.00003
     -19.43091       8.00003      -8.00003
     -19.39791       8.00003      -8.00003
     -19.36491       8.00003      -8.00003
     -19.33191       8.00003      -8.00003
     -19.29891       8.00003      -8.00003
     -19.26591       8.00003      -8.00003
     -19.23291       8.00003      -8.00003
     -19.19991       8.00003      -8.00003
     -19.16691       8.00003      -8.00003
     -19.13391       8.00003      -8.00003
     -19.10091       8.00003      -8.00003
     -19.06791       8.00003      -8.00003
     -19.03491       8.00003      -8.00003
     -19.00191       8.00003      -8.00003
     -18.96891       8.00003      -8.00003
     -18.93591       8.00003      -8.00003
     -18.90291       8.00003      -8.00003
     -18.87091       8.00003      -8.00003
     -18.83791       8.00003      -8.00003
     -18.80491       8.00003      -8.00003
     -18.77191       8.00003      -8.00003
     -18.73891       8.00003      -8.00003
     -18.70591       8.00003      -8.00003
     -18.67291       8.00003      -8.00003
     -18.63991       8.00003      -8.00003
     -18.60691       8.00003      -8.00003
     -18.57391       8.00008      -8.00008
     -18.54091       8.00152      -8.00152
     -18.50791       8.02069      -8.02069
     -18.47491       8.15483      -8.15483
     -18.44191       8.68878      -8.68878
     -18.40891       9.98605      -9.98605
     -18.37591      11.99710     -11.99710
     -18.34291      14.05115     -14.05115
     -18.30991      15.57608     -15.57608
     -18.27691      16.75886     -16.75886
     -18.24491      18.08183     -18.08183
     -18.21191      19.63658     -19.63658
     -18.17891      21.15212     -21.15212
     -18.14591      22.38596     -22.38596
     -18.11291      23.31769     -23.31769
     -18.07991      24.07579     -24.07579
     -18.04691      24.79946     -24.79946
     -18.01391      25.49183     -25.49183
     -17.98091      26.14845     -26.14845
     -17.94791      27.05218     -27.05218
     -17.91491      28.49029     -28.49029
     -17.88191      30.15179     -30.15179
