      #Energy        TDOS-UP        TDOS-DOWN
     -22.01099       0.00000       0.00000
     -21.97899       0.00000       0.00000
     -21.94699       0.00000       0.00000
     -21.91399       0.00000       0.00000
     -21.88199       0.00000       0.00000
     -21.84999       0.00000       0.00000
     -21.81699       0.00000       0.00000
     -21.78499       0.00000       0.00000
     -21.75199       0.00000       0.00000
     -21.71999       0.00000       0.00000
     -21.68799       0.00000       0.00000
     -21.65499       0.00000       0.00000
     -21.62299       0.00000       0.00000
     -21.59099       0.00000       0.00000
     -21.55799       0.00000       0.00000
     -21.52599       0.00000       0.00000
     -21.49399       0.00000       0.00000
     -21.46099       0.00000       0.00000
     -21.42899       0.00000       0.00000
     -21.39599       0.00000       0.00000
     -21.36399       0.00000       0.00000
     -21.33199       0.00000       0.00000
     -21.29899       0.00000       0.00000
     -21.26699       0.00000       0.00000
     -21.23499       0.00000       0.00000
     -21.20199       0.00000       0.00000
     -21.16999       0.00000       0.00000
     -21.13799       0.00000       0.00000
     -21.10499       0.00000       0.00000
     -21.07299       0.00000       0.00000
     -21.04099       0.00000       0.00000
     -21.00799       0.00000       0.00000
     -20.97599       0.00000       0.00000
     -20.94299       0.00000       0.00000
     -20.91099       0.00000       0.00000
     -20.87899       0.00000       0.00000
     -20.84599       0.00000       0.00000
     -20.81399       0.00000      -0.00000
     -20.78199       0.00000      -0.00000
     -20.74899       0.00000      -0.00000
     -20.71699       0.00005      -0.00005
     -20.68499       0.00398      -0.00398
     -20.65199       0.13850      -0.13850
     -20.61999       2.19600      -2.19600
     -20.58699      16.02000     -16.02000
     -20.55499      54.24000     -54.24000
     -20.52299      85.67000     -85.67000
     -20.48999      63.31000     -63.31000
     -20.45799      21.85000     -21.85000
     -20.42599       3.50400      -3.50400
     -20.39299       0.25900      -0.25900
     -20.36099       0.00874      -0.00874
     -20.32899       0.00013      -0.00013
     -20.29599       0.00000      -0.00000
     -20.26399       0.00000      -0.00000
     -20.23199       0.00000      -0.00000
     -20.19899       0.00000       0.00000
     -20.16699       0.00000       0.00000
     -20.13399       0.00000       0.00000
     -20.10199       0.00000       0.00000
     -20.06999       0.00000       0.00000
     -20.03699       0.00000       0.00000
     -20.00499       0.00000       0.00000
     -19.97299       0.00000       0.00000
     -19.93999       0.00000       0.00000
     -19.90799       0.00000       0.00000
     -19.87599       0.00000       0.00000
     -19.84299       0.00000       0.00000
     -19.81099       0.00000       0.00000
     -19.77799       0.00000       0.00000
     -19.74599       0.00000       0.00000
     -19.71399       0.00000       0.00000
     -19.68099       0.00000       0.00000
     -19.64899       0.00000       0.00000
     -19.61699       0.00000       0.00000
     -19.58399       0.00000       0.00000
     -19.55199       0.00000       0.00000
     -19.51999       0.00000       0.00000
     -19.48699       0.00000       0.00000
     -19.45499       0.00000       0.00000
     -19.42199       0.00000       0.00000
     -19.38999       0.00000       0.00000
     -19.35799       0.00000       0.00000
     -19.32499       0.00000       0.00000
     -19.29299       0.00000       0.00000
     -19.26099       0.00000       0.00000
     -19.22799       0.00000       0.00000
     -19.19599       0.00000       0.00000
     -19.16399       0.00000       0.00000
     -19.13099       0.00000       0.00000
     -19.09899       0.00000       0.00000
     -19.06699       0.00000       0.00000
     -19.03399       0.00000       0.00000
     -19.00199       0.00000       0.00000
     -18.96899       0.00000       0.00000
     -18.93699       0.00000       0.00000
     -18.90499       0.00000       0.00000
     -18.87199       0.00000       0.00000
     -18.83999       0.00000       0.00000
     -18.80799       0.00000       0.00000
     -18.77499       0.00000       0.00000
     -18.74299       0.00000       0.00000
     -18.71099       0.00000      -0.00000
     -18.67799       0.00000      -0.00000
     -18.64599       0.00000      -0.00000
     -18.61299       0.00001      -0.00001
     -18.58099       0.00055      -0.00055
     -18.54899       0.02078      -0.02078
     -18.51599       0.36680      -0.36680
     -18.48399       3.13600      -3.13600
     -18.45199      13.40000     -13.40000
     -18.41899      29.62000     -29.62000
     -18.38699      36.18000     -36.18000
     -18.35499      30.23000     -30.23000
     -18.32199      29.74000     -29.74000
     -18.28999      42.75000     -42.75000
     -18.25799      59.11000     -59.11000
     -18.22499      61.45000     -61.45000
     -18.19299      43.10000     -43.10000
     -18.15999      21.83000     -21.83000
     -18.12799      19.23000     -19.23000
     -18.09599      32.48000     -32.48000
     -18.06299      42.99000     -42.99000
     -18.03099      41.70000     -41.70000
     -17.99899      35.79000     -35.79000
     -17.96599      33.19000     -33.19000
     -17.93399      26.24000     -26.24000
     -17.90199      12.27000     -12.27000
     -17.86899       2.88800      -2.88800
     -17.83699       0.32400      -0.32400
     -17.80399       0.01735      -0.01735
     -17.77199       0.01872      -0.01872
     -17.73999       0.34190      -0.34190
     -17.70699       3.23900      -3.23900
     -17.67499      16.44000     -16.44000
     -17.64299      47.36000     -47.36000
     -17.60999      81.78000     -81.78000
     -17.57799      87.82000     -87.82000
     -17.54599      62.44000     -62.44000
     -17.51299      38.28000     -38.28000
     -17.48099      28.12000     -28.12000
     -17.44899      25.68000     -25.68000
     -17.41599      28.62000     -28.62000
     -17.38399      34.53000     -34.53000
     -17.35099      40.45000     -40.45000
     -17.31899      37.05000     -37.05000
     -17.28699      23.75000     -23.75000
     -17.25399      13.94000     -13.94000
     -17.22199      15.80000     -15.80000
     -17.18999      25.98000     -25.98000
     -17.15699      37.31000     -37.31000
     -17.12499      39.60000     -39.60000
     -17.09299      28.61000     -28.61000
     -17.05999      15.49000     -15.49000
     -17.02799       6.73700      -6.73700
     -16.99499       1.94600      -1.94600
     -16.96299       0.30570      -0.30570
     -16.93099       0.02384      -0.02384
     -16.89799       0.00089      -0.00089
     -16.86599       0.00002      -0.00002
     -16.83399       0.00000      -0.00000
     -16.80099       0.00000      -0.00000
     -16.76899       0.00000      -0.00000
     -16.73699       0.00020      -0.00020
     -16.70399       0.00748      -0.00748
     -16.67199       0.12620      -0.12620
     -16.63999       0.99850      -0.99850
     -16.60699       3.82800      -3.82800
     -16.57499       7.61700      -7.61700
     -16.54199       9.38200      -9.38200
     -16.50999      10.59000     -10.59000
     -16.47799      13.73000     -13.73000
     -16.44499      16.80000     -16.80000
     -16.41299      20.69000     -20.69000
     -16.38099      25.98000     -25.98000
     -16.34799      25.82000     -25.82000
     -16.31599      17.92000     -17.92000
     -16.28399      10.26000     -10.26000
     -16.25099       7.71700      -7.71700
     -16.21899       7.75000      -7.75000
     -16.18599       9.61900      -9.61900
     -16.15399      17.48000     -17.48000
     -16.12199      25.67000     -25.67000
     -16.08899      22.51000     -22.51000
     -16.05699      14.60000     -14.60000
     -16.02499      16.59000     -16.59000
     -15.99199      33.99000     -33.99000
     -15.95999      51.17000     -51.17000
     -15.92799      45.41000     -45.41000
     -15.89499      30.88000     -30.88000
     -15.86299      26.23000     -26.23000
     -15.83099      25.37000     -25.37000
     -15.79799      33.81000     -33.81000
     -15.76599      42.83000     -42.83000
     -15.73299      30.38000     -30.38000
     -15.70099      11.84000     -11.84000
     -15.66899       8.00700      -8.00700
     -15.63599      15.24000     -15.24000
     -15.60399      21.04000     -21.04000
     -15.57199      21.34000     -21.34000
     -15.53899      22.95000     -22.95000
     -15.50699      30.68000     -30.68000
     -15.47499      39.43000     -39.43000
     -15.44199      43.29000     -43.29000
     -15.40999      41.16000     -41.16000
     -15.37699      35.80000     -35.80000
     -15.34499      30.24000     -30.24000
     -15.31299      26.42000     -26.42000
     -15.27999      27.65000     -27.65000
     -15.24799      29.31000     -29.31000
     -15.21599      26.84000     -26.84000
     -15.18299      23.59000     -23.59000
     -15.15099      23.34000     -23.34000
     -15.11899      18.45000     -18.45000
     -15.08599       9.85500      -9.85500
     -15.05399       9.66900      -9.66900
     -15.02099      25.12000     -25.12000
     -14.98899      51.99000     -51.99000
     -14.95699      64.29000     -64.29000
     -14.92399      46.12000     -46.12000
     -14.89199      23.97000     -23.97000
     -14.85999      21.23000     -21.23000
     -14.82699      27.74000     -27.74000
     -14.79499      30.89000     -30.89000
     -14.76299      35.89000     -35.89000
     -14.72999      42.92000     -42.92000
     -14.69799      44.31000     -44.31000
     -14.66599      45.60000     -45.60000
     -14.63299      46.67000     -46.67000
     -14.60099      35.42000     -35.42000
     -14.56799      19.98000     -19.98000
     -14.53599      15.36000     -15.36000
     -14.50399      20.50000     -20.50000
     -14.47099      29.01000     -29.01000
     -14.43899      37.37000     -37.37000
     -14.40699      41.10000     -41.10000
     -14.37399      38.46000     -38.46000
     -14.34199      34.11000     -34.11000
     -14.30999      32.19000     -32.19000
     -14.27699      34.80000     -34.80000
     -14.24499      37.83000     -37.83000
     -14.21199      39.02000     -39.02000
     -14.17999      35.95000     -35.95000
     -14.14799      28.40000     -28.40000
     -14.11499      21.49000     -21.49000
     -14.08299      16.75000     -16.75000
     -14.05099      14.95000     -14.95000
     -14.01799      20.57000     -20.57000
     -13.98599      32.14000     -32.14000
     -13.95399      41.52000     -41.52000
     -13.92099      41.89000     -41.89000
     -13.88899      36.34000     -36.34000
     -13.85699      31.60000     -31.60000
     -13.82399      25.63000     -25.63000
     -13.79199      18.31000     -18.31000
     -13.75899      16.63000     -16.63000
     -13.72699      19.65000     -19.65000
     -13.69499      16.74000     -16.74000
     -13.66199       7.79100      -7.79100
     -13.62999       1.81700      -1.81700
     -13.59799       0.20410      -0.20410
     -13.56499       0.01214      -0.01214
     -13.53299       0.04355      -0.04355
     -13.50099       0.64800      -0.64800
     -13.46799       4.74500      -4.74500
     -13.43599      17.77000     -17.77000
