      #Energy        TDOS-UP        TDOS-DOWN
     -25.09800       0.00000       0.00000
     -25.06500       0.00000       0.00000
     -25.03300       0.00000       0.00000
     -25.00100       0.00000       0.00000
     -24.96800       0.00000       0.00000
     -24.93600       0.00000       0.00000
     -24.90300       0.00000       0.00000
     -24.87100       0.00000       0.00000
     -24.83900       0.00000       0.00000
     -24.80600       0.00000       0.00000
     -24.77400       0.00000       0.00000
     -24.74100       0.00000       0.00000
     -24.70900       0.00000       0.00000
     -24.67700       0.00000       0.00000
     -24.64400       0.00000       0.00000
     -24.61200       0.00000       0.00000
     -24.58000       0.00000       0.00000
     -24.54700       0.00000       0.00000
     -24.51500       0.00000       0.00000
     -24.48200       0.00000       0.00000
     -24.45000       0.00000       0.00000
     -24.41800       0.00000       0.00000
     -24.38500       0.00000       0.00000
     -24.35300       0.00000       0.00000
     -24.32000       0.00000       0.00000
     -24.28800       0.00000       0.00000
     -24.25600       0.00000       0.00000
     -24.22300       0.00000       0.00000
     -24.19100       0.00000       0.00000
     -24.15800       0.00000       0.00000
     -24.12600       0.00000       0.00000
     -24.09400       0.00000       0.00000
     -24.06100       0.00000       0.00000
     -24.02900       0.00000       0.00000
     -23.99700       0.00000       0.00000
     -23.96400       0.00000       0.00000
     -23.93200       0.00000       0.00000
     -23.89900       0.00000       0.00000
     -23.86700       0.00000      -0.00000
     -23.83500       0.00000      -0.00000
     -23.80200       0.00005      -0.00000
     -23.77000       0.00358      -0.00009
     -23.73700       0.12720      -0.00646
     -23.70500       2.06100      -0.20390
     -23.67300      15.35000      -2.93400
     -23.64000      53.03000     -19.44000
     -23.60800      85.43000     -59.81000
     -23.57500      64.36000     -85.92000
     -23.54300      22.64000     -57.74000
     -23.51100       3.70100     -18.12000
     -23.47800       0.27860      -2.63800
     -23.44600       0.00958      -0.17680
     -23.41400       0.00015      -0.00540
     -23.38100       0.00000      -0.00007
     -23.34900       0.00000      -0.00000
     -23.31600       0.00000      -0.00000
     -23.28400       0.00000      -0.00000
     -23.25200       0.00000       0.00000
     -23.21900       0.00000       0.00000
     -23.18700       0.00000       0.00000
     -23.15400       0.00000       0.00000
     -23.12200       0.00000       0.00000
     -23.09000       0.00000       0.00000
     -23.05700       0.00000       0.00000
     -23.02500       0.00000       0.00000
     -22.99200       0.00000       0.00000
     -22.96000       0.00000       0.00000
     -22.92800       0.00000       0.00000
     -22.89500       0.00000       0.00000
     -22.86300       0.00000       0.00000
     -22.83100       0.00000       0.00000
     -22.79800       0.00000       0.00000
     -22.76600       0.00000       0.00000
     -22.73300       0.00000       0.00000
     -22.70100       0.00000       0.00000
     -22.66900       0.00000       0.00000
     -22.63600       0.00000       0.00000
     -22.60400       0.00000       0.00000
     -22.57100       0.00000       0.00000
     -22.53900       0.00000       0.00000
     -22.50700       0.00000       0.00000
     -22.47400       0.00000       0.00000
     -22.44200       0.00000       0.00000
     -22.40900       0.00000       0.00000
     -22.37700       0.00000       0.00000
     -22.34500       0.00000       0.00000
     -22.31200       0.00000       0.00000
     -22.28000       0.00000       0.00000
     -22.24800       0.00000       0.00000
     -22.21500       0.00000       0.00000
     -22.18300       0.00000       0.00000
     -22.15000       0.00000       0.00000
     -22.11800       0.00000       0.00000
     -22.08600       0.00000       0.00000
     -22.05300       0.00000       0.00000
     -22.02100       0.00000       0.00000
     -21.98800       0.00000       0.00000
     -21.95600       0.00000       0.00000
     -21.92400       0.00000       0.00000
     -21.89100       0.00000       0.00000
     -21.85900       0.00000       0.00000
     -21.82600       0.00000       0.00000
     -21.79400       0.00000       0.00000
     -21.76200       0.00000      -0.00000
     -21.72900       0.00000      -0.00000
     -21.69700       0.00000      -0.00000
     -21.66500       0.00009      -0.00001
     -21.63200       0.00484      -0.00050
     -21.60000       0.11760      -0.01927
     -21.56700       1.36400      -0.34640
     -21.53500       7.79700      -3.01100
     -21.50300      22.70000     -13.06000
     -21.47000      35.21000     -29.29000
     -21.43800      32.81000     -36.30000
     -21.40500      27.33000     -31.11000
     -21.37300      34.06000     -31.57000
     -21.34100      50.32000     -43.91000
     -21.30800      61.65000     -58.21000
     -21.27600      54.40000     -60.32000
     -21.24300      32.19000     -42.53000
     -21.21100      17.83000     -21.61000
     -21.17900      24.56000     -20.00000
     -21.14600      39.43000     -33.94000
     -21.11400      44.36000     -43.68000
     -21.08200      38.81000     -41.28000
     -21.04900      34.29000     -35.60000
     -21.01700      31.08000     -33.20000
     -20.98400      19.51000     -25.07000
     -20.95200       6.52000     -10.84000
     -20.92000       1.05700      -2.33100
     -20.88700       0.08045      -0.23740
     -20.85500       0.00868      -0.01161
     -20.82200       0.13660      -0.01778
     -20.79000       1.58800      -0.33920
     -20.75800       9.75000      -3.32200
     -20.72500      33.49000     -17.28000
     -20.69300      68.51000     -50.19000
     -20.66000      88.15000     -85.20000
     -20.62800      73.82000     -87.29000
     -20.59600      46.00000     -58.35000
     -20.56300      30.97000     -35.84000
     -20.53100      26.28000     -28.60000
     -20.49900      27.04000     -26.87000
     -20.46600      31.69000     -29.03000
     -20.43400      38.57000     -34.24000
     -20.40100      40.40000     -39.90000
     -20.36900      30.22000     -36.43000
     -20.33700      17.07000     -23.46000
     -20.30400      13.70000     -14.59000
     -20.27200      20.95000     -17.65000
     -20.23900      32.50000     -28.00000
     -20.20700      40.18000     -37.93000
     -20.17500      34.71000     -38.60000
     -20.14200      20.97000     -27.03000
     -20.11000      10.00000     -13.88000
     -20.07700       3.49200      -5.40700
     -20.04500       0.71450      -1.34700
     -20.01300       0.07489      -0.18060
     -19.98000       0.00380      -0.01198
     -19.94800       0.00009      -0.00038
     -19.91600       0.00000      -0.00001
     -19.88300       0.00000      -0.00000
     -19.85100       0.00000      -0.00000
     -19.81800       0.00003      -0.00001
     -19.78600       0.00173      -0.00037
     -19.75400       0.04090      -0.01198
     -19.72100       0.44820      -0.18050
     -19.68900       2.33800      -1.27800
     -19.65600       6.09400      -4.41300
     -19.62400       8.90100      -8.04300
     -19.59200       9.81700      -9.53900
     -19.55900      12.14000     -11.11000
     -19.52700      15.52000     -14.39000
     -19.49400      18.60000     -17.33000
     -19.46200      23.63000     -21.97000
     -19.43000      26.86000     -27.12000
