      #Energy        TDOS-UP        TDOS-DOWN
     -25.19600       0.00000       0.00000
     -25.16300       0.00000       0.00000
     -25.13100       0.00000       0.00000
     -25.09800       0.00000       0.00000
     -25.06600       0.00000       0.00000
     -25.03300       0.00000       0.00000
     -25.00000       0.00000       0.00000
     -24.96800       0.00000       0.00000
     -24.93500       0.00000       0.00000
     -24.90300       0.00000       0.00000
     -24.87000       0.00000       0.00000
     -24.83800       0.00000       0.00000
     -24.80500       0.00000       0.00000
     -24.77300       0.00000       0.00000
     -24.74000       0.00000       0.00000
     -24.70800       0.00000       0.00000
     -24.67500       0.00000       0.00000
     -24.64300       0.00000       0.00000
     -24.61000       0.00000       0.00000
     -24.57800       0.00000       0.00000
     -24.54500       0.00000       0.00000
     -24.51300       0.00000       0.00000
     -24.48000       0.00000       0.00000
     -24.44700       0.00000       0.00000
     -24.41500       0.00000       0.00000
     -24.38200       0.00000       0.00000
     -24.35000       0.00000       0.00000
     -24.31700       0.00000       0.00000
     -24.28500       0.00000       0.00000
     -24.25200       0.00000       0.00000
     -24.22000       0.00000       0.00000
     -24.18700       0.00000       0.00000
     -24.15500       0.00000       0.00000
     -24.12200       0.00000       0.00000
     -24.09000       0.00000       0.00000
     -24.05700       0.00000       0.00000
     -24.02500       0.00000       0.00000
     -23.99200       0.00000      -0.00000
     -23.96000       0.00000      -0.00000
     -23.92700       0.00000      -0.00000
     -23.89400       0.00000      -0.00000
     -23.86200       0.00005      -0.00005
     -23.82900       0.00163      -0.00163
     -23.79700       0.02674      -0.02674
     -23.76400       0.21224      -0.21224
     -23.73200       0.87677      -0.87677
     -23.69900       2.08868      -2.08868
     -23.66700       3.27522      -3.27522
     -23.63400       4.04895      -4.04895
     -23.60200       4.86952      -4.86952
     -23.56900       6.10176      -6.10176
     -23.53700       7.25838      -7.25838
     -23.50400       7.83580      -7.83580
     -23.47200       7.98154      -7.98154
     -23.43900       7.99925      -7.99925
     -23.40700       8.00025      -8.00025
     -23.37400       8.00027      -8.00027
     -23.34100       8.00027      -8.00027
     -23.30900       8.00027      -8.00027
     -23.27600       8.00027      -8.00027
     -23.24400       8.00027      -8.00027
     -23.21100       8.00027      -8.00027
     -23.17900       8.00027      -8.00027
     -23.14600       8.00027      -8.00027
     -23.11400       8.00027      -8.00027
     -23.08100       8.00027      -8.00027
     -23.04900       8.00027      -8.00027
     -23.01600       8.00027      -8.00027
     -22.98400       8.00027      -8.00027
     -22.95100       8.00027      -8.00027
     -22.91900       8.00027      -8.00027
     -22.88600       8.00027      -8.00027
     -22.85300       8.00027      -8.00027
     -22.82100       8.00027      -8.00027
     -22.78800       8.00027      -8.00027
     -22.75600       8.00027      -8.00027
     -22.72300       8.00027      -8.00027
     -22.69100       8.00027      -8.00027
     -22.65800       8.00027      -8.00027
     -22.62600       8.00027      -8.00027
     -22.59300       8.00027      -8.00027
     -22.56100       8.00027      -8.00027
     -22.52800       8.00027      -8.00027
     -22.49600       8.00027      -8.00027
     -22.46300       8.00027      -8.00027
     -22.43100       8.00027      -8.00027
     -22.39800       8.00027      -8.00027
     -22.36600       8.00027      -8.00027
     -22.33300       8.00027      -8.00027
     -22.30000       8.00027      -8.00027
     -22.26800       8.00027      -8.00027
     -22.23500       8.00027      -8.00027
     -22.20300       8.00027      -8.00027
     -22.17000       8.00027      -8.00027
     -22.13800       8.00027      -8.00027
     -22.10500       8.00027      -8.00027
     -22.07300       8.00027      -8.00027
     -22.04000       8.00027      -8.00027
     -22.00800       8.00027      -8.00027
     -21.97500       8.00027      -8.00027
     -21.94300       8.00027      -8.00027
     -21.91000       8.00027      -8.00027
     -21.87800       8.00027      -8.00027
     -21.84500       8.00027      -8.00027
     -21.81300       8.00027      -8.00027
     -21.78000       8.00027      -8.00027
