#K-Path              Spin-Up       Spin-Down
# NKPTS & NBANDS:  60 520
# Band-Index    1
   0.00000    -23.725165    -23.718113
   0.01681    -23.725166    -23.718115
   0.03361    -23.725164    -23.718113
   0.05042    -23.725165    -23.718113
   0.06722    -23.725164    -23.718113
   0.08403    -23.725163    -23.718111
   0.10083    -23.725162    -23.718111
   0.11764    -23.725162    -23.718110
   0.13444    -23.725160    -23.718108
   0.15125    -23.725160    -23.718108
   0.15125    -23.725160    -23.718108
   0.15671    -23.725161    -23.718109
   0.16217    -23.725162    -23.718110
   0.16763    -23.725163    -23.718112
   0.17309    -23.725165    -23.718113
   0.17855    -23.725166    -23.718114
   0.18401    -23.725163    -23.718112
   0.18947    -23.725163    -23.718111
   0.19493    -23.725162    -23.718111
   0.20039    -23.725163    -23.718111
   0.20039    -23.725163    -23.718111
   0.21469    -23.725162    -23.718111
   0.22898    -23.725164    -23.718112
   0.24328    -23.725165    -23.718113
   0.25758    -23.725164    -23.718113
   0.27187    -23.725163    -23.718111
   0.28617    -23.725163    -23.718111
   0.30046    -23.725161    -23.718109
   0.31476    -23.725160    -23.718108
   0.32905    -23.725165    -23.718113
   0.32905    -23.725165    -23.718113
   0.34335    -23.725160    -23.718108
   0.35764    -23.725161    -23.718109
   0.37194    -23.725163    -23.718111
   0.38624    -23.725163    -23.718111
   0.40053    -23.725164    -23.718113
   0.41483    -23.725165    -23.718113
   0.42912    -23.725164    -23.718112
   0.44342    -23.725162    -23.718111
   0.45771    -23.725163    -23.718111
   0.45771    -23.725163    -23.718111
   0.46317    -23.725162    -23.718111
   0.46863    -23.725163    -23.718111
   0.47409    -23.725163    -23.718112
   0.47956    -23.725166    -23.718114
   0.48502    -23.725165    -23.718113
   0.49048    -23.725163    -23.718112
   0.49594    -23.725162    -23.718110
   0.50140    -23.725161    -23.718109
   0.50686    -23.725160    -23.718108
   0.50686    -23.725160    -23.718108
   0.52366    -23.725160    -23.718108
   0.54047    -23.725162    -23.718110
   0.55727    -23.725162    -23.718111
   0.57408    -23.725163    -23.718111
   0.59088    -23.725164    -23.718113
   0.60769    -23.725165    -23.718113
   0.62450    -23.725164    -23.718113
