      #Energy        TDOS-UP        TDOS-DOWN
     -22.14328       0.00000       0.00000
     -22.11028       0.00000       0.00000
     -22.07728       0.00000       0.00000
     -22.04528       0.00000       0.00000
     -22.01228       0.00000       0.00000
     -21.98028       0.00000       0.00000
     -21.94728       0.00000       0.00000
     -21.91528       0.00000       0.00000
     -21.88228       0.00000       0.00000
     -21.85028       0.00000       0.00000
     -21.81728       0.00000       0.00000
     -21.78528       0.00000       0.00000
     -21.75228       0.00000       0.00000
     -21.72028       0.00000       0.00000
     -21.68728       0.00000       0.00000
     -21.65528       0.00000       0.00000
     -21.62228       0.00000       0.00000
     -21.58928       0.00000       0.00000
     -21.55728       0.00000       0.00000
     -21.52428       0.00000       0.00000
     -21.49228       0.00000       0.00000
     -21.45928       0.00000       0.00000
     -21.42728       0.00000       0.00000
     -21.39428       0.00000       0.00000
     -21.36228       0.00000       0.00000
     -21.32928       0.00000       0.00000
     -21.29728       0.00000       0.00000
     -21.26428       0.00000       0.00000
     -21.23228       0.00000       0.00000
     -21.19928       0.00000       0.00000
     -21.16628       0.00000       0.00000
     -21.13428       0.00000       0.00000
     -21.10128       0.00000       0.00000
     -21.06928       0.00000       0.00000
     -21.03628       0.00000       0.00000
     -21.00428       0.00000       0.00000
     -20.97128       0.00000       0.00000
     -20.93928       0.00000      -0.00000
     -20.90628       0.00000      -0.00000
     -20.87428       0.00000      -0.00000
     -20.84128       0.00000      -0.00000
     -20.80928       0.00004      -0.00002
     -20.77628       0.00142      -0.00069
     -20.74428       0.02390      -0.01380
     -20.71128       0.19528      -0.13132
     -20.67828       0.82881      -0.63755
     -20.64628       2.02104      -1.73559
     -20.61328       3.22418      -2.99631
     -20.58128       4.01591      -3.86596
     -20.54828       4.82261      -4.60987
     -20.51628       6.04022      -5.74793
     -20.48328       7.21456      -6.99483
     -20.45128       7.82009      -7.73694
     -20.41828       7.97868      -7.96373
     -20.38628       7.99879      -7.99760
     -20.35328       7.99998      -7.99998
     -20.32128       8.00001      -8.00005
     -20.28828       8.00001      -8.00005
     -20.25628       8.00001      -8.00005
     -20.22328       8.00001      -8.00005
     -20.19028       8.00001      -8.00005
     -20.15828       8.00001      -8.00005
     -20.12528       8.00001      -8.00005
     -20.09328       8.00001      -8.00005
     -20.06028       8.00001      -8.00005
     -20.02828       8.00001      -8.00005
     -19.99528       8.00001      -8.00005
     -19.96328       8.00001      -8.00005
     -19.93028       8.00001      -8.00005
     -19.89828       8.00001      -8.00005
     -19.86528       8.00001      -8.00005
     -19.83328       8.00001      -8.00005
     -19.80028       8.00001      -8.00005
     -19.76828       8.00001      -8.00005
     -19.73528       8.00001      -8.00005
     -19.70228       8.00001      -8.00005
     -19.67028       8.00001      -8.00005
     -19.63728       8.00001      -8.00005
     -19.60528       8.00001      -8.00005
     -19.57228       8.00001      -8.00005
     -19.54028       8.00001      -8.00005
     -19.50728       8.00001      -8.00005
     -19.47528       8.00001      -8.00005
     -19.44228       8.00001      -8.00005
     -19.41028       8.00001      -8.00005
     -19.37728       8.00001      -8.00005
     -19.34528       8.00001      -8.00005
     -19.31228       8.00001      -8.00005
     -19.27928       8.00001      -8.00005
     -19.24728       8.00001      -8.00005
     -19.21428       8.00001      -8.00005
     -19.18228       8.00001      -8.00005
     -19.14928       8.00001      -8.00005
     -19.11728       8.00001      -8.00005
     -19.08428       8.00001      -8.00005
     -19.05228       8.00001      -8.00005
     -19.01928       8.00001      -8.00005
     -18.98728       8.00001      -8.00005
