#K-Path              Spin-Up       Spin-Down
# NKPTS & NBANDS:  60 508
# Band-Index    1
   0.00000    -19.127125    -19.112274
   0.01681    -19.127125    -19.112273
   0.03361    -19.127123    -19.112271
   0.05042    -19.127123    -19.112271
   0.06722    -19.127122    -19.112271
   0.08403    -19.127123    -19.112271
   0.10083    -19.127123    -19.112272
   0.11764    -19.127123    -19.112271
   0.13444    -19.127122    -19.112271
   0.15125    -19.127123    -19.112271
   0.15125    -19.127123    -19.112271
   0.15671    -19.127123    -19.112271
   0.16217    -19.127123    -19.112271
   0.16763    -19.127123    -19.112272
   0.17309    -19.127123    -19.112271
   0.17855    -19.127123    -19.112272
   0.18401    -19.127122    -19.112271
   0.18947    -19.127123    -19.112271
   0.19493    -19.127122    -19.112271
   0.20039    -19.127123    -19.112271
   0.20039    -19.127123    -19.112271
   0.21469    -19.127121    -19.112270
   0.22898    -19.127123    -19.112271
   0.24328    -19.127124    -19.112272
   0.25758    -19.127124    -19.112272
   0.27187    -19.127124    -19.112272
   0.28617    -19.127123    -19.112271
   0.30046    -19.127123    -19.112271
   0.31476    -19.127121    -19.112269
   0.32905    -19.127122    -19.112270
   0.32905    -19.127122    -19.112270
   0.34335    -19.127121    -19.112269
   0.35764    -19.127123    -19.112271
   0.37194    -19.127123    -19.112271
   0.38624    -19.127124    -19.112272
   0.40053    -19.127124    -19.112272
   0.41483    -19.127124    -19.112272
   0.42912    -19.127123    -19.112271
   0.44342    -19.127121    -19.112270
   0.45771    -19.127123    -19.112271
   0.45771    -19.127123    -19.112271
   0.46317    -19.127122    -19.112271
   0.46863    -19.127123    -19.112271
   0.47409    -19.127122    -19.112271
   0.47956    -19.127123    -19.112272
   0.48502    -19.127123    -19.112271
   0.49048    -19.127123    -19.112272
   0.49594    -19.127123    -19.112271
   0.50140    -19.127123    -19.112271
   0.50686    -19.127123    -19.112271
   0.50686    -19.127123    -19.112271
   0.52366    -19.127122    -19.112271
   0.54047    -19.127123    -19.112271
   0.55727    -19.127123    -19.112272
   0.57408    -19.127123    -19.112271
   0.59088    -19.127122    -19.112271
   0.60769    -19.127123    -19.112271
   0.62450    -19.127123    -19.112271
   0.64130    -19.127125    -19.112273
   0.65811    -19.127125    -19.112274
 
 
# Band-Index    2
   0.65811    -18.384118    -18.370787
   0.64130    -18.383729    -18.370398
   0.62450    -18.382559    -18.369230
   0.60769    -18.380610    -18.367283
   0.59088    -18.377889    -18.364567
   0.57408    -18.374406    -18.361090
   0.55727    -18.370182    -18.356873
   0.54047    -18.365253    -18.351952
   0.52366    -18.359703    -18.346405
   0.50686    -18.354511    -18.341136
   0.50686    -18.354511    -18.341136
   0.50140    -18.354811    -18.341449
   0.49594    -18.355442    -18.342089
   0.49048    -18.356167    -18.342812
   0.48502    -18.356913    -18.343552
   0.47956    -18.357656    -18.344289
   0.47409    -18.358382    -18.345009
   0.46863    -18.359090    -18.345712
   0.46317    -18.359773    -18.346391
   0.45771    -18.360429    -18.347046
   0.45771    -18.360429    -18.347046
   0.44342    -18.365625    -18.352230
   0.42912    -18.370342    -18.356932
   0.41483    -18.374509    -18.361084
   0.40053    -18.378081    -18.364642
   0.38624    -18.381035    -18.367585
   0.37194    -18.383351    -18.369891
   0.35764    -18.385012    -18.371545
   0.34335    -18.386011    -18.372541
   0.32905    -18.386346    -18.372874
   0.32905    -18.386346    -18.372874
   0.31476    -18.386011    -18.372541
   0.30046    -18.385012    -18.371545
   0.28617    -18.383351    -18.369891
   0.27187    -18.381035    -18.367585
   0.25758    -18.378081    -18.364642
   0.24328    -18.374509    -18.361084
   0.22898    -18.370342    -18.356932
   0.21469    -18.365625    -18.352230
   0.20039    -18.360429    -18.347046
   0.20039    -18.360429    -18.347046
   0.19493    -18.359783    -18.346401
   0.18947    -18.359112    -18.345734
   0.18401    -18.358419    -18.345045
   0.17855    -18.357711    -18.344343
   0.17309    -18.356994    -18.343632
   0.16763    -18.356284    -18.342927
   0.16217    -18.355613    -18.342259
   0.15671    -18.355065    -18.341707
   0.15125    -18.354829    -18.341466
   0.15125    -18.354829    -18.341466
   0.13444    -18.359760    -18.346459
   0.11764    -18.365280    -18.351978
   0.10083    -18.370198    -18.356889
   0.08403    -18.374416    -18.361100
   0.06722    -18.377895    -18.364573
   0.05042    -18.380614    -18.367287
   0.03361    -18.382561    -18.369231
   0.01681    -18.383729    -18.370398
   0.00000    -18.384118    -18.370787
 
 
# Band-Index    3
   0.00000    -18.350991    -18.337554
