#K-Path              Spin-Up       Spin-Down
# NKPTS & NBANDS:  60 508
# Band-Index    1
   0.00000    -21.250236    -21.250236
   0.01681    -21.249817    -21.249817
   0.03361    -21.248561    -21.248561
   0.05042    -21.246477    -21.246477
   0.06722    -21.243590    -21.243590
   0.08403    -21.239931    -21.239931
   0.10083    -21.235555    -21.235555
   0.11764    -21.230562    -21.230562
   0.13444    -21.225251    -21.225251
   0.15125    -21.221709    -21.221709
   0.15125    -21.221709    -21.221709
   0.15671    -21.221764    -21.221764
   0.16217    -21.221923    -21.221923
   0.16763    -21.222175    -21.222175
   0.17309    -21.222504    -21.222504
   0.17855    -21.222894    -21.222894
   0.18401    -21.223331    -21.223331
   0.18947    -21.223807    -21.223807
   0.19493    -21.224312    -21.224312
   0.20039    -21.224841    -21.224841
   0.20039    -21.224841    -21.224841
   0.21469    -21.229550    -21.229550
   0.22898    -21.234083    -21.234083
   0.24328    -21.238161    -21.238161
   0.25758    -21.241686    -21.241686
   0.27187    -21.244615    -21.244615
   0.28617    -21.246918    -21.246918
   0.30046    -21.248573    -21.248573
   0.31476    -21.249571    -21.249571
   0.32905    -21.249905    -21.249905
   0.32905    -21.249905    -21.249905
   0.34335    -21.249571    -21.249571
   0.35764    -21.248573    -21.248573
   0.37194    -21.246918    -21.246918
   0.38624    -21.244615    -21.244615
   0.40053    -21.241686    -21.241686
   0.41483    -21.238161    -21.238161
   0.42912    -21.234083    -21.234083
   0.44342    -21.229550    -21.229550
   0.45771    -21.224841    -21.224841
   0.45771    -21.224841    -21.224841
   0.46317    -21.224317    -21.224317
   0.46863    -21.223817    -21.223817
   0.47409    -21.223346    -21.223346
   0.47956    -21.222913    -21.222913
   0.48502    -21.222527    -21.222527
   0.49048    -21.222202    -21.222202
   0.49594    -21.221953    -21.221953
   0.50140    -21.221795    -21.221795
   0.50686    -21.221741    -21.221741
   0.50686    -21.221741    -21.221741
   0.52366    -21.225278    -21.225278
   0.54047    -21.230584    -21.230584
   0.55727    -21.235572    -21.235572
   0.57408    -21.239944    -21.239944
   0.59088    -21.243599    -21.243599
   0.60769    -21.246482    -21.246482
   0.62450    -21.248563    -21.248563
   0.64130    -21.249818    -21.249818
   0.65811    -21.250236    -21.250236
 
 
# Band-Index    2
   0.65811    -21.212672    -21.212672
   0.64130    -21.212306    -21.212306
   0.62450    -21.211221    -21.211221
   0.60769    -21.209469    -21.209469
   0.59088    -21.207178    -21.207178
   0.57408    -21.204713    -21.204713
   0.55727    -21.203313    -21.203313
   0.54047    -21.205552    -21.205552
   0.52366    -21.210679    -21.210679
   0.50686    -21.214360    -21.214360
   0.50686    -21.214360    -21.214360
   0.50140    -21.214304    -21.214304
   0.49594    -21.214143    -21.214143
   0.49048    -21.213888    -21.213888
   0.48502    -21.213552    -21.213552
   0.47956    -21.213153    -21.213153
   0.47409    -21.212702    -21.212702
   0.46863    -21.212212    -21.212212
   0.46317    -21.211693    -21.211693
   0.45771    -21.211152    -21.211152
   0.45771    -21.211152    -21.211152
   0.44342    -21.206592    -21.206592
   0.42912    -21.204021    -21.204021
   0.41483    -21.204659    -21.204659
   0.40053    -21.206775    -21.206775
   0.38624    -21.209034    -21.209034
   0.37194    -21.210974    -21.210974
   0.35764    -21.212425    -21.212425
   0.34335    -21.213316    -21.213316
   0.32905    -21.213617    -21.213617
   0.32905    -21.213617    -21.213617
   0.31476    -21.213316    -21.213316
   0.30046    -21.212425    -21.212425
   0.28617    -21.210974    -21.210974
   0.27187    -21.209034    -21.209034
   0.25758    -21.206775    -21.206775
   0.24328    -21.204659    -21.204659
   0.22898    -21.204021    -21.204021
   0.21469    -21.206592    -21.206592
   0.20039    -21.211152    -21.211152
   0.20039    -21.211152    -21.211152
   0.19493    -21.211689    -21.211689
   0.18947    -21.212205    -21.212205
   0.18401    -21.212691    -21.212691
   0.17855    -21.213139    -21.213139
   0.17309    -21.213536    -21.213536
   0.16763    -21.213871    -21.213871
   0.16217    -21.214124    -21.214124
   0.15671    -21.214285    -21.214285
   0.15125    -21.214340    -21.214340
   0.15125    -21.214340    -21.214340
   0.13444    -21.210656    -21.210656
   0.11764    -21.205535    -21.205535
   0.10083    -21.203318    -21.203318
   0.08403    -21.204732    -21.204732
   0.06722    -21.207196    -21.207196
   0.05042    -21.209481    -21.209481
   0.03361    -21.211227    -21.211227
   0.01681    -21.212307    -21.212307
   0.00000    -21.212672    -21.212672
 
 
# Band-Index    3
   0.00000    -21.157609    -21.157609
   0.01681    -21.159011    -21.159011
   0.03361    -21.162925    -21.162925
   0.05042    -21.168650    -21.168650
   0.06722    -21.175361    -21.175361
   0.08403    -21.182128    -21.182128
   0.10083    -21.187319    -21.187319
   0.11764    -21.188077    -21.188077
   0.13444    -21.184882    -21.184882
   0.15125    -21.181576    -21.181576
   0.15125    -21.181576    -21.181576
   0.15671    -21.181657    -21.181657
   0.16217    -21.181882    -21.181882
   0.16763    -21.182212    -21.182212
   0.17309    -21.182609    -21.182609
   0.17855    -21.183044    -21.183044
   0.18401    -21.183497    -21.183497
   0.18947    -21.183955    -21.183955
   0.19493    -21.184410    -21.184410
   0.20039    -21.184857    -21.184857
   0.20039    -21.184857    -21.184857
   0.21469    -21.187906    -21.187906
   0.22898    -21.188083    -21.188083
   0.24328    -21.184353    -21.184353
   0.25758    -21.178624    -21.178624
   0.27187    -21.172472    -21.172472
   0.28617    -21.166703    -21.166703
   0.30046    -21.161932    -21.161932
   0.31476    -21.158742    -21.158742
   0.32905    -21.157616    -21.157616
   0.32905    -21.157616    -21.157616
   0.34335    -21.158742    -21.158742
   0.35764    -21.161932    -21.161932
   0.37194    -21.166703    -21.166703
   0.38624    -21.172472    -21.172472
   0.40053    -21.178624    -21.178624
   0.41483    -21.184353    -21.184353
   0.42912    -21.188083    -21.188083
   0.44342    -21.187906    -21.187906
   0.45771    -21.184857    -21.184857
   0.45771    -21.184857    -21.184857
   0.46317    -21.184414    -21.184414
   0.46863    -21.183968    -21.183968
   0.47409    -21.183522    -21.183522
   0.47956    -21.183089    -21.183089
   0.48502    -21.182681    -21.182681
   0.49048    -21.182316    -21.182316
   0.49594    -21.182020    -21.182020
   0.50140    -21.181824    -21.181824
   0.50686    -21.181754    -21.181754
   0.50686    -21.181754    -21.181754
   0.52366    -21.184892    -21.184892
   0.54047    -21.188050    -21.188050
   0.55727    -21.187306    -21.187306
   0.57408    -21.182130    -21.182130
   0.59088    -21.175365    -21.175365
   0.60769    -21.168653    -21.168653
   0.62450    -21.162926    -21.162926
   0.64130    -21.159011    -21.159011
   0.65811    -21.157609    -21.157609
 
 
# Band-Index    4
   0.65811    -21.147418    -21.147418
   0.64130    -21.147507    -21.147507
   0.62450    -21.147911    -21.147911
   0.60769    -21.149053    -21.149053
   0.59088    -21.151504    -21.151504
   0.57408    -21.155538    -21.155538
   0.55727    -21.160838    -21.160838
   0.54047    -21.166779    -21.166779
   0.52366    -21.172696    -21.172696
   0.50686    -21.176585    -21.176585
   0.50686    -21.176585    -21.176585
   0.50140    -21.176511    -21.176511
   0.49594    -21.176299    -21.176299
   0.49048    -21.175977    -21.175977
   0.48502    -21.175572    -21.175572
   0.47956    -21.175110    -21.175110
   0.47409    -21.174607    -21.174607
   0.46863    -21.174075    -21.174075
   0.46317    -21.173524    -21.173524
   0.45771    -21.172958    -21.172958
   0.45771    -21.172958    -21.172958
   0.44342    -21.167685    -21.167685
   0.42912    -21.162323    -21.162323
   0.41483    -21.157305    -21.157305
   0.40053    -21.153032    -21.153032
   0.38624    -21.149839    -21.149839
   0.37194    -21.147807    -21.147807
   0.35764    -21.146720    -21.146720
   0.34335    -21.146240    -21.146240
   0.32905    -21.146110    -21.146110
   0.32905    -21.146110    -21.146110
   0.31476    -21.146240    -21.146240
   0.30046    -21.146720    -21.146720
   0.28617    -21.147807    -21.147807
   0.27187    -21.149839    -21.149839
   0.25758    -21.153032    -21.153032
   0.24328    -21.157305    -21.157305
   0.22898    -21.162323    -21.162323
   0.21469    -21.167685    -21.167685
   0.20039    -21.172958    -21.172958
   0.20039    -21.172958    -21.172958
   0.19493    -21.173564    -21.173564
   0.18947    -21.174159    -21.174159
   0.18401    -21.174738    -21.174738
   0.17855    -21.175291    -21.175291
   0.17309    -21.175806    -21.175806
   0.16763    -21.176265    -21.176265
   0.16217    -21.176638    -21.176638
   0.15671    -21.176888    -21.176889
   0.15125    -21.176977    -21.176977
   0.15125    -21.176977    -21.176977
   0.13444    -21.172910    -21.172910
   0.11764    -21.166922    -21.166922
   0.10083    -21.160930    -21.160930
   0.08403    -21.155579    -21.155579
   0.06722    -21.151502    -21.151502
   0.05042    -21.149030    -21.149030
   0.03361    -21.147893    -21.147893
   0.01681    -21.147501    -21.147501
   0.00000    -21.147418    -21.147418
 
 
# Band-Index    5
   0.00000    -21.116072    -21.116072
