      #Energy        TDOS-UP        TDOS-DOWN
     -25.64300       0.00000       0.00000
     -25.61000       0.00000       0.00000
     -25.57700       0.00000       0.00000
     -25.54400       0.00000       0.00000
     -25.51100       0.00000       0.00000
     -25.47800       0.00000       0.00000
     -25.44500       0.00000       0.00000
     -25.41200       0.00000       0.00000
     -25.37900       0.00000       0.00000
     -25.34600       0.00000       0.00000
     -25.31300       0.00000       0.00000
     -25.28000       0.00000       0.00000
     -25.24700       0.00000       0.00000
     -25.21400       0.00000       0.00000
     -25.18100       0.00000       0.00000
     -25.14800       0.00000       0.00000
     -25.11500       0.00000       0.00000
     -25.08200       0.00000       0.00000
     -25.04900       0.00000       0.00000
     -25.01600       0.00000       0.00000
     -24.98300       0.00000       0.00000
     -24.95000       0.00000       0.00000
     -24.91700       0.00000       0.00000
     -24.88400       0.00000       0.00000
     -24.85100       0.00000       0.00000
     -24.81800       0.00000       0.00000
     -24.78500       0.00000       0.00000
     -24.75200       0.00000       0.00000
     -24.71900       0.00000       0.00000
     -24.68600       0.00000       0.00000
     -24.65300       0.00000       0.00000
     -24.62000       0.00000       0.00000
     -24.58700       0.00000       0.00000
     -24.55400       0.00000       0.00000
     -24.52100       0.00000       0.00000
     -24.48800       0.00000       0.00000
     -24.45500       0.00000       0.00000
     -24.42200       0.00000      -0.00000
     -24.38900       0.00000      -0.00000
     -24.35600       0.00000      -0.00000
     -24.32300       0.00001      -0.00001
     -24.29000       0.00116      -0.00116
     -24.25700       0.04320      -0.04320
     -24.22400       0.69970      -0.69970
     -24.19100       4.96800      -4.96800
     -24.15800      15.58000     -15.58000
     -24.12500      21.70000     -21.70000
     -24.09200      13.45000     -13.45000
     -24.05900       3.69800      -3.69800
     -24.02600       0.44870      -0.44870
     -23.99300       0.02383      -0.02383
     -23.96000       0.00055      -0.00055
     -23.92700       0.00001      -0.00001
     -23.89400       0.00000      -0.00000
     -23.86100       0.00000      -0.00000
     -23.82800       0.00000      -0.00000
     -23.79500       0.00000       0.00000
     -23.76200       0.00000       0.00000
     -23.72900       0.00000       0.00000
     -23.69600       0.00000       0.00000
     -23.66300       0.00000       0.00000
     -23.63000       0.00000       0.00000
     -23.59700       0.00000       0.00000
     -23.56400       0.00000       0.00000
     -23.53100       0.00000       0.00000
     -23.49800       0.00000       0.00000
     -23.46500       0.00000       0.00000
     -23.43200       0.00000       0.00000
     -23.39900       0.00000       0.00000
     -23.36600       0.00000       0.00000
     -23.33300       0.00000       0.00000
     -23.30000       0.00000       0.00000
     -23.26700       0.00000       0.00000
     -23.23400       0.00000       0.00000
     -23.20100       0.00000       0.00000
     -23.16800       0.00000       0.00000
     -23.13500       0.00000       0.00000
     -23.10200       0.00000       0.00000
     -23.06900       0.00000       0.00000
     -23.03600       0.00000       0.00000
     -23.00300       0.00000       0.00000
     -22.97000       0.00000       0.00000
     -22.93700       0.00000       0.00000
     -22.90400       0.00000       0.00000
     -22.87100       0.00000       0.00000
     -22.83800       0.00000       0.00000
     -22.80500       0.00000       0.00000
     -22.77200       0.00000       0.00000
     -22.73900       0.00000       0.00000
     -22.70600       0.00000       0.00000
     -22.67300       0.00000       0.00000
     -22.64000       0.00000       0.00000
     -22.60700       0.00000       0.00000
     -22.57400       0.00000       0.00000
     -22.54100       0.00000       0.00000
     -22.50800       0.00000       0.00000
     -22.47500       0.00000       0.00000
     -22.44200       0.00000       0.00000
     -22.40900       0.00000       0.00000
     -22.37600       0.00000       0.00000
     -22.34300       0.00000       0.00000
     -22.31000       0.00000       0.00000
     -22.27700       0.00000       0.00000
     -22.24400       0.00000       0.00000
     -22.21100       0.00000       0.00000
     -22.17800       0.00000       0.00000
     -22.14500       0.00000       0.00000
     -22.11200       0.00000       0.00000
     -22.07900       0.00000       0.00000
     -22.04600       0.00000       0.00000
     -22.01300       0.00000       0.00000
     -21.98000       0.00000       0.00000
     -21.94700       0.00000       0.00000
     -21.91400       0.00000       0.00000
     -21.88100       0.00000       0.00000
     -21.84800       0.00000       0.00000
     -21.81500       0.00000       0.00000
     -21.78200       0.00000       0.00000
     -21.74900       0.00000       0.00000
     -21.71600       0.00000       0.00000
     -21.68300       0.00000       0.00000
     -21.65000       0.00000       0.00000
     -21.61700       0.00000       0.00000
     -21.58400       0.00000       0.00000
     -21.55100       0.00000       0.00000
     -21.51800       0.00000       0.00000
     -21.48500       0.00000       0.00000
     -21.45200       0.00000      -0.00000
     -21.41900       0.00000      -0.00000
     -21.38600       0.00000      -0.00000
     -21.35300       0.00000      -0.00000
     -21.32000       0.00033      -0.00033
     -21.28700       0.01484      -0.01484
     -21.25400       0.30660      -0.30670
     -21.22100       2.99000      -2.99000
     -21.18800      14.44000     -14.44000
     -21.15500      37.98000     -37.98000
     -21.12200      63.36000     -63.36000
     -21.09000      76.29000     -76.29000
     -21.05700      67.21000     -67.21000
     -21.02400      47.47000     -47.47000
     -20.99100      36.17000     -36.17000
     -20.95800      33.64000     -33.64000
     -20.92500      36.00000     -36.00000
     -20.89200      34.89000     -34.89000
     -20.85900      30.83000     -30.83000
     -20.82600      29.05000     -29.05000
     -20.79300      24.80000     -24.80000
     -20.76000      21.42000     -21.42000
     -20.72700      22.87000     -22.87000
     -20.69400      20.52000     -20.52000
     -20.66100      21.06000     -21.06000
     -20.62800      33.34000     -33.34000
     -20.59500      36.28000     -36.28000
     -20.56200      22.89000     -22.89000
     -20.52900       9.92800      -9.92800
     -20.49600       3.02800      -3.02800
     -20.46300       0.69040      -0.69040
     -20.43000       2.20100      -2.20100
     -20.39700      13.76000     -13.76000
     -20.36400      43.24000     -43.24000
     -20.33100      72.58000     -72.58000
     -20.29800      73.64000     -73.64000
     -20.26500      53.58000     -53.58000
     -20.23200      31.91000     -31.91000
     -20.19900      19.79000     -19.79000
     -20.16600      26.01000     -26.01000
     -20.13300      38.30000     -38.30000
     -20.10000      35.08000     -35.08000
     -20.06700      21.02000     -21.02000
     -20.03400      13.30000     -13.30000
     -20.00100      15.01000     -15.01000
     -19.96800      22.81000     -22.81000
     -19.93500      26.84000     -26.84000
     -19.90200      21.09000     -21.09000
     -19.86900      12.70000     -12.70000
     -19.83600      10.47000     -10.47000
     -19.80300      14.15000     -14.15000
