      #Energy        TDOS-UP        TDOS-DOWN
     -19.82698       0.00000       0.00000
     -19.79698       0.00000       0.00000
     -19.76698       0.00000       0.00000
     -19.73798       0.00000       0.00000
     -19.70798       0.00000       0.00000
     -19.67798       0.00000       0.00000
     -19.64798       0.00000       0.00000
     -19.61798       0.00000       0.00000
     -19.58798       0.00000       0.00000
     -19.55898       0.00000       0.00000
     -19.52898       0.00000       0.00000
     -19.49898       0.00000       0.00000
     -19.46898       0.00000       0.00000
     -19.43898       0.00000       0.00000
     -19.40998       0.00000       0.00000
     -19.37998       0.00000       0.00000
     -19.34998       0.00000       0.00000
     -19.31998       0.00000       0.00000
     -19.28998       0.00000       0.00000
     -19.25998       0.00000       0.00000
     -19.23098       0.00000       0.00000
     -19.20098       0.00000       0.00000
     -19.17098       0.00000       0.00000
     -19.14098       0.00000       0.00000
     -19.11098       0.00000       0.00000
     -19.08098       0.00000       0.00000
     -19.05198       0.00000       0.00000
     -19.02198       0.00000       0.00000
     -18.99198       0.00000       0.00000
     -18.96198       0.00000       0.00000
     -18.93198       0.00000       0.00000
     -18.90298       0.00000       0.00000
     -18.87298       0.00000       0.00000
     -18.84298       0.00000       0.00000
     -18.81298       0.00000       0.00000
     -18.78298       0.00000       0.00000
     -18.75298       0.00000      -0.00000
     -18.72398       0.00000      -0.00000
     -18.69398       0.00000      -0.00000
     -18.66398       0.00000      -0.00000
     -18.63398       0.00005      -0.00005
     -18.60398       0.00217      -0.00217
     -18.57398       0.04949      -0.04949
     -18.54498       0.60420      -0.60420
     -18.51498       4.08900      -4.08900
     -18.48498      16.03000     -16.03000
     -18.45498      38.46000     -38.46000
     -18.42498      60.72000     -60.72000
     -18.39498      69.27000     -69.27000
     -18.36598      63.33000     -63.33000
     -18.33598      51.06000     -51.06000
     -18.30598      40.11000     -40.11000
     -18.27598      33.59000     -33.59000
     -18.24598      30.08000     -30.08000
     -18.21698      31.72000     -31.72000
     -18.18698      37.08000     -37.08000
     -18.15698      37.26000     -37.26000
     -18.12698      30.78000     -30.78000
     -18.09698      23.72000     -23.72000
     -18.06698      18.78000     -18.78000
     -18.03798      16.16000     -16.16000
     -18.00798      15.64000     -15.64000
     -17.97798      19.44000     -19.44000
     -17.94798      30.08000     -30.08000
     -17.91798      39.54000     -39.54000
     -17.88798      36.98000     -36.98000
     -17.85898      26.21000     -26.21000
     -17.82898      16.95000     -16.95000
     -17.79898      10.49000     -10.49000
     -17.76898       4.97500      -4.97500
     -17.73898       2.62900      -2.62900
     -17.70898       8.23200      -8.23200
     -17.67998      27.60000     -27.60000
     -17.64998      54.57000     -54.57000
     -17.61998      67.86000     -67.86000
     -17.58998      58.41000     -58.41000
     -17.55998      38.44000     -38.44000
     -17.53098      23.46000     -23.46000
     -17.50098      19.55000     -19.55000
     -17.47098      28.68000     -28.68000
     -17.44098      44.18000     -44.18000
     -17.41098      47.40000     -47.40000
     -17.38098      32.93000     -32.93000
     -17.35198      17.59000     -17.59000
     -17.32198      15.02000     -15.02000
     -17.29198      21.92000     -21.92000
     -17.26198      28.53000     -28.53000
     -17.23198      28.38000     -28.38000
     -17.20198      21.38000     -21.38000
     -17.17298      12.13000     -12.13000
     -17.14298       4.76200      -4.76200
     -17.11298       1.13900      -1.13900
     -17.08298       0.15180      -0.15180
     -17.05298       0.01270      -0.01270
     -17.02298       0.04302      -0.04302
     -16.99398       0.47550      -0.47550
     -16.96398       2.73700      -2.73700
     -16.93398       8.28600      -8.28600
     -16.90398      13.76000     -13.76000
     -16.87398      14.00000     -14.00000
     -16.84498      11.19000     -11.19000
     -16.81498       8.59600      -8.59600
     -16.78498       5.35600      -5.35600
     -16.75498       2.24400      -2.24400
     -16.72498       1.42000      -1.42000
     -16.69498       3.52200      -3.52200
     -16.66598       7.38700      -7.38700
     -16.63598      10.96000     -10.96000
     -16.60598      14.04000     -14.04000
     -16.57598      15.00000     -15.00000
     -16.54598      11.62000     -11.62000
     -16.51598      10.10000     -10.10000
     -16.48698      15.82000     -15.82000
     -16.45698      20.79000     -20.79000
     -16.42698      17.79000     -17.79000
     -16.39698      14.81000     -14.81000
     -16.36698      18.79000     -18.79000
     -16.33698      24.16000     -24.16000
     -16.30798      27.26000     -27.26000
     -16.27798      27.32000     -27.32000
     -16.24798      21.08000     -21.08000
     -16.21798      13.34000     -13.34000
     -16.18798       9.89800      -9.89800
     -16.15898       9.06500      -9.06500
     -16.12898      11.06000     -11.06000
     -16.09898      18.42000     -18.42000
     -16.06898      28.11000     -28.11000
     -16.03898      33.91000     -33.91000
     -16.00898      33.75000     -33.75000
     -15.97998      27.78000     -27.78000
     -15.94998      21.31000     -21.31000
     -15.91998      25.04000     -25.04000
     -15.88998      38.72000     -38.72000
     -15.85998      47.45000     -47.45000
     -15.82998      43.99000     -43.99000
     -15.80098      33.18000     -33.18000
     -15.77098      25.09000     -25.09000
     -15.74098      24.05000     -24.05000
     -15.71098      21.16000     -21.16000
     -15.68098      17.10000     -17.10000
     -15.65198      22.17000     -22.17000
     -15.62198      31.47000     -31.47000
     -15.59198      33.15000     -33.15000
     -15.56198      30.22000     -30.22000
     -15.53198      27.37000     -27.37000
     -15.50198      23.71000     -23.71000
     -15.47298      26.11000     -26.11000
     -15.44298      37.81000     -37.81000
     -15.41298      44.84000     -44.84000
     -15.38298      34.56000     -34.56000
     -15.35298      18.92000     -18.92000
     -15.32298      14.68000     -14.68000
     -15.29398      20.50000     -20.50000
     -15.26398      24.97000     -24.97000
     -15.23398      20.76000     -20.76000
     -15.20398      13.21000     -13.21000
     -15.17398      10.70000     -10.70000
     -15.14398      13.97000     -13.97000
     -15.11498      20.84000     -20.84000
     -15.08498      32.92000     -32.92000
     -15.05498      49.87000     -49.87000
     -15.02498      62.22000     -62.22000
     -14.99498      61.06000     -61.06000
     -14.96598      52.18000     -52.18000
     -14.93598      47.88000     -47.88000
     -14.90598      48.03000     -48.03000
     -14.87598      44.76000     -44.76000
     -14.84598      37.66000     -37.66000
     -14.81598      33.21000     -33.21000
     -14.78698      34.46000     -34.46000
     -14.75698      38.93000     -38.93000
     -14.72698      44.98000     -44.98000
     -14.69698      49.09000     -49.09000
     -14.66698      44.09000     -44.09000
     -14.63698      30.03000     -30.03000
     -14.60798      16.84000     -16.84000
     -14.57798      11.38000     -11.38000
     -14.54798      11.70000     -11.70000
     -14.51798      14.58000     -14.58000
     -14.48798      21.16000     -21.16000
     -14.45798      30.81000     -30.81000
     -14.42898      38.69000     -38.69000
     -14.39898      42.90000     -42.90000
     -14.36898      45.62000     -45.62000
     -14.33898      48.18000     -48.18000
     -14.30898      49.88000     -49.88000
     -14.27998      47.95000     -47.95000
     -14.24998      40.46000     -40.46000
     -14.21998      30.47000     -30.47000
     -14.18998      22.05000     -22.05000
     -14.15998      16.73000     -16.73000
     -14.12998      15.59000     -15.59000
     -14.10098      18.66000     -18.66000
     -14.07098      23.23000     -23.23000
     -14.04098      25.83000     -25.83000
     -14.01098      27.80000     -27.80000
     -13.98098      33.68000     -33.68000
     -13.95098      40.40000     -40.40000
     -13.92198      44.66000     -44.66000
     -13.89198      48.00000     -48.00000
     -13.86198      45.59000     -45.59000
     -13.83198      33.62000     -33.62000
     -13.80198      19.51000     -19.51000
     -13.77198      11.06000     -11.06000
     -13.74298       8.02000      -8.02000
     -13.71298       8.03900      -8.03900
     -13.68298      12.20000     -12.20000
     -13.65298      18.62000     -18.62000
     -13.62298      22.44000     -22.44000
     -13.59398      23.94000     -23.94000
     -13.56398      21.40000     -21.40000
     -13.53398      14.01000     -14.01000
     -13.50398       7.37900      -7.37900
     -13.47398       4.20800      -4.20800
     -13.44398       3.26500      -3.26500
     -13.41498       2.63700      -2.63700
     -13.38498       1.47700      -1.47700
     -13.35498       0.47780      -0.47780
     -13.32498       0.08363      -0.08363
     -13.29498       0.00909      -0.00909
     -13.26498       0.03403      -0.03403
     -13.23598       0.41850      -0.41850
     -13.20598       2.76200      -2.76200
     -13.17598       9.96300      -9.96300
     -13.14598      20.45000     -20.45000
     -13.11598      25.70000     -25.70000
     -13.08598      23.49000     -23.49000
     -13.05698      22.03000     -22.03000
     -13.02698      26.90000     -26.90000
     -12.99698      35.47000     -35.47000
     -12.96698      38.06000     -38.06000
     -12.93698      29.29000     -29.29000
     -12.90798      16.96000     -16.96000
     -12.87798      10.79000     -10.79000
     -12.84798      15.67000     -15.67000
     -12.81798      31.98000     -31.98000
     -12.78798      47.45000     -47.45000
     -12.75798      49.01000     -49.01000
     -12.72898      38.94000     -38.94000
     -12.69898      26.43000     -26.43000
     -12.66898      20.02000     -20.02000
     -12.63898      22.53000     -22.53000
     -12.60898      28.05000     -28.05000
     -12.57898      28.45000     -28.45000
     -12.54998      25.97000     -25.97000
     -12.51998      25.55000     -25.55000
     -12.48998      23.53000     -23.53000
     -12.45998      20.61000     -20.61000
     -12.42998      22.49000     -22.49000
     -12.40098      29.19000     -29.19000
     -12.37098      36.73000     -36.73000
     -12.34098      41.51000     -41.51000
     -12.31098      41.48000     -41.48000
     -12.28098      37.33000     -37.33000
     -12.25098      30.64000     -30.64000
     -12.22198      23.24000     -23.24000
     -12.19198      22.94000     -22.94000
     -12.16198      31.09000     -31.09000
     -12.13198      34.79000     -34.79000
     -12.10198      28.34000     -28.34000
     -12.07198      22.73000     -22.73000
     -12.04298      28.12000     -28.12000
     -12.01298      39.43000     -39.43000
     -11.98298      43.14000     -43.14000
     -11.95298      36.85000     -36.85000
     -11.92298      30.24000     -30.24000
     -11.89298      30.55000     -30.55000
     -11.86398      33.55000     -33.55000
     -11.83398      32.80000     -32.80000
     -11.80398      27.43000     -27.43000
     -11.77398      20.41000     -20.41000
     -11.74398      15.74000     -15.74000
     -11.71498      14.39000     -14.39000
     -11.68498      13.07000     -13.07000
     -11.65498       9.22500      -9.22500
     -11.62498       5.53500      -5.53500
     -11.59498       4.13300      -4.13300
     -11.56498       4.67900      -4.67900
     -11.53598       7.07300      -7.07300
     -11.50598      11.22000     -11.22000
     -11.47598      16.94000     -16.94000
     -11.44598      23.11000     -23.11000
     -11.41598      25.63000     -25.63000
     -11.38598      24.94000     -24.94000
     -11.35698      27.10000     -27.10000
     -11.32698      29.01000     -29.01000
     -11.29698      23.87000     -23.87000
     -11.26698      16.30000     -16.30000
     -11.23698      13.34000     -13.34000
     -11.20698      16.31000     -16.31000
     -11.17798      23.80000     -23.80000
     -11.14798      29.73000     -29.73000
     -11.11798      30.14000     -30.14000
     -11.08798      31.45000     -31.45000
     -11.05798      33.65000     -33.65000
     -11.02898      31.78000     -31.78000
     -10.99898      30.26000     -30.26000
     -10.96898      31.62000     -31.62000
     -10.93898      31.76000     -31.76000
     -10.90898      28.47000     -28.47000
     -10.87898      24.87000     -24.87000
     -10.84998      25.12000     -25.12000
     -10.81998      29.71000     -29.71000
     -10.78998      36.36000     -36.36000
     -10.75998      41.34000     -41.34000
     -10.72998      43.52000     -43.52000
     -10.69998      42.91000     -42.91000
     -10.67098      39.21000     -39.21000
     -10.64098      34.62000     -34.62000
     -10.61098      35.09000     -35.09000
     -10.58098      40.10000     -40.10000
     -10.55098      41.94000     -41.94000
     -10.52098      36.58000     -36.58000
     -10.49198      29.60000     -29.60000
     -10.46198      27.97000     -27.97000
     -10.43198      28.51000     -28.51000
     -10.40198      24.86000     -24.86000
     -10.37198      17.57000     -17.57000
     -10.34298      10.94000     -10.94000
     -10.31298       8.11900      -8.11900
     -10.28298      11.82000     -11.82000
     -10.25298      22.05000     -22.05000
     -10.22298      32.70000     -32.70000
     -10.19298      37.08000     -37.08000
     -10.16398      35.06000     -35.06000
     -10.13398      30.43000     -30.43000
     -10.10398      28.37000     -28.37000
     -10.07398      29.75000     -29.75000
     -10.04398      27.06000     -27.06000
     -10.01398      18.92000     -18.92000
      -9.98498      14.69000     -14.69000
      -9.95498      17.73000     -17.73000
      -9.92498      23.69000     -23.69000
      -9.89498      30.16000     -30.16000
