#K-Path              Spin-Up       Spin-Down
# NKPTS & NBANDS:  60 508
# Band-Index    1
   0.00000    -18.406816    -18.392808
   0.01681    -18.406391    -18.392384
   0.03361    -18.405118    -18.391115
   0.05042    -18.403005    -18.389007
   0.06722    -18.400076    -18.386084
   0.08403    -18.396359    -18.382373
   0.10083    -18.391906    -18.377918
   0.11764    -18.386801    -18.372796
   0.13444    -18.381279    -18.367214
   0.15125    -18.377286    -18.363052
   0.15125    -18.377286    -18.363052
   0.15671    -18.377355    -18.363129
   0.16217    -18.377553    -18.363347
   0.16763    -18.377859    -18.363678
   0.17309    -18.378246    -18.364092
   0.17855    -18.378693    -18.364564
   0.18401    -18.379182    -18.365076
   0.18947    -18.379705    -18.365618
   0.19493    -18.380250    -18.366181
   0.20039    -18.380815    -18.366760
   0.20039    -18.380815    -18.366760
   0.21469    -18.385719    -18.371726
   0.22898    -18.390358    -18.376385
   0.24328    -18.394509    -18.380540
   0.25758    -18.398091    -18.384119
   0.27187    -18.401064    -18.387087
   0.28617    -18.403399    -18.389417
   0.30046    -18.405077    -18.391090
   0.31476    -18.406088    -18.392098
   0.32905    -18.406427    -18.392436
   0.32905    -18.406427    -18.392436
   0.34335    -18.406088    -18.392098
   0.35764    -18.405077    -18.391090
   0.37194    -18.403399    -18.389417
   0.38624    -18.401064    -18.387087
   0.40053    -18.398091    -18.384119
   0.41483    -18.394509    -18.380540
   0.42912    -18.390358    -18.376385
   0.44342    -18.385719    -18.371726
   0.45771    -18.380815    -18.366760
   0.45771    -18.380815    -18.366760
   0.46317    -18.380255    -18.366186
   0.46863    -18.379715    -18.365632
   0.47409    -18.379201    -18.365100
   0.47956    -18.378723    -18.364602
   0.48502    -18.378289    -18.364145
   0.49048    -18.377916    -18.363749
   0.49594    -18.377624    -18.363435
   0.50140    -18.377436    -18.363231
   0.50686    -18.377371    -18.363160
   0.50686    -18.377371    -18.363160
   0.52366    -18.381295    -18.367236
   0.54047    -18.386796    -18.372796
   0.55727    -18.391897    -18.377912
   0.57408    -18.396351    -18.382366
   0.59088    -18.400069    -18.386079
   0.60769    -18.403001    -18.389004
   0.62450    -18.405116    -18.391113
   0.64130    -18.406391    -18.392384
   0.65811    -18.406816    -18.392808
 
 
# Band-Index    2
   0.65811    -18.374061    -18.359976
   0.64130    -18.373684    -18.359597
   0.62450    -18.372563    -18.358466
   0.60769    -18.370731    -18.356613
   0.59088    -18.368274    -18.354103
   0.57408    -18.365404    -18.351108
   0.55727    -18.362852    -18.348278
   0.54047    -18.363072    -18.348414
   0.52366    -18.367451    -18.353247
   0.50686    -18.371359    -18.357443
   0.50686    -18.371359    -18.357443
   0.50140    -18.371295    -18.357372
   0.49594    -18.371111    -18.357166
   0.49048    -18.370826    -18.356851
   0.48502    -18.370460    -18.356450
   0.47956    -18.370035    -18.355989
   0.47409    -18.369567    -18.355482
   0.46863    -18.369069    -18.354945
   0.46317    -18.368550    -18.354386
   0.45771    -18.368018    -18.353813
   0.45771    -18.368018    -18.353813
   0.44342    -18.363984    -18.349367
   0.42912    -18.363093    -18.348416
   0.41483    -18.365050    -18.350642
   0.40053    -18.367710    -18.353454
   0.38624    -18.370207    -18.356021
   0.37194    -18.372268    -18.358113
   0.35764    -18.373785    -18.359644
   0.34335    -18.374709    -18.360575
   0.32905    -18.375021    -18.360888
   0.32905    -18.375021    -18.360888
   0.31476    -18.374709    -18.360575
   0.30046    -18.373785    -18.359644
   0.28617    -18.372268    -18.358113
   0.27187    -18.370207    -18.356021
   0.25758    -18.367710    -18.353454
   0.24328    -18.365050    -18.350642
   0.22898    -18.363093    -18.348416
   0.21469    -18.363984    -18.349367
   0.20039    -18.368018    -18.353813
   0.20039    -18.368018    -18.353813
   0.19493    -18.368567    -18.354405
   0.18947    -18.369106    -18.354984
   0.18401    -18.369625    -18.355544
   0.17855    -18.370116    -18.356075
   0.17309    -18.370563    -18.356562
   0.16763    -18.370952    -18.356988
   0.16217    -18.371257    -18.357327
   0.15671    -18.371455    -18.357550
   0.15125    -18.371524    -18.357628
   0.15125    -18.371524    -18.357628
   0.13444    -18.367542    -18.353343
   0.11764    -18.363119    -18.348468
   0.10083    -18.362851    -18.348282
   0.08403    -18.365387    -18.351095
   0.06722    -18.368258    -18.354090
   0.05042    -18.370721    -18.356604
   0.03361    -18.372557    -18.358462
   0.01681    -18.373682    -18.359595
   0.00000    -18.374061    -18.359976
 
 
# Band-Index    3
   0.00000    -18.313600    -18.301319
   0.01681    -18.315036    -18.302718
   0.03361    -18.319044    -18.306639
   0.05042    -18.324923    -18.312427
   0.06722    -18.331881    -18.319334
   0.08403    -18.339125    -18.326626
   0.10083    -18.345510    -18.333246
   0.11764    -18.348302    -18.336117
   0.13444    -18.345961    -18.333386
   0.15125    -18.342713    -18.330063
   0.15125    -18.342713    -18.330063
   0.15671    -18.342795    -18.330143
   0.16217    -18.343022    -18.330362
   0.16763    -18.343353    -18.330688
   0.17309    -18.343750    -18.331083
   0.17855    -18.344182    -18.331519
   0.18401    -18.344629    -18.331975
   0.18947    -18.345079    -18.332439
   0.19493    -18.345521    -18.332899
   0.20039    -18.345949    -18.333351
   0.20039    -18.345949    -18.333351
   0.21469    -18.348368    -18.336115
   0.22898    -18.346798    -18.334595
   0.24328    -18.341687    -18.329241
   0.25758    -18.335350    -18.322805
   0.27187    -18.328894    -18.316357
   0.28617    -18.322939    -18.310466
   0.30046    -18.318045    -18.305656
   0.31476    -18.314781    -18.302465
   0.32905    -18.313630    -18.301342
   0.32905    -18.313630    -18.301342
   0.34335    -18.314781    -18.302465
   0.35764    -18.318045    -18.305656
   0.37194    -18.322939    -18.310466
   0.38624    -18.328894    -18.316357
   0.40053    -18.335350    -18.322805
   0.41483    -18.341687    -18.329241
   0.42912    -18.346798    -18.334595
   0.44342    -18.348368    -18.336115
   0.45771    -18.345949    -18.333351
   0.45771    -18.345949    -18.333351
   0.46317    -18.345520    -18.332896
   0.46863    -18.345075    -18.332427
   0.47409    -18.344616    -18.331951
   0.47956    -18.344155    -18.331476
   0.48502    -18.343702    -18.331015
   0.49048    -18.343277    -18.330587
   0.49594    -18.342913    -18.330227
   0.50140    -18.342657    -18.329976
   0.50686    -18.342563    -18.329884
   0.50686    -18.342563    -18.329884
   0.52366    -18.345966    -18.333375
