      #Energy        TDOS-UP        TDOS-DOWN
     -22.60900       0.00000       0.00000
     -22.57900       0.00000       0.00000
     -22.55000       0.00000       0.00000
     -22.52000       0.00000       0.00000
     -22.49000       0.00000       0.00000
     -22.46000       0.00000       0.00000
     -22.43000       0.00000       0.00000
     -22.40000       0.00000       0.00000
     -22.37100       0.00000       0.00000
     -22.34100       0.00000       0.00000
     -22.31100       0.00000       0.00000
     -22.28100       0.00000       0.00000
     -22.25100       0.00000       0.00000
     -22.22100       0.00000       0.00000
     -22.19200       0.00000       0.00000
     -22.16200       0.00000       0.00000
     -22.13200       0.00000       0.00000
     -22.10200       0.00000       0.00000
     -22.07200       0.00000       0.00000
     -22.04300       0.00000       0.00000
     -22.01300       0.00000       0.00000
     -21.98300       0.00000       0.00000
     -21.95300       0.00000       0.00000
     -21.92300       0.00000       0.00000
     -21.89300       0.00000       0.00000
     -21.86400       0.00000       0.00000
     -21.83400       0.00000       0.00000
     -21.80400       0.00000       0.00000
     -21.77400       0.00000       0.00000
     -21.74400       0.00000       0.00000
     -21.71400       0.00000       0.00000
     -21.68500       0.00000       0.00000
     -21.65500       0.00000       0.00000
     -21.62500       0.00000       0.00000
     -21.59500       0.00000       0.00000
     -21.56500       0.00000       0.00000
     -21.53600       0.00000      -0.00000
     -21.50600       0.00000      -0.00000
     -21.47600       0.00000      -0.00000
     -21.44600       0.00000      -0.00000
     -21.41600       0.00005      -0.00001
     -21.38600       0.00216      -0.00040
     -21.35700       0.04964      -0.01234
     -21.32700       0.61170      -0.20270
     -21.29700       4.19100      -1.82100
     -21.26700      16.64000      -9.31100
     -21.23700      40.20000     -28.34000
     -21.20700      62.99000     -54.12000
     -21.17800      70.16000     -69.52000
     -21.14800      62.68000     -66.66000
     -21.11800      50.35000     -54.83000
     -21.08800      39.69000     -43.49000
     -21.05800      32.66000     -35.65000
     -21.02900      28.68000     -30.68000
     -20.99900      30.93000     -29.78000
     -20.96900      36.81000     -34.73000
     -20.93900      37.19000     -38.20000
     -20.90900      31.02000     -34.26000
     -20.87900      23.92000     -26.84000
     -20.85000      19.12000     -20.71000
     -20.82000      16.95000     -17.27000
     -20.79000      16.54000     -16.04000
     -20.76000      20.65000     -17.48000
     -20.73000      31.83000     -25.60000
     -20.70000      40.61000     -37.34000
     -20.67100      36.30000     -39.84000
     -20.64100      24.52000     -30.53000
     -20.61100      15.38000     -19.76000
     -20.58100       9.10400     -12.50000
     -20.55100       3.98900      -6.57800
     -20.52200       2.42700      -2.53700
     -20.49200       9.14400      -3.56900
     -20.46200      29.99000     -15.51000
     -20.43200      57.26000     -41.74000
     -20.40200      68.88000     -66.17000
     -20.37200      57.50000     -67.22000
     -20.34300      36.56000     -48.27000
     -20.31300      21.82000     -28.60000
     -20.28300      19.34000     -19.30000
     -20.25300      30.14000     -22.80000
     -20.22300      45.59000     -37.38000
     -20.19300      46.76000     -48.36000
     -20.16400      30.92000     -40.98000
     -20.13400      16.46000     -23.60000
     -20.10400      15.28000     -14.74000
     -20.07400      22.40000     -18.53000
     -20.04400      28.37000     -26.14000
     -20.01500      27.48000     -28.98000
     -19.98500      20.41000     -24.42000
     -19.95500      11.72000     -16.12000
     -19.92500       4.72300      -8.04000
     -19.89500       1.15800      -2.63300
     -19.86500       0.15770      -0.49910
     -19.83600       0.01548      -0.05169
     -19.80600       0.07785      -0.01815
     -19.77600       0.74410      -0.21790
     -19.74600       3.70300      -1.58200
     -19.71600       9.75700      -5.99400
     -19.68600      14.33000     -12.21000
     -19.65700      13.46000     -14.44000
     -19.62700      10.60000     -12.09000
     -19.59700       7.95200      -9.46300
     -19.56700       4.53700      -6.70400
     -19.53700       1.69900      -3.31600
     -19.50800       1.19100      -1.39600
     -19.47800       3.35300      -2.33300
     -19.44800       7.26500      -5.75700
     -19.41800      11.00000      -9.70600
     -19.38800      14.20000     -13.13000
     -19.35800      15.13000     -15.34000
     -19.32900      11.73000     -13.20000
     -19.29900      10.36000      -9.73800
     -19.26900      16.29000     -13.08000
     -19.23900      21.03000     -19.99000
     -19.20900      17.44000     -19.65000
     -19.17900      14.47000     -14.86000
     -19.15000      19.03000     -16.47000
     -19.12000      24.68000     -22.55000
     -19.09000      27.58000     -26.45000
     -19.06000      27.27000     -27.94000
     -19.03000      20.66000     -24.19000
