      #Energy        TDOS-UP        TDOS-DOWN
     -25.65600       0.00000       0.00000
     -25.62300       0.00000       0.00000
     -25.59000       0.00000       0.00000
     -25.55700       0.00000       0.00000
     -25.52400       0.00000       0.00000
     -25.49100       0.00000       0.00000
     -25.45800       0.00000       0.00000
     -25.42500       0.00000       0.00000
     -25.39200       0.00000       0.00000
     -25.35900       0.00000       0.00000
     -25.32600       0.00000       0.00000
     -25.29300       0.00000       0.00000
     -25.26000       0.00000       0.00000
     -25.22700       0.00000       0.00000
     -25.19400       0.00000       0.00000
     -25.16100       0.00000       0.00000
     -25.12800       0.00000       0.00000
     -25.09500       0.00000       0.00000
     -25.06200       0.00000       0.00000
     -25.02900       0.00000       0.00000
     -24.99600       0.00000       0.00000
     -24.96300       0.00000       0.00000
     -24.93000       0.00000       0.00000
     -24.89700       0.00000       0.00000
     -24.86400       0.00000       0.00000
     -24.83100       0.00000       0.00000
     -24.79800       0.00000       0.00000
     -24.76500       0.00000       0.00000
     -24.73200       0.00000       0.00000
     -24.69900       0.00000       0.00000
     -24.66600       0.00000       0.00000
     -24.63300       0.00000       0.00000
     -24.60000       0.00000       0.00000
     -24.56700       0.00000       0.00000
     -24.53400       0.00000       0.00000
     -24.50100       0.00000       0.00000
     -24.46800       0.00000       0.00000
     -24.43500       0.00000      -0.00000
     -24.40200       0.00000      -0.00000
     -24.36900       0.00000      -0.00000
     -24.33600       0.00000      -0.00000
     -24.30300       0.00002      -0.00001
     -24.27000       0.00075      -0.00036
     -24.23700       0.01298      -0.00735
     -24.20400       0.10641      -0.07083
     -24.17000       0.44545      -0.34155
     -24.13700       1.06072      -0.91226
     -24.10400       1.64067      -1.53380
     -24.07100       1.92346      -1.88574
     -24.03800       1.99181      -1.98563
     -24.00500       1.99958      -1.99912
     -23.97200       1.99998      -1.99996
     -23.93900       1.99999      -1.99998
     -23.90600       1.99999      -1.99998
     -23.87300       1.99999      -1.99998
     -23.84000       1.99999      -1.99998
     -23.80700       1.99999      -1.99998
     -23.77400       1.99999      -1.99998
     -23.74100       1.99999      -1.99998
     -23.70800       1.99999      -1.99998
     -23.67500       1.99999      -1.99998
     -23.64200       1.99999      -1.99998
     -23.60900       1.99999      -1.99998
     -23.57600       1.99999      -1.99998
     -23.54300       1.99999      -1.99998
     -23.51000       1.99999      -1.99998
     -23.47700       1.99999      -1.99998
     -23.44400       1.99999      -1.99998
     -23.41100       1.99999      -1.99998
     -23.37800       1.99999      -1.99998
     -23.34500       1.99999      -1.99998
     -23.31200       1.99999      -1.99998
     -23.27900       1.99999      -1.99998
     -23.24600       1.99999      -1.99998
     -23.21300       1.99999      -1.99998
     -23.18000       1.99999      -1.99998
     -23.14700       1.99999      -1.99998
     -23.11400       1.99999      -1.99998
     -23.08100       1.99999      -1.99998
     -23.04800       1.99999      -1.99998
     -23.01500       1.99999      -1.99998
     -22.98200       1.99999      -1.99998
     -22.94900       1.99999      -1.99998
     -22.91600       1.99999      -1.99998
     -22.88300       1.99999      -1.99998
     -22.85000       1.99999      -1.99998
     -22.81700       1.99999      -1.99998
     -22.78400       1.99999      -1.99998
     -22.75100       1.99999      -1.99998
     -22.71800       1.99999      -1.99998
     -22.68500       1.99999      -1.99998
     -22.65200       1.99999      -1.99998
     -22.61900       1.99999      -1.99998
     -22.58600       1.99999      -1.99998
     -22.55300       1.99999      -1.99998
     -22.52000       1.99999      -1.99998
     -22.48700       1.99999      -1.99998
     -22.45400       1.99999      -1.99998
     -22.42100       1.99999      -1.99998
     -22.38800       1.99999      -1.99998
     -22.35500       1.99999      -1.99998
     -22.32200       1.99999      -1.99998
     -22.28900       1.99999      -1.99998
     -22.25600       1.99999      -1.99998
     -22.22300       1.99999      -1.99998
     -22.19000       1.99999      -1.99998
     -22.15700       1.99999      -1.99998
     -22.12400       1.99999      -1.99998
     -22.09100       1.99999      -1.99998
     -22.05800       1.99999      -1.99998
     -22.02500       1.99999      -1.99998
     -21.99200       1.99999      -1.99998
     -21.95900       1.99999      -1.99998
     -21.92600       1.99999      -1.99998
     -21.89300       1.99999      -1.99998
     -21.86000       1.99999      -1.99998
     -21.82700       1.99999      -1.99998
     -21.79400       1.99999      -1.99998
     -21.76100       1.99999      -1.99998
     -21.72800       1.99999      -1.99998
     -21.69500       1.99999      -1.99998
     -21.66200       1.99999      -1.99998
     -21.62900       1.99999      -1.99998
     -21.59600       1.99999      -1.99998
     -21.56300       1.99999      -1.99998
     -21.53000       1.99999      -1.99998
     -21.49700       1.99999      -1.99998
     -21.46400       1.99999      -1.99998
     -21.43100       1.99999      -1.99998
     -21.39800       1.99999      -1.99998
     -21.36500       1.99999      -1.99998
     -21.33200       2.00000      -1.99998
     -21.29900       2.00025      -2.00002
     -21.26600       2.00552      -2.00128
     -21.23300       2.05921      -2.01971
     -21.20000       2.33744      -2.15370
     -21.16700       3.15455      -2.67797
     -21.13400       4.72194      -3.92040
     -21.10100       6.93085      -5.93917
     -21.06800       9.30050      -8.35454
     -21.03500      11.26135     -10.52631
     -21.00200      12.68911     -12.12556
     -20.96900      13.84390     -13.35329
     -20.93600      14.96783     -14.50478
     -20.90300      16.11470     -15.68598
     -20.87000      17.19819     -16.81832
     -20.83700      18.20906     -17.83910
     -20.80400      19.14088     -18.77455
     -20.77100      19.93605     -19.59117
     -20.73800      20.67807     -20.31636
     -20.70500      21.40606     -21.04782
     -20.67200      22.08438     -21.75106
     -20.63900      22.94259     -22.51866
     -20.60600      24.07906     -23.57723
     -20.57300      25.09208     -24.71172
     -20.54000      25.67698     -25.49104
     -20.50700      25.91705     -25.85246
     -20.47400      25.98882     -25.97207
     -20.44100      26.03359     -26.00564
     -20.40800      26.27042     -26.09735
     -20.37500      27.15520     -26.57252
     -20.34200      29.02660     -27.92948
     -20.30900      31.46755     -30.17717
     -20.27600      33.63668     -32.54732
     -20.24300      35.08507     -34.34708
     -20.21000      35.91061     -35.47563
     -20.17700      36.59553     -36.22574
     -20.14400      37.59848     -37.08362
     -20.11000      38.82093     -38.25261
     -20.07700      39.80524     -39.38990
     -20.04400      40.40532     -40.15833
     -20.01100      40.85720     -40.65131
     -19.97800      41.43666     -41.16227
     -19.94500      42.22589     -41.88135
     -19.91200      43.03261     -42.72009
     -19.87900      43.64028     -43.41805
     -19.84600      44.07880     -43.87438
     -19.81300      44.52177     -44.24077
     -19.78000      45.01012     -44.68176
     -19.74700      45.44715     -45.16038
     -19.71400      45.76188     -45.56209
     -19.68100      45.93153     -45.83059
     -19.64800      45.98868     -45.95812
     -19.61500      45.99904     -45.99401
     -19.58200      45.99996     -45.99926
     -19.54900      45.99999     -45.99962
     -19.51600      46.00003     -45.99965
     -19.48300      46.00092     -46.00002
     -19.45000      46.01191     -46.00556
     -19.41700      46.08183     -46.04730
     -19.38400      46.32794     -46.21860
     -19.35100      46.83511     -46.63110
     -19.31800      47.48619     -47.24406
     -19.28500      48.12325     -47.88029
     -19.25200      48.78869     -48.51966
     -19.21900      49.48500     -49.21877
     -19.18600      50.12057     -49.87993
     -19.15300      50.75136     -50.49751
     -19.12000      51.39304     -51.14430
     -19.08700      51.99098     -51.76519
     -19.05400      52.63827     -52.38755
     -19.02100      53.42848     -53.12413
     -18.98800      54.33918     -53.99406
     -18.95500      55.22280     -54.90789
     -18.92200      55.87339     -55.65420
     -18.88900      56.31174     -56.14322
     -18.85600      56.72500     -56.53948
     -18.82300      57.21798     -56.99186
