      #Energy        TDOS-UP        TDOS-DOWN
     -22.60600       0.00000       0.00000
     -22.57600       0.00000       0.00000
     -22.54600       0.00000       0.00000
     -22.51600       0.00000       0.00000
     -22.48700       0.00000       0.00000
     -22.45700       0.00000       0.00000
     -22.42700       0.00000       0.00000
     -22.39700       0.00000       0.00000
     -22.36800       0.00000       0.00000
     -22.33800       0.00000       0.00000
     -22.30800       0.00000       0.00000
     -22.27800       0.00000       0.00000
     -22.24900       0.00000       0.00000
     -22.21900       0.00000       0.00000
     -22.18900       0.00000       0.00000
     -22.16000       0.00000       0.00000
     -22.13000       0.00000       0.00000
     -22.10000       0.00000       0.00000
     -22.07000       0.00000       0.00000
     -22.04100       0.00000       0.00000
     -22.01100       0.00000       0.00000
     -21.98100       0.00000       0.00000
     -21.95100       0.00000       0.00000
     -21.92200       0.00000       0.00000
     -21.89200       0.00000       0.00000
     -21.86200       0.00000       0.00000
     -21.83200       0.00000       0.00000
     -21.80300       0.00000       0.00000
     -21.77300       0.00000       0.00000
     -21.74300       0.00000       0.00000
     -21.71300       0.00000       0.00000
     -21.68400       0.00000       0.00000
     -21.65400       0.00000       0.00000
     -21.62400       0.00000       0.00000
     -21.59400       0.00000       0.00000
     -21.56500       0.00000       0.00000
     -21.53500       0.00000      -0.00000
     -21.50500       0.00000      -0.00000
     -21.47500       0.00000      -0.00000
     -21.44600       0.00000      -0.00000
     -21.41600       0.00000      -0.00000
     -21.38600       0.00004      -0.00001
     -21.35700       0.00083      -0.00020
     -21.32700       0.01084      -0.00346
     -21.29700       0.08270      -0.03380
     -21.26700       0.39186      -0.19920
     -21.23800       1.23171      -0.75547
     -21.20800       2.75662      -1.97228
     -21.17800       4.73298      -3.80261
     -21.14800       6.71633      -5.83057
     -21.11900       8.40778      -7.64812
     -21.08900       9.75098      -9.11801
     -21.05900      10.82696     -10.29660
     -21.02900      11.73834     -11.28277
     -21.00000      12.61983     -12.17913
     -20.97000      13.62117     -13.13184
     -20.94000      14.72392     -14.21422
     -20.91000      15.74771     -15.29913
     -20.88100      16.57403     -16.21809
     -20.85100      17.22058     -16.93348
     -20.82100      17.76006     -17.50345
     -20.79100      18.25746     -18.00010
     -20.76200      18.80244     -18.49453
     -20.73200      19.56437     -19.12100
     -20.70200      20.62564     -20.03713
     -20.67300      21.77345     -21.17810
     -20.64300      22.69776     -22.23832
     -20.61300      23.31085     -23.00710
     -20.58300      23.69105     -23.50479
     -20.55400      23.89946     -23.80442
     -20.52400      24.00023     -23.95150
     -20.49400      24.15785     -24.04123
     -20.46400      24.69479     -24.29822
     -20.43500      25.93301     -25.09213
     -20.40500      27.78000     -26.64187
     -20.37500      29.68156     -28.61897
     -20.34500      31.12929     -30.37734
     -20.31600      32.03651     -31.56976
     -20.28600      32.65391     -32.30760
     -20.25600      33.35547     -32.92084
     -20.22600      34.43532     -33.77050
     -20.19700      35.80395     -35.01154
     -20.16700      37.00692     -36.36129
     -20.13700      37.76038     -37.37735
     -20.10700      38.24127     -37.98077
     -20.07800      38.78105     -38.46746
     -20.04800      39.51756     -39.10835
     -20.01800      40.35161     -39.91965
     -19.98800      41.08856     -40.72992
     -19.95900      41.59845     -41.36323
     -19.92900      41.86955     -41.75298
     -19.89900      41.97179     -41.93297
     -19.87000      41.99629     -41.98912
     -19.84000      41.99974     -41.99976
     -19.81000      42.00081     -42.00105
     -19.78000      42.00978     -42.00351
     -19.75100      42.06276     -42.02380
     -19.72100      42.23732     -42.11714
     -19.69100      42.57481     -42.36092
     -19.66100      42.98923     -42.74515
     -19.63200      43.36038     -43.14843
     -19.60200      43.65036     -43.48288
     -19.57200      43.85212     -43.73754
     -19.54200      43.95860     -43.90248
     -19.51300      44.00483     -43.98244
     -19.48300      44.06212     -44.03402
     -19.45300      44.20034     -44.13754
     -19.42300      44.45145     -44.34642
     -19.39400      44.80892     -44.66694
     -19.36400      45.24000     -45.07899
     -19.33400      45.65427     -45.51244
     -19.30400      45.98989     -45.86977
     -19.27500      46.35866     -46.19453
     -19.24500      46.88639     -46.65074
     -19.21500      47.47004     -47.23542
     -19.18600      47.95896     -47.76955
     -19.15600      48.43376     -48.22828
     -19.12600      49.04863     -48.77327
     -19.09600      49.80803     -49.47602
     -19.06700      50.62960     -50.27929
     -19.03700      51.38038     -51.07810
     -19.00700      51.92833     -51.72405
     -18.97700      52.29250     -52.16004
     -18.94800      52.57923     -52.47040
     -18.91800      52.86850     -52.74579
     -18.88800      53.26999     -53.07677
     -18.85800      53.90880     -53.59781
     -18.82900      54.79237     -54.38071
     -18.79900      55.78954     -55.34696
     -18.76900      56.72322     -56.33060
     -18.73900      57.48085     -57.17134
