#K-Path              Spin-Up       Spin-Down
# NKPTS & NBANDS:  60 512
# Band-Index    1
   0.00000    -24.140458    -24.140458
   0.01681    -24.140457    -24.140457
   0.03361    -24.140457    -24.140457
   0.05042    -24.140456    -24.140456
   0.06722    -24.140455    -24.140455
   0.08403    -24.140455    -24.140455
   0.10083    -24.140455    -24.140455
   0.11764    -24.140454    -24.140454
   0.13444    -24.140455    -24.140455
   0.15125    -24.140455    -24.140455
   0.15125    -24.140455    -24.140455
   0.15671    -24.140456    -24.140456
   0.16217    -24.140455    -24.140456
   0.16763    -24.140456    -24.140456
   0.17309    -24.140456    -24.140456
   0.17855    -24.140456    -24.140456
   0.18401    -24.140455    -24.140455
   0.18947    -24.140456    -24.140456
   0.19493    -24.140455    -24.140455
   0.20039    -24.140455    -24.140455
   0.20039    -24.140455    -24.140455
   0.21469    -24.140454    -24.140454
   0.22898    -24.140456    -24.140456
   0.24328    -24.140457    -24.140457
   0.25758    -24.140456    -24.140456
   0.27187    -24.140455    -24.140455
   0.28617    -24.140455    -24.140455
   0.30046    -24.140455    -24.140455
   0.31476    -24.140454    -24.140454
   0.32905    -24.140455    -24.140455
   0.32905    -24.140455    -24.140455
   0.34335    -24.140454    -24.140454
   0.35764    -24.140455    -24.140455
   0.37194    -24.140455    -24.140455
   0.38624    -24.140455    -24.140455
   0.40053    -24.140456    -24.140456
   0.41483    -24.140457    -24.140457
   0.42912    -24.140456    -24.140456
   0.44342    -24.140454    -24.140454
   0.45771    -24.140455    -24.140455
   0.45771    -24.140455    -24.140455
   0.46317    -24.140454    -24.140454
   0.46863    -24.140455    -24.140455
   0.47409    -24.140455    -24.140455
   0.47956    -24.140456    -24.140456
   0.48502    -24.140456    -24.140456
   0.49048    -24.140455    -24.140455
   0.49594    -24.140455    -24.140455
   0.50140    -24.140455    -24.140455
   0.50686    -24.140455    -24.140455
   0.50686    -24.140455    -24.140455
   0.52366    -24.140454    -24.140454
   0.54047    -24.140454    -24.140454
   0.55727    -24.140455    -24.140455
   0.57408    -24.140455    -24.140455
   0.59088    -24.140455    -24.140455
   0.60769    -24.140456    -24.140456
   0.62450    -24.140457    -24.140457
   0.64130    -24.140458    -24.140458
   0.65811    -24.140458    -24.140458
 
 
# Band-Index    2
   0.65811    -21.166869    -21.166869
   0.64130    -21.166667    -21.166667
   0.62450    -21.166026    -21.166026
   0.60769    -21.164884    -21.164885
   0.59088    -21.163213    -21.163213
   0.57408    -21.161052    -21.161052
   0.55727    -21.158546    -21.158547
   0.54047    -21.156008    -21.156009
   0.52366    -21.153985    -21.153985
   0.50686    -21.153185    -21.153185
   0.50686    -21.153185    -21.153185
   0.50140    -21.153243    -21.153244
   0.49594    -21.153412    -21.153412
   0.49048    -21.153677    -21.153677
   0.48502    -21.154018    -21.154018
   0.47956    -21.154413    -21.154413
   0.47409    -21.154838    -21.154838
   0.46863    -21.155274    -21.155274
   0.46317    -21.155701    -21.155701
   0.45771    -21.156106    -21.156106
   0.45771    -21.156106    -21.156106
   0.44342    -21.159210    -21.159210
   0.42912    -21.162581    -21.162581
   0.41483    -21.165874    -21.165874
   0.40053    -21.168873    -21.168873
   0.38624    -21.171448    -21.171448
   0.37194    -21.173515    -21.173515
   0.35764    -21.175020    -21.175020
   0.34335    -21.175935    -21.175935
   0.32905    -21.176243    -21.176243
   0.32905    -21.176243    -21.176243
   0.31476    -21.175935    -21.175935
   0.30046    -21.175020    -21.175020
   0.28617    -21.173515    -21.173515
   0.27187    -21.171448    -21.171448
   0.25758    -21.168873    -21.168873
   0.24328    -21.165874    -21.165874
   0.22898    -21.162581    -21.162581
   0.21469    -21.159210    -21.159210
   0.20039    -21.156106    -21.156106
   0.20039    -21.156106    -21.156106
   0.19493    -21.155819    -21.155819
   0.18947    -21.155518    -21.155518
   0.18401    -21.155213    -21.155213
   0.17855    -21.154921    -21.154921
   0.17309    -21.154654    -21.154654
   0.16763    -21.154426    -21.154426
   0.16217    -21.154252    -21.154252
   0.15671    -21.154143    -21.154143
   0.15125    -21.154105    -21.154105
   0.15125    -21.154105    -21.154105
   0.13444    -21.154809    -21.154809
   0.11764    -21.156628    -21.156629
   0.10083    -21.158965    -21.158965
   0.08403    -21.161315    -21.161315
   0.06722    -21.163367    -21.163367
   0.05042    -21.164965    -21.164965
   0.03361    -21.166060    -21.166060
   0.01681    -21.166675    -21.166675
   0.00000    -21.166869    -21.166869
 
 
# Band-Index    3
   0.00000    -21.154908    -21.154908
   0.01681    -21.154273    -21.154273
   0.03361    -21.152415    -21.152415
   0.05042    -21.149457    -21.149457
   0.06722    -21.145547    -21.145547
   0.08403    -21.140855    -21.140855
   0.10083    -21.135622    -21.135622
   0.11764    -21.130301    -21.130301
   0.13444    -21.125894    -21.125893
   0.15125    -21.124106    -21.124106
   0.15125    -21.124106    -21.124106
   0.15671    -21.124036    -21.124036
   0.16217    -21.123833    -21.123833
   0.16763    -21.123516    -21.123516
   0.17309    -21.123112    -21.123112
   0.17855    -21.122663    -21.122663
   0.18401    -21.122215    -21.122215
   0.18947    -21.121823    -21.121823
   0.19493    -21.121538    -21.121538
   0.20039    -21.121409    -21.121409
   0.20039    -21.121409    -21.121409
   0.21469    -21.117576    -21.117576
   0.22898    -21.117173    -21.117173
   0.24328    -21.119269    -21.119269
   0.25758    -21.121888    -21.121888
   0.27187    -21.124322    -21.124322
   0.28617    -21.126330    -21.126330
   0.30046    -21.127811    -21.127811
   0.31476    -21.128715    -21.128715
   0.32905    -21.129019    -21.129019
   0.32905    -21.129019    -21.129019
   0.34335    -21.128715    -21.128715
   0.35764    -21.127811    -21.127811
   0.37194    -21.126330    -21.126330
   0.38624    -21.124322    -21.124322
   0.40053    -21.121888    -21.121888
   0.41483    -21.119269    -21.119269
   0.42912    -21.117173    -21.117173
   0.44342    -21.117576    -21.117576
   0.45771    -21.121409    -21.121409
   0.45771    -21.121409    -21.121409
   0.46317    -21.122541    -21.122541
   0.46863    -21.123722    -21.123722
   0.47409    -21.124882    -21.124882
   0.47956    -21.125966    -21.125966
   0.48502    -21.126925    -21.126925
   0.49048    -21.127720    -21.127720
   0.49594    -21.128316    -21.128316
   0.50140    -21.128686    -21.128686
   0.50686    -21.128811    -21.128811
   0.50686    -21.128811    -21.128811
   0.52366    -21.129659    -21.129659
   0.54047    -21.132460    -21.132460
   0.55727    -21.136726    -21.136726
   0.57408    -21.141410    -21.141410
   0.59088    -21.145820    -21.145820
   0.60769    -21.149583    -21.149583
   0.62450    -21.152464    -21.152464
   0.64130    -21.154284    -21.154284
   0.65811    -21.154908    -21.154908
 
 
# Band-Index    4
   0.65811    -21.069917    -21.069917
   0.64130    -21.070875    -21.070875
   0.62450    -21.074420    -21.074420
   0.60769    -21.080355    -21.080355
   0.59088    -21.087350    -21.087350
   0.57408    -21.094408    -21.094408
   0.55727    -21.100695    -21.100695
   0.54047    -21.105259    -21.105259
   0.52366    -21.107165    -21.107164
   0.50686    -21.107204    -21.107204
   0.50686    -21.107204    -21.107204
   0.50140    -21.107197    -21.107197
   0.49594    -21.107173    -21.107173
   0.49048    -21.107139    -21.107139
   0.48502    -21.107097    -21.107097
   0.47956    -21.107063    -21.107063
   0.47409    -21.107053    -21.107053
   0.46863    -21.107097    -21.107097
   0.46317    -21.107233    -21.107233
   0.45771    -21.107501    -21.107501
   0.45771    -21.107501    -21.107501
   0.44342    -21.106342    -21.106342
   0.42912    -21.103368    -21.103368
   0.41483    -21.100669    -21.100669
   0.40053    -21.101074    -21.101074
   0.38624    -21.102217    -21.102217
   0.37194    -21.103357    -21.103357
   0.35764    -21.104265    -21.104265
   0.34335    -21.104840    -21.104840
   0.32905    -21.105036    -21.105036
   0.32905    -21.105036    -21.105036
   0.31476    -21.104840    -21.104840
   0.30046    -21.104265    -21.104265
   0.28617    -21.103357    -21.103357
   0.27187    -21.102217    -21.102217
   0.25758    -21.101074    -21.101074
   0.24328    -21.100669    -21.100669
   0.22898    -21.103368    -21.103368
   0.21469    -21.106342    -21.106342
   0.20039    -21.107501    -21.107501
   0.20039    -21.107501    -21.107501
   0.19493    -21.108110    -21.108110
   0.18947    -21.108704    -21.108704
   0.18401    -21.109234    -21.109234
   0.17855    -21.109680    -21.109680
   0.17309    -21.110033    -21.110033
   0.16763    -21.110299    -21.110299
   0.16217    -21.110481    -21.110481
   0.15671    -21.110588    -21.110588
   0.15125    -21.110623    -21.110622
   0.15125    -21.110623    -21.110622
   0.13444    -21.109627    -21.109627
   0.11764    -21.106207    -21.106207
   0.10083    -21.100733    -21.100733
   0.08403    -21.094006    -21.094006
   0.06722    -21.086719    -21.086719
   0.05042    -21.079572    -21.079572
   0.03361    -21.073552    -21.073552
   0.01681    -21.070501    -21.070501
   0.00000    -21.069917    -21.069917
 
 
# Band-Index    5
   0.00000    -21.066321    -21.066321
   0.01681    -21.067665    -21.067665
   0.03361    -21.069893    -21.069893
   0.05042    -21.071385    -21.071385
   0.06722    -21.072842    -21.072843
   0.08403    -21.074445    -21.074445
   0.10083    -21.078426    -21.078426
   0.11764    -21.085855    -21.085855
   0.13444    -21.092159    -21.092159
   0.15125    -21.094854    -21.094854
   0.15125    -21.094854    -21.094854
   0.15671    -21.094901    -21.094901
   0.16217    -21.095038    -21.095038
   0.16763    -21.095263    -21.095263
   0.17309    -21.095566    -21.095566
   0.17855    -21.095935    -21.095935
   0.18401    -21.096341    -21.096341
   0.18947    -21.096745    -21.096745
   0.19493    -21.097083    -21.097083
   0.20039    -21.097266    -21.097266
   0.20039    -21.097266    -21.097266
   0.21469    -21.098272    -21.098272
   0.22898    -21.097759    -21.097759
   0.24328    -21.095141    -21.095141
   0.25758    -21.089195    -21.089195
   0.27187    -21.082640    -21.082640
   0.28617    -21.076471    -21.076471
   0.30046    -21.071329    -21.071329
   0.31476    -21.067864    -21.067864
   0.32905    -21.066634    -21.066634
   0.32905    -21.066634    -21.066634
   0.34335    -21.067864    -21.067864
   0.35764    -21.071329    -21.071329
   0.37194    -21.076471    -21.076471
   0.38624    -21.082640    -21.082640
   0.40053    -21.089195    -21.089195
   0.41483    -21.095141    -21.095141
   0.42912    -21.097759    -21.097759
   0.44342    -21.098272    -21.098272
   0.45771    -21.097266    -21.097266
   0.45771    -21.097266    -21.097266
   0.46317    -21.096675    -21.096675
   0.46863    -21.095904    -21.095904
   0.47409    -21.095066    -21.095066
   0.47956    -21.094252    -21.094252
   0.48502    -21.093528    -21.093528
   0.49048    -21.092937    -21.092937
   0.49594    -21.092504    -21.092504
   0.50140    -21.092240    -21.092240
   0.50686    -21.092151    -21.092151
   0.50686    -21.092151    -21.092151
   0.52366    -21.089341    -21.089341
   0.54047    -21.082941    -21.082941
   0.55727    -21.076739    -21.076739
   0.57408    -21.074783    -21.074783
   0.59088    -21.073038    -21.073038
   0.60769    -21.071211    -21.071211
   0.62450    -21.069349    -21.069350
   0.64130    -21.067382    -21.067382
   0.65811    -21.066321    -21.066321
 
 
# Band-Index    6
   0.65811    -21.038280    -21.038280
   0.64130    -21.039854    -21.039854
   0.62450    -21.044082    -21.044082
   0.60769    -21.050263    -21.050263
