      #Energy        TDOS-UP        TDOS-DOWN
     -22.92673       0.00000       0.00000
     -22.89373       0.00000       0.00000
     -22.86073       0.00000       0.00000
     -22.82773       0.00000       0.00000
     -22.79473       0.00000       0.00000
     -22.76173       0.00000       0.00000
     -22.72873       0.00000       0.00000
     -22.69573       0.00000       0.00000
     -22.66273       0.00000       0.00000
     -22.62973       0.00000       0.00000
     -22.59673       0.00000       0.00000
     -22.56373       0.00000       0.00000
     -22.53073       0.00000       0.00000
     -22.49773       0.00000       0.00000
     -22.46473       0.00000       0.00000
     -22.43173       0.00000       0.00000
     -22.39873       0.00000       0.00000
     -22.36573       0.00000       0.00000
     -22.33273       0.00000       0.00000
     -22.29973       0.00000       0.00000
     -22.26673       0.00000       0.00000
     -22.23373       0.00000       0.00000
     -22.20073       0.00000       0.00000
     -22.16673       0.00000       0.00000
     -22.13373       0.00000       0.00000
     -22.10073       0.00000       0.00000
     -22.06773       0.00000       0.00000
     -22.03473       0.00000       0.00000
     -22.00173       0.00000       0.00000
     -21.96873       0.00000       0.00000
     -21.93573       0.00000       0.00000
     -21.90273       0.00000       0.00000
     -21.86973       0.00000       0.00000
     -21.83673       0.00000       0.00000
     -21.80373       0.00000       0.00000
     -21.77073       0.00000       0.00000
     -21.73773       0.00000       0.00000
     -21.70473       0.00000      -0.00000
     -21.67173       0.00000      -0.00000
     -21.63873       0.00000      -0.00000
     -21.60573       0.00000      -0.00000
     -21.57273       0.00002      -0.00002
     -21.53973       0.00074      -0.00074
     -21.50673       0.01294      -0.01294
     -21.47373       0.10626      -0.10626
     -21.44073       0.44519      -0.44519
     -21.40773       1.06059      -1.06059
     -21.37473       1.64083      -1.64083
     -21.34173       1.92365      -1.92365
     -21.30873       1.99191      -1.99191
     -21.27573       1.99966      -1.99966
     -21.24273       2.00006      -2.00006
     -21.20973       2.00007      -2.00007
     -21.17673       2.00007      -2.00007
     -21.14373       2.00007      -2.00007
     -21.11073       2.00007      -2.00007
     -21.07773       2.00007      -2.00007
     -21.04473       2.00007      -2.00007
     -21.01173       2.00007      -2.00007
     -20.97873       2.00007      -2.00007
     -20.94573       2.00007      -2.00007
     -20.91273       2.00007      -2.00007
     -20.87973       2.00007      -2.00007
     -20.84673       2.00007      -2.00007
     -20.81373       2.00007      -2.00007
     -20.77973       2.00007      -2.00007
     -20.74673       2.00007      -2.00007
     -20.71373       2.00007      -2.00007
     -20.68073       2.00007      -2.00007
     -20.64773       2.00007      -2.00007
     -20.61473       2.00007      -2.00007
     -20.58173       2.00007      -2.00007
     -20.54873       2.00007      -2.00007
     -20.51573       2.00007      -2.00007
     -20.48273       2.00007      -2.00007
     -20.44973       2.00007      -2.00007
     -20.41673       2.00007      -2.00007
     -20.38373       2.00007      -2.00007
     -20.35073       2.00007      -2.00007
     -20.31773       2.00007      -2.00007
     -20.28473       2.00007      -2.00007
     -20.25173       2.00007      -2.00007
     -20.21873       2.00007      -2.00007
     -20.18573       2.00007      -2.00007
     -20.15273       2.00007      -2.00007
     -20.11973       2.00007      -2.00007
     -20.08673       2.00007      -2.00007
     -20.05373       2.00007      -2.00007
     -20.02073       2.00007      -2.00007
     -19.98773       2.00007      -2.00007
     -19.95473       2.00007      -2.00007
     -19.92173       2.00007      -2.00007
     -19.88873       2.00007      -2.00007
     -19.85573       2.00007      -2.00007
     -19.82273       2.00007      -2.00007
     -19.78973       2.00007      -2.00007
     -19.75673       2.00007      -2.00007
     -19.72373       2.00007      -2.00007
     -19.69073       2.00007      -2.00007
     -19.65773       2.00007      -2.00007
     -19.62473       2.00007      -2.00007
     -19.59173       2.00007      -2.00007
     -19.55873       2.00007      -2.00007
     -19.52573       2.00007      -2.00007
     -19.49273       2.00007      -2.00007
     -19.45973       2.00007      -2.00007
     -19.42573       2.00007      -2.00007
     -19.39273       2.00007      -2.00007
     -19.35973       2.00007      -2.00007
     -19.32673       2.00007      -2.00007
     -19.29373       2.00007      -2.00007
     -19.26073       2.00007      -2.00007
     -19.22773       2.00007      -2.00007
     -19.19473       2.00007      -2.00007
     -19.16173       2.00007      -2.00007
     -19.12873       2.00007      -2.00007
