      #Energy        TDOS-UP        TDOS-DOWN
     -22.92223       0.00000       0.00000
     -22.88823       0.00000       0.00000
     -22.85523       0.00000       0.00000
     -22.82223       0.00000       0.00000
     -22.78923       0.00000       0.00000
     -22.75623       0.00000       0.00000
     -22.72323       0.00000       0.00000
     -22.69023       0.00000       0.00000
     -22.65723       0.00000       0.00000
     -22.62423       0.00000       0.00000
     -22.59123       0.00000       0.00000
     -22.55823       0.00000       0.00000
     -22.52523       0.00000       0.00000
     -22.49223       0.00000       0.00000
     -22.45923       0.00000       0.00000
     -22.42623       0.00000       0.00000
     -22.39323       0.00000       0.00000
     -22.36023       0.00000       0.00000
     -22.32723       0.00000       0.00000
     -22.29423       0.00000       0.00000
     -22.26123       0.00000       0.00000
     -22.22823       0.00000       0.00000
     -22.19523       0.00000       0.00000
     -22.16223       0.00000       0.00000
     -22.12923       0.00000       0.00000
     -22.09523       0.00000       0.00000
     -22.06223       0.00000       0.00000
     -22.02923       0.00000       0.00000
     -21.99623       0.00000       0.00000
     -21.96323       0.00000       0.00000
     -21.93023       0.00000       0.00000
     -21.89723       0.00000       0.00000
     -21.86423       0.00000       0.00000
     -21.83123       0.00000       0.00000
     -21.79823       0.00000       0.00000
     -21.76523       0.00000       0.00000
     -21.73223       0.00000       0.00000
     -21.69923       0.00000      -0.00000
     -21.66623       0.00000      -0.00000
     -21.63323       0.00000      -0.00000
     -21.60023       0.00001      -0.00000
     -21.56723       0.00113      -0.00045
     -21.53423       0.04251      -0.02039
     -21.50123       0.69350      -0.40020
     -21.46823       4.94900      -3.43100
     -21.43523      15.57000     -12.94000
     -21.40223      21.70000     -21.62000
     -21.36923      13.43000     -16.03000
     -21.33623       3.68100      -5.27000
     -21.30223       0.44420      -0.76390
     -21.26923       0.02341      -0.04845
     -21.23623       0.00053      -0.00133
     -21.20323       0.00001      -0.00002
     -21.17023       0.00000      -0.00000
     -21.13723       0.00000      -0.00000
     -21.10423       0.00000      -0.00000
     -21.07123       0.00000       0.00000
     -21.03823       0.00000       0.00000
     -21.00523       0.00000       0.00000
     -20.97223       0.00000       0.00000
     -20.93923       0.00000       0.00000
     -20.90623       0.00000       0.00000
     -20.87323       0.00000       0.00000
     -20.84023       0.00000       0.00000
     -20.80723       0.00000       0.00000
     -20.77423       0.00000       0.00000
     -20.74123       0.00000       0.00000
     -20.70823       0.00000       0.00000
     -20.67523       0.00000       0.00000
     -20.64223       0.00000       0.00000
     -20.60923       0.00000       0.00000
     -20.57623       0.00000       0.00000
     -20.54323       0.00000       0.00000
     -20.51023       0.00000       0.00000
     -20.47623       0.00000       0.00000
     -20.44323       0.00000       0.00000
     -20.41023       0.00000       0.00000
     -20.37723       0.00000       0.00000
     -20.34423       0.00000       0.00000
     -20.31123       0.00000       0.00000
     -20.27823       0.00000       0.00000
     -20.24523       0.00000       0.00000
     -20.21223       0.00000       0.00000
     -20.17923       0.00000       0.00000
     -20.14623       0.00000       0.00000
     -20.11323       0.00000       0.00000
     -20.08023       0.00000       0.00000
     -20.04723       0.00000       0.00000
     -20.01423       0.00000       0.00000
     -19.98123       0.00000       0.00000
     -19.94823       0.00000       0.00000
     -19.91523       0.00000       0.00000
     -19.88223       0.00000       0.00000
     -19.84923       0.00000       0.00000
     -19.81623       0.00000       0.00000
     -19.78323       0.00000       0.00000
     -19.75023       0.00000       0.00000
     -19.71723       0.00000       0.00000
     -19.68323       0.00000       0.00000
     -19.65023       0.00000       0.00000
     -19.61723       0.00000       0.00000
     -19.58423       0.00000       0.00000
     -19.55123       0.00000       0.00000
     -19.51823       0.00000       0.00000
     -19.48523       0.00000       0.00000
     -19.45223       0.00000       0.00000
     -19.41923       0.00000       0.00000
     -19.38623       0.00000       0.00000
     -19.35323       0.00000       0.00000
     -19.32023       0.00000       0.00000
     -19.28723       0.00000       0.00000
     -19.25423       0.00000       0.00000
     -19.22123       0.00000       0.00000
     -19.18823       0.00000       0.00000
     -19.15523       0.00000       0.00000
     -19.12223       0.00000       0.00000
     -19.08923       0.00000       0.00000
     -19.05623       0.00000       0.00000
     -19.02323       0.00000       0.00000
     -18.99023       0.00000       0.00000
     -18.95723       0.00000       0.00000
     -18.92423       0.00000       0.00000
     -18.89023       0.00000       0.00000
     -18.85723       0.00000       0.00000
     -18.82423       0.00000       0.00000
     -18.79123       0.00000       0.00000
     -18.75823       0.00000       0.00000
     -18.72523       0.00000      -0.00000
     -18.69223       0.00000      -0.00000
     -18.65923       0.00000      -0.00000
     -18.62623       0.00000      -0.00000
     -18.59323       0.00040      -0.00004
     -18.56023       0.01754      -0.00272
     -18.52723       0.35070      -0.08161
     -18.49423       3.23500      -1.12500
     -18.46123      14.48000      -7.38300
     -18.42823      35.37000     -24.87000
     -18.39523      58.03000     -49.84000
     -18.36223      73.77000     -70.85000
     -18.32923      69.41000     -74.61000
     -18.29623      50.13000     -57.37000
     -18.26323      36.90000     -40.12000
     -18.23023      32.96000     -34.30000
