      #Energy        TDOS-UP        TDOS-DOWN
     -19.82604       0.00000       0.00000
     -19.79604       0.00000       0.00000
     -19.76604       0.00000       0.00000
     -19.73604       0.00000       0.00000
     -19.70604       0.00000       0.00000
     -19.67704       0.00000       0.00000
     -19.64704       0.00000       0.00000
     -19.61704       0.00000       0.00000
     -19.58704       0.00000       0.00000
     -19.55804       0.00000       0.00000
     -19.52804       0.00000       0.00000
     -19.49804       0.00000       0.00000
     -19.46804       0.00000       0.00000
     -19.43804       0.00000       0.00000
     -19.40904       0.00000       0.00000
     -19.37904       0.00000       0.00000
     -19.34904       0.00000       0.00000
     -19.31904       0.00000       0.00000
     -19.28904       0.00000       0.00000
     -19.26004       0.00000       0.00000
     -19.23004       0.00000       0.00000
     -19.20004       0.00000       0.00000
     -19.17004       0.00000       0.00000
     -19.14004       0.00000       0.00000
     -19.11104       0.00000       0.00000
     -19.08104       0.00000       0.00000
     -19.05104       0.00000       0.00000
     -19.02104       0.00000       0.00000
     -18.99204       0.00000       0.00000
     -18.96204       0.00000       0.00000
     -18.93204       0.00000       0.00000
     -18.90204       0.00000       0.00000
     -18.87204       0.00000       0.00000
     -18.84304       0.00000       0.00000
     -18.81304       0.00000       0.00000
     -18.78304       0.00000       0.00000
     -18.75304       0.00000      -0.00000
     -18.72304       0.00000      -0.00000
     -18.69404       0.00000      -0.00000
     -18.66404       0.00000      -0.00000
     -18.63404       0.00000      -0.00000
     -18.60404       0.00003      -0.00003
     -18.57404       0.00081      -0.00081
     -18.54504       0.01062      -0.01062
     -18.51504       0.08059      -0.08059
     -18.48504       0.37924      -0.37924
     -18.45504       1.18654      -1.18654
     -18.42604       2.65742      -2.65742
     -18.39604       4.59093      -4.59093
     -18.36604       6.56778      -6.56778
     -18.33604       8.27265      -8.27265
     -18.30604       9.62943      -9.62943
     -18.27704      10.72704     -10.72704
     -18.24704      11.67838     -11.67838
     -18.21704      12.60142     -12.60142
     -18.18704      13.62663     -13.62663
     -18.15704      14.73586     -14.73586
     -18.12804      15.75259     -15.75259
     -18.09804      16.56749     -16.56749
     -18.06804      17.20425     -17.20425
     -18.03804      17.72750     -17.72750
     -18.00804      18.20161     -18.20161
     -17.97904      18.72219     -18.72219
     -17.94904      19.45457     -19.45457
     -17.91904      20.48485     -20.48485
     -17.88904      21.62148     -21.62148
     -17.86004      22.56567     -22.56567
     -17.83004      23.21554     -23.21554
     -17.80004      23.63319     -23.63319
     -17.77004      23.87269     -23.87269
     -17.74004      23.99080     -23.99080
     -17.71104      24.14707     -24.14707
     -17.68104      24.66035     -24.66035
     -17.65104      25.85715     -25.85715
     -17.62104      27.66704     -27.66704
     -17.59104      29.55527     -29.55527
     -17.56204      31.01690     -31.01690
     -17.53204      31.95573     -31.95573
     -17.50204      32.59919     -32.59919
     -17.47204      33.29985     -33.29985
     -17.44204      34.35784     -34.35784
     -17.41304      35.71521     -35.71521
     -17.38304      36.93644     -36.93644
     -17.35304      37.71888     -37.71888
     -17.32304      38.21443     -38.21443
     -17.29304      38.75795     -38.75795
     -17.26404      39.50239     -39.50239
     -17.23404      40.35185     -40.35185
     -17.20404      41.10375     -41.10375
     -17.17404      41.61747     -41.61747
     -17.14504      41.88147     -41.88147
     -17.11504      41.97614     -41.97614
     -17.08504      41.99755     -41.99755
     -17.05504      42.00037     -42.00037
     -17.02504      42.00107     -42.00107
     -16.99604      42.00726     -42.00726
     -16.96604      42.04803     -42.04803
     -16.93604      42.19629     -42.19629
     -16.90604      42.50894     -42.50894
     -16.87604      42.92033     -42.92033
     -16.84704      43.30373     -43.30373
     -16.81704      43.60757     -43.60757
     -16.78704      43.82547     -43.82547
     -16.75704      43.94831     -43.94831
     -16.72704      44.00664     -44.00664
     -16.69804      44.07642     -44.07642
     -16.66804      44.23067     -44.23067
     -16.63804      44.49565     -44.49565
     -16.60804      44.86117     -44.86117
     -16.57904      45.29193     -45.29193
     -16.54904      45.69454     -45.69454
     -16.51904      46.01936     -46.01936
     -16.48904      46.39109     -46.39109
     -16.45904      46.92358     -46.92358
     -16.43004      47.50315     -47.50315
     -16.40004      47.99423     -47.99423
     -16.37004      48.48383     -48.48383
     -16.34004      49.10852     -49.10852
     -16.31004      49.86757     -49.86757
     -16.28104      50.68381     -50.68381
     -16.25104      51.42111     -51.42111
     -16.22104      51.95330     -51.95330
     -16.19104      52.30959     -52.30959
     -16.16104      52.59496     -52.59496
     -16.13204      52.88882     -52.88882
     -16.10204      53.30618     -53.30618
     -16.07204      53.96945     -53.96945
     -16.04204      54.87342     -54.87342
     -16.01304      55.88136     -55.88136
     -15.98304      56.81781     -56.81781
     -15.95304      57.56955     -57.56955
     -15.92304      58.24727     -58.24727
     -15.89304      59.15124     -59.15124
     -15.86404      60.40167     -60.40167
     -15.83404      61.77439     -61.77439
     -15.80404      62.96375     -62.96375
     -15.77404      63.86400     -63.86400
     -15.74404      64.60606     -64.60606
     -15.71504      65.28944     -65.28944
     -15.68504      65.87034     -65.87034
     -15.65504      66.44127     -66.44127
     -15.62504      67.21223     -67.21223
     -15.59504      68.16580     -68.16580
     -15.56604      69.11744     -69.11744
     -15.53604      69.98596     -69.98596
     -15.50604      70.75707     -70.75707
     -15.47604      71.48722     -71.48722
     -15.44704      72.39507     -72.39507
     -15.41704      73.59768     -73.59768
     -15.38704      74.81430     -74.81430
     -15.35704      75.67135     -75.67135
     -15.32704      76.19431     -76.19431
     -15.29804      76.69806     -76.69806
     -15.26804      77.35612     -77.35612
     -15.23804      78.05141     -78.05141
     -15.20804      78.58912     -78.58912
     -15.17804      78.96060     -78.96060
     -15.14904      79.31912     -79.31912
     -15.11904      79.81125     -79.81125
     -15.08904      80.56359     -80.56359
     -15.05904      81.72629     -81.72629
     -15.02904      83.33673     -83.33673
     -15.00004      85.16657     -85.16657
     -14.97004      86.89006     -86.89006
     -14.94004      88.40994     -88.40994
     -14.91004      89.84641     -89.84641
     -14.88104      91.24266     -91.24266
     -14.85104      92.49800     -92.49800
     -14.82104      93.57088     -93.57088
     -14.79104      94.57108     -94.57108
     -14.76104      95.63845     -95.63845
     -14.73204      96.85521     -96.85521
     -14.70204      98.23508     -98.23508
     -14.67204      99.64369     -99.64369
     -14.64204     100.81205    -100.81205
     -14.61204     101.57631    -101.57631
     -14.58304     102.02882    -102.02882
     -14.55304     102.37423    -102.37423
     -14.52304     102.75181    -102.75181
     -14.49304     103.25377    -103.25377
     -14.46304     103.98362    -103.98362
     -14.43404     104.98024    -104.98024
     -14.40404     106.17243    -106.17243
     -14.37404     107.47559    -107.47559
     -14.34404     108.85948    -108.85948
     -14.31504     110.31278    -110.31278
     -14.28504     111.78008    -111.78008
     -14.25504     113.13209    -113.13209
     -14.22504     114.23729    -114.23729
     -14.19504     115.06321    -115.06321
     -14.16604     115.66944    -115.66944
     -14.13604     116.15799    -116.15799
     -14.10604     116.65235    -116.65235
     -14.07604     117.24979    -117.24979
     -14.04604     117.96177    -117.96177
     -14.01704     118.74598    -118.74598
     -13.98704     119.63119    -119.63119
     -13.95704     120.69796    -120.69796
     -13.92704     121.94095    -121.94095
     -13.89704     123.30815    -123.30815
     -13.86804     124.71810    -124.71810
     -13.83804     125.96109    -125.96109
     -13.80804     126.83169    -126.83169
     -13.77804     127.33931    -127.33931
     -13.74904     127.64305    -127.64305
     -13.71904     127.87893    -127.87893
     -13.68904     128.14933    -128.14933
     -13.65904     128.56073    -128.56073
     -13.62904     129.14029    -129.14029
     -13.60004     129.82292    -129.82292
     -13.57004     130.51881    -130.51881
     -13.54004     131.09808    -131.09808
     -13.51004     131.46872    -131.46872
     -13.48004     131.66949    -131.66949
     -13.45104     131.79059    -131.79059
     -13.42104     131.88346    -131.88346
     -13.39104     131.95179    -131.95179
     -13.36104     131.98764    -131.98764
     -13.33104     131.99925    -131.99925
     -13.30204     132.00141    -132.00141
     -13.27204     132.00191    -132.00191
     -13.24204     132.00595    -132.00595
     -13.21204     132.03833    -132.03833
     -13.18204     132.18459    -132.18459
     -13.15304     132.57484    -132.57484
     -13.12304     133.22530    -133.22530
     -13.09304     133.96424    -133.96424
     -13.06304     134.65090    -134.65090
     -13.03404     135.35304    -135.35304
     -13.00404     136.23125    -136.23125
     -12.97404     137.30577    -137.30577
     -12.94404     138.35526    -138.35526
     -12.91404     139.12235    -139.12235
     -12.88504     139.58260    -139.58260
     -12.85504     139.95289    -139.95289
     -12.82504     140.56627    -140.56627
     -12.79504     141.64793    -141.64793
     -12.76504     143.06072    -143.06072
     -12.73604     144.42733    -144.42733
     -12.70604     145.48263    -145.48263
     -12.67604     146.22306    -146.22306
     -12.64604     146.84686    -146.84686
     -12.61604     147.56375    -147.56375
     -12.58704     148.39519    -148.39519
     -12.55704     149.21977    -149.21977
     -12.52704     149.99475    -149.99475
     -12.49704     150.73756    -150.73756
     -12.46804     151.41290    -151.41290
     -12.43804     152.04593    -152.04593
     -12.40804     152.77117    -152.77117
     -12.37804     153.69778    -153.69778
     -12.34804     154.82443    -154.82443
     -12.31904     156.05386    -156.05386
     -12.28904     157.25230    -157.25230
     -12.25904     158.31372    -158.31372
     -12.22904     159.17524    -159.17524
     -12.19904     159.88468    -159.88468
     -12.17004     160.65416    -160.65416
     -12.14004     161.60877    -161.60877
     -12.11004     162.57813    -162.57813
     -12.08004     163.37114    -163.37114
     -12.05004     164.09459    -164.09459
     -12.02104     165.02016    -165.02016
     -11.99104     166.20907    -166.20907
     -11.96104     167.43239    -167.43239
     -11.93104     168.47935    -168.47935
     -11.90204     169.38928    -169.38928
     -11.87204     170.32156    -170.32156
     -11.84204     171.31073    -171.31073
     -11.81204     172.24777    -172.24777
     -11.78204     173.01813    -173.01813
     -11.75304     173.60008    -173.60008
     -11.72304     174.06540    -174.06540
     -11.69304     174.48573    -174.48573
     -11.66304     174.84634    -174.84634
     -11.63304     175.09858    -175.09858
     -11.60404     175.25860    -175.25860
     -11.57404     175.38793    -175.38793
     -11.54404     175.54519    -175.54519
     -11.51404     175.78420    -175.78420
     -11.48404     176.15498    -176.15498
     -11.45504     176.69790    -176.69790
     -11.42504     177.39542    -177.39542
     -11.39504     178.14866    -178.14866
     -11.36504     178.91277    -178.91277
     -11.33604     179.73542    -179.73542
     -11.30604     180.55687    -180.55687
     -11.27604     181.21791    -181.21791
     -11.24604     181.69321    -181.69321
