      #Energy        TDOS-UP        TDOS-DOWN
     -24.93400       0.00000       0.00000
     -24.90100       0.00000       0.00000
     -24.86900       0.00000       0.00000
     -24.83700       0.00000       0.00000
     -24.80500       0.00000       0.00000
     -24.77300       0.00000       0.00000
     -24.74000       0.00000       0.00000
     -24.70800       0.00000       0.00000
     -24.67600       0.00000       0.00000
     -24.64400       0.00000       0.00000
     -24.61200       0.00000       0.00000
     -24.57900       0.00000       0.00000
     -24.54700       0.00000       0.00000
     -24.51500       0.00000       0.00000
     -24.48300       0.00000       0.00000
     -24.45000       0.00000       0.00000
     -24.41800       0.00000       0.00000
     -24.38600       0.00000       0.00000
     -24.35400       0.00000       0.00000
     -24.32200       0.00000       0.00000
     -24.28900       0.00000       0.00000
     -24.25700       0.00000       0.00000
     -24.22500       0.00000       0.00000
     -24.19300       0.00000       0.00000
     -24.16100       0.00000       0.00000
     -24.12800       0.00000       0.00000
     -24.09600       0.00000       0.00000
     -24.06400       0.00000       0.00000
     -24.03200       0.00000       0.00000
     -23.99900       0.00000       0.00000
     -23.96700       0.00000       0.00000
     -23.93500       0.00000       0.00000
     -23.90300       0.00000       0.00000
     -23.87100       0.00000       0.00000
     -23.83800       0.00000       0.00000
     -23.80600       0.00000       0.00000
     -23.77400       0.00000       0.00000
     -23.74200       0.00000      -0.00000
     -23.71000       0.00000      -0.00000
     -23.67700       0.00000      -0.00000
     -23.64500       0.00003      -0.00003
     -23.61300       0.00180      -0.00180
     -23.58100       0.05699      -0.05699
     -23.54800       0.81520      -0.81520
     -23.51600       5.30800      -5.30800
     -23.48400      15.84000     -15.84000
     -23.45200      21.74000     -21.74000
     -23.42000      13.76000     -13.76000
     -23.38700       4.00300      -4.00300
     -23.35500       0.53310      -0.53310
     -23.32300       0.03228      -0.03228
     -23.29100       0.00088      -0.00088
     -23.25900       0.00001      -0.00001
     -23.22600       0.00000      -0.00000
     -23.19400       0.00000      -0.00000
     -23.16200       0.00000      -0.00000
     -23.13000       0.00000       0.00000
     -23.09700       0.00000       0.00000
     -23.06500       0.00000       0.00000
     -23.03300       0.00000       0.00000
     -23.00100       0.00000       0.00000
     -22.96900       0.00000       0.00000
     -22.93600       0.00000       0.00000
     -22.90400       0.00000       0.00000
     -22.87200       0.00000       0.00000
     -22.84000       0.00000       0.00000
     -22.80800       0.00000       0.00000
     -22.77500       0.00000       0.00000
     -22.74300       0.00000       0.00000
     -22.71100       0.00000       0.00000
     -22.67900       0.00000       0.00000
     -22.64600       0.00000       0.00000
     -22.61400       0.00000       0.00000
     -22.58200       0.00000       0.00000
     -22.55000       0.00000       0.00000
     -22.51800       0.00000       0.00000
     -22.48500       0.00000       0.00000
     -22.45300       0.00000       0.00000
     -22.42100       0.00000       0.00000
     -22.38900       0.00000       0.00000
     -22.35700       0.00000       0.00000
     -22.32400       0.00000       0.00000
     -22.29200       0.00000       0.00000
     -22.26000       0.00000       0.00000
     -22.22800       0.00000       0.00000
     -22.19500       0.00000       0.00000
     -22.16300       0.00000       0.00000
     -22.13100       0.00000       0.00000
     -22.09900       0.00000       0.00000
     -22.06700       0.00000       0.00000
     -22.03400       0.00000       0.00000
     -22.00200       0.00000       0.00000
     -21.97000       0.00000       0.00000
     -21.93800       0.00000       0.00000
     -21.90600       0.00000       0.00000
     -21.87300       0.00000       0.00000
     -21.84100       0.00000       0.00000
