#K-Path              Spin-Up       Spin-Down
# NKPTS & NBANDS:  60 512
# Band-Index    1
   0.00000    -23.465228    -23.460496
   0.01681    -23.465227    -23.460495
   0.03361    -23.465226    -23.460494
   0.05042    -23.465225    -23.460494
   0.06722    -23.465224    -23.460492
   0.08403    -23.465225    -23.460493
   0.10083    -23.465225    -23.460493
   0.11764    -23.465224    -23.460492
   0.13444    -23.465225    -23.460493
   0.15125    -23.465225    -23.460493
   0.15125    -23.465225    -23.460493
   0.15671    -23.465225    -23.460493
   0.16217    -23.465225    -23.460493
   0.16763    -23.465226    -23.460494
   0.17309    -23.465226    -23.460494
   0.17855    -23.465227    -23.460495
   0.18401    -23.465225    -23.460493
   0.18947    -23.465224    -23.460492
   0.19493    -23.465223    -23.460491
   0.20039    -23.465225    -23.460493
   0.20039    -23.465225    -23.460493
   0.21469    -23.465223    -23.460491
   0.22898    -23.465227    -23.460495
   0.24328    -23.465226    -23.460494
   0.25758    -23.465225    -23.460493
   0.27187    -23.465223    -23.460491
   0.28617    -23.465223    -23.460491
   0.30046    -23.465223    -23.460491
   0.31476    -23.465222    -23.460490
   0.32905    -23.465223    -23.460491
   0.32905    -23.465223    -23.460491
   0.34335    -23.465222    -23.460490
   0.35764    -23.465223    -23.460491
   0.37194    -23.465223    -23.460491
   0.38624    -23.465223    -23.460491
   0.40053    -23.465225    -23.460493
   0.41483    -23.465226    -23.460494
   0.42912    -23.465227    -23.460495
   0.44342    -23.465223    -23.460491
   0.45771    -23.465225    -23.460493
   0.45771    -23.465225    -23.460493
   0.46317    -23.465223    -23.460491
   0.46863    -23.465224    -23.460492
   0.47409    -23.465225    -23.460493
   0.47956    -23.465227    -23.460495
   0.48502    -23.465226    -23.460494
   0.49048    -23.465226    -23.460494
   0.49594    -23.465225    -23.460493
   0.50140    -23.465225    -23.460493
   0.50686    -23.465225    -23.460493
   0.50686    -23.465225    -23.460493
   0.52366    -23.465225    -23.460493
   0.54047    -23.465224    -23.460492
   0.55727    -23.465225    -23.460493
   0.57408    -23.465225    -23.460493
   0.59088    -23.465224    -23.460492
   0.60769    -23.465225    -23.460494
   0.62450    -23.465226    -23.460494
   0.64130    -23.465227    -23.460495
   0.65811    -23.465228    -23.460496
 
 
# Band-Index    2
   0.65811    -21.276507    -21.259861
   0.64130    -21.276082    -21.259430
   0.62450    -21.274808    -21.258139
   0.60769    -21.272694    -21.255996
   0.59088    -21.269762    -21.253022
