      #Energy        TDOS-UP        TDOS-DOWN
     -24.92800       0.00000       0.00000
     -24.89600       0.00000       0.00000
     -24.86300       0.00000       0.00000
     -24.83100       0.00000       0.00000
     -24.79900       0.00000       0.00000
     -24.76700       0.00000       0.00000
     -24.73500       0.00000       0.00000
     -24.70200       0.00000       0.00000
     -24.67000       0.00000       0.00000
     -24.63800       0.00000       0.00000
     -24.60600       0.00000       0.00000
     -24.57400       0.00000       0.00000
     -24.54100       0.00000       0.00000
     -24.50900       0.00000       0.00000
     -24.47700       0.00000       0.00000
     -24.44500       0.00000       0.00000
     -24.41300       0.00000       0.00000
     -24.38000       0.00000       0.00000
     -24.34800       0.00000       0.00000
     -24.31600       0.00000       0.00000
     -24.28400       0.00000       0.00000
     -24.25100       0.00000       0.00000
     -24.21900       0.00000       0.00000
     -24.18700       0.00000       0.00000
     -24.15500       0.00000       0.00000
     -24.12300       0.00000       0.00000
     -24.09000       0.00000       0.00000
     -24.05800       0.00000       0.00000
     -24.02600       0.00000       0.00000
     -23.99400       0.00000       0.00000
     -23.96200       0.00000       0.00000
     -23.92900       0.00000       0.00000
     -23.89700       0.00000       0.00000
     -23.86500       0.00000       0.00000
     -23.83300       0.00000       0.00000
     -23.80100       0.00000       0.00000
     -23.76800       0.00000       0.00000
     -23.73600       0.00000      -0.00000
     -23.70400       0.00000      -0.00000
     -23.67200       0.00000      -0.00000
     -23.63900       0.00000      -0.00000
     -23.60700       0.00003      -0.00002
     -23.57500       0.00098      -0.00061
     -23.54300       0.01503      -0.01053
     -23.51100       0.11369      -0.08808
     -23.47800       0.45432      -0.38434
     -23.44600       1.05956      -0.96317
     -23.41400       1.63131      -1.56278
     -23.38200       1.91741      -1.89279
     -23.35000       1.99048      -1.98612
     -23.31700       1.99960      -1.99908
     -23.28500       2.00013      -1.99993
     -23.25300       2.00015      -1.99996
     -23.22100       2.00015      -1.99996
     -23.18900       2.00015      -1.99996
     -23.15600       2.00015      -1.99996
     -23.12400       2.00015      -1.99996
     -23.09200       2.00015      -1.99996
     -23.06000       2.00015      -1.99996
     -23.02700       2.00015      -1.99996
     -22.99500       2.00015      -1.99996
     -22.96300       2.00015      -1.99996
     -22.93100       2.00015      -1.99996
     -22.89900       2.00015      -1.99996
     -22.86600       2.00015      -1.99996
     -22.83400       2.00015      -1.99996
     -22.80200       2.00015      -1.99996
     -22.77000       2.00015      -1.99996
     -22.73800       2.00015      -1.99996
     -22.70500       2.00015      -1.99996
     -22.67300       2.00015      -1.99996
     -22.64100       2.00015      -1.99996
     -22.60900       2.00015      -1.99996
     -22.57600       2.00015      -1.99996
     -22.54400       2.00015      -1.99996
     -22.51200       2.00015      -1.99996
     -22.48000       2.00015      -1.99996
     -22.44800       2.00015      -1.99996
     -22.41500       2.00015      -1.99996
     -22.38300       2.00015      -1.99996
     -22.35100       2.00015      -1.99996
     -22.31900       2.00015      -1.99996
     -22.28700       2.00015      -1.99996
     -22.25400       2.00015      -1.99996
     -22.22200       2.00015      -1.99996
     -22.19000       2.00015      -1.99996
     -22.15800       2.00015      -1.99996
     -22.12600       2.00015      -1.99996
     -22.09300       2.00015      -1.99996
     -22.06100       2.00015      -1.99996
     -22.02900       2.00015      -1.99996
     -21.99700       2.00015      -1.99996
     -21.96400       2.00015      -1.99996
     -21.93200       2.00015      -1.99996
     -21.90000       2.00015      -1.99996
     -21.86800       2.00015      -1.99996
     -21.83600       2.00015      -1.99996
     -21.80300       2.00015      -1.99996
     -21.77100       2.00015      -1.99996
     -21.73900       2.00015      -1.99996
     -21.70700       2.00015      -1.99996
     -21.67500       2.00015      -1.99996
     -21.64200       2.00015      -1.99996
     -21.61000       2.00015      -1.99996
     -21.57800       2.00015      -1.99996
     -21.54600       2.00015      -1.99996
     -21.51400       2.00015      -1.99996
     -21.48100       2.00015      -1.99996
     -21.44900       2.00015      -1.99996
     -21.41700       2.00016      -1.99996
     -21.38500       2.00055      -2.00002
     -21.35200       2.00747      -2.00172
     -21.32000       2.07038      -2.02350
     -21.28800       2.38251      -2.17159
     -21.25600       3.28828      -2.74082
     -21.22400       4.94843      -4.06341
     -21.19100       7.04906      -6.06177
     -21.15900       9.10847      -8.21829
     -21.12700      10.91437     -10.13999
     -21.09500      12.40832     -11.75972
     -21.06300      13.50188     -13.02287
     -21.03000      14.33807     -13.94394
     -20.99800      15.31036     -14.83200
     -20.96600      16.61313     -16.01011
     -20.93400      18.04184     -17.44157
     -20.90200      19.28148     -18.80151
     -20.86900      20.26891     -19.88364
     -20.83700      21.09302     -20.76299
     -20.80500      21.70229     -21.46954
     -20.77300      22.15614     -21.96430
     -20.74000      22.85061     -22.52235
     -20.70800      23.96849     -23.49625
     -20.67600      25.07912     -24.67952
     -20.64400      25.72672     -25.53085
     -20.61200      25.94956     -25.89369
     -20.57900      25.99560     -25.98596
     -20.54700      26.01739     -26.00221
     -20.51500      26.15622     -26.03890
     -20.48300      26.76195     -26.28544
     -20.45100      28.24091     -27.18074
     -20.41800      30.40258     -29.01081
     -20.38600      32.44943     -31.28200
     -20.35400      33.90842     -33.17310
     -20.32200      34.97653     -34.48215
     -20.29000      35.96106     -35.51081
     -20.25700      37.00244     -36.48696
     -20.22500      38.16848     -37.55201
     -20.19300      39.30729     -38.72497
     -20.16100      40.18810     -39.76748
     -20.12800      40.89545     -40.56261
     -20.09600      41.68526     -41.29863
     -20.06400      42.69588     -42.17766
     -20.03200      43.84742     -43.25786
     -20.00000      44.86368     -44.37026
     -19.96700      45.53254     -45.23110
     -19.93500      45.86023     -45.72599
     -19.90300      45.97250     -45.93310
     -19.87100      45.99657     -45.99059
     -19.83900      45.99949     -46.00004
     -19.80600      45.99968     -46.00089
     -19.77400      45.99969     -46.00093
     -19.74200      45.99969     -46.00093
     -19.71000      45.99969     -46.00093
     -19.67800      45.99969     -46.00093
     -19.64500      45.99969     -46.00093
     -19.61300      45.99971     -46.00093
     -19.58100      46.00020     -46.00109
     -19.54900      46.00669     -46.00375
     -19.51600      46.05035     -46.02682
     -19.48400      46.21295     -46.13370
     -19.45200      46.58191     -46.42472
     -19.42000      47.12676     -46.92641
     -19.38800      47.68304     -47.50105
     -19.35500      48.16589     -48.00402
     -19.32300      48.64470     -48.47253
     -19.29100      49.13656     -48.96471
     -19.25900      49.61811     -49.44562
     -19.22700      50.15491     -49.94151
     -19.19400      50.80927     -50.53467
     -19.16200      51.58813     -51.25700
     -19.13000      52.46991     -52.10206
     -19.09800      53.32688     -52.98915
     -19.06600      53.98688     -53.74304
     -19.03300      54.41754     -54.26454
     -19.00100      54.70327     -54.60101
     -18.96900      54.96332     -54.85865
     -18.93700      55.31887     -55.16538
     -18.90400      55.83311     -55.61182
     -18.87200      56.58653     -56.25395
     -18.84000      57.67944     -57.20449
     -18.80800      58.97030     -58.43221
     -18.77600      60.19544     -59.68264
     -18.74300      61.22410     -60.78618
     -18.71100      62.09508     -61.69953
     -18.67900      63.12100     -62.60868
     -18.64700      64.41217     -63.80676
     -18.61500      65.56709     -65.08167
     -18.58200      66.38380     -66.04172
     -18.55000      67.05508     -66.74859
     -18.51800      67.74536     -67.41390
     -18.48600      68.56223     -68.15427
     -18.45400      69.49844     -69.03331
     -18.42100      70.36555     -69.93054
     -18.38900      71.13072     -70.69459
     -18.35700      72.01975     -71.46298
     -18.32500      73.11250     -72.45540
     -18.29200      74.22458     -73.59663
     -18.26000      75.15387     -74.64525
     -18.22800      75.86041     -75.46132
     -18.19600      76.59337     -76.13743
     -18.16400      77.66100     -77.00406
     -18.13100      78.91288     -78.20295
     -18.09900      79.92575     -79.38686
     -18.06700      80.64728     -80.25237
     -18.03500      81.29729     -80.93315
     -18.00300      81.92525     -81.60330
     -17.97000      82.44545     -82.20709
     -17.93800      82.87064     -82.66642
     -17.90600      83.37651     -83.07630
     -17.87400      84.23541     -83.68106
     -17.84100      85.68925     -84.77816
     -17.80900      87.61225     -86.50757
     -17.77700      89.46164     -88.50803
     -17.74500      91.02725     -90.26948
     -17.71300      92.57257     -91.83284
     -17.68000      94.09324     -93.39008
     -17.64800      95.36590     -94.77482
     -17.61600      96.47766     -95.90913
     -17.58400      97.66318     -97.02202
     -17.55200      98.99961     -98.27857
     -17.51900     100.48856     -99.69939
     -17.48700     102.00521    -101.23247
     -17.45500     103.28962    -102.66247
     -17.42300     104.22793    -103.77826
     -17.39100     104.92368    -104.58933
     -17.35800     105.48576    -105.22082
     -17.32600     105.93446    -105.72718
     -17.29400     106.36689    -106.14640
     -17.26200     106.99855    -106.65083
     -17.22900     107.97454    -107.44209
     -17.19700     109.28053    -108.59395
     -17.16500     110.76964    -110.02460
     -17.13300     112.30546    -111.55736
     -17.10100     113.89539    -113.12474
     -17.06800     115.49627    -114.75010
     -17.03600     116.87168    -116.27948
     -17.00400     117.79436    -117.43553
     -16.97200     118.27578    -118.10052
     -16.94000     118.57589    -118.44513
     -16.90700     118.98017    -118.78072
     -16.87500     119.65402    -119.33072
     -16.84300     120.70829    -120.22345
     -16.81100     122.11220    -121.51269
     -16.77900     123.53415    -122.97265
     -16.74600     124.74931    -124.25754
     -16.71400     125.96752    -125.41971
     -16.68200     127.34728    -126.71862
     -16.65000     128.69869    -128.09805
     -16.61700     129.79724    -129.31643
     -16.58500     130.54341    -130.22816
     -16.55300     130.94865    -130.78251
     -16.52100     131.15153    -131.05704
     -16.48900     131.30301    -131.21534
     -16.45600     131.47791    -131.36957
     -16.42400     131.68214    -131.55892
     -16.39200     131.86109    -131.76157
     -16.36000     131.96090    -131.91280
     -16.32800     131.99501    -131.98257
     -16.29500     132.02564    -132.00988
     -16.26300     132.16521    -132.08395
     -16.23100     132.55521    -132.35153
     -16.19900     133.14370    -132.87544
     -16.16700     133.64651    -133.44654
     -16.13400     133.90037    -133.81123
     -16.10200     133.98028    -133.95663
     -16.07000     133.99699    -133.99532
     -16.03800     134.00843    -134.00441
     -16.00500     134.08445    -134.03372
     -15.97300     134.38977    -134.19591
     -15.94100     135.05799    -134.67130
     -15.90900     135.97294    -135.46642
     -15.87700     136.96987    -136.37719
     -15.84400     138.03267    -137.33885
     -15.81200     139.12929    -138.40164
     -15.78000     140.21657    -139.51260
     -15.74800     141.25038    -140.60535
     -15.71600     142.16468    -141.62080
     -15.68300     142.96046    -142.51433
     -15.65100     143.67763    -143.30415
     -15.61900     144.47083    -144.09235
     -15.58700     145.52622    -145.06930
     -15.55500     146.71963    -146.24887
     -15.52200     147.79193    -147.40492
     -15.49000     148.76857    -148.44887
     -15.45800     149.80898    -149.48687
     -15.42600     150.88273    -150.51343
     -15.39300     151.86549    -151.44481
     -15.36100     152.72375    -152.28213
     -15.32900     153.53659    -153.06744
     -15.29700     154.34492    -153.86031
     -15.26500     155.06709    -154.61662
     -15.23200     155.74819    -155.25536
     -15.20000     156.60178    -155.90699
     -15.16800     157.71096    -156.78152
     -15.13600     158.90003    -157.91534
     -15.10400     159.95236    -159.14080
     -15.07100     160.87762    -160.26915
     -15.03900     161.79209    -161.27091
     -15.00700     162.75519    -162.19665
     -14.97500     163.90818    -163.17571
     -14.94300     165.28246    -164.40375
     -14.91000     166.54062    -165.76546
     -14.87800     167.39517    -166.85822
     -14.84600     167.99027    -167.56042
     -14.81400     168.68973    -168.16775
     -14.78100     169.68070    -169.02424
     -14.74900     170.81404    -170.17482
     -14.71700     171.89391    -171.39738
     -14.68500     172.92933    -172.55440
     -14.65300     173.94381    -173.64248
     -14.62000     174.83284    -174.59834
     -14.58800     175.52376    -175.34869
     -14.55600     176.08600    -175.94556
     -14.52400     176.57561    -176.46593
     -14.49200     176.93887    -176.87227
     -14.45900     177.16049    -177.12569
     -14.42700     177.33261    -177.29857
     -14.39500     177.58597    -177.52040
     -14.36300     178.01051    -177.89993
     -14.33100     178.56341    -178.43254
     -14.29800     179.09457    -178.98077
     -14.26600     179.52603    -179.42801
     -14.23400     179.94510    -179.81889
     -14.20200     180.50975    -180.30190
     -14.16900     181.33902    -181.01134
     -14.13700     182.40279    -181.99152
     -14.10500     183.48958    -183.09974
     -14.07300     184.43401    -184.11808
     -14.04100     185.22575    -184.96523
     -14.00800     185.95807    -185.69545
     -13.97600     186.80715    -186.47802
     -13.94400     187.79216    -187.42405
     -13.91200     188.73336    -188.39569
     -13.88000     189.59420    -189.27489
     -13.84700     190.50432    -190.15280
     -13.81500     191.52218    -191.12670
     -13.78300     192.58691    -192.17436
     -13.75100     193.60800    -193.21155
     -13.71800     194.51425    -194.16193
     -13.68600     195.28023    -194.97091
     -13.65400     196.03026    -195.68873
     -13.62200     196.96985    -196.50447
     -13.59000     198.13299    -197.53232
     -13.55700     199.37891    -198.69884
     -13.52500     200.63417    -199.90723
     -13.49300     201.90940    -201.16217
     -13.46100     203.14517    -202.45302
     -13.42900     204.36999    -203.72406
     -13.39600     205.74330    -205.06050
     -13.36400     207.19215    -206.52480
     -13.33200     208.46142    -207.91921
     -13.30000     209.49571    -209.07655
     -13.26800     210.35687    -210.03209
     -13.23500     211.01236    -210.78985
     -13.20300     211.44769    -211.31070
     -13.17100     211.75159    -211.65417
     -13.13900     212.07352    -211.95834
     -13.10600     212.60162    -212.40864
     -13.07400     213.38998    -213.12791
     -13.04200     214.25130    -213.98778
     -13.01000     215.11471    -214.84089
     -12.97800     216.15239    -215.81817
     -12.94500     217.34049    -216.98968
     -12.91300     218.43035    -218.13252
     -12.88100     219.34884    -219.09982
     -12.84900     220.19405    -219.96887
     -12.81700     220.97758    -220.78590
     -12.78400     221.58460    -221.45299
     -12.75200     221.98297    -221.88458
     -12.72000     222.42869    -222.25159
