#K-Path              Spin-Up       Spin-Down
# NKPTS & NBANDS:  60 512
# Band-Index    1
   0.00000    -20.666490    -20.666490
   0.01681    -20.666490    -20.666490
   0.03361    -20.666489    -20.666489
   0.05042    -20.666488    -20.666488
   0.06722    -20.666487    -20.666487
   0.08403    -20.666487    -20.666487
   0.10083    -20.666488    -20.666488
   0.11764    -20.666487    -20.666487
   0.13444    -20.666487    -20.666487
   0.15125    -20.666488    -20.666488
   0.15125    -20.666488    -20.666488
   0.15671    -20.666488    -20.666488
   0.16217    -20.666488    -20.666488
   0.16763    -20.666489    -20.666489
   0.17309    -20.666489    -20.666489
   0.17855    -20.666490    -20.666490
   0.18401    -20.666488    -20.666488
   0.18947    -20.666487    -20.666487
   0.19493    -20.666486    -20.666486
   0.20039    -20.666488    -20.666488
   0.20039    -20.666488    -20.666488
   0.21469    -20.666486    -20.666486
   0.22898    -20.666489    -20.666489
   0.24328    -20.666489    -20.666489
   0.25758    -20.666488    -20.666488
   0.27187    -20.666486    -20.666486
   0.28617    -20.666485    -20.666485
   0.30046    -20.666486    -20.666486
   0.31476    -20.666485    -20.666485
   0.32905    -20.666486    -20.666486
   0.32905    -20.666486    -20.666486
   0.34335    -20.666485    -20.666485
   0.35764    -20.666486    -20.666486
   0.37194    -20.666485    -20.666485
   0.38624    -20.666486    -20.666486
   0.40053    -20.666488    -20.666488
   0.41483    -20.666489    -20.666489
   0.42912    -20.666489    -20.666489
   0.44342    -20.666486    -20.666486
   0.45771    -20.666488    -20.666488
   0.45771    -20.666488    -20.666488
   0.46317    -20.666486    -20.666486
   0.46863    -20.666487    -20.666487
   0.47409    -20.666488    -20.666488
   0.47956    -20.666490    -20.666490
   0.48502    -20.666489    -20.666489
   0.49048    -20.666489    -20.666489
   0.49594    -20.666488    -20.666488
   0.50140    -20.666488    -20.666488
   0.50686    -20.666488    -20.666488
   0.50686    -20.666488    -20.666488
   0.52366    -20.666487    -20.666487
   0.54047    -20.666487    -20.666487
   0.55727    -20.666488    -20.666488
   0.57408    -20.666487    -20.666487
   0.59088    -20.666487    -20.666487
   0.60769    -20.666488    -20.666488
   0.62450    -20.666489    -20.666489
   0.64130    -20.666490    -20.666490
   0.65811    -20.666490    -20.666490
 
 
# Band-Index    2
   0.65811    -18.469312    -18.469312
   0.64130    -18.468891    -18.468891
   0.62450    -18.467631    -18.467631
   0.60769    -18.465540    -18.465540
   0.59088    -18.462643    -18.462643
   0.57408    -18.458969    -18.458969
   0.55727    -18.454566    -18.454566
   0.54047    -18.449503    -18.449503
   0.52366    -18.443901    -18.443901
   0.50686    -18.438535    -18.438535
   0.50686    -18.438535    -18.438535
   0.50140    -18.438705    -18.438705
   0.49594    -18.439081    -18.439081
   0.49048    -18.439534    -18.439534
   0.48502    -18.440025    -18.440025
   0.47956    -18.440542    -18.440542
   0.47409    -18.441080    -18.441080
   0.46863    -18.441642    -18.441642
   0.46317    -18.442224    -18.442224
   0.45771    -18.442827    -18.442827
   0.45771    -18.442827    -18.442827
   0.44342    -18.447813    -18.447813
   0.42912    -18.452376    -18.452376
   0.41483    -18.456429    -18.456429
   0.40053    -18.459917    -18.459917
   0.38624    -18.462809    -18.462809
   0.37194    -18.465080    -18.465080
   0.35764    -18.466711    -18.466711
   0.34335    -18.467694    -18.467694
   0.32905    -18.468024    -18.468024
   0.32905    -18.468024    -18.468024
   0.31476    -18.467694    -18.467694
   0.30046    -18.466711    -18.466711
   0.28617    -18.465080    -18.465080
   0.27187    -18.462809    -18.462809
   0.25758    -18.459917    -18.459917
   0.24328    -18.456429    -18.456429
   0.22898    -18.452376    -18.452376
   0.21469    -18.447813    -18.447813
   0.20039    -18.442827    -18.442827
   0.20039    -18.442827    -18.442827
   0.19493    -18.442233    -18.442233
   0.18947    -18.441662    -18.441662
   0.18401    -18.441115    -18.441115
   0.17855    -18.440596    -18.440596
   0.17309    -18.440105    -18.440105
   0.16763    -18.439651    -18.439651
   0.16217    -18.439250    -18.439250
   0.15671    -18.438949    -18.438949
   0.15125    -18.438829    -18.438829
   0.15125    -18.438829    -18.438829
   0.13444    -18.443935    -18.443935
   0.11764    -18.449518    -18.449518
   0.10083    -18.454575    -18.454575
   0.08403    -18.458974    -18.458974
   0.06722    -18.462646    -18.462646
   0.05042    -18.465542    -18.465542
   0.03361    -18.467631    -18.467631
   0.01681    -18.468891    -18.468891
   0.00000    -18.469312    -18.469312
 
 
# Band-Index    3
   0.00000    -18.432437    -18.432437
   0.01681    -18.432117    -18.432117
   0.03361    -18.431177    -18.431177
   0.05042    -18.429683    -18.429683
   0.06722    -18.427804    -18.427804
   0.08403    -18.425959    -18.425959
   0.10083    -18.425214    -18.425214
   0.11764    -18.427238    -18.427238
   0.13444    -18.431965    -18.431965
   0.15125    -18.436979    -18.436979
   0.15125    -18.436979    -18.436979
   0.15671    -18.436863    -18.436863
   0.16217    -18.436573    -18.436573
   0.16763    -18.436194    -18.436194
   0.17309    -18.435764    -18.435764
   0.17855    -18.435306    -18.435306
   0.18401    -18.434822    -18.434822
   0.18947    -18.434318    -18.434318
   0.19493    -18.433795    -18.433795
   0.20039    -18.433256    -18.433256
   0.20039    -18.433256    -18.433256
   0.21469    -18.429232    -18.429232
   0.22898    -18.427395    -18.427395
   0.24328    -18.427961    -18.427961
   0.25758    -18.429755    -18.429755
   0.27187    -18.431789    -18.431789
   0.28617    -18.433601    -18.433601
   0.30046    -18.434984    -18.434984
   0.31476    -18.435842    -18.435842
   0.32905    -18.436134    -18.436134
   0.32905    -18.436134    -18.436134
   0.34335    -18.435842    -18.435842
   0.35764    -18.434984    -18.434984
   0.37194    -18.433601    -18.433601
