      #Energy        TDOS-UP        TDOS-DOWN
     -22.13009       0.00000       0.00000
     -22.09809       0.00000       0.00000
     -22.06509       0.00000       0.00000
     -22.03309       0.00000       0.00000
     -22.00109       0.00000       0.00000
     -21.96909       0.00000       0.00000
     -21.93709       0.00000       0.00000
     -21.90409       0.00000       0.00000
     -21.87209       0.00000       0.00000
     -21.84009       0.00000       0.00000
     -21.80809       0.00000       0.00000
     -21.77509       0.00000       0.00000
     -21.74309       0.00000       0.00000
     -21.71109       0.00000       0.00000
     -21.67909       0.00000       0.00000
     -21.64609       0.00000       0.00000
     -21.61409       0.00000       0.00000
     -21.58209       0.00000       0.00000
     -21.55009       0.00000       0.00000
     -21.51809       0.00000       0.00000
     -21.48509       0.00000       0.00000
     -21.45309       0.00000       0.00000
     -21.42109       0.00000       0.00000
     -21.38909       0.00000       0.00000
     -21.35609       0.00000       0.00000
     -21.32409       0.00000       0.00000
     -21.29209       0.00000       0.00000
     -21.26009       0.00000       0.00000
     -21.22709       0.00000       0.00000
     -21.19509       0.00000       0.00000
     -21.16309       0.00000       0.00000
     -21.13109       0.00000       0.00000
     -21.09909       0.00000       0.00000
     -21.06609       0.00000       0.00000
     -21.03409       0.00000       0.00000
     -21.00209       0.00000       0.00000
     -20.97009       0.00000       0.00000
     -20.93709       0.00000      -0.00000
     -20.90509       0.00000      -0.00000
     -20.87309       0.00000      -0.00000
     -20.84109       0.00000      -0.00000
     -20.80809       0.00003      -0.00003
     -20.77609       0.00097      -0.00097
     -20.74409       0.01498      -0.01498
     -20.71209       0.11351      -0.11351
     -20.68009       0.45402      -0.45402
     -20.64709       1.05945      -1.05945
     -20.61509       1.63136      -1.63136
     -20.58309       1.91735      -1.91735
     -20.55109       1.99033      -1.99033
     -20.51809       1.99941      -1.99941
     -20.48609       1.99994      -1.99994
     -20.45409       1.99995      -1.99995
     -20.42209       1.99995      -1.99995
     -20.39009       1.99995      -1.99995
     -20.35709       1.99995      -1.99995
     -20.32509       1.99995      -1.99995
     -20.29309       1.99995      -1.99995
     -20.26109       1.99995      -1.99995
     -20.22809       1.99995      -1.99995
     -20.19609       1.99995      -1.99995
     -20.16409       1.99995      -1.99995
     -20.13209       1.99995      -1.99995
     -20.09909       1.99995      -1.99995
     -20.06709       1.99995      -1.99995
     -20.03509       1.99995      -1.99995
     -20.00309       1.99995      -1.99995
     -19.97109       1.99995      -1.99995
     -19.93809       1.99995      -1.99995
     -19.90609       1.99995      -1.99995
     -19.87409       1.99995      -1.99995
     -19.84209       1.99995      -1.99995
     -19.80909       1.99995      -1.99995
     -19.77709       1.99995      -1.99995
     -19.74509       1.99995      -1.99995
     -19.71309       1.99995      -1.99995
     -19.68009       1.99995      -1.99995
     -19.64809       1.99995      -1.99995
     -19.61609       1.99995      -1.99995
     -19.58409       1.99995      -1.99995
     -19.55209       1.99995      -1.99995
     -19.51909       1.99995      -1.99995
     -19.48709       1.99995      -1.99995
     -19.45509       1.99995      -1.99995
     -19.42309       1.99995      -1.99995
     -19.39009       1.99995      -1.99995
     -19.35809       1.99995      -1.99995
     -19.32609       1.99995      -1.99995
     -19.29409       1.99995      -1.99995
     -19.26109       1.99995      -1.99995
     -19.22909       1.99995      -1.99995
     -19.19709       1.99995      -1.99995
     -19.16509       1.99995      -1.99995
     -19.13309       1.99995      -1.99995
     -19.10009       1.99995      -1.99995
     -19.06809       1.99995      -1.99995
     -19.03609       1.99995      -1.99995
     -19.00409       1.99995      -1.99995
     -18.97109       1.99995      -1.99995
     -18.93909       1.99995      -1.99995
     -18.90709       1.99995      -1.99995
     -18.87509       1.99995      -1.99995
     -18.84309       1.99995      -1.99995
     -18.81009       1.99995      -1.99995
     -18.77809       1.99995      -1.99995
     -18.74609       1.99995      -1.99995
     -18.71409       1.99995      -1.99995
     -18.68109       1.99995      -1.99995
     -18.64909       1.99995      -1.99995
     -18.61709       1.99996      -1.99996
     -18.58509       2.00014      -2.00014
     -18.55209       2.00404      -2.00404
     -18.52009       2.04509      -2.04509
     -18.48809       2.27677      -2.27677
     -18.45609       3.02579      -3.02579
     -18.42409       4.52461      -4.52461
     -18.39109       6.56151      -6.56151
     -18.35909       8.66383      -8.66383
     -18.32709      10.54700     -10.54700
     -18.29509      12.12157     -12.12157
     -18.26209      13.29762     -13.29762
     -18.23009      14.16523     -14.16523
     -18.19809      15.09038     -15.09038
     -18.16609      16.33282     -16.33282
     -18.13309      17.76445     -17.76445
     -18.10109      19.06088     -19.06088
     -18.06909      20.09447     -20.09447
     -18.03709      20.95097     -20.95097
     -18.00509      21.60345     -21.60345
     -17.97209      22.04806     -22.04806
     -17.94009      22.63222     -22.63222
     -17.90809      23.65920     -23.65920
     -17.87609      24.82720     -24.82720
     -17.84309      25.60812     -25.60812
     -17.81109      25.91679     -25.91679
     -17.77909      25.98952     -25.98952
     -17.74709      26.00710     -26.00710
     -17.71409      26.08854     -26.08854
     -17.68209      26.51334     -26.51334
     -17.65009      27.72355     -27.72355
     -17.61809      29.74853     -29.74853
     -17.58609      31.91402     -31.91402
     -17.55309      33.58318     -33.58318
     -17.52109      34.76761     -34.76761
     -17.48909      35.77156     -35.77156
     -17.45709      36.78066     -36.78066
     -17.42409      37.90772     -37.90772
     -17.39209      39.07168     -39.07168
     -17.36009      40.02052     -40.02052
     -17.32809      40.75728     -40.75728
     -17.29509      41.51741     -41.51741
     -17.26309      42.46770     -42.46770
     -17.23109      43.59653     -43.59653
     -17.19909      44.66671     -44.66671
     -17.16709      45.42039     -45.42039
     -17.13409      45.81369     -45.81369
     -17.10209      45.95957     -45.95957
     -17.07009      45.99424     -45.99424
     -17.03809      45.99899     -45.99899
