      #Energy        TDOS-UP        TDOS-DOWN
     -22.00850       0.00000       0.00000
     -21.97650       0.00000       0.00000
     -21.94350       0.00000       0.00000
     -21.91150       0.00000       0.00000
     -21.87950       0.00000       0.00000
     -21.84750       0.00000       0.00000
     -21.81550       0.00000       0.00000
     -21.78250       0.00000       0.00000
     -21.75050       0.00000       0.00000
     -21.71850       0.00000       0.00000
     -21.68650       0.00000       0.00000
     -21.65350       0.00000       0.00000
     -21.62150       0.00000       0.00000
     -21.58950       0.00000       0.00000
     -21.55750       0.00000       0.00000
     -21.52450       0.00000       0.00000
     -21.49250       0.00000       0.00000
     -21.46050       0.00000       0.00000
     -21.42850       0.00000       0.00000
     -21.39650       0.00000       0.00000
     -21.36350       0.00000       0.00000
     -21.33150       0.00000       0.00000
     -21.29950       0.00000       0.00000
     -21.26750       0.00000       0.00000
     -21.23450       0.00000       0.00000
     -21.20250       0.00000       0.00000
     -21.17050       0.00000       0.00000
     -21.13850       0.00000       0.00000
     -21.10650       0.00000       0.00000
     -21.07350       0.00000       0.00000
     -21.04150       0.00000       0.00000
     -21.00950       0.00000       0.00000
     -20.97750       0.00000       0.00000
     -20.94450       0.00000       0.00000
     -20.91250       0.00000       0.00000
     -20.88050       0.00000       0.00000
     -20.84850       0.00000       0.00000
     -20.81550       0.00000      -0.00000
     -20.78350       0.00000      -0.00000
     -20.75150       0.00000      -0.00000
     -20.71950       0.00003      -0.00001
     -20.68750       0.00179      -0.00101
     -20.65450       0.05672      -0.03597
     -20.62250       0.81300      -0.57880
     -20.59050       5.30200      -4.23300
     -20.55850      15.83000     -14.16000
     -20.52550      21.74000     -21.78000
     -20.49350      13.75000     -15.43000
     -20.46150       3.99800      -5.02700
     -20.42950       0.53160      -0.74970
     -20.39750       0.03211      -0.05085
     -20.36450       0.00088      -0.00156
     -20.33250       0.00001      -0.00002
     -20.30050       0.00000      -0.00000
     -20.26850       0.00000      -0.00000
     -20.23550       0.00000      -0.00000
     -20.20350       0.00000       0.00000
     -20.17150       0.00000       0.00000
     -20.13950       0.00000       0.00000
     -20.10650       0.00000       0.00000
     -20.07450       0.00000       0.00000
     -20.04250       0.00000       0.00000
     -20.01050       0.00000       0.00000
     -19.97850       0.00000       0.00000
     -19.94550       0.00000       0.00000
     -19.91350       0.00000       0.00000
     -19.88150       0.00000       0.00000
     -19.84950       0.00000       0.00000
     -19.81650       0.00000       0.00000
     -19.78450       0.00000       0.00000
     -19.75250       0.00000       0.00000
     -19.72050       0.00000       0.00000
     -19.68750       0.00000       0.00000
     -19.65550       0.00000       0.00000
     -19.62350       0.00000       0.00000
     -19.59150       0.00000       0.00000
     -19.55950       0.00000       0.00000
     -19.52650       0.00000       0.00000
     -19.49450       0.00000       0.00000
     -19.46250       0.00000       0.00000
     -19.43050       0.00000       0.00000
     -19.39750       0.00000       0.00000
     -19.36550       0.00000       0.00000
     -19.33350       0.00000       0.00000
     -19.30150       0.00000       0.00000
     -19.26950       0.00000       0.00000
     -19.23650       0.00000       0.00000
     -19.20450       0.00000       0.00000
