#K-Path              Spin-Up       Spin-Down
# NKPTS & NBANDS:  60 508
# Band-Index    1
   0.00000    -19.142224    -19.131473
   0.01681    -19.142196    -19.131445
   0.03361    -19.142110    -19.131361
   0.05042    -19.141971    -19.131225
   0.06722    -19.141784    -19.131043
   0.08403    -19.141561    -19.130825
   0.10083    -19.141315    -19.130586
   0.11764    -19.141072    -19.130349
   0.13444    -19.140876    -19.130158
   0.15125    -19.140796    -19.130081
   0.15125    -19.140796    -19.130081
   0.15671    -19.140798    -19.130083
   0.16217    -19.140800    -19.130085
   0.16763    -19.140806    -19.130091
   0.17309    -19.140813    -19.130097
   0.17855    -19.140822    -19.130106
   0.18401    -19.140831    -19.130115
   0.18947    -19.140843    -19.130126
   0.19493    -19.140856    -19.130139
   0.20039    -19.140871    -19.130154
   0.20039    -19.140871    -19.130154
   0.21469    -19.141038    -19.130316
   0.22898    -19.141251    -19.130524
   0.24328    -19.141473    -19.130740
   0.25758    -19.141681    -19.130942
   0.27187    -19.141867    -19.131124
   0.28617    -19.142018    -19.131272
   0.30046    -19.142131    -19.131381
   0.31476    -19.142199    -19.131448
   0.32905    -19.142223    -19.131472
   0.32905    -19.142223    -19.131472
   0.34335    -19.142199    -19.131448
   0.35764    -19.142131    -19.131381
   0.37194    -19.142018    -19.131272
   0.38624    -19.141867    -19.131124
   0.40053    -19.141681    -19.130942
   0.41483    -19.141473    -19.130740
   0.42912    -19.141251    -19.130524
   0.44342    -19.141038    -19.130316
   0.45771    -19.140871    -19.130154
   0.45771    -19.140871    -19.130154
   0.46317    -19.140856    -19.130140
   0.46863    -19.140843    -19.130127
   0.47409    -19.140832    -19.130116
   0.47956    -19.140823    -19.130108
   0.48502    -19.140814    -19.130099
   0.49048    -19.140808    -19.130093
   0.49594    -19.140802    -19.130087
   0.50140    -19.140799    -19.130084
   0.50686    -19.140798    -19.130083
   0.50686    -19.140798    -19.130083
   0.52366    -19.140877    -19.130160
   0.54047    -19.141073    -19.130350
   0.55727    -19.141315    -19.130586
   0.57408    -19.141561    -19.130825
   0.59088    -19.141784    -19.131043
   0.60769    -19.141971    -19.131225
   0.62450    -19.142110    -19.131361
   0.64130    -19.142196    -19.131445
   0.65811    -19.142224    -19.131473
 
 
# Band-Index    2
   0.65811    -19.137820    -19.127165
   0.64130    -19.137850    -19.127195
   0.62450    -19.137937    -19.127280
   0.60769    -19.138079    -19.127418
   0.59088    -19.138269    -19.127603
   0.57408    -19.138496    -19.127824
   0.55727    -19.138745    -19.128067
   0.54047    -19.138990    -19.128305
   0.52366    -19.139186    -19.128495
   0.50686    -19.139265    -19.128572
   0.50686    -19.139265    -19.128572
   0.50140    -19.139265    -19.128572
   0.49594    -19.139262    -19.128569
   0.49048    -19.139258    -19.128566
   0.48502    -19.139252    -19.128559
   0.47956    -19.139244    -19.128552
   0.47409    -19.139234    -19.128542
