      #Energy        TDOS-UP        TDOS-DOWN
     -23.44100       0.00000       0.00000
     -23.41000       0.00000       0.00000
     -23.37900       0.00000       0.00000
     -23.34900       0.00000       0.00000
     -23.31800       0.00000       0.00000
     -23.28700       0.00000       0.00000
     -23.25700       0.00000       0.00000
     -23.22600       0.00000       0.00000
     -23.19500       0.00000       0.00000
     -23.16500       0.00000       0.00000
     -23.13400       0.00000       0.00000
     -23.10300       0.00000       0.00000
     -23.07300       0.00000       0.00000
     -23.04200       0.00000       0.00000
     -23.01100       0.00000       0.00000
     -22.98100       0.00000       0.00000
     -22.95000       0.00000       0.00000
     -22.92000       0.00000       0.00000
     -22.88900       0.00000       0.00000
     -22.85800       0.00000       0.00000
     -22.82800       0.00000       0.00000
     -22.79700       0.00000       0.00000
     -22.76600       0.00000       0.00000
     -22.73600       0.00000       0.00000
     -22.70500       0.00000       0.00000
     -22.67400       0.00000       0.00000
     -22.64400       0.00000       0.00000
     -22.61300       0.00000       0.00000
     -22.58200       0.00000       0.00000
     -22.55200       0.00000       0.00000
     -22.52100       0.00000       0.00000
     -22.49000       0.00000       0.00000
     -22.46000       0.00000       0.00000
     -22.42900       0.00000       0.00000
     -22.39800       0.00000       0.00000
     -22.36800       0.00000       0.00000
     -22.33700       0.00000       0.00000
     -22.30700       0.00000      -0.00000
     -22.27600       0.00000      -0.00000
     -22.24500       0.00000      -0.00000
     -22.21500       0.00000      -0.00000
     -22.18400       0.00011      -0.00003
     -22.15300       0.00268      -0.00094
     -22.12300       0.03425      -0.01515
     -22.09200       0.23129      -0.12719
     -22.06100       0.87673      -0.58510
     -22.03100       2.02417      -1.58911
     -22.00000       3.15874      -2.80597
     -21.96900       3.78242      -3.62870
     -21.93900       3.96828      -3.93354
     -21.90800       3.99730      -3.99341
     -21.87700       3.99960      -3.99944
     -21.84700       3.99969      -3.99974
     -21.81600       3.99969      -3.99975
     -21.78600       3.99969      -3.99975
     -21.75500       3.99969      -3.99975
     -21.72400       3.99969      -3.99975
     -21.69400       3.99969      -3.99975
     -21.66300       3.99969      -3.99975
     -21.63200       3.99969      -3.99975
     -21.60200       3.99969      -3.99975
     -21.57100       3.99969      -3.99975
     -21.54000       3.99969      -3.99975
     -21.51000       3.99969      -3.99975
     -21.47900       3.99969      -3.99975
     -21.44800       3.99969      -3.99975
     -21.41800       3.99969      -3.99975
     -21.38700       3.99971      -3.99976
     -21.35600       4.00026      -3.99988
     -21.32600       4.00855      -4.00234
     -21.29500       4.07636      -4.02933
     -21.26500       4.39324      -4.19399
     -21.23400       5.28370      -4.78145
     -21.20300       6.86756      -6.06957
     -21.17300       8.75238      -7.89861
     -21.14200      10.37977      -9.69823
     -21.11100      11.57808     -11.07860
     -21.08100      12.55237     -12.11172
     -21.05000      13.50183     -13.04279
     -21.01900      14.46079     -13.97601
     -20.98900      15.43308     -14.91612
     -20.95800      16.43755     -15.89577
     -20.92700      17.44601     -16.91695
     -20.89700      18.42091     -17.92632
     -20.86600      19.40653     -18.92099
     -20.83500      20.49513     -19.99212
     -20.80500      21.62755     -21.15733
     -20.77400      22.56568     -22.21667
     -20.74400      23.19426     -22.96615
     -20.71300      23.68186     -23.46708
     -20.68200      24.33695     -23.98441
     -20.65200      25.37605     -24.80944
     -20.62100      26.60011     -25.98723
     -20.59000      27.50253     -27.10694
     -20.56000      27.89241     -27.74839
     -20.52900      27.99175     -27.95959
     -20.49800      28.05135     -28.01048
     -20.46800      28.28425     -28.10716
     -20.43700      28.95942     -28.47878
     -20.40600      30.22807     -29.38916
     -20.37600      31.84289     -30.85794
     -20.34500      33.30937     -32.47491
     -20.31400      34.49819     -33.81497
     -20.28400      35.65130     -34.96318
     -20.25300      36.74496     -36.12503
     -20.22300      37.56631     -37.14160
     -20.19200      38.14157     -37.85707
     -20.16100      38.64541     -38.37838
     -20.13100      39.20795     -38.88345
     -20.10000      39.88985     -39.48844
     -20.06900      40.77143     -40.26780
     -20.03900      41.88500     -41.29235
     -20.00800      42.99690     -42.45343
     -19.97700      43.81779     -43.43813
     -19.94700      44.33251     -44.09062
     -19.91600      44.69201     -44.51156
     -19.88500      45.03434     -44.85206
     -19.85500      45.42985     -45.21983
     -19.82400      45.85907     -45.63724
     -19.79300      46.30698     -46.07229
     -19.76300      46.79244     -46.53690
     -19.73200      47.27207     -47.02941
     -19.70200      47.65516     -47.47349
     -19.67100      47.88344     -47.78568
     -19.64000      47.97408     -47.94145
     -19.61000      47.99549     -47.99035
     -19.57900      47.99828     -47.99910
     -19.54800      47.99886     -48.00005
     -19.51800      48.00432     -48.00217
     -19.48700      48.04350     -48.02159
