      #Energy        TDOS-UP        TDOS-DOWN
     -23.44100       0.00000       0.00000
     -23.41000       0.00000       0.00000
     -23.37900       0.00000       0.00000
     -23.34900       0.00000       0.00000
     -23.31800       0.00000       0.00000
     -23.28700       0.00000       0.00000
     -23.25700       0.00000       0.00000
     -23.22600       0.00000       0.00000
     -23.19500       0.00000       0.00000
     -23.16500       0.00000       0.00000
     -23.13400       0.00000       0.00000
     -23.10300       0.00000       0.00000
     -23.07300       0.00000       0.00000
     -23.04200       0.00000       0.00000
     -23.01100       0.00000       0.00000
     -22.98100       0.00000       0.00000
     -22.95000       0.00000       0.00000
     -22.92000       0.00000       0.00000
     -22.88900       0.00000       0.00000
     -22.85800       0.00000       0.00000
     -22.82800       0.00000       0.00000
     -22.79700       0.00000       0.00000
     -22.76600       0.00000       0.00000
     -22.73600       0.00000       0.00000
     -22.70500       0.00000       0.00000
     -22.67400       0.00000       0.00000
     -22.64400       0.00000       0.00000
     -22.61300       0.00000       0.00000
     -22.58200       0.00000       0.00000
     -22.55200       0.00000       0.00000
     -22.52100       0.00000       0.00000
     -22.49000       0.00000       0.00000
     -22.46000       0.00000       0.00000
     -22.42900       0.00000       0.00000
     -22.39800       0.00000       0.00000
     -22.36800       0.00000       0.00000
     -22.33700       0.00000       0.00000
     -22.30700       0.00000      -0.00000
     -22.27600       0.00000      -0.00000
     -22.24500       0.00000      -0.00000
     -22.21500       0.00013      -0.00003
     -22.18400       0.00666      -0.00184
     -22.15300       0.16110      -0.05743
     -22.12300       1.89900      -0.86990
     -22.09200      10.96000      -6.44200
     -22.06100      31.16000     -23.44000
     -22.03100      43.72000     -42.08000
     -22.00000      30.32000     -37.33000
     -21.96900      10.38000     -16.36000
     -21.93900       1.74900      -3.53300
     -21.90800       0.14440      -0.37420
     -21.87700       0.00581      -0.01935
     -21.84700       0.00011      -0.00049
     -21.81600       0.00000      -0.00001
     -21.78600       0.00000      -0.00000
     -21.75500       0.00000      -0.00000
     -21.72400       0.00000      -0.00000
     -21.69400       0.00000       0.00000
     -21.66300       0.00000       0.00000
     -21.63200       0.00000       0.00000
     -21.60200       0.00000       0.00000
     -21.57100       0.00000       0.00000
     -21.54000       0.00000       0.00000
     -21.51000       0.00000      -0.00000
     -21.47900       0.00000      -0.00000
     -21.44800       0.00000      -0.00000
     -21.41800       0.00002      -0.00000
     -21.38700       0.00124      -0.00020
     -21.35600       0.03480      -0.00768
     -21.32600       0.50600      -0.15330
     -21.29500       3.91900      -1.60800
     -21.26500      16.76000      -9.13700
     -21.23400      41.35000     -29.20000
     -21.20300      62.01000     -54.86000
     -21.17300      60.99000     -64.50000
     -21.14200      45.21000     -52.94000
     -21.11100      32.99000     -37.14000
     -21.08100      30.59000     -30.28000
     -21.05000      31.37000     -30.48000
     -21.01900      31.21000     -30.42000
     -20.98900      32.24000     -30.93000
     -20.95800      33.31000     -33.00000
     -20.92700      32.50000     -33.64000
     -20.89700      31.12000     -32.23000
     -20.86600      33.20000     -32.68000
     -20.83500      37.84000     -37.22000
     -20.80500      36.06000     -38.82000
     -20.77400      25.16000     -30.31000
     -20.74400      15.86000     -18.60000
     -20.71300      15.96000     -14.09000
     -20.68200      26.79000     -19.67000
     -20.65200      41.02000     -34.17000
     -20.62100      38.86000     -42.69000
     -20.59000      20.03000     -30.38000
     -20.56000       5.41300     -11.48000
     -20.52900       1.07000      -2.30300
     -20.49800       2.81900      -1.01800
     -20.46800      12.38000      -5.29100
     -20.43700      31.68000     -18.96000
     -20.40600      51.11000     -40.45000
     -20.37600      54.27000     -55.40000
     -20.34500      41.43000     -50.12000
     -20.31400      36.15000     -37.33000
     -20.28400      39.10000     -37.60000
     -20.25300      32.27000     -38.22000
     -20.22300      21.33000     -28.12000
     -20.19200      16.21000     -18.57000
     -20.16100      16.67000     -15.45000
     -20.13100      20.04000     -17.51000
     -20.10000      24.46000     -21.97000
     -20.06900      33.07000     -28.89000
     -20.03900      39.60000     -37.97000
     -20.00800      32.96000     -37.80000
     -19.97700      20.61000     -26.46000
     -19.94700      12.98000     -16.12000
     -19.91600      10.48000     -11.35000
     -19.88500      11.86000     -10.87000
     -19.85500      13.95000     -13.13000
     -19.82400      14.06000     -14.11000
     -19.79300      15.17000     -14.28000
     -19.76300      16.51000     -16.04000
     -19.73200      14.79000     -16.10000
     -19.70200      10.21000     -12.88000
     -19.67100       4.68700      -7.49300
     -19.64000       1.22800      -2.67200
     -19.61000       0.16920      -0.51910
     -19.57900       0.01272      -0.05216
     -19.54800       0.02495      -0.00981
     -19.51800       0.33170      -0.12880
     -19.48700       2.22500      -1.13800
