      #Energy        TDOS-UP        TDOS-DOWN
     -19.80015       0.00000       0.00000
     -19.77115       0.00000       0.00000
     -19.74115       0.00000       0.00000
     -19.71115       0.00000       0.00000
     -19.68115       0.00000       0.00000
     -19.65115       0.00000       0.00000
     -19.62215       0.00000       0.00000
     -19.59215       0.00000       0.00000
     -19.56215       0.00000       0.00000
     -19.53215       0.00000       0.00000
     -19.50215       0.00000       0.00000
     -19.47215       0.00000       0.00000
     -19.44315       0.00000       0.00000
     -19.41315       0.00000       0.00000
     -19.38315       0.00000       0.00000
     -19.35315       0.00000       0.00000
     -19.32315       0.00000       0.00000
     -19.29415       0.00000       0.00000
     -19.26415       0.00000       0.00000
     -19.23415       0.00000       0.00000
     -19.20415       0.00000       0.00000
     -19.17415       0.00000       0.00000
     -19.14515       0.00000       0.00000
     -19.11515       0.00000       0.00000
     -19.08515       0.00000       0.00000
     -19.05515       0.00000       0.00000
     -19.02515       0.00000       0.00000
     -18.99615       0.00000       0.00000
     -18.96615       0.00000       0.00000
     -18.93615       0.00000       0.00000
     -18.90615       0.00000       0.00000
     -18.87615       0.00000       0.00000
     -18.84715       0.00000       0.00000
     -18.81715       0.00000       0.00000
     -18.78715       0.00000       0.00000
     -18.75715       0.00000       0.00000
     -18.72715       0.00000      -0.00000
     -18.69715       0.00000      -0.00000
     -18.66815       0.00000      -0.00000
     -18.63815       0.00000      -0.00000
     -18.60815       0.00000      -0.00000
     -18.57815       0.00004      -0.00004
     -18.54815       0.00094      -0.00094
     -18.51915       0.01201      -0.01201
     -18.48915       0.08665      -0.08665
     -18.45915       0.38016      -0.38016
     -18.42915       1.11565      -1.11565
     -18.39915       2.42688      -2.42688
     -18.37015       4.24124      -4.24124
     -18.34015       6.25368      -6.25368
     -18.31015       8.04003      -8.04003
     -18.28015       9.31399      -9.31399
     -18.25015      10.11581     -10.11581
     -18.22115      10.73252     -10.73252
     -18.19115      11.42003     -11.42003
     -18.16115      12.25850     -12.25850
     -18.13115      13.20325     -13.20325
     -18.10115      14.18435     -14.18435
     -18.07215      15.16069     -15.16069
     -18.04215      16.07160     -16.07160
     -18.01215      16.87043     -16.87043
     -17.98215      17.61770     -17.61770
     -17.95215      18.40864     -18.40864
     -17.92215      19.29466     -19.29466
     -17.89315      20.23269     -20.23269
     -17.86315      21.04390     -21.04390
     -17.83315      21.61471     -21.61471
     -17.80315      22.05362     -22.05362
     -17.77315      22.52994     -22.52994
     -17.74415      23.08570     -23.08570
     -17.71415      23.60747     -23.60747
     -17.68415      24.02865     -24.02865
     -17.65415      24.51540     -24.51540
     -17.62415      25.27742     -25.27742
     -17.59515      26.39236     -26.39236
     -17.56515      27.88452     -27.88452
     -17.53515      29.58249     -29.58249
     -17.50515      31.03678     -31.03678
     -17.47515      31.98451     -31.98451
     -17.44615      32.64652     -32.64652
