      #Energy        TDOS-UP        TDOS-DOWN
     -19.79589       0.00000       0.00000
     -19.76689       0.00000       0.00000
     -19.73689       0.00000       0.00000
     -19.70689       0.00000       0.00000
     -19.67789       0.00000       0.00000
     -19.64789       0.00000       0.00000
     -19.61789       0.00000       0.00000
     -19.58889       0.00000       0.00000
     -19.55889       0.00000       0.00000
     -19.52889       0.00000       0.00000
     -19.49989       0.00000       0.00000
     -19.46989       0.00000       0.00000
     -19.43989       0.00000       0.00000
     -19.41089       0.00000       0.00000
     -19.38089       0.00000       0.00000
     -19.35089       0.00000       0.00000
     -19.32189       0.00000       0.00000
     -19.29189       0.00000       0.00000
     -19.26189       0.00000       0.00000
     -19.23289       0.00000       0.00000
     -19.20289       0.00000       0.00000
     -19.17289       0.00000       0.00000
     -19.14389       0.00000       0.00000
     -19.11389       0.00000       0.00000
     -19.08389       0.00000       0.00000
     -19.05389       0.00000       0.00000
     -19.02489       0.00000       0.00000
     -18.99489       0.00000       0.00000
     -18.96489       0.00000       0.00000
     -18.93589       0.00000       0.00000
     -18.90589       0.00000       0.00000
     -18.87589       0.00000       0.00000
     -18.84689       0.00000       0.00000
     -18.81689       0.00000       0.00000
     -18.78689       0.00000       0.00000
     -18.75789       0.00000       0.00000
     -18.72789       0.00000      -0.00000
     -18.69789       0.00000      -0.00000
     -18.66889       0.00000      -0.00000
     -18.63889       0.00000      -0.00000
     -18.60889       0.00006      -0.00006
     -18.57989       0.00247      -0.00247
     -18.54989       0.05581      -0.05581
     -18.51989       0.68200      -0.68200
     -18.49089       4.63000      -4.63000
     -18.46089      18.09000     -18.09000
     -18.43089      42.38000     -42.38000
     -18.40189      62.67000     -62.67000
     -18.37189      62.79000     -62.79000
     -18.34189      49.32000     -49.32000
     -18.31289      40.42000     -40.42000
     -18.28289      37.43000     -37.43000
     -18.25289      31.65000     -31.65000
     -18.22389      26.23000     -26.23000
     -18.19389      25.85000     -25.85000
     -18.16389      29.87000     -29.87000
     -18.13489      36.11000     -36.11000
     -18.10489      41.37000     -41.37000
     -18.07489      40.29000     -40.29000
     -18.04589      31.47000     -31.47000
     -18.01589      23.37000     -23.37000
     -17.98589      20.11000     -20.11000
     -17.95689      20.53000     -20.53000
     -17.92689      25.24000     -25.24000
     -17.89689      29.67000     -29.67000
     -17.86689      24.58000     -24.58000
     -17.83789      14.21000     -14.21000
     -17.80789      11.20000     -11.20000
     -17.77789      17.19000     -17.19000
     -17.74889      20.74000     -20.74000
     -17.71889      15.17000     -15.17000
     -17.68889      10.78000     -10.78000
     -17.65989      18.24000     -18.24000
     -17.62989      33.70000     -33.70000
     -17.59989      49.77000     -49.77000
     -17.57089      61.77000     -61.77000
     -17.54089      56.93000     -56.93000
     -17.51089      35.63000     -35.63000
     -17.48189      18.48000     -18.48000
     -17.45189      15.60000     -15.60000
     -17.42189      23.10000     -23.10000
     -17.39289      31.93000     -31.93000
     -17.36289      35.73000     -35.73000
     -17.33289      36.98000     -36.98000
     -17.30389      36.43000     -36.43000
     -17.27389      29.72000     -29.72000
     -17.24389      19.65000     -19.65000
     -17.21489      13.15000     -13.15000
     -17.18489       9.51300      -9.51300
     -17.15489       5.70700      -5.70700
     -17.12589       3.79500      -3.79500
     -17.09589       6.10400      -6.10400
     -17.06589      10.88000     -10.88000
     -17.03689      15.26000     -15.26000
     -17.00689      16.24000     -16.24000
     -16.97689      11.30000     -11.30000
     -16.94789       4.51500      -4.51500
     -16.91789       0.97340      -0.97340
     -16.88789       0.11000      -0.11000
     -16.85889       0.00656      -0.00656
     -16.82889       0.00529      -0.00529
     -16.79889       0.09032      -0.09032
     -16.76889       0.82300      -0.82300
     -16.73989       3.90700      -3.90700
     -16.70989       9.88200      -9.88200
     -16.67989      14.13000     -14.13000
     -16.65089      13.99000     -13.99000
     -16.62089      15.34000     -15.34000
     -16.59089      20.35000     -20.35000
     -16.56189      21.49000     -21.49000
     -16.53189      16.26000     -16.26000
     -16.50189      11.96000     -11.96000
     -16.47289      13.83000     -13.83000
     -16.44289      20.84000     -20.84000
     -16.41289      24.45000     -24.45000
     -16.38389      18.65000     -18.65000
     -16.35389      10.55000     -10.55000
     -16.32389       7.22800      -7.22800
     -16.29489       8.79700      -8.79700
     -16.26489      12.98000     -12.98000
     -16.23489      15.73000     -15.73000
     -16.20589      17.11000     -17.11000
     -16.17589      21.08000     -21.08000
     -16.14589      24.09000     -24.09000
     -16.11689      23.08000     -23.08000
     -16.08689      24.91000     -24.91000
     -16.05689      32.14000     -32.14000
     -16.02789      34.19000     -34.19000
     -15.99789      27.09000     -27.09000
     -15.96789      21.85000     -21.85000
     -15.93889      23.22000     -23.22000
     -15.90889      28.86000     -28.86000
     -15.87889      38.69000     -38.69000
     -15.84989      44.25000     -44.25000
     -15.81989      36.68000     -36.68000
     -15.78989      25.75000     -25.75000
     -15.76089      21.45000     -21.45000
     -15.73089      18.29000     -18.29000
     -15.70089      13.99000     -13.99000
     -15.67089      15.06000     -15.06000
     -15.64189      22.05000     -22.05000
     -15.61189      24.06000     -24.06000
     -15.58189      18.15000     -18.15000
     -15.55289      14.24000     -14.24000
     -15.52289      18.92000     -18.92000
     -15.49289      30.78000     -30.78000
     -15.46389      41.27000     -41.27000
