#K-Path              Spin-Up       Spin-Down
# NKPTS & NBANDS:  60 508
# Band-Index    1
   0.00000    -19.233554    -19.233554
   0.01681    -19.233529    -19.233529
   0.03361    -19.233451    -19.233451
   0.05042    -19.233327    -19.233327
   0.06722    -19.233164    -19.233164
   0.08403    -19.232973    -19.232973
   0.10083    -19.232771    -19.232771
   0.11764    -19.232584    -19.232584
   0.13444    -19.232446    -19.232446
   0.15125    -19.232394    -19.232394
   0.15125    -19.232394    -19.232394
   0.15671    -19.232396    -19.232396
   0.16217    -19.232397    -19.232397
   0.16763    -19.232401    -19.232401
   0.17309    -19.232405    -19.232405
   0.17855    -19.232411    -19.232411
   0.18401    -19.232417    -19.232417
   0.18947    -19.232425    -19.232425
   0.19493    -19.232433    -19.232433
   0.20039    -19.232443    -19.232443
   0.20039    -19.232443    -19.232443
   0.21469    -19.232560    -19.232560
   0.22898    -19.232721    -19.232721
   0.24328    -19.232900    -19.232900
   0.25758    -19.233074    -19.233074
   0.27187    -19.233235    -19.233235
   0.28617    -19.233369    -19.233369
   0.30046    -19.233469    -19.233469
   0.31476    -19.233531    -19.233531
   0.32905    -19.233552    -19.233552
   0.32905    -19.233552    -19.233552
   0.34335    -19.233531    -19.233531
   0.35764    -19.233469    -19.233469
   0.37194    -19.233369    -19.233369
   0.38624    -19.233235    -19.233235
   0.40053    -19.233074    -19.233074
   0.41483    -19.232900    -19.232900
   0.42912    -19.232721    -19.232721
   0.44342    -19.232560    -19.232560
   0.45771    -19.232443    -19.232443
   0.45771    -19.232443    -19.232443
   0.46317    -19.232434    -19.232434
   0.46863    -19.232425    -19.232425
   0.47409    -19.232418    -19.232418
   0.47956    -19.232413    -19.232413
   0.48502    -19.232407    -19.232407
   0.49048    -19.232403    -19.232403
   0.49594    -19.232399    -19.232399
   0.50140    -19.232397    -19.232397
   0.50686    -19.232396    -19.232396
   0.50686    -19.232396    -19.232396
   0.52366    -19.232447    -19.232447
   0.54047    -19.232585    -19.232585
   0.55727    -19.232772    -19.232772
   0.57408    -19.232973    -19.232973
   0.59088    -19.233163    -19.233163
   0.60769    -19.233327    -19.233327
   0.62450    -19.233450    -19.233450
   0.64130    -19.233528    -19.233528
   0.65811    -19.233554    -19.233554
 
 
# Band-Index    2
   0.65811    -19.228914    -19.228914
   0.64130    -19.228941    -19.228941
   0.62450    -19.229020    -19.229020
   0.60769    -19.229146    -19.229146
   0.59088    -19.229312    -19.229312
   0.57408    -19.229506    -19.229506
   0.55727    -19.229711    -19.229711
   0.54047    -19.229899    -19.229899
   0.52366    -19.230037    -19.230037
   0.50686    -19.230089    -19.230089
   0.50686    -19.230089    -19.230089
