      #Energy        TDOS-UP        TDOS-DOWN
     -20.62526       0.00000       0.00000
     -20.59426       0.00000       0.00000
     -20.56326       0.00000       0.00000
     -20.53326       0.00000       0.00000
     -20.50226       0.00000       0.00000
     -20.47226       0.00000       0.00000
     -20.44126       0.00000       0.00000
     -20.41026       0.00000       0.00000
     -20.38026       0.00000       0.00000
     -20.34926       0.00000       0.00000
     -20.31826       0.00000       0.00000
     -20.28826       0.00000       0.00000
     -20.25726       0.00000       0.00000
     -20.22626       0.00000       0.00000
     -20.19626       0.00000       0.00000
     -20.16526       0.00000       0.00000
     -20.13426       0.00000       0.00000
     -20.10426       0.00000       0.00000
     -20.07326       0.00000       0.00000
     -20.04326       0.00000       0.00000
     -20.01226       0.00000       0.00000
     -19.98126       0.00000       0.00000
     -19.95126       0.00000       0.00000
     -19.92026       0.00000       0.00000
     -19.88926       0.00000       0.00000
     -19.85926       0.00000       0.00000
     -19.82826       0.00000       0.00000
     -19.79726       0.00000       0.00000
     -19.76726       0.00000       0.00000
     -19.73626       0.00000       0.00000
     -19.70526       0.00000       0.00000
     -19.67526       0.00000       0.00000
     -19.64426       0.00000       0.00000
     -19.61426       0.00000       0.00000
     -19.58326       0.00000       0.00000
     -19.55226       0.00000       0.00000
     -19.52226       0.00000      -0.00000
     -19.49126       0.00000      -0.00000
     -19.46026       0.00000      -0.00000
     -19.43026       0.00000      -0.00000
     -19.39926       0.00013      -0.00013
     -19.36826       0.00661      -0.00661
     -19.33826       0.16000      -0.16000
     -19.30726       1.88700      -1.88700
     -19.27626      10.91000     -10.91000
     -19.24626      31.08000     -31.08000
     -19.21526      43.71000     -43.71000
     -19.18526      30.41000     -30.41000
     -19.15426      10.45000     -10.45000
     -19.12326       1.76800      -1.76800
     -19.09326       0.14660      -0.14660
     -19.06226       0.00592      -0.00592
     -19.03126       0.00012      -0.00012
     -19.00126       0.00000      -0.00000
     -18.97026       0.00000      -0.00000
     -18.93926       0.00000      -0.00000
     -18.90926       0.00000      -0.00000
     -18.87826       0.00000       0.00000
     -18.84726       0.00000       0.00000
     -18.81726       0.00000       0.00000
     -18.78626       0.00000       0.00000
     -18.75626       0.00000       0.00000
     -18.72526       0.00000      -0.00000
     -18.69426       0.00000      -0.00000
     -18.66426       0.00000      -0.00000
     -18.63326       0.00000      -0.00000
     -18.60226       0.00003      -0.00003
     -18.57226       0.00152      -0.00152
     -18.54126       0.04107      -0.04107
     -18.51026       0.57380      -0.57380
     -18.48026       4.27300      -4.27300
     -18.44926      17.62000     -17.62000
     -18.41826      42.10000     -42.10000
     -18.38826      61.75000     -61.75000
     -18.35726      60.19000     -60.19000
     -18.32726      44.96000     -44.96000
     -18.29626      33.28000     -33.28000
     -18.26526      30.17000     -30.17000
     -18.23526      29.73000     -29.73000
     -18.20426      30.04000     -30.04000
     -18.17326      32.47000     -32.47000
     -18.14326      33.28000     -33.28000
     -18.11226      31.77000     -31.77000
     -18.08126      31.19000     -31.19000
     -18.05126      33.50000     -33.50000
     -18.02026      37.56000     -37.56000
     -17.98926      36.50000     -36.50000
     -17.95926      26.31000     -26.31000
     -17.92826      16.49000     -16.49000
     -17.89826      15.59000     -15.59000
     -17.86726      25.52000     -25.52000
     -17.83626      40.23000     -40.23000
     -17.80626      39.77000     -39.77000
     -17.77526      21.39000     -21.39000
     -17.74426       6.02000      -6.02000
     -17.71426       1.21300      -1.21300
     -17.68326       2.95000      -2.95000
     -17.65226      12.38000     -12.38000
     -17.62226      30.39000     -30.39000
     -17.59126      48.48000     -48.48000
     -17.56026      53.37000     -53.37000
     -17.53026      42.70000     -42.70000
     -17.49926      36.81000     -36.81000
     -17.46926      39.34000     -39.34000
     -17.43826      32.92000     -32.92000
     -17.40726      21.99000     -21.99000
     -17.37726      17.09000     -17.09000
     -17.34626      17.85000     -17.85000
     -17.31526      20.39000     -20.39000
     -17.28526      23.13000     -23.13000
     -17.25426      31.37000     -31.37000
     -17.22326      39.26000     -39.26000
     -17.19326      33.45000     -33.45000
     -17.16226      20.67000     -20.67000
     -17.13126      12.87000     -12.87000
     -17.10126      10.32000     -10.32000
     -17.07026      11.36000     -11.36000
     -17.04026      13.75000     -13.75000
     -17.00926      14.17000     -14.17000
     -16.97826      14.92000     -14.92000
     -16.94826      16.48000     -16.48000
     -16.91726      15.34000     -15.34000
     -16.88626      11.18000     -11.18000
     -16.85626       5.58900      -5.58900
     -16.82526       1.63000      -1.63000
     -16.79426       0.25270      -0.25270
     -16.76426       0.02137      -0.02137
     -16.73326       0.03597      -0.03597
     -16.70226       0.43570      -0.43570
     -16.67226       2.68300      -2.68300
     -16.64126       8.35900      -8.35900
     -16.61126      13.66000     -13.66000
     -16.58026      12.80000     -12.80000
     -16.54926       8.72200      -8.72200
     -16.51926       7.29300      -7.29300
     -16.48826      11.83000     -11.83000
     -16.45726      22.16000     -22.16000
     -16.42726      27.08000     -27.08000
     -16.39626      19.06000     -19.06000
     -16.36526       9.13300      -9.13300
     -16.33526       5.11900      -5.11900
     -16.30426       4.56500      -4.56500
     -16.27326       5.36000      -5.36000
     -16.24326       8.00200      -8.00200
     -16.21226      11.53000     -11.53000
     -16.18226      11.74000     -11.74000
     -16.15126      11.92000     -11.92000
     -16.12026      23.76000     -23.76000
     -16.09026      43.40000     -43.40000
     -16.05926      50.40000     -50.40000
     -16.02826      41.09000     -41.09000
     -15.99826      31.41000     -31.41000
     -15.96726      34.39000     -34.39000
     -15.93626      41.89000     -41.89000
     -15.90626      35.84000     -35.84000
     -15.87526      24.44000     -24.44000
     -15.84426      24.23000     -24.23000
     -15.81426      28.92000     -28.92000
     -15.78326      30.39000     -30.39000
     -15.75326      31.25000     -31.25000
     -15.72226      31.03000     -31.03000
     -15.69126      25.84000     -25.84000
     -15.66126      19.03000     -19.03000
     -15.63026      21.26000     -21.26000
     -15.59926      28.54000     -28.54000
     -15.56926      28.97000     -28.97000
     -15.53826      29.04000     -29.04000
     -15.50726      32.35000     -32.35000
     -15.47726      32.00000     -32.00000
     -15.44626      31.40000     -31.40000
     -15.41526      31.73000     -31.73000
     -15.38526      29.60000     -29.60000
     -15.35426      24.09000     -24.09000
     -15.32426      17.91000     -17.91000
     -15.29326      16.00000     -16.00000
     -15.26226      18.34000     -18.34000
     -15.23226      22.47000     -22.47000
     -15.20126      24.30000     -24.30000
     -15.17026      23.07000     -23.07000
     -15.14026      25.53000     -25.53000
     -15.10926      28.94000     -28.94000
     -15.07826      27.93000     -27.93000
     -15.04826      34.96000     -34.96000
     -15.01726      55.13000     -55.13000
     -14.98626      69.00000     -69.00000
     -14.95626      62.92000     -62.92000
     -14.92526      51.40000     -51.40000
     -14.89526      44.21000     -44.21000
     -14.86426      34.81000     -34.81000
     -14.83326      24.12000     -24.12000
     -14.80326      19.55000     -19.55000
     -14.77226      26.12000     -26.12000
     -14.74126      41.93000     -41.93000
     -14.71126      53.19000     -53.19000
     -14.68026      52.21000     -52.21000
     -14.64926      46.23000     -46.23000
     -14.61926      40.00000     -40.00000
     -14.58826      33.66000     -33.66000
     -14.55726      27.49000     -27.49000
     -14.52726      20.53000     -20.53000
     -14.49626      15.43000     -15.43000
     -14.46626      15.97000     -15.97000
     -14.43526      20.08000     -20.08000
     -14.40426      26.20000     -26.20000
     -14.37426      34.30000     -34.30000
     -14.34326      40.60000     -40.60000
     -14.31226      43.24000     -43.24000
     -14.28226      44.40000     -44.40000
     -14.25126      41.33000     -41.33000
     -14.22026      32.99000     -32.99000
     -14.19026      23.49000     -23.49000
     -14.15926      15.27000     -15.27000
     -14.12826      11.53000     -11.53000
     -14.09826      16.38000     -16.38000
     -14.06726      27.86000     -27.86000
     -14.03726      35.50000     -35.50000
     -14.00626      35.17000     -35.17000
     -13.97526      34.97000     -34.97000
     -13.94526      37.87000     -37.87000
     -13.91426      42.46000     -42.46000
     -13.88326      44.53000     -44.53000
     -13.85326      38.96000     -38.96000
     -13.82226      29.90000     -29.90000
     -13.79126      23.22000     -23.22000
     -13.76126      17.74000     -17.74000
     -13.73026      11.72000     -11.72000
     -13.69926       7.17000      -7.17000
     -13.66926       5.49100      -5.49100
     -13.63826       4.88700      -4.88700
     -13.60826       3.82800      -3.82800
     -13.57726       3.06800      -3.06800
     -13.54626       2.81700      -2.81700
     -13.51626       2.05100      -2.05100
     -13.48526       0.88850      -0.88850
     -13.45426       0.20600      -0.20600
     -13.42426       0.02451      -0.02451
     -13.39326       0.00146      -0.00146
     -13.36226       0.00004      -0.00004
     -13.33226       0.00000      -0.00000
     -13.30126       0.00019      -0.00019
     -13.27026       0.00775      -0.00775
     -13.24026       0.15760      -0.15760
     -13.20926       1.58800      -1.58800
     -13.17926       8.10500      -8.10500
     -13.14826      21.95000     -21.95000
     -13.11726      35.27000     -35.27000
     -13.08726      41.62000     -41.62000
     -13.05626      43.62000     -43.62000
     -13.02526      41.57000     -41.57000
     -12.99526      35.33000     -35.33000
     -12.96426      28.69000     -28.69000
     -12.93326      25.89000     -25.89000
     -12.90326      22.11000     -22.11000
     -12.87226      16.13000     -16.13000
     -12.84126      19.74000     -19.74000
     -12.81126      35.48000     -35.48000
     -12.78026      48.06000     -48.06000
     -12.75026      49.68000     -49.68000
     -12.71926      47.33000     -47.33000
     -12.68826      43.02000     -43.02000
     -12.65826      32.44000     -32.44000
     -12.62726      20.92000     -20.92000
     -12.59626      18.28000     -18.28000
     -12.56626      20.63000     -20.63000
     -12.53526      18.69000     -18.69000
     -12.50426      16.03000     -16.03000
     -12.47426      19.84000     -19.84000
     -12.44326      27.57000     -27.57000
     -12.41226      32.49000     -32.49000
     -12.38226      36.79000     -36.79000
     -12.35126      42.26000     -42.26000
     -12.32126      40.28000     -40.28000
     -12.29026      29.07000     -29.07000
     -12.25926      18.83000     -18.83000
     -12.22926      16.57000     -16.57000
     -12.19826      21.13000     -21.13000
     -12.16726      29.63000     -29.63000
     -12.13726      35.46000     -35.46000
     -12.10626      29.93000     -29.93000
     -12.07526      18.77000     -18.77000
     -12.04526      16.07000     -16.07000
     -12.01426      28.11000     -28.11000
     -11.98326      47.16000     -47.16000
     -11.95326      52.33000     -52.33000
     -11.92226      40.45000     -40.45000
     -11.89126      30.56000     -30.56000
     -11.86126      30.58000     -30.58000
     -11.83026      30.55000     -30.55000
     -11.80026      23.20000     -23.20000
     -11.76926      12.85000     -12.85000
     -11.73826       6.23900      -6.23900
     -11.70826       4.12300      -4.12300
     -11.67726       4.40700      -4.40700
     -11.64626       7.49500      -7.49500
     -11.61626      14.71000     -14.71000
     -11.58526      20.87000     -20.87000
     -11.55426      19.04000     -19.04000
     -11.52426      14.44000     -14.44000
     -11.49326      15.20000     -15.20000
     -11.46226      21.15000     -21.15000
     -11.43226      26.93000     -26.93000
     -11.40126      28.90000     -28.90000
     -11.37126      29.24000     -29.24000
     -11.34026      29.55000     -29.55000
     -11.30926      28.22000     -28.22000
     -11.27926      25.40000     -25.40000
     -11.24826      25.79000     -25.79000
     -11.21726      26.39000     -26.39000
     -11.18726      22.68000     -22.68000
     -11.15626      20.09000     -20.09000
     -11.12526      21.03000     -21.03000
     -11.09526      22.96000     -22.96000
     -11.06426      27.54000     -27.54000
     -11.03326      32.21000     -32.21000
     -11.00326      31.57000     -31.57000
     -10.97226      26.96000     -26.96000
     -10.94226      22.88000     -22.88000
     -10.91126      22.44000     -22.44000
     -10.88026      26.27000     -26.27000
     -10.85026      29.69000     -29.69000
     -10.81926      27.30000     -27.30000
     -10.78826      27.16000     -27.16000
     -10.75826      35.16000     -35.16000
     -10.72726      43.36000     -43.36000
     -10.69626      47.98000     -47.98000
     -10.66626      50.97000     -50.97000
     -10.63526      51.15000     -51.15000
     -10.60426      46.13000     -46.13000
     -10.57426      39.75000     -39.75000
     -10.54326      37.62000     -37.62000
     -10.51326      34.70000     -34.70000
     -10.48226      24.93000     -24.93000
     -10.45126      14.14000     -14.14000
     -10.42126       9.00300      -9.00300
     -10.39026      11.60000     -11.60000
     -10.35926      21.30000     -21.30000
     -10.32926      30.94000     -30.94000
     -10.29826      31.84000     -31.84000
     -10.26726      25.23000     -25.23000
     -10.23726      22.36000     -22.36000
     -10.20626      28.42000     -28.42000
     -10.17526      32.06000     -32.06000
     -10.14526      29.81000     -29.81000
     -10.11426      29.93000     -29.93000
     -10.08426      29.83000     -29.83000
     -10.05326      21.14000     -21.14000
     -10.02226       8.67400      -8.67400
      -9.99226       2.20800      -2.20800
      -9.96126       2.76200      -2.76200
      -9.93026      10.95000     -10.95000
      -9.90026      28.20000     -28.20000
      -9.86926      46.53000     -46.53000
      -9.83826      52.00000     -52.00000
      -9.80826      44.00000     -44.00000
      -9.77726      35.01000     -35.01000
      -9.74626      33.09000     -33.09000
      -9.71626      35.65000     -35.65000
      -9.68526      37.51000     -37.51000
      -9.65526      40.67000     -40.67000
      -9.62426      46.23000     -46.23000
      -9.59326      51.64000     -51.64000
      -9.56326      53.40000     -53.40000
      -9.53226      48.51000     -48.51000
      -9.50126      41.95000     -41.95000
      -9.47126      39.04000     -39.04000
      -9.44026      34.51000     -34.51000
      -9.40926      27.09000     -27.09000
      -9.37926      24.13000     -24.13000
      -9.34826      27.20000     -27.20000
      -9.31726      32.56000     -32.56000
      -9.28726      38.80000     -38.80000
      -9.25626      43.42000     -43.42000
      -9.22626      42.36000     -42.36000
      -9.19526      38.40000     -38.40000
      -9.16426      36.22000     -36.22000
      -9.13426      34.40000     -34.40000
      -9.10326      31.72000     -31.72000
      -9.07226      26.87000     -26.87000
      -9.04226      17.56000     -17.56000
      -9.01126       8.63000      -8.63000
      -8.98026       5.48400      -5.48400
