#K-Path              Spin-Up       Spin-Down
# NKPTS & NBANDS:  60 508
# Band-Index    1
   0.00000    -18.446492    -18.446492
   0.01681    -18.446125    -18.446125
   0.03361    -18.445033    -18.445033
   0.05042    -18.443251    -18.443251
   0.06722    -18.440850    -18.440850
   0.08403    -18.437951    -18.437951
   0.10083    -18.434766    -18.434766
   0.11764    -18.431664    -18.431664
   0.13444    -18.429259    -18.429259
   0.15125    -18.428322    -18.428322
   0.15125    -18.428322    -18.428322
   0.15671    -18.428332    -18.428332
   0.16217    -18.428362    -18.428362
   0.16763    -18.428412    -18.428412
   0.17309    -18.428481    -18.428481
   0.17855    -18.428569    -18.428569
   0.18401    -18.428675    -18.428675
   0.18947    -18.428802    -18.428802
   0.19493    -18.428948    -18.428948
   0.20039    -18.429114    -18.429114
   0.20039    -18.429114    -18.429114
   0.21469    -18.431111    -18.431111
   0.22898    -18.433764    -18.433764
   0.24328    -18.436595    -18.436595
   0.25758    -18.439291    -18.439291
   0.27187    -18.441661    -18.441661
   0.28617    -18.443592    -18.443592
   0.30046    -18.445010    -18.445010
   0.31476    -18.445875    -18.445875
   0.32905    -18.446167    -18.446167
   0.32905    -18.446167    -18.446167
   0.34335    -18.445875    -18.445875
   0.35764    -18.445010    -18.445010
   0.37194    -18.443592    -18.443592
   0.38624    -18.441661    -18.441661
   0.40053    -18.439291    -18.439291
   0.41483    -18.436595    -18.436595
   0.42912    -18.433764    -18.433764
   0.44342    -18.431111    -18.431111
   0.45771    -18.429114    -18.429114
   0.45771    -18.429114    -18.429114
   0.46317    -18.428948    -18.428948
   0.46863    -18.428802    -18.428802
   0.47409    -18.428676    -18.428676
   0.47956    -18.428570    -18.428570
   0.48502    -18.428481    -18.428481
   0.49048    -18.428413    -18.428413
   0.49594    -18.428363    -18.428363
   0.50140    -18.428333    -18.428333
   0.50686    -18.428323    -18.428323
   0.50686    -18.428323    -18.428323
   0.52366    -18.429259    -18.429259
   0.54047    -18.431665    -18.431665
   0.55727    -18.434766    -18.434766
   0.57408    -18.437952    -18.437952
   0.59088    -18.440850    -18.440850
   0.60769    -18.443251    -18.443251
   0.62450    -18.445033    -18.445033
   0.64130    -18.446125    -18.446125
   0.65811    -18.446492    -18.446492
 
 
# Band-Index    2
   0.65811    -18.405292    -18.405292
   0.64130    -18.404869    -18.404869
   0.62450    -18.403601    -18.403601
   0.60769    -18.401498    -18.401498
   0.59088    -18.398582    -18.398582
   0.57408    -18.394880    -18.394880
   0.55727    -18.390434    -18.390434
   0.54047    -18.385316    -18.385316
   0.52366    -18.387674    -18.387674
   0.50686    -18.389136    -18.389136
   0.50686    -18.389136    -18.389136
   0.50140    -18.389120    -18.389120
   0.49594    -18.389071    -18.389071
   0.49048    -18.388989    -18.388989
   0.48502    -18.388874    -18.388874
   0.47956    -18.388726    -18.388726
   0.47409    -18.388546    -18.388546
   0.46863    -18.388335    -18.388335
   0.46317    -18.388093    -18.388093
   0.45771    -18.387822    -18.387822
   0.45771    -18.387822    -18.387822
   0.44342    -18.385128    -18.385128
   0.42912    -18.389913    -18.389913
   0.41483    -18.394171    -18.394171
   0.40053    -18.397838    -18.397838
   0.38624    -18.400879    -18.400879
   0.37194    -18.403268    -18.403268
   0.35764    -18.404986    -18.404986
   0.34335    -18.406022    -18.406022
   0.32905    -18.406369    -18.406369
   0.32905    -18.406369    -18.406369
   0.31476    -18.406022    -18.406022
   0.30046    -18.404986    -18.404986
   0.28617    -18.403268    -18.403268
   0.27187    -18.400879    -18.400879
   0.25758    -18.397838    -18.397838
   0.24328    -18.394171    -18.394171
   0.22898    -18.389913    -18.389913
   0.21469    -18.385128    -18.385128
   0.20039    -18.387822    -18.387822
   0.20039    -18.387822    -18.387822
   0.19493    -18.388093    -18.388093
   0.18947    -18.388336    -18.388336
   0.18401    -18.388548    -18.388548
   0.17855    -18.388728    -18.388728
   0.17309    -18.388875    -18.388875
   0.16763    -18.388991    -18.388991
   0.16217    -18.389073    -18.389073
   0.15671    -18.389122    -18.389122
   0.15125    -18.389138    -18.389138
   0.15125    -18.389138    -18.389138
   0.13444    -18.387676    -18.387676
   0.11764    -18.385314    -18.385314
   0.10083    -18.390434    -18.390434
   0.08403    -18.394880    -18.394880
   0.06722    -18.398582    -18.398582
   0.05042    -18.401498    -18.401498
   0.03361    -18.403601    -18.403601
   0.01681    -18.404869    -18.404869
   0.00000    -18.405292    -18.405292
 
 
# Band-Index    3
   0.00000    -18.350751    -18.350751
   0.01681    -18.351782    -18.351782
   0.03361    -18.354796    -18.354796
   0.05042    -18.359509    -18.359509
   0.06722    -18.365404    -18.365404
   0.08403    -18.371844    -18.371844
   0.10083    -18.378181    -18.378181
   0.11764    -18.383726    -18.383726
   0.13444    -18.379669    -18.379669
   0.15125    -18.375200    -18.375200
   0.15125    -18.375200    -18.375200
   0.15671    -18.375330    -18.375330
   0.16217    -18.375679    -18.375679
   0.16763    -18.376173    -18.376173
   0.17309    -18.376749    -18.376749
   0.17855    -18.377369    -18.377369
   0.18401    -18.378006    -18.378006
   0.18947    -18.378650    -18.378650
   0.19493    -18.379290    -18.379290
   0.20039    -18.379921    -18.379921
   0.20039    -18.379921    -18.379921
   0.21469    -18.384458    -18.384458
   0.22898    -18.379687    -18.379687
   0.24328    -18.374078    -18.374078
   0.25758    -18.368137    -18.368137
   0.27187    -18.362323    -18.362323
   0.28617    -18.357106    -18.357106
   0.30046    -18.352965    -18.352965
   0.31476    -18.350314    -18.350314
   0.32905    -18.349405    -18.349405
   0.32905    -18.349405    -18.349405
   0.34335    -18.350314    -18.350314
   0.35764    -18.352965    -18.352965
   0.37194    -18.357106    -18.357106
   0.38624    -18.362323    -18.362323
   0.40053    -18.368137    -18.368137
   0.41483    -18.374078    -18.374078
   0.42912    -18.379687    -18.379687
   0.44342    -18.384458    -18.384458
   0.45771    -18.379921    -18.379921
   0.45771    -18.379921    -18.379921
   0.46317    -18.379289    -18.379289
   0.46863    -18.378649    -18.378649
   0.47409    -18.378005    -18.378005
   0.47956    -18.377367    -18.377367
   0.48502    -18.376746    -18.376746
