#K-Path              Spin-Up       Spin-Down
# NKPTS & NBANDS:  60 508
# Band-Index    1
   0.00000    -21.272470    -21.258334
   0.01681    -21.272192    -21.258052
   0.03361    -21.271372    -21.257223
   0.05042    -21.270059    -21.255892
   0.06722    -21.268345    -21.254150
   0.08403    -21.266368    -21.252134
   0.10083    -21.264333    -21.250047
   0.11764    -21.262512    -21.248169
   0.13444    -21.261227    -21.246835
   0.15125    -21.260759    -21.246348
   0.15125    -21.260759    -21.246348
   0.15671    -21.260764    -21.246353
   0.16217    -21.260778    -21.246368
   0.16763    -21.260802    -21.246393
   0.17309    -21.260833    -21.246427
   0.17855    -21.260875    -21.246471
   0.18401    -21.260924    -21.246523
   0.18947    -21.260985    -21.246587
   0.19493    -21.261056    -21.246662
   0.20039    -21.261138    -21.246748
   0.20039    -21.261138    -21.246748
   0.21469    -21.262172    -21.247828
   0.22898    -21.263674    -21.249385
   0.24328    -21.265411    -21.251175
   0.25758    -21.267176    -21.252985
   0.27187    -21.268807    -21.254650
   0.28617    -21.270182    -21.256050
   0.30046    -21.271217    -21.257101
   0.31476    -21.271858    -21.257751
   0.32905    -21.272075    -21.257971
   0.32905    -21.272075    -21.257971
   0.34335    -21.271858    -21.257751
   0.35764    -21.271217    -21.257101
   0.37194    -21.270182    -21.256050
   0.38624    -21.268807    -21.254650
   0.40053    -21.267176    -21.252985
   0.41483    -21.265411    -21.251175
   0.42912    -21.263674    -21.249385
   0.44342    -21.262172    -21.247828
   0.45771    -21.261138    -21.246748
   0.45771    -21.261138    -21.246748
   0.46317    -21.261056    -21.246662
   0.46863    -21.260985    -21.246587
   0.47409    -21.260924    -21.246523
   0.47956    -21.260875    -21.246471
   0.48502    -21.260833    -21.246427
   0.49048    -21.260802    -21.246393
   0.49594    -21.260778    -21.246368
   0.50140    -21.260764    -21.246353
   0.50686    -21.260759    -21.246348
   0.50686    -21.260759    -21.246348
   0.52366    -21.261227    -21.246835
   0.54047    -21.262512    -21.248169
   0.55727    -21.264333    -21.250047
   0.57408    -21.266368    -21.252134
   0.59088    -21.268345    -21.254150
   0.60769    -21.270059    -21.255892
   0.62450    -21.271372    -21.257223
   0.64130    -21.272192    -21.258052
   0.65811    -21.272470    -21.258334
 
 
# Band-Index    2
   0.65811    -21.238551    -21.224735
   0.64130    -21.238130    -21.224320
   0.62450    -21.236864    -21.223075
   0.60769    -21.234764    -21.221011
   0.59088    -21.231848    -21.218152
   0.57408    -21.228140    -21.214537
   0.55727    -21.223688    -21.210238
   0.54047    -21.218591    -21.205425
   0.52366    -21.213185    -21.200638
   0.50686    -21.209731    -21.198063
   0.50686    -21.209731    -21.198063
   0.50140    -21.209797    -21.198105
   0.49594    -21.209987    -21.198226
   0.49048    -21.210284    -21.198423
   0.48502    -21.210668    -21.198686
   0.47956    -21.211118    -21.199007
   0.47409    -21.211614    -21.199374
   0.46863    -21.212142    -21.199779
   0.46317    -21.212691    -21.200214
   0.45771    -21.213252    -21.200670
   0.45771    -21.213252    -21.200670
   0.44342    -21.218212    -21.205034
   0.42912    -21.222982    -21.209509
   0.41483    -21.227265    -21.213623
   0.40053    -21.230962    -21.217214
   0.38624    -21.234029    -21.220210
   0.37194    -21.236438    -21.222571
   0.35764    -21.238168    -21.224271
   0.34335    -21.239212    -21.225297
   0.32905    -21.239562    -21.225642
   0.32905    -21.239562    -21.225642
   0.31476    -21.239212    -21.225297
   0.30046    -21.238168    -21.224271
   0.28617    -21.236438    -21.222571
   0.27187    -21.234029    -21.220210
   0.25758    -21.230962    -21.217214
   0.24328    -21.227265    -21.213623
   0.22898    -21.222982    -21.209509
   0.21469    -21.218212    -21.205034
   0.20039    -21.213252    -21.200670
   0.20039    -21.213252    -21.200670
   0.19493    -21.212692    -21.200215
   0.18947    -21.212145    -21.199782
   0.18401    -21.211619    -21.199379
   0.17855    -21.211126    -21.199014
   0.17309    -21.210679    -21.198695
   0.16763    -21.210299    -21.198433
   0.16217    -21.210004    -21.198238
   0.15671    -21.209816    -21.198117
   0.15125    -21.209751    -21.198075
   0.15125    -21.209751    -21.198075
   0.13444    -21.213193    -21.200646
   0.11764    -21.218594    -21.205429
   0.10083    -21.223690    -21.210240
   0.08403    -21.228142    -21.214538
   0.06722    -21.231849    -21.218153
   0.05042    -21.234765    -21.221011
   0.03361    -21.236864    -21.223075
   0.01681    -21.238130    -21.224320
   0.00000    -21.238551    -21.224735
 
 
# Band-Index    3
   0.00000    -21.175901    -21.160062
   0.01681    -21.176736    -21.161200
   0.03361    -21.179097    -21.164264
   0.05042    -21.182636    -21.168578
   0.06722    -21.186908    -21.173517
   0.08403    -21.191436    -21.178563
   0.10083    -21.195739    -21.183245
   0.11764    -21.199326    -21.187095
   0.13444    -21.201727    -21.189647
   0.15125    -21.202566    -21.190529
   0.15125    -21.202566    -21.190529
   0.15671    -21.202550    -21.190518
   0.16217    -21.202501    -21.190483
   0.16763    -21.202427    -21.190425
   0.17309    -21.202333    -21.190345
