      #Energy        TDOS-UP        TDOS-DOWN
     -19.69859       0.00000       0.00000
     -19.66859       0.00000       0.00000
     -19.63859       0.00000       0.00000
     -19.60859       0.00000       0.00000
     -19.57959       0.00000       0.00000
     -19.54959       0.00000       0.00000
     -19.51959       0.00000       0.00000
     -19.48959       0.00000       0.00000
     -19.45959       0.00000       0.00000
     -19.43059       0.00000       0.00000
     -19.40059       0.00000       0.00000
     -19.37059       0.00000       0.00000
     -19.34059       0.00000       0.00000
     -19.31059       0.00000       0.00000
     -19.28159       0.00000       0.00000
     -19.25159       0.00000       0.00000
     -19.22159       0.00000       0.00000
     -19.19159       0.00000       0.00000
     -19.16159       0.00000       0.00000
     -19.13259       0.00000       0.00000
     -19.10259       0.00000       0.00000
     -19.07259       0.00000       0.00000
     -19.04259       0.00000       0.00000
     -19.01259       0.00000       0.00000
     -18.98359       0.00000       0.00000
     -18.95359       0.00000       0.00000
     -18.92359       0.00000       0.00000
     -18.89359       0.00000       0.00000
     -18.86359       0.00000       0.00000
     -18.83459       0.00000       0.00000
     -18.80459       0.00000       0.00000
     -18.77459       0.00000       0.00000
     -18.74459       0.00000       0.00000
     -18.71459       0.00000       0.00000
     -18.68559       0.00000       0.00000
     -18.65559       0.00000       0.00000
     -18.62559       0.00000      -0.00000
     -18.59559       0.00000      -0.00000
     -18.56559       0.00000      -0.00000
     -18.53559       0.00000      -0.00000
     -18.50659       0.00007      -0.00001
     -18.47659       0.00327      -0.00059
     -18.44659       0.07298      -0.01801
     -18.41659       0.84310      -0.28450
     -18.38659       5.14700      -2.35000
     -18.35759      17.37000     -10.48000
     -18.32759      35.84000     -27.01000
     -18.29759      53.32000     -45.99000
     -18.26759      64.91000     -60.49000
     -18.23759      64.89000     -65.53000
     -18.20859      52.03000     -58.40000
     -18.17859      33.00000     -42.13000
     -18.14859      20.73000     -25.58000
     -18.11859      21.32000     -20.13000
     -18.08859      27.80000     -24.89000
     -18.05959      31.95000     -30.50000
     -18.02959      31.89000     -31.44000
     -17.99959      32.47000     -30.84000
     -17.96959      34.53000     -33.56000
     -17.93959      32.03000     -34.92000
     -17.91059      26.99000     -30.42000
     -17.88059      24.29000     -25.64000
     -17.85059      22.83000     -23.09000
     -17.82059      25.07000     -23.18000
     -17.79059      29.74000     -27.86000
     -17.76159      27.25000     -29.69000
     -17.73159      19.85000     -23.15000
     -17.70159      17.46000     -17.17000
     -17.67159      19.63000     -17.58000
     -17.64159      18.28000     -19.38000
     -17.61259      12.21000     -15.76000
     -17.58259      11.57000     -11.12000
     -17.55259      19.92000     -14.92000
     -17.52259      29.45000     -23.92000
     -17.49259      41.19000     -32.12000
     -17.46359      57.79000     -46.12000
     -17.43359      60.13000     -60.97000
     -17.40359      40.89000     -55.18000
     -17.37359      24.57000     -34.22000
     -17.34359      25.07000     -24.04000
     -17.31359      31.09000     -27.90000
     -17.28459      30.71000     -31.19000
     -17.25459      26.29000     -28.35000
     -17.22459      25.35000     -25.16000
     -17.19459      28.61000     -26.19000
     -17.16459      28.41000     -28.77000
     -17.13559      21.46000     -25.90000
     -17.10559      14.43000     -18.23000
     -17.07559      10.68000     -12.68000
     -17.04559       6.96900      -9.55600
     -17.01559       3.02100      -5.66100
     -16.98659       1.36100      -2.31500
     -16.95659       2.92500      -2.02500
     -16.92659       7.01300      -5.06400
     -16.89659      11.47000      -9.58500
     -16.86659      14.88000     -13.53000
     -16.83759      15.22000     -15.66000
     -16.80759      10.19000     -12.96000
     -16.77759       3.88600      -6.41300
     -16.74759       0.92040      -1.76600
     -16.71759       1.18300      -0.66770
     -16.68859       4.76200      -2.52900
     -16.65859      11.04000      -7.85900
     -16.62859      14.81000     -13.57000
     -16.59859      13.70000     -14.58000
     -16.56859      11.01000     -12.29000
     -16.53959       8.50800      -9.69400
     -16.50959       9.03400      -8.42100
     -16.47959      13.70000     -11.53000
     -16.44959      15.94000     -15.72000
     -16.41959      13.04000     -14.77000
     -16.39059       9.88700     -11.08000
     -16.36059       9.98600      -9.32100
     -16.33059      15.36000     -12.14000
     -16.30059      21.91000     -19.36000
     -16.27059      20.79000     -22.50000
     -16.24059      14.47000     -17.44000
     -16.21159      11.39000     -12.10000
     -16.18159      13.48000     -11.99000
     -16.15159      17.21000     -15.65000
     -16.12159      18.41000     -18.19000
     -16.09159      18.98000     -18.50000
     -16.06259      21.62000     -20.29000
     -16.03259      23.31000     -23.09000
     -16.00259      21.21000     -22.52000
     -15.97259      19.35000     -19.50000
     -15.94259      21.96000     -19.75000
     -15.91359      27.91000     -24.58000
     -15.88359      31.76000     -30.60000
     -15.85359      28.00000     -30.89000
     -15.82359      22.67000     -24.91000
     -15.79359      25.53000     -23.31000
     -15.76459      32.02000     -29.53000
     -15.73459      33.31000     -33.51000
     -15.70459      33.33000     -33.36000
     -15.67459      34.29000     -34.21000
     -15.64459      34.64000     -34.88000
     -15.61559      34.32000     -34.38000
     -15.58559      31.36000     -32.26000
     -15.55559      23.81000     -27.21000
     -15.52559      15.35000     -18.56000
     -15.49559      15.03000     -12.89000
     -15.46659      22.16000     -17.20000
     -15.43659      24.72000     -24.08000
     -15.40659      20.35000     -22.84000
     -15.37659      19.00000     -18.24000
     -15.34659      26.66000     -20.53000
     -15.31759      40.48000     -32.50000
     -15.28759      52.80000     -47.97000
     -15.25759      56.54000     -56.76000
