      #Energy        TDOS-UP        TDOS-DOWN
     -22.96107       0.00000       0.00000
     -22.92807       0.00000       0.00000
     -22.89507       0.00000       0.00000
     -22.86207       0.00000       0.00000
     -22.82907       0.00000       0.00000
     -22.79607       0.00000       0.00000
     -22.76307       0.00000       0.00000
     -22.73007       0.00000       0.00000
     -22.69707       0.00000       0.00000
     -22.66407       0.00000       0.00000
     -22.63107       0.00000       0.00000
     -22.59807       0.00000       0.00000
     -22.56507       0.00000       0.00000
     -22.53207       0.00000       0.00000
     -22.49907       0.00000       0.00000
     -22.46607       0.00000       0.00000
     -22.43307       0.00000       0.00000
     -22.40007       0.00000       0.00000
     -22.36707       0.00000       0.00000
     -22.33407       0.00000       0.00000
     -22.30107       0.00000       0.00000
     -22.26807       0.00000       0.00000
     -22.23507       0.00000       0.00000
     -22.20207       0.00000       0.00000
     -22.16907       0.00000       0.00000
     -22.13607       0.00000       0.00000
     -22.10307       0.00000       0.00000
     -22.07007       0.00000       0.00000
     -22.03707       0.00000       0.00000
     -22.00407       0.00000       0.00000
     -21.97107       0.00000       0.00000
     -21.93807       0.00000       0.00000
     -21.90607       0.00000       0.00000
     -21.87307       0.00000       0.00000
     -21.84007       0.00000       0.00000
     -21.80707       0.00000       0.00000
     -21.77407       0.00000       0.00000
     -21.74107       0.00000      -0.00000
     -21.70807       0.00000      -0.00000
     -21.67507       0.00000      -0.00000
     -21.64207       0.00000      -0.00000
     -21.60907       0.00003      -0.00003
     -21.57607       0.00128      -0.00128
     -21.54307       0.02287      -0.02287
     -21.51007       0.19362      -0.19362
     -21.47707       0.83594      -0.83594
     -21.44407       2.04449      -2.04449
     -21.41107       3.22717      -3.22717
     -21.37807       3.82822      -3.82822
     -21.34507       3.98053      -3.98053
     -21.31207       3.99881      -3.99881
     -21.27907       3.99981      -3.99981
     -21.24607       3.99984      -3.99984
     -21.21307       3.99984      -3.99984
     -21.18007       3.99984      -3.99984
     -21.14707       3.99984      -3.99984
     -21.11407       3.99984      -3.99984
     -21.08107       3.99984      -3.99984
     -21.04807       3.99984      -3.99984
     -21.01507       3.99984      -3.99984
     -20.98207       3.99984      -3.99984
     -20.94907       3.99984      -3.99984
     -20.91607       3.99984      -3.99984
     -20.88307       3.99984      -3.99984
     -20.85007       3.99984      -3.99984
     -20.81707       3.99984      -3.99984
     -20.78407       3.99984      -3.99984
     -20.75207       3.99984      -3.99984
     -20.71907       3.99984      -3.99984
     -20.68607       3.99984      -3.99984
     -20.65307       3.99984      -3.99984
     -20.62007       3.99984      -3.99984
     -20.58707       3.99984      -3.99984
     -20.55407       3.99984      -3.99984
     -20.52107       3.99984      -3.99984
     -20.48807       3.99984      -3.99984
     -20.45507       3.99984      -3.99984
     -20.42207       3.99984      -3.99984
     -20.38907       3.99984      -3.99984
     -20.35607       3.99984      -3.99984
     -20.32307       3.99984      -3.99984
     -20.29007       3.99984      -3.99984
     -20.25707       3.99984      -3.99984
     -20.22407       3.99984      -3.99984
     -20.19107       3.99984      -3.99984
     -20.15807       3.99984      -3.99984
     -20.12507       3.99984      -3.99984
     -20.09207       3.99984      -3.99984
     -20.05907       3.99984      -3.99984
     -20.02607       3.99984      -3.99984
     -19.99307       3.99984      -3.99984
     -19.96007       3.99984      -3.99984
     -19.92707       3.99984      -3.99984
     -19.89407       3.99984      -3.99984
     -19.86107       3.99984      -3.99984
     -19.82807       3.99984      -3.99984
     -19.79507       3.99984      -3.99984
     -19.76207       3.99984      -3.99984
     -19.72907       3.99984      -3.99984
     -19.69607       3.99984      -3.99984
     -19.66307       3.99984      -3.99984
     -19.63107       3.99984      -3.99984
     -19.59807       3.99984      -3.99984
     -19.56507       3.99984      -3.99984
     -19.53207       3.99984      -3.99984
     -19.49907       3.99984      -3.99984
     -19.46607       3.99984      -3.99984
     -19.43307       3.99984      -3.99984
     -19.40007       3.99984      -3.99984
     -19.36707       3.99984      -3.99984
     -19.33407       3.99984      -3.99984
     -19.30107       3.99984      -3.99984
     -19.26807       3.99984      -3.99984
     -19.23507       3.99984      -3.99984
     -19.20207       3.99984      -3.99984
     -19.16907       3.99984      -3.99984
     -19.13607       3.99984      -3.99984
     -19.10307       3.99984      -3.99984
     -19.07007       3.99984      -3.99984
     -19.03707       3.99984      -3.99984
     -19.00407       3.99984      -3.99984
     -18.97107       3.99984      -3.99984
     -18.93807       3.99984      -3.99984
     -18.90507       3.99984      -3.99984
     -18.87207       3.99984      -3.99984
     -18.83907       3.99984      -3.99984
     -18.80607       3.99984      -3.99984
     -18.77307       3.99984      -3.99984
     -18.74007       3.99984      -3.99984
     -18.70707       3.99984      -3.99984
     -18.67407       3.99984      -3.99984
     -18.64107       3.99984      -3.99984
     -18.60807       3.99986      -3.99986
     -18.57507       4.00070      -4.00070
     -18.54207       4.01371      -4.01371
     -18.50907       4.11008      -4.11008
     -18.47707       4.47912      -4.47912
     -18.44407       5.31511      -5.31511
     -18.41107       6.68325      -6.68325
     -18.37807       8.58008      -8.58008
     -18.34507      10.77958     -10.77958
     -18.31207      12.79709     -12.79709
     -18.27907      14.35168     -14.35168
     -18.24607      15.51259     -15.51259
     -18.21307      16.49777     -16.49777
     -18.18007      17.47355     -17.47355
     -18.14707      18.46120     -18.46120
     -18.11407      19.46303     -19.46303
     -18.08107      20.44359     -20.44359
     -18.04807      21.35689     -21.35689
     -18.01507      22.20178     -22.20178
     -17.98207      22.90357     -22.90357
     -17.94907      23.49474     -23.49474
     -17.91607      24.22126     -24.22126
     -17.88307      25.19061     -25.19061
     -17.85007      26.24404     -26.24404
     -17.81707      27.15503     -27.15503
     -17.78407      27.72857     -27.72857
     -17.75107      27.95130     -27.95130
     -17.71807      28.01502     -28.01502
     -17.68507      28.15508     -28.15508
     -17.65207      28.69799     -28.69799
     -17.61907      30.02986     -30.02986
     -17.58607      32.22359     -32.22359
     -17.55307      34.73863     -34.73863
     -17.52007      36.74064     -36.74064
     -17.48707      37.86001     -37.86001
     -17.45407      38.38359     -38.38359
     -17.42107      38.75287     -38.75287
     -17.38807      39.26804     -39.26804
     -17.35507      40.04830     -40.04830
     -17.32307      40.98897     -40.98897
     -17.29007      41.91365     -41.91365
     -17.25707      42.72606     -42.72606
     -17.22407      43.40757     -43.40757
     -17.19107      43.98127     -43.98127
     -17.15807      44.46529     -44.46529
     -17.12507      44.88880     -44.88880
