      #Energy        TDOS-UP        TDOS-DOWN
     -19.74822       0.00000       0.00000
     -19.71922       0.00000       0.00000
     -19.68922       0.00000       0.00000
     -19.65922       0.00000       0.00000
     -19.62922       0.00000       0.00000
     -19.59922       0.00000       0.00000
     -19.56922       0.00000       0.00000
     -19.54022       0.00000       0.00000
     -19.51022       0.00000       0.00000
     -19.48022       0.00000       0.00000
     -19.45022       0.00000       0.00000
     -19.42022       0.00000       0.00000
     -19.39022       0.00000       0.00000
     -19.36022       0.00000       0.00000
     -19.33122       0.00000       0.00000
     -19.30122       0.00000       0.00000
     -19.27122       0.00000       0.00000
     -19.24122       0.00000       0.00000
     -19.21122       0.00000       0.00000
     -19.18122       0.00000       0.00000
     -19.15222       0.00000       0.00000
     -19.12222       0.00000       0.00000
     -19.09222       0.00000       0.00000
     -19.06222       0.00000       0.00000
     -19.03222       0.00000       0.00000
     -19.00222       0.00000       0.00000
     -18.97322       0.00000       0.00000
     -18.94322       0.00000       0.00000
     -18.91322       0.00000       0.00000
     -18.88322       0.00000       0.00000
     -18.85322       0.00000       0.00000
     -18.82322       0.00000       0.00000
     -18.79422       0.00000       0.00000
     -18.76422       0.00000       0.00000
     -18.73422       0.00000       0.00000
     -18.70422       0.00000       0.00000
     -18.67422       0.00000       0.00000
     -18.64422       0.00000      -0.00000
     -18.61522       0.00000      -0.00000
     -18.58522       0.00000      -0.00000
     -18.55522       0.00000      -0.00000
     -18.52522       0.00004      -0.00000
     -18.49522       0.00083      -0.00016
     -18.46522       0.01066      -0.00280
     -18.43622       0.07853      -0.02803
     -18.40622       0.35425      -0.16575
     -18.37622       1.06092      -0.62312
     -18.34622       2.30166      -1.61384
     -18.31622       3.92371      -3.12161
     -18.28622       5.62855      -4.85271
     -18.25722       7.19241      -6.47699
     -18.22722       8.54086      -7.87929
     -18.19722       9.64152      -9.08676
     -18.16722      10.52348     -10.08941
     -18.13722      11.35069     -10.94213
     -18.10722      12.26144     -11.79858
     -18.07822      13.25454     -12.73290
     -18.04822      14.31193     -13.74271
     -18.01822      15.41453     -14.84128
     -17.98822      16.42538     -15.94701
     -17.95822      17.22022     -16.87909
     -17.92822      17.85230     -17.59128
     -17.89922      18.48199     -18.20710
     -17.86922      19.26027     -18.88617
     -17.83922      20.18370     -19.72442
     -17.80922      21.03448     -20.63040
     -17.77922      21.60942     -21.36407
     -17.74922      21.94290     -21.81266
     -17.71922      22.24834     -22.11761
     -17.69022      22.71289     -22.50910
     -17.66022      23.30305     -23.05808
     -17.63022      23.85770     -23.61498
     -17.60022      24.41146     -24.09400
     -17.57022      25.17333     -24.66939
     -17.54022      26.29547     -25.55403
     -17.51122      27.84457     -26.86101
     -17.48122      29.61923     -28.57704
     -17.45122      31.09895     -30.31932
     -17.42122      31.99195     -31.55782
     -17.39122      32.52647     -32.23033
     -17.36122      33.10857     -32.71085
     -17.33222      33.95368     -33.36709
     -17.30222      34.99467     -34.30887
     -17.27222      36.08115     -35.40058
     -17.24222      37.14288     -36.49423
     -17.21222      38.08585     -37.51895
     -17.18222      38.78506     -38.37093
     -17.15322      39.24737     -38.97034
     -17.12322      39.57763     -39.37491
     -17.09322      39.81820     -39.67504
     -17.06322      39.97086     -39.88808
     -17.03322      40.10269     -40.04131
     -17.00322      40.31820     -40.22977
     -16.97422      40.66898     -40.53566
     -16.94422      41.12488     -40.96396
     -16.91422      41.56631     -41.42732
     -16.88422      41.85416     -41.77748
     -16.85422      41.96957     -41.94474
     -16.82422      41.99612     -41.99156
     -16.79522      41.99946     -41.99883
     -16.76522      41.99971     -41.99944
     -16.73522      42.00046     -41.99971
     -16.70522      42.00888     -42.00324
     -16.67522      42.05962     -42.03035
     -16.64522      42.22925     -42.14367
     -16.61622      42.56246     -42.41473
     -16.58622      42.99285     -42.81737
     -16.55622      43.46456     -43.26521
     -16.52622      44.03205     -43.77705
     -16.49622      44.68024     -44.39929
     -16.46622      45.25220     -45.02137
     -16.43722      45.66543     -45.50069
     -16.40722      46.01615     -45.85962
     -16.37722      46.47698     -46.25644
     -16.34722      47.10741     -46.82497
     -16.31722      47.74367     -47.49077
     -16.28722      48.20598     -48.03916
     -16.25822      48.51553     -48.39718
     -16.22822      48.81539     -48.67920
     -16.19822      49.20997     -49.02390
     -16.16822      49.68944     -49.47070
     -16.13822      50.20755     -49.96956
     -16.10822      50.79040     -50.51437
     -16.07922      51.45754     -51.14570
     -16.04922      52.14765     -51.82731
     -16.01922      52.83642     -52.49699
     -15.98922      53.60112     -53.20589
     -15.95922      54.47159     -54.04161
     -15.92922      55.33326     -54.94117
     -15.89922      56.09021     -55.75555
     -15.87022      56.81895     -56.47758
     -15.84022      57.67898     -57.24990
     -15.81022      58.73817     -58.20883
     -15.78022      59.89417     -59.35678
     -15.75022      60.97857     -60.52800
     -15.72022      61.90439     -61.53587
     -15.69122      62.68252     -62.34816
     -15.66122      63.31624     -63.02708
     -15.63122      63.77482     -63.56458
     -15.60122      64.15374     -63.97035
     -15.57122      64.66499     -64.41506
     -15.54122      65.34152     -65.03133
     -15.51222      65.99374     -65.69176
     -15.48222      66.55765     -66.23761
     -15.45222      67.20479     -66.75616
     -15.42222      68.09585     -67.45612
     -15.39222      69.23276     -68.43356
     -15.36222      70.49200     -69.62626
     -15.33322      71.75750     -70.91817
     -15.30322      73.05717     -72.26840
     -15.27322      74.42799     -73.69980
     -15.24322      75.71334     -75.12060
     -15.21322      76.68645     -76.29540
     -15.18322      77.29884     -77.07069
     -15.15422      77.74414     -77.54792
     -15.12422      78.30282     -78.01113
     -15.09422      79.05768     -78.67618
     -15.06422      79.78762     -79.45222
     -15.03422      80.30707     -80.07028
     -15.00422      80.77804     -80.49783
     -14.97522      81.50544     -81.01713
     -14.94522      82.58581     -81.89909
     -14.91522      83.93874     -83.16683
     -14.88522      85.46038     -84.68176
     -14.85522      86.94190     -86.23534
     -14.82522      88.18219     -87.59706
     -14.79622      89.23123     -88.71264
     -14.76622      90.28520     -89.73289
     -14.73622      91.47701     -90.81475
     -14.70622      92.81531     -92.03147
     -14.67622      94.17405     -93.36679
     -14.64622      95.41569     -94.69361
     -14.61722      96.59317     -95.93539
     -14.58722      97.85957     -97.20417
     -14.55722      99.17356     -98.56292
     -14.52722     100.32762     -99.83439
     -14.49722     101.27835    -100.86448
     -14.46722     102.14450    -101.73719
     -14.43822     102.91696    -102.54441
     -14.40822     103.50026    -103.21647
     -14.37822     103.95616    -103.71936
     -14.34822     104.47307    -104.19406
     -14.31822     105.18153    -104.81017
     -14.28822     106.11048    -105.63544
     -14.25822     107.20055    -106.65301
     -14.22922     108.30807    -107.76202
     -14.19922     109.34144    -108.83523
     -14.16922     110.34439    -109.85324
     -14.13922     111.36583    -110.87021
     -14.10922     112.36460    -111.88509
     -14.07922     113.26804    -112.83060
     -14.05022     114.04721    -113.66168
     -14.02022     114.73225    -114.38894
     -13.99022     115.43296    -115.08219
     -13.96022     116.24972    -115.86285
     -13.93022     117.13422    -116.74854
     -13.90022     118.01230    -117.62334
     -13.87122     118.96795    -118.48605
     -13.84122     120.09218    -119.48795
     -13.81122     121.28369    -120.65634
     -13.78122     122.37107    -121.83353
     -13.75122     123.22498    -122.84259
     -13.72122     123.76427    -123.54792
     -13.69222     124.10142    -123.95660
     -13.66222     124.53405    -124.31441
     -13.63222     125.22595    -124.87697
     -13.60222     126.09135    -125.63958
     -13.57222     127.05043    -126.50155
     -13.54222     128.10350    -127.48525
     -13.51322     129.17283    -128.57472
     -13.48322     130.09254    -129.60944
     -13.45322     130.71984    -130.41025
     -13.42322     131.05724    -130.90016
     -13.39322     131.23701    -131.15333
     -13.36322     131.37755    -131.30809
     -13.33422     131.52347    -131.45007
     -13.30422     131.67063    -131.59770
     -13.27422     131.79947    -131.73571
     -13.24422     131.89781    -131.84852
     -13.21422     131.96042    -131.92994
     -13.18422     131.98956    -131.97667
     -13.15522     132.00203    -131.99542
