#K-Path              Spin-Up       Spin-Down
# NKPTS & NBANDS:  60 516
# Band-Index    1
   0.00000    -20.561950    -20.561950
   0.01681    -20.561950    -20.561950
   0.03361    -20.561946    -20.561946
   0.05042    -20.561945    -20.561945
   0.06722    -20.561943    -20.561943
   0.08403    -20.561942    -20.561942
   0.10083    -20.561940    -20.561940
   0.11764    -20.561940    -20.561940
   0.13444    -20.561939    -20.561939
   0.15125    -20.561941    -20.561941
   0.15125    -20.561941    -20.561941
   0.15671    -20.561940    -20.561940
   0.16217    -20.561940    -20.561940
   0.16763    -20.561941    -20.561941
   0.17309    -20.561942    -20.561942
   0.17855    -20.561943    -20.561943
   0.18401    -20.561941    -20.561941
   0.18947    -20.561941    -20.561941
   0.19493    -20.561941    -20.561941
   0.20039    -20.561941    -20.561941
   0.20039    -20.561941    -20.561941
   0.21469    -20.561940    -20.561940
   0.22898    -20.561942    -20.561942
   0.24328    -20.561943    -20.561943
   0.25758    -20.561942    -20.561942
   0.27187    -20.561942    -20.561942
   0.28617    -20.561942    -20.561942
   0.30046    -20.561941    -20.561941
   0.31476    -20.561942    -20.561942
   0.32905    -20.561943    -20.561943
   0.32905    -20.561943    -20.561943
   0.34335    -20.561942    -20.561942
   0.35764    -20.561941    -20.561941
   0.37194    -20.561942    -20.561942
   0.38624    -20.561942    -20.561942
   0.40053    -20.561942    -20.561942
   0.41483    -20.561943    -20.561943
   0.42912    -20.561942    -20.561942
   0.44342    -20.561940    -20.561940
   0.45771    -20.561941    -20.561941
   0.45771    -20.561941    -20.561941
   0.46317    -20.561941    -20.561941
   0.46863    -20.561941    -20.561941
   0.47409    -20.561942    -20.561942
   0.47956    -20.561943    -20.561943
   0.48502    -20.561943    -20.561943
   0.49048    -20.561943    -20.561943
   0.49594    -20.561942    -20.561942
   0.50140    -20.561942    -20.561942
   0.50686    -20.561942    -20.561942
   0.50686    -20.561942    -20.561942
   0.52366    -20.561941    -20.561941
   0.54047    -20.561940    -20.561940
   0.55727    -20.561941    -20.561941
   0.57408    -20.561943    -20.561943
   0.59088    -20.561945    -20.561945
   0.60769    -20.561947    -20.561947
   0.62450    -20.561947    -20.561947
   0.64130    -20.561950    -20.561950
   0.65811    -20.561950    -20.561950
 
 
# Band-Index    2
   0.65811    -20.559655    -20.559655
   0.64130    -20.559656    -20.559656
   0.62450    -20.559652    -20.559652
   0.60769    -20.559651    -20.559651
   0.59088    -20.559649    -20.559649
   0.57408    -20.559647    -20.559647
   0.55727    -20.559645    -20.559645
   0.54047    -20.559646    -20.559646
   0.52366    -20.559645    -20.559645
   0.50686    -20.559646    -20.559646
   0.50686    -20.559646    -20.559646
   0.50140    -20.559646    -20.559646
   0.49594    -20.559646    -20.559646
   0.49048    -20.559647    -20.559647
   0.48502    -20.559647    -20.559647
   0.47956    -20.559649    -20.559649
   0.47409    -20.559647    -20.559647
   0.46863    -20.559647    -20.559647
   0.46317    -20.559646    -20.559646
   0.45771    -20.559647    -20.559647
   0.45771    -20.559647    -20.559647
   0.44342    -20.559646    -20.559646
   0.42912    -20.559647    -20.559647
   0.41483    -20.559648    -20.559648
   0.40053    -20.559648    -20.559648
   0.38624    -20.559648    -20.559648
   0.37194    -20.559648    -20.559648
   0.35764    -20.559647    -20.559647
   0.34335    -20.559647    -20.559647
   0.32905    -20.559649    -20.559649
   0.32905    -20.559649    -20.559649
   0.31476    -20.559647    -20.559647
   0.30046    -20.559647    -20.559647
   0.28617    -20.559648    -20.559648
   0.27187    -20.559648    -20.559648
   0.25758    -20.559648    -20.559648
   0.24328    -20.559648    -20.559648
   0.22898    -20.559647    -20.559647
   0.21469    -20.559646    -20.559646
   0.20039    -20.559647    -20.559647
   0.20039    -20.559647    -20.559647
   0.19493    -20.559647    -20.559647
   0.18947    -20.559647    -20.559647
   0.18401    -20.559647    -20.559647
   0.17855    -20.559649    -20.559649
   0.17309    -20.559648    -20.559648
   0.16763    -20.559649    -20.559649
   0.16217    -20.559648    -20.559648
   0.15671    -20.559648    -20.559648
   0.15125    -20.559648    -20.559648
   0.15125    -20.559648    -20.559648
   0.13444    -20.559647    -20.559647
   0.11764    -20.559646    -20.559646
   0.10083    -20.559647    -20.559647
   0.08403    -20.559649    -20.559649
   0.06722    -20.559650    -20.559650
   0.05042    -20.559652    -20.559652
   0.03361    -20.559653    -20.559653
   0.01681    -20.559656    -20.559656
   0.00000    -20.559655    -20.559655
 
 
# Band-Index    3
   0.00000    -18.430539    -18.430539
   0.01681    -18.430070    -18.430070
   0.03361    -18.428659    -18.428659
   0.05042    -18.426321    -18.426321
   0.06722    -18.423082    -18.423082
   0.08403    -18.418986    -18.418986
   0.10083    -18.414116    -18.414116
   0.11764    -18.408669    -18.408669
   0.13444    -18.403273    -18.403273
   0.15125    -18.400397    -18.400397
   0.15125    -18.400397    -18.400397
   0.15671    -18.400394    -18.400394
   0.16217    -18.400385    -18.400385
   0.16763    -18.400375    -18.400375
   0.17309    -18.400370    -18.400370
   0.17855    -18.400384    -18.400384
   0.18401    -18.400427    -18.400427
   0.18947    -18.400522    -18.400522
   0.19493    -18.400692    -18.400692
   0.20039    -18.400958    -18.400958
   0.20039    -18.400958    -18.400958
   0.21469    -18.404598    -18.404598
   0.22898    -18.408954    -18.408954
   0.24328    -18.413126    -18.413126
   0.25758    -18.416821    -18.416821
   0.27187    -18.419920    -18.419920
   0.28617    -18.422368    -18.422368
   0.30046    -18.424133    -18.424133
   0.31476    -18.425198    -18.425198
   0.32905    -18.425555    -18.425555
   0.32905    -18.425555    -18.425555
   0.34335    -18.425198    -18.425198
   0.35764    -18.424133    -18.424133
   0.37194    -18.422368    -18.422368
   0.38624    -18.419920    -18.419920
   0.40053    -18.416821    -18.416821
   0.41483    -18.413126    -18.413126
   0.42912    -18.408954    -18.408954
   0.44342    -18.404598    -18.404598
   0.45771    -18.400958    -18.400958
   0.45771    -18.400958    -18.400958
   0.46317    -18.400714    -18.400714
   0.46863    -18.400565    -18.400565
   0.47409    -18.400488    -18.400488
   0.47956    -18.400460    -18.400460
   0.48502    -18.400458    -18.400458
   0.49048    -18.400472    -18.400472
   0.49594    -18.400488    -18.400488
   0.50140    -18.400501    -18.400501
   0.50686    -18.400506    -18.400506
   0.50686    -18.400506    -18.400506
   0.52366    -18.403343    -18.403343
   0.54047    -18.408703    -18.408703
   0.55727    -18.414134    -18.414134
   0.57408    -18.418995    -18.418995
   0.59088    -18.423087    -18.423087
   0.60769    -18.426323    -18.426323
   0.62450    -18.428660    -18.428660
   0.64130    -18.430070    -18.430070
   0.65811    -18.430539    -18.430539
 
 
# Band-Index    4
   0.65811    -18.411304    -18.411304
   0.64130    -18.410901    -18.410901
   0.62450    -18.409697    -18.409697
   0.60769    -18.407696    -18.407696
   0.59088    -18.404909    -18.404909
   0.57408    -18.401352    -18.401352
   0.55727    -18.397050    -18.397050
   0.54047    -18.392058    -18.392058
   0.52366    -18.386584    -18.386584
   0.50686    -18.383934    -18.383934
   0.50686    -18.383934    -18.383934
   0.50140    -18.384055    -18.384055
   0.49594    -18.384446    -18.384446
   0.49048    -18.385115    -18.385115
   0.48502    -18.385982    -18.385982
   0.47956    -18.386946    -18.386946
   0.47409    -18.387932    -18.387932
   0.46863    -18.388890    -18.388890
   0.46317    -18.389778    -18.389778
   0.45771    -18.390563    -18.390563
   0.45771    -18.390563    -18.390563
   0.44342    -18.396252    -18.396252
   0.42912    -18.401371    -18.401371
   0.41483    -18.405869    -18.405869
   0.40053    -18.409713    -18.409713
   0.38624    -18.412885    -18.412885
   0.37194    -18.415368    -18.415368
   0.35764    -18.417147    -18.417147
   0.34335    -18.418219    -18.418219
   0.32905    -18.418578    -18.418578
   0.32905    -18.418578    -18.418578
   0.31476    -18.418219    -18.418219
   0.30046    -18.417147    -18.417147
   0.28617    -18.415368    -18.415368
   0.27187    -18.412885    -18.412885
