      #Energy        TDOS-UP        TDOS-DOWN
     -22.02638       0.00000       0.00000
     -21.99438       0.00000       0.00000
     -21.96138       0.00000       0.00000
     -21.92938       0.00000       0.00000
     -21.89738       0.00000       0.00000
     -21.86538       0.00000       0.00000
     -21.83238       0.00000       0.00000
     -21.80038       0.00000       0.00000
     -21.76838       0.00000       0.00000
     -21.73638       0.00000       0.00000
     -21.70338       0.00000       0.00000
     -21.67138       0.00000       0.00000
     -21.63938       0.00000       0.00000
     -21.60738       0.00000       0.00000
     -21.57438       0.00000       0.00000
     -21.54238       0.00000       0.00000
     -21.51038       0.00000       0.00000
     -21.47838       0.00000       0.00000
     -21.44538       0.00000       0.00000
     -21.41338       0.00000       0.00000
     -21.38138       0.00000       0.00000
     -21.34938       0.00000       0.00000
     -21.31638       0.00000       0.00000
     -21.28438       0.00000       0.00000
     -21.25238       0.00000       0.00000
     -21.22038       0.00000       0.00000
     -21.18738       0.00000       0.00000
     -21.15538       0.00000       0.00000
     -21.12338       0.00000       0.00000
     -21.09138       0.00000       0.00000
     -21.05838       0.00000       0.00000
     -21.02638       0.00000       0.00000
     -20.99438       0.00000       0.00000
     -20.96238       0.00000       0.00000
     -20.92938       0.00000       0.00000
     -20.89738       0.00000       0.00000
     -20.86538       0.00000       0.00000
     -20.83338       0.00000      -0.00000
     -20.80038       0.00000      -0.00000
     -20.76838       0.00000      -0.00000
     -20.73638       0.00000      -0.00000
     -20.70438       0.00005      -0.00005
     -20.67138       0.00174      -0.00174
     -20.63938       0.02753      -0.02753
     -20.60738       0.21371      -0.21371
     -20.57538       0.87298      -0.87298
     -20.54338       2.07237      -2.07237
     -20.51038       3.23112      -3.23112
     -20.47838       3.82419      -3.82419
     -20.44638       3.97930      -3.97930
     -20.41438       3.99912      -3.99912
     -20.38138       4.00031      -4.00031
     -20.34938       4.00034      -4.00034
     -20.31738       4.00034      -4.00034
     -20.28538       4.00034      -4.00034
     -20.25238       4.00034      -4.00034
     -20.22038       4.00034      -4.00034
     -20.18838       4.00034      -4.00034
     -20.15638       4.00034      -4.00034
     -20.12338       4.00034      -4.00034
     -20.09138       4.00034      -4.00034
     -20.05938       4.00034      -4.00034
     -20.02738       4.00034      -4.00034
     -19.99438       4.00034      -4.00034
     -19.96238       4.00034      -4.00034
     -19.93038       4.00034      -4.00034
     -19.89838       4.00034      -4.00034
     -19.86538       4.00034      -4.00034
     -19.83338       4.00034      -4.00034
     -19.80138       4.00034      -4.00034
     -19.76938       4.00034      -4.00034
     -19.73638       4.00034      -4.00034
     -19.70438       4.00034      -4.00034
     -19.67238       4.00034      -4.00034
     -19.64038       4.00034      -4.00034
     -19.60738       4.00034      -4.00034
     -19.57538       4.00034      -4.00034
     -19.54338       4.00034      -4.00034
     -19.51138       4.00034      -4.00034
     -19.47838       4.00034      -4.00034
     -19.44638       4.00034      -4.00034
     -19.41438       4.00034      -4.00034
     -19.38238       4.00034      -4.00034
     -19.34938       4.00034      -4.00034
     -19.31738       4.00034      -4.00034
