      #Energy        TDOS-UP        TDOS-DOWN
     -24.88300       0.00000       0.00000
     -24.85100       0.00000       0.00000
     -24.81800       0.00000       0.00000
     -24.78600       0.00000       0.00000
     -24.75400       0.00000       0.00000
     -24.72200       0.00000       0.00000
     -24.68900       0.00000       0.00000
     -24.65700       0.00000       0.00000
     -24.62500       0.00000       0.00000
     -24.59300       0.00000       0.00000
     -24.56000       0.00000       0.00000
     -24.52800       0.00000       0.00000
     -24.49600       0.00000       0.00000
     -24.46400       0.00000       0.00000
     -24.43100       0.00000       0.00000
     -24.39900       0.00000       0.00000
     -24.36700       0.00000       0.00000
     -24.33500       0.00000       0.00000
     -24.30200       0.00000       0.00000
     -24.27000       0.00000       0.00000
     -24.23800       0.00000       0.00000
     -24.20600       0.00000       0.00000
     -24.17300       0.00000       0.00000
     -24.14100       0.00000       0.00000
     -24.10900       0.00000       0.00000
     -24.07700       0.00000       0.00000
     -24.04400       0.00000       0.00000
     -24.01200       0.00000       0.00000
     -23.98000       0.00000       0.00000
     -23.94800       0.00000       0.00000
     -23.91500       0.00000       0.00000
     -23.88300       0.00000       0.00000
     -23.85100       0.00000       0.00000
     -23.81900       0.00000       0.00000
     -23.78600       0.00000       0.00000
     -23.75400       0.00000       0.00000
     -23.72200       0.00000       0.00000
     -23.69000       0.00000      -0.00000
     -23.65700       0.00000      -0.00000
     -23.62500       0.00000      -0.00000
     -23.59300       0.00004      -0.00004
     -23.56100       0.00311      -0.00311
     -23.52800       0.10150      -0.10150
     -23.49600       1.49800      -1.49800
     -23.46400      10.05000     -10.05000
     -23.43200      30.84000     -30.84000
     -23.40000      43.55000     -43.55000
     -23.36700      28.32000     -28.32000
     -23.33500       8.46400      -8.46400
     -23.30300       1.15700      -1.15700
     -23.27100       0.07191      -0.07191
     -23.23800       0.00202      -0.00202
     -23.20600       0.00003      -0.00003
     -23.17400       0.00000      -0.00000
     -23.14200       0.00000      -0.00000
     -23.10900       0.00000      -0.00000
     -23.07700       0.00000       0.00000
     -23.04500       0.00000       0.00000
     -23.01300       0.00000       0.00000
     -22.98000       0.00000       0.00000
     -22.94800       0.00000       0.00000
     -22.91600       0.00000       0.00000
     -22.88400       0.00000       0.00000
     -22.85100       0.00000       0.00000
     -22.81900       0.00000       0.00000
     -22.78700       0.00000       0.00000
     -22.75500       0.00000       0.00000
     -22.72200       0.00000       0.00000
     -22.69000       0.00000       0.00000
     -22.65800       0.00000       0.00000
     -22.62600       0.00000       0.00000
     -22.59300       0.00000       0.00000
     -22.56100       0.00000       0.00000
     -22.52900       0.00000       0.00000
     -22.49700       0.00000       0.00000
     -22.46400       0.00000       0.00000
     -22.43200       0.00000       0.00000
     -22.40000       0.00000       0.00000
     -22.36800       0.00000       0.00000
     -22.33500       0.00000       0.00000
     -22.30300       0.00000       0.00000
     -22.27100       0.00000       0.00000
     -22.23900       0.00000       0.00000
     -22.20600       0.00000       0.00000
     -22.17400       0.00000       0.00000
     -22.14200       0.00000       0.00000
     -22.11000       0.00000       0.00000
     -22.07700       0.00000       0.00000
     -22.04500       0.00000       0.00000
     -22.01300       0.00000       0.00000
     -21.98100       0.00000       0.00000
     -21.94800       0.00000       0.00000
     -21.91600       0.00000       0.00000
     -21.88400       0.00000       0.00000
     -21.85200       0.00000       0.00000
     -21.81900       0.00000       0.00000
     -21.78700       0.00000       0.00000
     -21.75500       0.00000       0.00000
     -21.72300       0.00000       0.00000
     -21.69000       0.00000       0.00000
     -21.65800       0.00000       0.00000
     -21.62600       0.00000       0.00000
     -21.59400       0.00000       0.00000
     -21.56100       0.00000      -0.00000
     -21.52900       0.00000      -0.00000
     -21.49700       0.00000      -0.00000
     -21.46500       0.00000      -0.00000
     -21.43300       0.00033      -0.00033
     -21.40000       0.01425      -0.01425
     -21.36800       0.29220      -0.29220
     -21.33600       2.94100      -2.94100
     -21.30400      15.10000     -15.10000
     -21.27100      41.47000     -41.47000
     -21.23900      64.85000     -64.85000
     -21.20700      65.32000     -65.32000
     -21.17500      55.91000     -55.91000
     -21.14200      51.42000     -51.42000
     -21.11000      44.72000     -44.72000
     -21.07800      33.23000     -33.23000
     -21.04600      25.81000     -25.81000
     -21.01300      30.04000     -30.04000
     -20.98100      41.63000     -41.63000
     -20.94900      47.61000     -47.61000
     -20.91700      39.85000     -39.85000
     -20.88400      28.14000     -28.14000
     -20.85200      18.93000     -18.93000
     -20.82000      12.36000     -12.36000
     -20.78800      16.99000     -16.99000
     -20.75500      34.27000     -34.27000
     -20.72300      40.26000     -40.26000
     -20.69100      24.22000     -24.22000
     -20.65900       7.55700      -7.55700
     -20.62600       1.23700      -1.23700
     -20.59400       0.13750      -0.13750
     -20.56200       0.57760      -0.57760
     -20.53000       4.77800      -4.77800
     -20.49700      20.46000     -20.46000
     -20.46500      50.28000     -50.28000
     -20.43300      79.06000     -79.06000
     -20.40100      81.24000     -81.24000
     -20.36800      52.40000     -52.40000
     -20.33600      22.85000     -22.85000
     -20.30400      13.32000     -13.32000
     -20.27200      20.53000     -20.53000
     -20.23900      35.67000     -35.67000
     -20.20700      43.13000     -43.13000
     -20.17500      35.52000     -35.52000
     -20.14300      26.46000     -26.46000
     -20.11000      26.71000     -26.71000
     -20.07800      33.94000     -33.94000
     -20.04600      33.75000     -33.75000
     -20.01400      23.18000     -23.18000
     -19.98100      11.58000     -11.58000
     -19.94900       3.91600      -3.91600
     -19.91700       0.77170      -0.77170
     -19.88500       0.07971      -0.07971
     -19.85200       0.00407      -0.00407
     -19.82000       0.00010      -0.00010
     -19.78800       0.00000      -0.00000
     -19.75600       0.00000      -0.00000
     -19.72300       0.00000      -0.00000
     -19.69100       0.00000      -0.00000
     -19.65900       0.00002      -0.00002
     -19.62700       0.00120      -0.00120
     -19.59500       0.03655      -0.03655
     -19.56200       0.50600      -0.50600
     -19.53000       3.25200      -3.25200
     -19.49800       9.99000      -9.99000
     -19.46600      15.75000     -15.75000
     -19.43300      15.29000     -15.29000
     -19.40100      12.68000     -12.68000
     -19.36900      12.74000     -12.74000
     -19.33700      17.21000     -17.21000
     -19.30400      21.19000     -21.19000
     -19.27200      18.67000     -18.67000
     -19.24000      12.68000     -12.68000
     -19.20800      10.58000     -10.58000
     -19.17500      14.37000     -14.37000
     -19.14300      19.24000     -19.24000
     -19.11100      23.04000     -23.04000
     -19.07900      25.44000     -25.44000
     -19.04600      24.24000     -24.24000
     -19.01400      22.16000     -22.16000
     -18.98200      18.56000     -18.56000
     -18.95000      13.42000     -13.42000
     -18.91700      16.59000     -16.59000
