      #Energy        TDOS-UP        TDOS-DOWN
     -24.91800       0.00000       0.00000
     -24.88500       0.00000       0.00000
     -24.85300       0.00000       0.00000
     -24.82100       0.00000       0.00000
     -24.78800       0.00000       0.00000
     -24.75600       0.00000       0.00000
     -24.72400       0.00000       0.00000
     -24.69100       0.00000       0.00000
     -24.65900       0.00000       0.00000
     -24.62700       0.00000       0.00000
     -24.59500       0.00000       0.00000
     -24.56200       0.00000       0.00000
     -24.53000       0.00000       0.00000
     -24.49800       0.00000       0.00000
     -24.46500       0.00000       0.00000
     -24.43300       0.00000       0.00000
     -24.40100       0.00000       0.00000
     -24.36900       0.00000       0.00000
     -24.33600       0.00000       0.00000
     -24.30400       0.00000       0.00000
     -24.27200       0.00000       0.00000
     -24.23900       0.00000       0.00000
     -24.20700       0.00000       0.00000
     -24.17500       0.00000       0.00000
     -24.14300       0.00000       0.00000
     -24.11000       0.00000       0.00000
     -24.07800       0.00000       0.00000
     -24.04600       0.00000       0.00000
     -24.01300       0.00000       0.00000
     -23.98100       0.00000       0.00000
     -23.94900       0.00000       0.00000
     -23.91700       0.00000       0.00000
     -23.88400       0.00000       0.00000
     -23.85200       0.00000       0.00000
     -23.82000       0.00000       0.00000
     -23.78700       0.00000       0.00000
     -23.75500       0.00000       0.00000
     -23.72300       0.00000      -0.00000
     -23.69000       0.00000      -0.00000
     -23.65800       0.00000      -0.00000
     -23.62600       0.00000      -0.00000
     -23.59400       0.00005      -0.00000
     -23.56100       0.00172      -0.00020
     -23.52900       0.02742      -0.00523
     -23.49700       0.21342      -0.06348
     -23.46400       0.87358      -0.38572
     -23.43200       2.07476      -1.27401
     -23.40000       3.23364      -2.54913
     -23.36800       3.82520      -3.52363
     -23.33500       3.97926      -3.91355
     -23.30300       3.99881      -3.99181
     -23.27100       3.99998      -3.99935
     -23.23800       4.00001      -3.99969
     -23.20600       4.00001      -3.99970
     -23.17400       4.00001      -3.99970
     -23.14200       4.00001      -3.99970
     -23.10900       4.00001      -3.99970
     -23.07700       4.00001      -3.99970
     -23.04500       4.00001      -3.99970
     -23.01200       4.00001      -3.99970
     -22.98000       4.00001      -3.99970
     -22.94800       4.00001      -3.99970
     -22.91600       4.00001      -3.99970
     -22.88300       4.00001      -3.99970
     -22.85100       4.00001      -3.99970
     -22.81900       4.00001      -3.99970
     -22.78600       4.00001      -3.99970
     -22.75400       4.00001      -3.99970
     -22.72200       4.00001      -3.99970
     -22.69000       4.00001      -3.99970
     -22.65700       4.00001      -3.99970
     -22.62500       4.00001      -3.99970
     -22.59300       4.00001      -3.99970
     -22.56000       4.00001      -3.99970
     -22.52800       4.00001      -3.99970
     -22.49600       4.00001      -3.99970
     -22.46300       4.00001      -3.99970
     -22.43100       4.00001      -3.99970
     -22.39900       4.00001      -3.99970
     -22.36700       4.00001      -3.99970
     -22.33400       4.00001      -3.99970
     -22.30200       4.00001      -3.99970
     -22.27000       4.00001      -3.99970
     -22.23700       4.00001      -3.99970
     -22.20500       4.00001      -3.99970
     -22.17300       4.00001      -3.99970
     -22.14100       4.00001      -3.99970
     -22.10800       4.00001      -3.99970
     -22.07600       4.00001      -3.99970
     -22.04400       4.00001      -3.99970
     -22.01100       4.00001      -3.99970
     -21.97900       4.00001      -3.99970
     -21.94700       4.00001      -3.99970
     -21.91500       4.00001      -3.99970
     -21.88200       4.00001      -3.99970
     -21.85000       4.00001      -3.99970
     -21.81800       4.00001      -3.99970
     -21.78500       4.00001      -3.99970
     -21.75300       4.00001      -3.99970
     -21.72100       4.00001      -3.99970
     -21.68900       4.00001      -3.99970
     -21.65600       4.00001      -3.99970
     -21.62400       4.00001      -3.99970
     -21.59200       4.00001      -3.99970
     -21.55900       4.00001      -3.99970
     -21.52700       4.00001      -3.99970
     -21.49500       4.00001      -3.99970
     -21.46300       4.00001      -3.99970
     -21.43000       4.00003      -3.99970
     -21.39800       4.00074      -3.99984
     -21.36600       4.01241      -4.00323
     -21.33300       4.11111      -4.04258
     -21.30100       4.56289      -4.28291
     -21.26900       5.75147      -5.10146
     -21.23600       7.66593      -6.74759
     -21.20400       9.73764      -8.84706
     -21.17200      11.54990     -10.79139
     -21.14000      13.15938     -12.45689
     -21.10700      14.61225     -13.97919
     -21.07500      15.78953     -15.30016
     -21.04300      16.72077     -16.33262
     -21.01000      17.69075     -17.25627
     -20.97800      18.96022     -18.40918
     -20.94600      20.43957     -19.86270
     -20.91400      21.77249     -21.28199
     -20.88100      22.76169     -22.38517
     -20.84900      23.44090     -23.18418
     -20.81700      23.91379     -23.73359
     -20.78400      24.47240     -24.19888
     -20.75200      25.45078     -24.96883
     -20.72000      26.66115     -26.14369
     -20.68800      27.53911     -27.22862
     -20.65500      27.90324     -27.80106
     -20.62300      27.98826     -27.97021
     -20.59100      28.00049     -27.99769
     -20.55800      28.02140     -28.00507
     -20.52600      28.17089     -28.05970
     -20.49400      28.77874     -28.36301
     -20.46200      30.27617     -29.32492
     -20.42900      32.67159     -31.24777
     -20.39700      35.21957     -33.81949
     -20.36500      37.02408     -36.13417
     -20.33200      37.92819     -37.53038
     -20.30000      38.43465     -38.19910
     -20.26800      39.08077     -38.74367
     -20.23500      40.13584     -39.59741
     -20.20300      41.45003     -40.81295
     -20.17100      42.63054     -42.06030
     -20.13900      43.54692     -43.05967
     -20.10600      44.42343     -43.92665
     -20.07400      45.46396     -44.91697
     -20.04200      46.53065     -46.02919
     -20.00900      47.33079     -46.99207
     -19.97700      47.77158     -47.60493
     -19.94500      47.94715     -47.89003
     -19.91300      47.99273     -47.98014
     -19.88000      47.99954     -47.99740
     -19.84800      48.00007     -47.99922
     -19.81600      48.00009     -47.99932
     -19.78300      48.00009     -47.99932
     -19.75100      48.00009     -47.99932
     -19.71900      48.00009     -47.99932
     -19.68700      48.00009     -47.99932
     -19.65400      48.00009     -47.99932
     -19.62200      48.00015     -47.99933
     -19.59000      48.00166     -47.99982
     -19.55700      48.01893     -48.00725
     -19.52500      48.11555     -48.06155
     -19.49300      48.39653     -48.26263
     -19.46100      48.86199     -48.67113
     -19.42800      49.36329     -49.18115
     -19.39600      49.79871     -49.64628
     -19.36400      50.22316     -50.06217
     -19.33100      50.75691     -50.54377
     -19.29900      51.40416     -51.15453
     -19.26700      52.00781     -51.78564
     -19.23500      52.45406     -52.28774
     -19.20200      52.82184     -52.66763
     -19.17000      53.27066     -53.07383
     -19.13800      53.86270     -53.61614
     -19.10500      54.58340     -54.29923
     -19.07300      55.38871     -55.08823
     -19.04100      56.18659     -55.89789
     -19.00800      56.91278     -56.64556
     -18.97600      57.51789     -57.29410
     -18.94400      57.99045     -57.79992
     -18.91200      58.53227     -58.26085
     -18.87900      59.38585     -58.95363
     -18.84700      60.49096     -59.97640
     -18.81500      61.63289     -61.13302
     -18.78200      62.69232     -62.24831
     -18.75000      63.54460     -63.20667
     -18.71800      64.23641     -63.93335
     -18.68600      65.16926     -64.70668
     -18.65300      66.51719     -65.89172
     -18.62100      67.88289     -67.30116
     -18.58900      68.87337     -68.45891
     -18.55600      69.53289     -69.23192
     -18.52400      70.14720     -69.84268
     -18.49200      70.89374     -70.53869
     -18.46000      71.67725     -71.32091
     -18.42700      72.37180     -72.03338
     -18.39500      73.09315     -72.71146
     -18.36300      74.00792     -73.53663
     -18.33000      75.08833     -74.52824
     -18.29800      76.19119     -75.56087
     -18.26600      77.20331     -76.55184
     -18.23400      78.16134     -77.49583
     -18.20100      79.22142     -78.49923
     -18.16900      80.37303     -79.67022
     -18.13700      81.40210     -80.85880
     -18.10400      82.18174     -81.80893
     -18.07200      82.82479     -82.50558
     -18.04000      83.50691     -83.15508
     -18.00800      84.17611     -83.85303
     -17.97500      84.66756     -84.44974
     -17.94300      85.05342     -84.86821
     -17.91100      85.68549     -85.33173
     -17.87800      86.99355     -86.25312
     -17.84600      89.00762     -87.92976
     -17.81400      91.11081     -90.07412
     -17.78100      92.83104     -92.02878
     -17.74900      94.31346     -93.62308
     -17.71700      95.64073     -95.04367
     -17.68500      96.65124     -96.21175
     -17.65200      97.45606     -97.05709
     -17.62000      98.47593     -97.88549
     -17.58800      99.95722     -99.10345
     -17.55500     101.68892    -100.74700
     -17.52300     103.32439    -102.48290
     -17.49100     104.69638    -104.01989
     -17.45900     105.78406    -105.25561
     -17.42600     106.65136    -106.21978
     -17.39400     107.34268    -106.99393
     -17.36200     107.85673    -107.59871
     -17.32900     108.28360    -108.05933
     -17.29700     108.79346    -108.51542
     -17.26500     109.49705    -109.11891
     -17.23300     110.44427    -109.94811
     -17.20000     111.61752    -111.02481
     -17.16800     112.93784    -112.29267
     -17.13600     114.34648    -113.67838
     -17.10300     115.73171    -115.09864
     -17.07100     116.92175    -116.38652
     -17.03900     117.83684    -117.41801
     -17.00700     118.47972    -118.18183
     -16.97400     118.96859    -118.72704
     -16.94200     119.60583    -119.26983
     -16.91000     120.60536    -120.10968
     -16.87700     121.83834    -121.27227
     -16.84500     123.05857    -122.51785
     -16.81300     124.21082    -123.69449
     -16.78000     125.42363    -124.87419
     -16.74800     126.74831    -126.16513
     -16.71600     128.02085    -127.48013
     -16.68400     129.09141    -128.62739
     -16.65100     129.97760    -129.55797
     -16.61900     130.71510    -130.34100
     -16.58700     131.27678    -130.98663
     -16.55400     131.65349    -131.45871
