      #Energy        TDOS-UP        TDOS-DOWN
     -21.99959       0.00000       0.00000
     -21.96659       0.00000       0.00000
     -21.93459       0.00000       0.00000
     -21.90259       0.00000       0.00000
     -21.86959       0.00000       0.00000
     -21.83759       0.00000       0.00000
     -21.80559       0.00000       0.00000
     -21.77259       0.00000       0.00000
     -21.74059       0.00000       0.00000
     -21.70859       0.00000       0.00000
     -21.67659       0.00000       0.00000
     -21.64359       0.00000       0.00000
     -21.61159       0.00000       0.00000
     -21.57959       0.00000       0.00000
     -21.54659       0.00000       0.00000
     -21.51459       0.00000       0.00000
     -21.48259       0.00000       0.00000
     -21.45059       0.00000       0.00000
     -21.41759       0.00000       0.00000
     -21.38559       0.00000       0.00000
     -21.35359       0.00000       0.00000
     -21.32059       0.00000       0.00000
     -21.28859       0.00000       0.00000
     -21.25659       0.00000       0.00000
     -21.22459       0.00000       0.00000
     -21.19159       0.00000       0.00000
     -21.15959       0.00000       0.00000
     -21.12759       0.00000       0.00000
     -21.09459       0.00000       0.00000
     -21.06259       0.00000       0.00000
     -21.03059       0.00000       0.00000
     -20.99859       0.00000       0.00000
     -20.96559       0.00000       0.00000
     -20.93359       0.00000       0.00000
     -20.90159       0.00000       0.00000
     -20.86859       0.00000       0.00000
     -20.83659       0.00000       0.00000
     -20.80459       0.00000      -0.00000
     -20.77159       0.00000      -0.00000
     -20.73959       0.00000      -0.00000
     -20.70759       0.00004      -0.00000
     -20.67559       0.00305      -0.00022
     -20.64259       0.10050      -0.01222
     -20.61059       1.49100      -0.29910
     -20.57859      10.03000      -3.30900
     -20.54559      30.86000     -16.65000
     -20.51359      43.54000     -38.37000
     -20.48159      28.24000     -40.61000
     -20.44959       8.40100     -19.75000
     -20.41659       1.14100      -4.40100
     -20.38459       0.07026      -0.44660
     -20.35259       0.00195      -0.02049
     -20.31959       0.00002      -0.00042
     -20.28759       0.00000      -0.00000
     -20.25559       0.00000      -0.00000
     -20.22359       0.00000      -0.00000
     -20.19059       0.00000      -0.00000
     -20.15859       0.00000       0.00000
     -20.12659       0.00000       0.00000
     -20.09359       0.00000       0.00000
     -20.06159       0.00000       0.00000
     -20.02959       0.00000       0.00000
     -19.99759       0.00000       0.00000
     -19.96459       0.00000       0.00000
     -19.93259       0.00000       0.00000
     -19.90059       0.00000       0.00000
     -19.86759       0.00000       0.00000
     -19.83559       0.00000       0.00000
     -19.80359       0.00000       0.00000
     -19.77159       0.00000       0.00000
     -19.73859       0.00000       0.00000
     -19.70659       0.00000       0.00000
     -19.67459       0.00000       0.00000
     -19.64159       0.00000       0.00000
     -19.60959       0.00000       0.00000
     -19.57759       0.00000       0.00000
     -19.54459       0.00000       0.00000
     -19.51259       0.00000       0.00000
     -19.48059       0.00000       0.00000
     -19.44859       0.00000       0.00000
     -19.41559       0.00000       0.00000
     -19.38359       0.00000       0.00000
     -19.35159       0.00000       0.00000
     -19.31859       0.00000       0.00000
     -19.28659       0.00000       0.00000
     -19.25459       0.00000       0.00000
     -19.22259       0.00000       0.00000
     -19.18959       0.00000       0.00000
     -19.15759       0.00000       0.00000
     -19.12559       0.00000       0.00000
     -19.09259       0.00000       0.00000
     -19.06059       0.00000       0.00000
     -19.02859       0.00000       0.00000
     -18.99659       0.00000       0.00000
     -18.96359       0.00000       0.00000
     -18.93159       0.00000       0.00000
     -18.89959       0.00000       0.00000
     -18.86659       0.00000       0.00000
     -18.83459       0.00000       0.00000
     -18.80259       0.00000       0.00000
     -18.77059       0.00000       0.00000
     -18.73759       0.00000       0.00000
     -18.70559       0.00000       0.00000
     -18.67359       0.00000       0.00000
     -18.64059       0.00000      -0.00000
     -18.60859       0.00000      -0.00000
     -18.57659       0.00000      -0.00000
     -18.54459       0.00002      -0.00000
     -18.51159       0.00128      -0.00019
     -18.47959       0.04248      -0.00887
     -18.44759       0.68030      -0.20110
     -18.41459       5.43300      -2.23600
     -18.38259      22.55000     -12.65000
     -18.35059      51.07000     -38.05000
     -18.31759      67.51000     -63.91000
     -18.28559      60.81000     -66.13000
     -18.25359      51.44000     -54.30000
     -18.22159      48.25000     -48.86000
     -18.18859      41.74000     -45.43000
     -18.15659      31.18000     -36.39000
     -18.12459      26.50000     -27.56000
     -18.09159      33.58000     -29.65000
     -18.05959      45.05000     -41.76000
     -18.02759      46.58000     -48.27000
     -17.99559      35.98000     -39.64000
     -17.96259      25.29000     -28.69000
     -17.93059      16.78000     -20.80000
     -17.89859      12.51000     -13.23000
     -17.86559      22.09000     -15.59000
     -17.83359      38.51000     -32.10000
     -17.80159      36.46000     -40.67000
     -17.76959      17.92000     -26.53000
     -17.73659       4.63400      -8.92600
     -17.70459       0.63170      -1.55100
     -17.67259       0.12610      -0.15110
     -17.63959       1.16900      -0.30640
     -17.60759       8.09000      -3.07700
     -17.57559      29.56000     -15.71000
     -17.54359      63.19000     -43.87000
     -17.51059      85.18000     -75.23000
     -17.47859      72.64000     -84.06000
     -17.44659      39.13000     -59.31000
     -17.41359      16.87000     -27.17000
     -17.38159      14.50000     -14.25000
     -17.34959      25.52000     -19.48000
     -17.31659      39.83000     -33.40000
     -17.28459      41.57000     -41.89000
     -17.25259      31.55000     -35.37000
     -17.22059      25.21000     -26.53000
     -17.18759      29.08000     -27.17000
     -17.15559      35.37000     -34.17000
     -17.12359      30.70000     -34.72000
     -17.09059      18.86000     -24.92000
     -17.05859       8.44200     -13.04000
     -17.02659       2.43300      -4.61900
     -16.99459       0.38990      -0.96230
     -16.96159       0.03182      -0.10670
     -16.92959       0.00126      -0.00592
     -16.89759       0.00002      -0.00016
     -16.86459       0.00000      -0.00000
     -16.83259       0.00000      -0.00000
     -16.80059       0.00000      -0.00000
     -16.76859       0.00000      -0.00000
     -16.73559       0.00007      -0.00001
     -16.70359       0.00375      -0.00090
     -16.67159       0.08961      -0.02925
     -16.63859       0.98020      -0.43060
     -16.60659       5.00400      -2.93300
     -16.57459      12.40000      -9.52200
     -16.54259      16.43000     -15.78000
     -16.50959      14.62000     -15.81000
     -16.47759      12.35000     -13.00000
     -16.44559      13.94000     -12.76000
     -16.41259      19.12000     -17.07000
     -16.38059      20.97000     -20.76000
     -16.34859      16.42000     -18.33000
     -16.31659      11.22000     -12.77000
     -16.28359      11.56000     -10.76000
     -16.25159      16.24000     -14.40000
     -16.21959      20.43000     -19.19000
     -16.18659      24.21000     -23.12000
     -16.15459      25.67000     -25.75000
     -16.12259      23.75000     -24.40000
     -16.08959      21.23000     -21.91000
     -16.05759      16.25000     -18.26000
     -16.02559      13.02000     -13.07000
     -15.99359      20.54000     -15.48000
     -15.96059      32.33000     -27.43000
     -15.92859      36.12000     -35.92000
     -15.89659      34.61000     -35.72000
     -15.86359      31.01000     -33.36000
     -15.83159      21.78000     -26.00000
     -15.79959      21.07000     -19.01000
     -15.76759      36.71000     -28.89000
     -15.73459      46.78000     -44.51000
     -15.70259      37.81000     -42.79000
     -15.67059      23.54000     -28.92000
     -15.63759      17.31000     -18.96000
     -15.60559      20.74000     -18.87000
     -15.57359      25.50000     -24.24000
     -15.54159      23.03000     -24.21000
     -15.50859      19.99000     -19.92000
     -15.47659      24.69000     -22.08000
     -15.44459      31.97000     -29.03000
     -15.41159      34.95000     -32.39000
     -15.37959      33.36000     -31.57000
     -15.34759      29.33000     -29.81000
     -15.31559      30.01000     -28.66000
     -15.28259      35.65000     -33.49000
     -15.25059      35.68000     -39.04000
     -15.21859      28.06000     -34.58000
     -15.18559      20.23000     -24.27000
     -15.15359      19.60000     -18.88000
     -15.12159      22.65000     -21.35000
     -15.08959      18.80000     -21.88000
     -15.05659      11.64000     -15.08000
     -15.02459      12.26000     -10.84000
     -14.99259      26.89000     -17.87000
     -14.95959      54.13000     -39.20000
     -14.92759      70.62000     -64.65000
     -14.89559      59.65000     -68.17000
     -14.86259      46.90000     -52.90000
     -14.83059      44.92000     -45.85000
     -14.79859      37.29000     -42.14000
     -14.76659      25.30000     -30.21000
     -14.73359      24.55000     -22.15000
     -14.70159      38.62000     -29.16000
     -14.66959      53.13000     -46.28000
     -14.63659      54.13000     -55.52000
     -14.60459      47.17000     -52.00000
     -14.57259      37.81000     -43.20000
     -14.54059      29.56000     -33.34000
     -14.50759      24.16000     -26.38000
     -14.47559      18.66000     -21.57000
     -14.44359      13.18000     -15.89000
     -14.41059      13.26000     -12.64000
     -14.37859      18.32000     -15.61000
     -14.34659      25.26000     -21.77000
     -14.31459      33.41000     -29.59000
     -14.28159      39.26000     -37.10000
     -14.24959      42.52000     -41.43000
     -14.21759      44.73000     -44.40000
     -14.18459      41.07000     -43.57000
     -14.15259      32.64000     -36.20000
     -14.12059      24.04000     -27.69000
     -14.08859      15.78000     -19.62000
     -14.05559      14.50000     -14.15000
     -14.02359      24.97000     -19.47000
     -13.99159      36.94000     -32.55000
     -13.95859      39.43000     -39.46000
     -13.92659      36.15000     -37.69000
     -13.89459      35.22000     -35.19000
     -13.86159      39.90000     -37.88000
     -13.82959      42.15000     -42.08000
     -13.79759      36.67000     -39.37000
     -13.76559      29.64000     -31.69000
     -13.73259      25.25000     -25.95000
     -13.70059      20.43000     -22.55000
     -13.66859      14.36000     -17.44000
     -13.63559       8.97300     -11.80000
     -13.60359       4.47500      -6.97300
     -13.57159       1.44300      -2.98700
     -13.53959       0.25730      -0.76000
     -13.50659       0.05780      -0.10970
     -13.47459       0.51360      -0.17830
     -13.44259       3.62900      -1.67700
     -13.40959      12.77000      -7.96900
     -13.37759      23.65000     -19.08000
     -13.34559      26.49000     -25.32000
     -13.31359      22.26000     -23.53000
     -13.28059      15.88000     -19.07000
     -13.24859      10.01000     -13.31000
     -13.21659       5.57700      -7.98000
     -13.18359       2.40100      -4.02500
     -13.15159       1.22700      -1.57100
     -13.11959       4.35000      -1.81700
     -13.08759      14.56000      -7.70800
     -13.05459      25.63000     -19.47000
     -13.02259      27.94000     -27.22000
     -12.99059      28.60000     -27.22000
     -12.95759      32.53000     -29.45000
     -12.92559      33.37000     -34.03000
     -12.89359      32.83000     -35.32000
     -12.86159      31.32000     -33.62000
     -12.82859      26.87000     -28.66000
     -12.79659      22.87000     -23.85000
     -12.76459      20.95000     -22.36000
     -12.73159      25.53000     -25.20000
     -12.69959      36.77000     -34.14000
     -12.66759      42.03000     -41.83000
     -12.63459      39.83000     -42.13000
     -12.60259      34.17000     -36.89000
     -12.57059      23.72000     -25.92000
     -12.53859      17.90000     -16.31000
     -12.50559      21.60000     -16.26000
     -12.47359      24.61000     -22.23000
     -12.44159      21.22000     -24.42000
     -12.40859      19.04000     -20.98000
     -12.37659      24.41000     -20.45000
     -12.34459      33.05000     -25.97000
     -12.31259      36.80000     -32.15000
     -12.27959      34.94000     -35.22000
     -12.24759      33.63000     -35.50000
