#K-Path              Spin-Up       Spin-Down
# NKPTS & NBANDS:  60 516
# Band-Index    1
   0.00000    -20.531490    -20.511120
   0.01681    -20.531490    -20.511120
   0.03361    -20.531486    -20.511116
   0.05042    -20.531485    -20.511115
   0.06722    -20.531482    -20.511113
   0.08403    -20.531481    -20.511112
   0.10083    -20.531479    -20.511109
   0.11764    -20.531479    -20.511110
   0.13444    -20.531478    -20.511109
   0.15125    -20.531480    -20.511110
   0.15125    -20.531480    -20.511110
   0.15671    -20.531479    -20.511110
   0.16217    -20.531479    -20.511110
   0.16763    -20.531480    -20.511111
   0.17309    -20.531481    -20.511111
   0.17855    -20.531482    -20.511112
   0.18401    -20.531480    -20.511111
   0.18947    -20.531480    -20.511111
   0.19493    -20.531479    -20.511110
   0.20039    -20.531480    -20.511111
   0.20039    -20.531480    -20.511111
   0.21469    -20.531479    -20.511110
   0.22898    -20.531480    -20.511111
   0.24328    -20.531482    -20.511112
   0.25758    -20.531481    -20.511112
   0.27187    -20.531482    -20.511112
   0.28617    -20.531481    -20.511112
   0.30046    -20.531481    -20.511111
   0.31476    -20.531481    -20.511112
   0.32905    -20.531483    -20.511113
   0.32905    -20.531483    -20.511113
   0.34335    -20.531481    -20.511112
   0.35764    -20.531481    -20.511111
   0.37194    -20.531481    -20.511112
   0.38624    -20.531482    -20.511112
   0.40053    -20.531481    -20.511112
   0.41483    -20.531482    -20.511112
   0.42912    -20.531480    -20.511111
   0.44342    -20.531479    -20.511110
   0.45771    -20.531480    -20.511111
   0.45771    -20.531480    -20.511111
   0.46317    -20.531480    -20.511110
   0.46863    -20.531480    -20.511111
   0.47409    -20.531480    -20.511111
   0.47956    -20.531482    -20.511113
   0.48502    -20.531481    -20.511112
   0.49048    -20.531482    -20.511113
   0.49594    -20.531481    -20.511112
   0.50140    -20.531481    -20.511112
   0.50686    -20.531481    -20.511112
   0.50686    -20.531481    -20.511112
   0.52366    -20.531480    -20.511111
   0.54047    -20.531479    -20.511110
   0.55727    -20.531480    -20.511111
   0.57408    -20.531482    -20.511113
   0.59088    -20.531484    -20.511114
   0.60769    -20.531486    -20.511116
   0.62450    -20.531487    -20.511117
   0.64130    -20.531490    -20.511120
   0.65811    -20.531490    -20.511120
 
 
# Band-Index    2
   0.65811    -20.531133    -20.510610
   0.64130    -20.531133    -20.510611
   0.62450    -20.531129    -20.510607
   0.60769    -20.531129    -20.510606
   0.59088    -20.531126    -20.510604
   0.57408    -20.531125    -20.510603
   0.55727    -20.531123    -20.510600
   0.54047    -20.531124    -20.510601
   0.52366    -20.531123    -20.510600
   0.50686    -20.531124    -20.510602
   0.50686    -20.531124    -20.510602
   0.50140    -20.531124    -20.510601
   0.49594    -20.531124    -20.510601
   0.49048    -20.531125    -20.510602
   0.48502    -20.531125    -20.510603
   0.47956    -20.531127    -20.510604
   0.47409    -20.531125    -20.510603
   0.46863    -20.531125    -20.510602
   0.46317    -20.531124    -20.510602
   0.45771    -20.531125    -20.510602
   0.45771    -20.531125    -20.510602
   0.44342    -20.531124    -20.510602
   0.42912    -20.531125    -20.510603
   0.41483    -20.531126    -20.510604
   0.40053    -20.531126    -20.510603
   0.38624    -20.531126    -20.510603
   0.37194    -20.531125    -20.510603
   0.35764    -20.531125    -20.510602
   0.34335    -20.531125    -20.510603
   0.32905    -20.531127    -20.510604
   0.32905    -20.531127    -20.510604
   0.31476    -20.531125    -20.510603
   0.30046    -20.531125    -20.510602
   0.28617    -20.531125    -20.510603
   0.27187    -20.531126    -20.510603
   0.25758    -20.531126    -20.510603
   0.24328    -20.531126    -20.510604
   0.22898    -20.531125    -20.510603
   0.21469    -20.531124    -20.510602
   0.20039    -20.531125    -20.510602
   0.20039    -20.531125    -20.510602
   0.19493    -20.531125    -20.510602
   0.18947    -20.531125    -20.510603
   0.18401    -20.531125    -20.510603
   0.17855    -20.531127    -20.510604
   0.17309    -20.531126    -20.510604
   0.16763    -20.531127    -20.510604
   0.16217    -20.531126    -20.510604
   0.15671    -20.531126    -20.510603
   0.15125    -20.531126    -20.510603
   0.15125    -20.531126    -20.510603
   0.13444    -20.531125    -20.510602
   0.11764    -20.531124    -20.510601
   0.10083    -20.531125    -20.510602
   0.08403    -20.531126    -20.510604
   0.06722    -20.531128    -20.510605
   0.05042    -20.531130    -20.510607
   0.03361    -20.531130    -20.510608
   0.01681    -20.531133    -20.510611
   0.00000    -20.531133    -20.510610
 
 
# Band-Index    3
   0.00000    -18.376368    -18.360976
   0.01681    -18.375898    -18.360504
   0.03361    -18.374485    -18.359086
