#K-Path              Spin-Up       Spin-Down
# NKPTS & NBANDS:  60 508
# Band-Index    1
   0.00000    -21.337650    -21.337650
   0.01681    -21.337270    -21.337270
   0.03361    -21.336128    -21.336128
   0.05042    -21.334228    -21.334228
   0.06722    -21.331583    -21.331583
   0.08403    -21.328203    -21.328203
   0.10083    -21.324108    -21.324108
   0.11764    -21.319322    -21.319322
   0.13444    -21.313886    -21.313886
   0.15125    -21.308631    -21.308631
   0.15125    -21.308631    -21.308631
   0.15671    -21.308752    -21.308752
   0.16217    -21.309053    -21.309053
   0.16763    -21.309453    -21.309453
   0.17309    -21.309907    -21.309907
   0.17855    -21.310400    -21.310400
   0.18401    -21.310924    -21.310924
   0.18947    -21.311478    -21.311478
   0.19493    -21.312056    -21.312056
   0.20039    -21.312660    -21.312660
   0.20039    -21.312660    -21.312660
   0.21469    -21.317590    -21.317590
   0.22898    -21.321999    -21.321999
   0.24328    -21.325859    -21.325859
   0.25758    -21.329149    -21.329149
   0.27187    -21.331859    -21.331859
   0.28617    -21.333978    -21.333978
   0.30046    -21.335496    -21.335496
   0.31476    -21.336408    -21.336408
   0.32905    -21.336713    -21.336713
   0.32905    -21.336713    -21.336713
   0.34335    -21.336408    -21.336408
   0.35764    -21.335496    -21.335496
   0.37194    -21.333978    -21.333978
   0.38624    -21.331859    -21.331859
   0.40053    -21.329149    -21.329149
   0.41483    -21.325859    -21.325859
   0.42912    -21.321999    -21.321999
   0.44342    -21.317590    -21.317590
   0.45771    -21.312660    -21.312660
   0.45771    -21.312660    -21.312660
   0.46317    -21.312065    -21.312065
   0.46863    -21.311497    -21.311497
   0.47409    -21.310957    -21.310957
   0.47956    -21.310452    -21.310452
   0.48502    -21.309983    -21.309983
   0.49048    -21.309561    -21.309561
   0.49594    -21.309204    -21.309204
   0.50140    -21.308949    -21.308949
   0.50686    -21.308853    -21.308853
   0.50686    -21.308853    -21.308853
   0.52366    -21.313917    -21.313917
   0.54047    -21.319335    -21.319335
   0.55727    -21.324115    -21.324115
   0.57408    -21.328207    -21.328207
   0.59088    -21.331585    -21.331585
   0.60769    -21.334229    -21.334229
   0.62450    -21.336128    -21.336128
   0.64130    -21.337270    -21.337270
   0.65811    -21.337650    -21.337650
 
 
# Band-Index    2
   0.65811    -21.239404    -21.239404
   0.64130    -21.244184    -21.244184
   0.62450    -21.252281    -21.252281
   0.60769    -21.260869    -21.260869
   0.59088    -21.269474    -21.269474
   0.57408    -21.277899    -21.277899
   0.55727    -21.286017    -21.286017
   0.54047    -21.293722    -21.293722
   0.52366    -21.300913    -21.300913
   0.50686    -21.306572    -21.306572
   0.50686    -21.306572    -21.306572
   0.50140    -21.306476    -21.306476
   0.49594    -21.306219    -21.306219
   0.49048    -21.305858    -21.305858
   0.48502    -21.305426    -21.305426
   0.47956    -21.304941    -21.304941
   0.47409    -21.304409    -21.304409
   0.46863    -21.303833    -21.303833
   0.46317    -21.303214    -21.303214
   0.45771    -21.302552    -21.302552
   0.45771    -21.302552    -21.302552
   0.44342    -21.296552    -21.296552
   0.42912    -21.290308    -21.290308
   0.41483    -21.283950    -21.283950
   0.40053    -21.277656    -21.277656
   0.38624    -21.271670    -21.271670
   0.37194    -21.266327    -21.266327
   0.35764    -21.262039    -21.262039
   0.34335    -21.259244    -21.259244
   0.32905    -21.258271    -21.258271
   0.32905    -21.258271    -21.258271
   0.31476    -21.259244    -21.259244
   0.30046    -21.262039    -21.262039
   0.28617    -21.266327    -21.266327
   0.27187    -21.271670    -21.271670
   0.25758    -21.277656    -21.277656
   0.24328    -21.283950    -21.283950
   0.22898    -21.290308    -21.290308
   0.21469    -21.296552    -21.296552
   0.20039    -21.302552    -21.302552
   0.20039    -21.302552    -21.302552
   0.19493    -21.303224    -21.303224
   0.18947    -21.303855    -21.303855
   0.18401    -21.304447    -21.304447
   0.17855    -21.304999    -21.304999
   0.17309    -21.305509    -21.305509
   0.16763    -21.305974    -21.305974
   0.16217    -21.306378    -21.306378
   0.15671    -21.306682    -21.306682
   0.15125    -21.306803    -21.306803
   0.15125    -21.306803    -21.306803
   0.13444    -21.300953    -21.300953
   0.11764    -21.293744    -21.293744
   0.10083    -21.286031    -21.286031
   0.08403    -21.277910    -21.277910
   0.06722    -21.269480    -21.269480
   0.05042    -21.260871    -21.260871
   0.03361    -21.252279    -21.252279
   0.01681    -21.244181    -21.244181
   0.00000    -21.239404    -21.239404
 
 
# Band-Index    3
   0.00000    -21.228095    -21.228095
   0.01681    -21.227277    -21.227277
   0.03361    -21.227139    -21.227139
   0.05042    -21.226945    -21.226945
   0.06722    -21.226702    -21.226702
   0.08403    -21.226431    -21.226431
   0.10083    -21.226167    -21.226167
   0.11764    -21.225942    -21.225942
   0.13444    -21.225793    -21.225793
   0.15125    -21.225740    -21.225740
   0.15125    -21.225740    -21.225740
   0.15671    -21.225747    -21.225747
   0.16217    -21.225765    -21.225765
   0.16763    -21.225794    -21.225794
   0.17309    -21.225833    -21.225833
   0.17855    -21.225879    -21.225879
   0.18401    -21.225928    -21.225928
   0.18947    -21.225979    -21.225979
   0.19493    -21.226029    -21.226029
   0.20039    -21.226076    -21.226076
   0.20039    -21.226076    -21.226076
   0.21469    -21.226545    -21.226545
   0.22898    -21.227082    -21.227082
   0.24328    -21.227623    -21.227623
   0.25758    -21.228092    -21.228092
   0.27187    -21.228412    -21.228412
   0.28617    -21.228522    -21.228522
   0.30046    -21.228417    -21.228417
   0.31476    -21.228204    -21.228204
   0.32905    -21.228096    -21.228096
   0.32905    -21.228096    -21.228096
   0.34335    -21.228204    -21.228204
   0.35764    -21.228417    -21.228417
   0.37194    -21.228522    -21.228522
   0.38624    -21.228412    -21.228412
   0.40053    -21.228092    -21.228092
   0.41483    -21.227623    -21.227623
   0.42912    -21.227082    -21.227082
   0.44342    -21.226545    -21.226545
   0.45771    -21.226076    -21.226076
   0.45771    -21.226076    -21.226076
   0.46317    -21.226019    -21.226019
   0.46863    -21.225958    -21.225958
   0.47409    -21.225896    -21.225896
   0.47956    -21.225838    -21.225838
   0.48502    -21.225784    -21.225784
   0.49048    -21.225739    -21.225739
   0.49594    -21.225704    -21.225704
   0.50140    -21.225683    -21.225683
   0.50686    -21.225675    -21.225675
   0.50686    -21.225675    -21.225675
   0.52366    -21.225728    -21.225728
   0.54047    -21.225879    -21.225879
   0.55727    -21.226104    -21.226104
   0.57408    -21.226370    -21.226370
   0.59088    -21.226641    -21.226641
   0.60769    -21.226885    -21.226885
   0.62450    -21.227080    -21.227080
   0.64130    -21.227212    -21.227212
   0.65811    -21.228095    -21.228095
 
 
# Band-Index    4
   0.65811    -21.227162    -21.227162
   0.64130    -21.223449    -21.223449
   0.62450    -21.216014    -21.216014
   0.60769    -21.208449    -21.208449
   0.59088    -21.201155    -21.201155
   0.57408    -21.194255    -21.194255
   0.55727    -21.187874    -21.187874
   0.54047    -21.182270    -21.182270
   0.52366    -21.178048    -21.178048
   0.50686    -21.176368    -21.176368
   0.50686    -21.176368    -21.176368
   0.50140    -21.176293    -21.176293
   0.49594    -21.176069    -21.176069
   0.49048    -21.175707    -21.175707
   0.48502    -21.175218    -21.175218
   0.47956    -21.174627    -21.174627
   0.47409    -21.173961    -21.173961
   0.46863    -21.173267    -21.173267
   0.46317    -21.172602    -21.172602
   0.45771    -21.172042    -21.172042
   0.45771    -21.172042    -21.172042
   0.44342    -21.168762    -21.168762
   0.42912    -21.166280    -21.166280
   0.41483    -21.165941    -21.165941
   0.40053    -21.169648    -21.169648
   0.38624    -21.173680    -21.173680
   0.37194    -21.177743    -21.177743
   0.35764    -21.181373    -21.181373
   0.34335    -21.183961    -21.183961
   0.32905    -21.184911    -21.184911
   0.32905    -21.184911    -21.184911
   0.31476    -21.183961    -21.183961
   0.30046    -21.181373    -21.181373
   0.28617    -21.177743    -21.177743
   0.27187    -21.173680    -21.173680
   0.25758    -21.169648    -21.169648
   0.24328    -21.165941    -21.165941
   0.22898    -21.166280    -21.166280
   0.21469    -21.168762    -21.168762
   0.20039    -21.172042    -21.172042
   0.20039    -21.172042    -21.172042
   0.19493    -21.172505    -21.172505
   0.18947    -21.173088    -21.173088
   0.18401    -21.173714    -21.173714
   0.17855    -21.174325    -21.174325
   0.17309    -21.174875    -21.174875
   0.16763    -21.175332    -21.175332
   0.16217    -21.175673    -21.175673
   0.15671    -21.175883    -21.175883
   0.15125    -21.175954    -21.175954
