      #Energy        TDOS-UP        TDOS-DOWN
     -19.82164       0.00000       0.00000
     -19.79164       0.00000       0.00000
     -19.76264       0.00000       0.00000
     -19.73264       0.00000       0.00000
     -19.70264       0.00000       0.00000
     -19.67264       0.00000       0.00000
     -19.64264       0.00000       0.00000
     -19.61264       0.00000       0.00000
     -19.58264       0.00000       0.00000
     -19.55264       0.00000       0.00000
     -19.52364       0.00000       0.00000
     -19.49364       0.00000       0.00000
     -19.46364       0.00000       0.00000
     -19.43364       0.00000       0.00000
     -19.40364       0.00000       0.00000
     -19.37364       0.00000       0.00000
     -19.34364       0.00000       0.00000
     -19.31364       0.00000       0.00000
     -19.28364       0.00000       0.00000
     -19.25464       0.00000       0.00000
     -19.22464       0.00000       0.00000
     -19.19464       0.00000       0.00000
     -19.16464       0.00000       0.00000
     -19.13464       0.00000       0.00000
     -19.10464       0.00000       0.00000
     -19.07464       0.00000       0.00000
     -19.04464       0.00000       0.00000
     -19.01564       0.00000       0.00000
     -18.98564       0.00000       0.00000
     -18.95564       0.00000       0.00000
     -18.92564       0.00000       0.00000
     -18.89564       0.00000       0.00000
     -18.86564       0.00000       0.00000
     -18.83564       0.00000       0.00000
     -18.80564       0.00000       0.00000
     -18.77664       0.00000       0.00000
     -18.74664       0.00000      -0.00000
     -18.71664       0.00000      -0.00000
     -18.68664       0.00000      -0.00000
     -18.65664       0.00000      -0.00000
     -18.62664       0.00005      -0.00005
     -18.59664       0.00212      -0.00212
     -18.56664       0.04869      -0.04869
     -18.53764       0.59220      -0.59220
     -18.50764       3.89500      -3.89500
     -18.47764      14.22000     -14.22000
     -18.44764      29.79000     -29.79000
     -18.41764      38.66000     -38.66000
     -18.38764      38.61000     -38.61000
     -18.35764      40.95000     -40.95000
     -18.32764      47.94000     -47.94000
     -18.29864      57.27000     -57.27000
     -18.26864      60.64000     -60.64000
     -18.23864      45.46000     -45.46000
     -18.20864      25.09000     -25.09000
     -18.17864      22.15000     -22.15000
     -18.14864      34.13000     -34.13000
     -18.11864      43.81000     -43.81000
     -18.08864      42.21000     -42.21000
     -18.05964      35.77000     -35.77000
     -18.02964      33.90000     -33.90000
     -17.99964      30.14000     -30.14000
     -17.96964      17.49000     -17.49000
     -17.93964       5.63800      -5.63800
     -17.90964       0.95920      -0.95920
     -17.87964       0.08442      -0.08442
     -17.84964       0.00392      -0.00392
     -17.82064       0.00430      -0.00430
     -17.79064       0.07635      -0.07635
     -17.76064       0.74370      -0.74370
     -17.73064       4.12000      -4.12000
     -17.70064      14.15000     -14.15000
     -17.67064      33.09000     -33.09000
     -17.64064      55.98000     -55.98000
     -17.61064      72.49000     -72.49000
     -17.58164      79.53000     -79.53000
     -17.55164      76.45000     -76.45000
     -17.52164      60.25000     -60.25000
     -17.49164      39.52000     -39.52000
     -17.46164      22.15000     -22.15000
     -17.43164      12.36000     -12.36000
     -17.40164      15.86000     -15.86000
     -17.37164      28.39000     -28.39000
     -17.34264      35.88000     -35.88000
     -17.31264      34.05000     -34.05000
     -17.28264      31.11000     -31.11000
     -17.25264      27.51000     -27.51000
     -17.22264      17.58000     -17.58000
     -17.19264       6.62600      -6.62600
     -17.16264       1.36600      -1.36600
     -17.13264       0.15010      -0.15010
     -17.10364       0.00870      -0.00870
     -17.07364       0.00026      -0.00026
     -17.04364       0.00005      -0.00005
     -17.01364       0.00149      -0.00149
     -16.98364       0.02685      -0.02685
     -16.95364       0.25890      -0.25890
     -16.92364       1.41500      -1.41500
     -16.89364       4.90300      -4.90300
     -16.86464      12.67000     -12.67000
     -16.83464      25.91000     -25.91000
     -16.80464      36.85000     -36.85000
     -16.77464      31.61000     -31.61000
     -16.74464      15.39000     -15.39000
     -16.71464       4.48700      -4.48700
     -16.68464       2.31700      -2.31700
     -16.65464       5.14500      -5.14500
     -16.62564       9.63500      -9.63500
     -16.59564      13.68000     -13.68000
     -16.56564      15.86000     -15.86000
     -16.53564      13.36000     -13.36000
     -16.50564       9.02700      -9.02700
     -16.47564      10.14000     -10.14000
     -16.44564      16.22000     -16.22000
     -16.41564      21.48000     -21.48000
     -16.38664      22.13000     -22.13000
     -16.35664      18.61000     -18.61000
     -16.32664      15.78000     -15.78000
     -16.29664      16.59000     -16.59000
     -16.26664      21.12000     -21.12000
     -16.23664      26.23000     -26.23000
     -16.20664      24.65000     -24.65000
     -16.17664      17.07000     -17.07000
     -16.14764      11.33000     -11.33000
     -16.11764      11.28000     -11.28000
     -16.08764      13.82000     -13.82000
     -16.05764      12.35000     -12.35000
     -16.02764       8.28200      -8.28200
     -15.99764      10.66000     -10.66000
     -15.96764      24.25000     -24.25000
     -15.93764      44.40000     -44.40000
     -15.90864      55.58000     -55.58000
     -15.87864      51.39000     -51.39000
     -15.84864      47.47000     -47.47000
     -15.81864      46.46000     -46.46000
     -15.78864      35.11000     -35.11000
     -15.75864      19.91000     -19.91000
     -15.72864      15.14000     -15.14000
     -15.69864      16.55000     -16.55000
     -15.66964      17.07000     -17.07000
     -15.63964      19.38000     -19.38000
     -15.60964      24.98000     -24.98000
     -15.57964      32.53000     -32.53000
     -15.54964      39.08000     -39.08000
     -15.51964      40.28000     -40.28000
     -15.48964      37.11000     -37.11000
     -15.45964      34.77000     -34.77000
     -15.43064      29.84000     -29.84000
     -15.40064      19.01000     -19.01000
     -15.37064       9.72300      -9.72300
     -15.34064       7.38900      -7.38900
     -15.31064      12.45000     -12.45000
     -15.28064      23.54000     -23.54000
     -15.25064      33.47000     -33.47000
     -15.22064      35.45000     -35.45000
     -15.19164      32.48000     -32.48000
     -15.16164      26.73000     -26.73000
     -15.13164      17.10000     -17.10000
     -15.10164       8.14100      -8.14100
     -15.07164       7.30100      -7.30100
     -15.04164      21.26000     -21.26000
     -15.01164      44.60000     -44.60000
     -14.98164      54.15000     -54.15000
     -14.95264      45.64000     -45.64000
     -14.92264      37.46000     -37.46000
     -14.89264      36.11000     -36.11000
     -14.86264      35.82000     -35.82000
     -14.83264      34.00000     -34.00000
     -14.80264      35.78000     -35.78000
     -14.77264      42.46000     -42.46000
     -14.74264      50.23000     -50.23000
     -14.71364      55.92000     -55.92000
     -14.68364      51.94000     -51.94000
     -14.65364      34.43000     -34.43000
     -14.62364      16.26000     -16.26000
     -14.59364      10.02000     -10.02000
     -14.56364      13.38000     -13.38000
     -14.53364      17.50000     -17.50000
     -14.50364      17.08000     -17.08000
     -14.47464      17.43000     -17.43000
     -14.44464      29.05000     -29.05000
     -14.41464      47.43000     -47.43000
     -14.38464      53.45000     -53.45000
     -14.35464      44.99000     -44.99000
     -14.32464      39.26000     -39.26000
     -14.29464      41.79000     -41.79000
     -14.26464      44.90000     -44.90000
     -14.23564      43.79000     -43.79000
     -14.20564      37.88000     -37.88000
     -14.17564      31.33000     -31.33000
     -14.14564      30.72000     -30.72000
     -14.11564      36.75000     -36.75000
     -14.08564      44.13000     -44.13000
     -14.05564      44.68000     -44.68000
     -14.02564      35.62000     -35.62000
     -13.99664      26.93000     -26.93000
     -13.96664      27.78000     -27.78000
     -13.93664      36.74000     -36.74000
     -13.90664      44.94000     -44.94000
     -13.87664      44.84000     -44.84000
     -13.84664      38.78000     -38.78000
     -13.81664      32.43000     -32.43000
     -13.78664      27.89000     -27.89000
     -13.75764      23.02000     -23.02000
     -13.72764      14.17000     -14.17000
     -13.69764       5.25200      -5.25200
     -13.66764       1.06400      -1.06400
     -13.63764       0.12330      -0.12330
     -13.60764       0.17870      -0.17870
     -13.57764       1.52100      -1.52100
     -13.54764       6.99300      -6.99300
     -13.51864      17.06000     -17.06000
     -13.48864      22.93000     -22.93000
     -13.45864      18.94000     -18.94000
     -13.42864      12.92000     -12.92000
     -13.39864      10.51000     -10.51000
     -13.36864       9.83200      -9.83200
     -13.33864       9.26300      -9.26300
     -13.30864       8.02600      -8.02600
     -13.27964       5.48000      -5.48000
     -13.24964       3.16300      -3.16300
     -13.21964       2.39700      -2.39700
     -13.18964       2.26000      -2.26000
     -13.15964       1.69200      -1.69200
     -13.12964       1.67100      -1.67100
     -13.09964       5.35700      -5.35700
     -13.06964      15.10000     -15.10000
     -13.04064      26.53000     -26.53000
     -13.01064      32.76000     -32.76000
     -12.98064      32.30000     -32.30000
     -12.95064      25.52000     -25.52000
     -12.92064      17.94000     -17.94000
     -12.89064      15.16000     -15.16000
     -12.86064      15.04000     -15.04000
     -12.83064      18.98000     -18.98000
     -12.80164      31.16000     -31.16000
     -12.77164      44.11000     -44.11000
     -12.74164      49.88000     -49.88000
     -12.71164      52.10000     -52.10000
     -12.68164      50.59000     -50.59000
     -12.65164      45.03000     -45.03000
     -12.62164      41.05000     -41.05000
     -12.59164      39.04000     -39.04000
     -12.56264      32.37000     -32.37000
     -12.53264      21.25000     -21.25000
     -12.50264      13.20000     -13.20000
     -12.47264      10.94000     -10.94000
     -12.44264      14.43000     -14.43000
     -12.41264      23.54000     -23.54000
     -12.38264      32.36000     -32.36000
     -12.35264      37.66000     -37.66000
     -12.32364      44.55000     -44.55000
     -12.29364      46.21000     -46.21000
     -12.26364      35.14000     -35.14000
     -12.23364      23.87000     -23.87000
     -12.20364      22.60000     -22.60000
     -12.17364      25.61000     -25.61000
     -12.14364      24.65000     -24.65000
     -12.11364      19.30000     -19.30000
     -12.08464      12.30000     -12.30000
     -12.05464       8.49600      -8.49600
     -12.02464      15.35000     -15.35000
     -11.99464      31.71000     -31.71000
     -11.96464      42.69000     -42.69000
     -11.93464      38.99000     -38.99000
     -11.90464      28.19000     -28.19000
     -11.87464      18.64000     -18.64000
     -11.84564      14.98000     -14.98000
     -11.81564      19.31000     -19.31000
     -11.78564      26.06000     -26.06000
     -11.75564      26.91000     -26.91000
     -11.72564      20.70000     -20.70000
     -11.69564      13.30000     -13.30000
     -11.66564       8.51400      -8.51400
     -11.63564       6.44600      -6.44600
     -11.60664       5.76100      -5.76100
     -11.57664       4.87700      -4.87700
     -11.54664       5.17100      -5.17100
     -11.51664       9.58600      -9.58600
     -11.48664      16.57000     -16.57000
     -11.45664      20.30000     -20.30000
     -11.42664      20.76000     -20.76000
     -11.39664      25.15000     -25.15000
     -11.36764      34.77000     -34.77000
     -11.33764      43.10000     -43.10000
     -11.30764      44.05000     -44.05000
     -11.27764      36.00000     -36.00000
     -11.24764      27.10000     -27.10000
     -11.21764      24.91000     -24.91000
     -11.18764      25.16000     -25.16000
     -11.15764      21.53000     -21.53000
     -11.12864      17.92000     -17.92000
     -11.09864      19.97000     -19.97000
     -11.06864      24.38000     -24.38000
     -11.03864      28.07000     -28.07000
     -11.00864      33.27000     -33.27000
     -10.97864      36.72000     -36.72000
     -10.94864      36.50000     -36.50000
     -10.91864      38.74000     -38.74000
     -10.88964      42.88000     -42.88000
     -10.85964      41.29000     -41.29000
     -10.82964      31.90000     -31.90000
     -10.79964      21.55000     -21.55000
     -10.76964      19.60000     -19.60000
     -10.73964      25.96000     -25.96000
     -10.70964      29.70000     -29.70000
     -10.67964      27.52000     -27.52000
     -10.65064      29.75000     -29.75000
     -10.62064      40.33000     -40.33000
     -10.59064      47.31000     -47.31000
     -10.56064      40.58000     -40.58000
     -10.53064      28.97000     -28.97000
