      #Energy        TDOS-UP        TDOS-DOWN
     -22.69500       0.00000       0.00000
     -22.66500       0.00000       0.00000
     -22.63500       0.00000       0.00000
     -22.60600       0.00000       0.00000
     -22.57600       0.00000       0.00000
     -22.54600       0.00000       0.00000
     -22.51600       0.00000       0.00000
     -22.48600       0.00000       0.00000
     -22.45600       0.00000       0.00000
     -22.42600       0.00000       0.00000
     -22.39600       0.00000       0.00000
     -22.36700       0.00000       0.00000
     -22.33700       0.00000       0.00000
     -22.30700       0.00000       0.00000
     -22.27700       0.00000       0.00000
     -22.24700       0.00000       0.00000
     -22.21700       0.00000       0.00000
     -22.18700       0.00000       0.00000
     -22.15700       0.00000       0.00000
     -22.12800       0.00000       0.00000
     -22.09800       0.00000       0.00000
     -22.06800       0.00000       0.00000
     -22.03800       0.00000       0.00000
     -22.00800       0.00000       0.00000
     -21.97800       0.00000       0.00000
     -21.94800       0.00000       0.00000
     -21.91800       0.00000       0.00000
     -21.88900       0.00000       0.00000
     -21.85900       0.00000       0.00000
     -21.82900       0.00000       0.00000
     -21.79900       0.00000       0.00000
     -21.76900       0.00000       0.00000
     -21.73900       0.00000       0.00000
     -21.70900       0.00000       0.00000
     -21.67900       0.00000       0.00000
     -21.65000       0.00000       0.00000
     -21.62000       0.00000       0.00000
     -21.59000       0.00000      -0.00000
     -21.56000       0.00000      -0.00000
     -21.53000       0.00000      -0.00000
     -21.50000       0.00000      -0.00000
     -21.47000       0.00003      -0.00000
     -21.44000       0.00080      -0.00013
     -21.41100       0.01045      -0.00248
     -21.38100       0.07820      -0.02569
     -21.35100       0.35227      -0.15488
     -21.32100       1.01978      -0.57704
     -21.29100       2.06309      -1.42992
     -21.26100       3.25338      -2.59332
     -21.23100       4.49565      -3.85679
     -21.20100       5.89953      -5.19346
     -21.17200       7.56210      -6.70264
     -21.14200       9.35911      -8.42989
     -21.11200      10.86695     -10.13101
     -21.08200      11.81541     -11.37999
     -21.05200      12.49786     -12.16132
     -21.02200      13.37971     -12.92353
     -20.99200      14.56925     -13.98312
     -20.96300      15.83661     -15.24256
     -20.93300      16.97910     -16.44943
     -20.90300      18.01868     -17.52949
     -20.87300      18.95908     -18.53576
     -20.84300      19.61703     -19.35472
     -20.81300      19.91097     -19.81311
     -20.78300      19.98721     -19.96776
     -20.75300      19.99810     -19.99712
     -20.72400      19.99893     -20.00012
     -20.69400      19.99901     -20.00029
     -20.66400      20.00001     -20.00044
     -20.63400      20.01114     -20.00290
     -20.60400      20.08286     -20.02516
     -20.57400      20.37235     -20.14603
     -20.54400      21.15382     -20.56987
     -20.51400      22.63851     -21.59077
     -20.48500      24.74171     -23.36224
     -20.45500      27.14708     -25.70712
     -20.42500      29.48792     -28.22197
     -20.39500      31.41323     -30.46274
     -20.36500      32.74602     -32.13040
     -20.33500      33.53541     -33.18850
     -20.30500      33.97633     -33.76743
     -20.27500      34.39993     -34.12471
     -20.24600      35.10015     -34.61478
     -20.21600      36.07580     -35.44540
     -20.18600      37.10985     -36.50648
     -20.15600      38.07415     -37.56906
     -20.12600      38.93255     -38.52559
     -20.09600      39.56392     -39.29452
     -20.06600      39.88179     -39.76205
     -20.03600      39.97976     -39.94807
     -20.00700      39.99719     -39.99293
     -19.97700      39.99892     -39.99924
     -19.94700      39.99902     -39.99975
     -19.91700      39.99902     -39.99977
     -19.88700      39.99908     -39.99979
     -19.85700      39.99998     -40.00019
     -19.82700      40.00760     -40.00423
     -19.79700      40.04635     -40.02801
     -19.76800      40.17860     -40.11796
     -19.73800      40.52235     -40.36852
     -19.70800      41.21943     -40.92356
     -19.67800      42.23018     -41.84335
     -19.64800      43.18866     -42.87157
     -19.61800      43.75296     -43.59689
     -19.58800      43.95760     -43.90946
     -19.55800      44.02992     -44.00306
     -19.52900      44.13984     -44.07856
     -19.49900      44.37073     -44.25197
     -19.46900      44.73906     -44.57287
     -19.43900      45.19836     -45.02066
     -19.40900      45.63226     -45.48892
     -19.37900      45.95232     -45.84910
     -19.34900      46.23818     -46.11637
     -19.32000      46.64564     -46.44856
     -19.29000      47.21995     -46.95027
     -19.26000      47.87402     -47.58418
     -19.23000      48.48283     -48.23048
     -19.20000      49.00157     -48.79672
     -19.17000      49.49627     -49.29769
     -19.14000      50.07685     -49.82973
     -19.11000      50.79768     -50.48843
     -19.08100      51.54794     -51.24048
     -19.05100      52.14286     -51.90948
     -19.02100      52.54674     -52.38491
     -18.99100      52.88476     -52.73487
     -18.96100      53.26609     -53.09275
     -18.93100      53.64667     -53.48603
     -18.90100      53.93246     -53.81337
     -18.87100      54.21228     -54.05551
     -18.84200      54.77748     -54.42646
     -18.81200      55.88352     -55.25020
     -18.78200      57.43408     -56.64049
     -18.75200      59.03258     -58.29216
