#K-Path              Spin-Up       Spin-Down
# NKPTS & NBANDS:  60 512
# Band-Index    1
   0.00000    -23.397512    -23.397512
   0.01681    -23.397512    -23.397512
   0.03361    -23.397511    -23.397511
   0.05042    -23.397510    -23.397510
   0.06722    -23.397509    -23.397509
   0.08403    -23.397508    -23.397508
   0.10083    -23.397507    -23.397507
   0.11764    -23.397507    -23.397507
   0.13444    -23.397506    -23.397506
   0.15125    -23.397508    -23.397508
   0.15125    -23.397508    -23.397508
   0.15671    -23.397507    -23.397507
   0.16217    -23.397507    -23.397507
   0.16763    -23.397508    -23.397508
   0.17309    -23.397507    -23.397507
   0.17855    -23.397508    -23.397508
   0.18401    -23.397507    -23.397507
   0.18947    -23.397507    -23.397507
   0.19493    -23.397506    -23.397506
   0.20039    -23.397507    -23.397507
   0.20039    -23.397507    -23.397507
   0.21469    -23.397508    -23.397508
   0.22898    -23.397508    -23.397508
   0.24328    -23.397508    -23.397508
   0.25758    -23.397507    -23.397507
   0.27187    -23.397508    -23.397508
   0.28617    -23.397508    -23.397508
   0.30046    -23.397508    -23.397508
   0.31476    -23.397508    -23.397508
   0.32905    -23.397508    -23.397508
   0.32905    -23.397508    -23.397508
   0.34335    -23.397508    -23.397508
   0.35764    -23.397508    -23.397508
   0.37194    -23.397508    -23.397508
   0.38624    -23.397508    -23.397508
   0.40053    -23.397507    -23.397507
   0.41483    -23.397508    -23.397508
   0.42912    -23.397508    -23.397508
   0.44342    -23.397508    -23.397508
   0.45771    -23.397507    -23.397507
   0.45771    -23.397507    -23.397507
   0.46317    -23.397506    -23.397506
   0.46863    -23.397507    -23.397507
   0.47409    -23.397507    -23.397507
   0.47956    -23.397508    -23.397508
   0.48502    -23.397507    -23.397507
   0.49048    -23.397508    -23.397508
   0.49594    -23.397507    -23.397507
   0.50140    -23.397507    -23.397507
   0.50686    -23.397508    -23.397508
   0.50686    -23.397508    -23.397508
   0.52366    -23.397506    -23.397506
   0.54047    -23.397507    -23.397507
   0.55727    -23.397507    -23.397507
   0.57408    -23.397508    -23.397508
   0.59088    -23.397509    -23.397509
   0.60769    -23.397510    -23.397510
   0.62450    -23.397511    -23.397511
   0.64130    -23.397512    -23.397512
   0.65811    -23.397512    -23.397512
 
 
# Band-Index    2
   0.65811    -23.396607    -23.396607
   0.64130    -23.396607    -23.396607
   0.62450    -23.396605    -23.396605
   0.60769    -23.396604    -23.396604
   0.59088    -23.396603    -23.396603
   0.57408    -23.396602    -23.396602
   0.55727    -23.396601    -23.396601
   0.54047    -23.396601    -23.396601
   0.52366    -23.396600    -23.396600
   0.50686    -23.396602    -23.396602
   0.50686    -23.396602    -23.396602
