      #Energy        TDOS-UP        TDOS-DOWN
     -22.18684       0.00000       0.00000
     -22.15484       0.00000       0.00000
     -22.12284       0.00000       0.00000
     -22.09084       0.00000       0.00000
     -22.05784       0.00000       0.00000
     -22.02584       0.00000       0.00000
     -21.99384       0.00000       0.00000
     -21.96184       0.00000       0.00000
     -21.92884       0.00000       0.00000
     -21.89684       0.00000       0.00000
     -21.86484       0.00000       0.00000
     -21.83284       0.00000       0.00000
     -21.80084       0.00000       0.00000
     -21.76784       0.00000       0.00000
     -21.73584       0.00000       0.00000
     -21.70384       0.00000       0.00000
     -21.67184       0.00000       0.00000
     -21.63984       0.00000       0.00000
     -21.60684       0.00000       0.00000
     -21.57484       0.00000       0.00000
     -21.54284       0.00000       0.00000
     -21.51084       0.00000       0.00000
     -21.47884       0.00000       0.00000
     -21.44584       0.00000       0.00000
     -21.41384       0.00000       0.00000
     -21.38184       0.00000       0.00000
     -21.34984       0.00000       0.00000
     -21.31684       0.00000       0.00000
     -21.28484       0.00000       0.00000
     -21.25284       0.00000       0.00000
     -21.22084       0.00000       0.00000
     -21.18884       0.00000       0.00000
     -21.15584       0.00000       0.00000
     -21.12384       0.00000       0.00000
     -21.09184       0.00000       0.00000
     -21.05984       0.00000       0.00000
     -21.02784       0.00000       0.00000
     -20.99484       0.00000      -0.00000
     -20.96284       0.00000      -0.00000
     -20.93084       0.00000      -0.00000
     -20.89884       0.00000      -0.00000
     -20.86684       0.00006      -0.00006
     -20.83384       0.00187      -0.00187
     -20.80184       0.02910      -0.02910
     -20.76984       0.22206      -0.22206
     -20.73784       0.89462      -0.89462
     -20.70484       2.10059      -2.10059
     -20.67284       3.24986      -3.24986
     -20.64084       3.83024      -3.83024
     -20.60884       3.98002      -3.98002
     -20.57684       3.99889      -3.99889
     -20.54384       4.00001      -4.00001
     -20.51184       4.00004      -4.00004
     -20.47984       4.00004      -4.00004
     -20.44784       4.00004      -4.00004
     -20.41584       4.00004      -4.00004
     -20.38284       4.00004      -4.00004
     -20.35084       4.00004      -4.00004
     -20.31884       4.00004      -4.00004
     -20.28684       4.00004      -4.00004
     -20.25484       4.00004      -4.00004
     -20.22184       4.00004      -4.00004
     -20.18984       4.00004      -4.00004
     -20.15784       4.00004      -4.00004
     -20.12584       4.00004      -4.00004
     -20.09284       4.00004      -4.00004
     -20.06084       4.00004      -4.00004
     -20.02884       4.00004      -4.00004
     -19.99684       4.00004      -4.00004
     -19.96484       4.00004      -4.00004
     -19.93184       4.00004      -4.00004
     -19.89984       4.00004      -4.00004
     -19.86784       4.00004      -4.00004
     -19.83584       4.00004      -4.00004
     -19.80384       4.00004      -4.00004
     -19.77084       4.00004      -4.00004
     -19.73884       4.00004      -4.00004
     -19.70684       4.00004      -4.00004
     -19.67484       4.00004      -4.00004
     -19.64284       4.00004      -4.00004
     -19.60984       4.00004      -4.00004
     -19.57784       4.00004      -4.00004
     -19.54584       4.00004      -4.00004
     -19.51384       4.00004      -4.00004
     -19.48084       4.00004      -4.00004
     -19.44884       4.00004      -4.00004
     -19.41684       4.00004      -4.00004
     -19.38484       4.00004      -4.00004
     -19.35284       4.00004      -4.00004
     -19.31984       4.00004      -4.00004
     -19.28784       4.00004      -4.00004
     -19.25584       4.00004      -4.00004
     -19.22384       4.00004      -4.00004
     -19.19184       4.00004      -4.00004
     -19.15884       4.00004      -4.00004
     -19.12684       4.00004      -4.00004
     -19.09484       4.00004      -4.00004
     -19.06284       4.00004      -4.00004
     -19.03084       4.00004      -4.00004
     -18.99784       4.00004      -4.00004
     -18.96584       4.00004      -4.00004
     -18.93384       4.00004      -4.00004
     -18.90184       4.00004      -4.00004
     -18.86884       4.00004      -4.00004
     -18.83684       4.00004      -4.00004
     -18.80484       4.00004      -4.00004
     -18.77284       4.00004      -4.00004
     -18.74084       4.00004      -4.00004
     -18.70784       4.00004      -4.00004
     -18.67584       4.00004      -4.00004
     -18.64384       4.00004      -4.00004
     -18.61184       4.00006      -4.00006
     -18.57984       4.00090      -4.00090
