      #Energy        TDOS-UP        TDOS-DOWN
     -22.18684       0.00000       0.00000
     -22.15484       0.00000       0.00000
     -22.12284       0.00000       0.00000
     -22.09084       0.00000       0.00000
     -22.05784       0.00000       0.00000
     -22.02584       0.00000       0.00000
     -21.99384       0.00000       0.00000
     -21.96184       0.00000       0.00000
     -21.92884       0.00000       0.00000
     -21.89684       0.00000       0.00000
     -21.86484       0.00000       0.00000
     -21.83284       0.00000       0.00000
     -21.80084       0.00000       0.00000
     -21.76784       0.00000       0.00000
     -21.73584       0.00000       0.00000
     -21.70384       0.00000       0.00000
     -21.67184       0.00000       0.00000
     -21.63984       0.00000       0.00000
     -21.60684       0.00000       0.00000
     -21.57484       0.00000       0.00000
     -21.54284       0.00000       0.00000
     -21.51084       0.00000       0.00000
     -21.47884       0.00000       0.00000
     -21.44584       0.00000       0.00000
     -21.41384       0.00000       0.00000
     -21.38184       0.00000       0.00000
     -21.34984       0.00000       0.00000
     -21.31684       0.00000       0.00000
     -21.28484       0.00000       0.00000
     -21.25284       0.00000       0.00000
     -21.22084       0.00000       0.00000
     -21.18884       0.00000       0.00000
     -21.15584       0.00000       0.00000
     -21.12384       0.00000       0.00000
     -21.09184       0.00000       0.00000
     -21.05984       0.00000       0.00000
     -21.02784       0.00000       0.00000
     -20.99484       0.00000      -0.00000
     -20.96284       0.00000      -0.00000
     -20.93084       0.00000      -0.00000
     -20.89884       0.00005      -0.00005
     -20.86684       0.00342      -0.00342
     -20.83384       0.10940      -0.10940
     -20.80184       1.58100      -1.58100
     -20.76984      10.40000     -10.40000
     -20.73784      31.36000     -31.36000
     -20.70484      43.52000     -43.52000
     -20.67284      27.84000     -27.84000
     -20.64084       8.19600      -8.19600
     -20.60884       1.10400      -1.10400
     -20.57684       0.06769      -0.06769
     -20.54384       0.00187      -0.00187
     -20.51184       0.00002      -0.00002
     -20.47984       0.00000      -0.00000
     -20.44784       0.00000      -0.00000
     -20.41584       0.00000      -0.00000
     -20.38284       0.00000       0.00000
     -20.35084       0.00000       0.00000
     -20.31884       0.00000       0.00000
     -20.28684       0.00000       0.00000
     -20.25484       0.00000       0.00000
     -20.22184       0.00000       0.00000
     -20.18984       0.00000       0.00000
     -20.15784       0.00000       0.00000
     -20.12584       0.00000       0.00000
     -20.09284       0.00000       0.00000
     -20.06084       0.00000       0.00000
     -20.02884       0.00000       0.00000
     -19.99684       0.00000       0.00000
     -19.96484       0.00000       0.00000
     -19.93184       0.00000       0.00000
     -19.89984       0.00000       0.00000
     -19.86784       0.00000       0.00000
     -19.83584       0.00000       0.00000
     -19.80384       0.00000       0.00000
     -19.77084       0.00000       0.00000
     -19.73884       0.00000       0.00000
     -19.70684       0.00000       0.00000
     -19.67484       0.00000       0.00000
     -19.64284       0.00000       0.00000
     -19.60984       0.00000       0.00000
     -19.57784       0.00000       0.00000
     -19.54584       0.00000       0.00000
     -19.51384       0.00000       0.00000
     -19.48084       0.00000       0.00000
     -19.44884       0.00000       0.00000
     -19.41684       0.00000       0.00000
     -19.38484       0.00000       0.00000
     -19.35284       0.00000       0.00000
     -19.31984       0.00000       0.00000
     -19.28784       0.00000       0.00000
     -19.25584       0.00000       0.00000
     -19.22384       0.00000       0.00000
     -19.19184       0.00000       0.00000
     -19.15884       0.00000       0.00000
     -19.12684       0.00000       0.00000
     -19.09484       0.00000       0.00000
     -19.06284       0.00000       0.00000
     -19.03084       0.00000       0.00000
     -18.99784       0.00000       0.00000
     -18.96584       0.00000       0.00000
     -18.93384       0.00000       0.00000
     -18.90184       0.00000       0.00000
     -18.86884       0.00000       0.00000
     -18.83684       0.00000       0.00000
     -18.80484       0.00000       0.00000
     -18.77284       0.00000      -0.00000
     -18.74084       0.00000      -0.00000
     -18.70784       0.00000      -0.00000
     -18.67584       0.00000      -0.00000
     -18.64384       0.00002      -0.00002
     -18.61184       0.00163      -0.00163
     -18.57984       0.05052      -0.05052
     -18.54684       0.74590      -0.74590
     -18.51484       5.36500      -5.36500
     -18.48284      19.31000     -19.31000
