#K-Path              Spin-Up       Spin-Down
# NKPTS & NBANDS:  60 512
# Band-Index    1
   0.00000    -23.391617    -23.383440
   0.01681    -23.391617    -23.383440
   0.03361    -23.391615    -23.383438
   0.05042    -23.391614    -23.383437
   0.06722    -23.391613    -23.383436
   0.08403    -23.391612    -23.383435
   0.10083    -23.391611    -23.383434
   0.11764    -23.391612    -23.383434
   0.13444    -23.391611    -23.383433
   0.15125    -23.391612    -23.383435
   0.15125    -23.391612    -23.383435
   0.15671    -23.391612    -23.383435
   0.16217    -23.391612    -23.383435
   0.16763    -23.391612    -23.383435
   0.17309    -23.391612    -23.383435
   0.17855    -23.391613    -23.383435
   0.18401    -23.391611    -23.383434
   0.18947    -23.391611    -23.383434
   0.19493    -23.391611    -23.383434
   0.20039    -23.391611    -23.383434
   0.20039    -23.391611    -23.383434
   0.21469    -23.391612    -23.383435
   0.22898    -23.391613    -23.383436
   0.24328    -23.391613    -23.383436
   0.25758    -23.391612    -23.383435
   0.27187    -23.391612    -23.383435
   0.28617    -23.391613    -23.383436
   0.30046    -23.391613    -23.383436
   0.31476    -23.391613    -23.383435
   0.32905    -23.391613    -23.383436
   0.32905    -23.391613    -23.383436
   0.34335    -23.391613    -23.383435
   0.35764    -23.391613    -23.383436
   0.37194    -23.391613    -23.383436
   0.38624    -23.391612    -23.383435
   0.40053    -23.391612    -23.383435
   0.41483    -23.391613    -23.383436
   0.42912    -23.391613    -23.383436
   0.44342    -23.391612    -23.383435
   0.45771    -23.391611    -23.383434
   0.45771    -23.391611    -23.383434
   0.46317    -23.391611    -23.383434
   0.46863    -23.391611    -23.383434
   0.47409    -23.391611    -23.383434
   0.47956    -23.391613    -23.383435
   0.48502    -23.391612    -23.383435
   0.49048    -23.391612    -23.383435
   0.49594    -23.391612    -23.383435
   0.50140    -23.391612    -23.383435
   0.50686    -23.391612    -23.383435
   0.50686    -23.391612    -23.383435
   0.52366    -23.391611    -23.383433
   0.54047    -23.391612    -23.383434
   0.55727    -23.391611    -23.383434
   0.57408    -23.391612    -23.383435
   0.59088    -23.391613    -23.383436
   0.60769    -23.391614    -23.383437
   0.62450    -23.391615    -23.383438
   0.64130    -23.391617    -23.383440
   0.65811    -23.391617    -23.383440
 
 
# Band-Index    2
   0.65811    -23.390311    -23.382114
   0.64130    -23.390310    -23.382113
   0.62450    -23.390309    -23.382112
   0.60769    -23.390308    -23.382111
   0.59088    -23.390307    -23.382110
   0.57408    -23.390306    -23.382109
   0.55727    -23.390305    -23.382108
   0.54047    -23.390305    -23.382108
   0.52366    -23.390304    -23.382107
   0.50686    -23.390306    -23.382109
   0.50686    -23.390306    -23.382109
   0.50140    -23.390306    -23.382109
   0.49594    -23.390306    -23.382109
   0.49048    -23.390306    -23.382109
   0.48502    -23.390306    -23.382109
   0.47956    -23.390306    -23.382109
   0.47409    -23.390305    -23.382108
   0.46863    -23.390305    -23.382108
   0.46317    -23.390305    -23.382108
   0.45771    -23.390305    -23.382108
   0.45771    -23.390305    -23.382108
   0.44342    -23.390306    -23.382109
   0.42912    -23.390306    -23.382110
   0.41483    -23.390306    -23.382110
   0.40053    -23.390306    -23.382109
   0.38624    -23.390306    -23.382109
   0.37194    -23.390307    -23.382110
   0.35764    -23.390307    -23.382110
   0.34335    -23.390306    -23.382109
   0.32905    -23.390307    -23.382110
   0.32905    -23.390307    -23.382110
   0.31476    -23.390306    -23.382109
   0.30046    -23.390307    -23.382110
   0.28617    -23.390307    -23.382110
   0.27187    -23.390306    -23.382109
   0.25758    -23.390306    -23.382109
   0.24328    -23.390306    -23.382110
   0.22898    -23.390306    -23.382110
   0.21469    -23.390306    -23.382109
   0.20039    -23.390305    -23.382108
   0.20039    -23.390305    -23.382108
   0.19493    -23.390305    -23.382108
   0.18947    -23.390305    -23.382108
   0.18401    -23.390305    -23.382108
   0.17855    -23.390306    -23.382109
   0.17309    -23.390306    -23.382109
   0.16763    -23.390306    -23.382109
   0.16217    -23.390306    -23.382109
   0.15671    -23.390306    -23.382109
   0.15125    -23.390306    -23.382109
   0.15125    -23.390306    -23.382109
   0.13444    -23.390304    -23.382107
   0.11764    -23.390305    -23.382108
   0.10083    -23.390305    -23.382108
   0.08403    -23.390306    -23.382109
   0.06722    -23.390307    -23.382110
   0.05042    -23.390308    -23.382111
   0.03361    -23.390309    -23.382112
   0.01681    -23.390310    -23.382113
   0.00000    -23.390311    -23.382114
 
 
# Band-Index    3
   0.00000    -21.155849    -21.143686
   0.01681    -21.155538    -21.143364
   0.03361    -21.154603    -21.142397
   0.05042    -21.153050    -21.140789
   0.06722    -21.150890    -21.138553
   0.08403    -21.148136    -21.135698
   0.10083    -21.144808    -21.132246
   0.11764    -21.140939    -21.128223
   0.13444    -21.136625    -21.123707
   0.15125    -21.133169    -21.119913
   0.15125    -21.133169    -21.119913
   0.15671    -21.133157    -21.119916
   0.16217    -21.133126    -21.119932
   0.16763    -21.133091    -21.119976
   0.17309    -21.133075    -21.120066
   0.17855    -21.133115    -21.120228
   0.18401    -21.133244    -21.120472
   0.18947    -21.133488    -21.120806
   0.19493    -21.133844    -21.121220
   0.20039    -21.134298    -21.121705
   0.20039    -21.134298    -21.121705
   0.21469    -21.138348    -21.125902
   0.22898    -21.141977    -21.129658
   0.24328    -21.145162    -21.132952
   0.25758    -21.147883    -21.135764
   0.27187    -21.150131    -21.138085
   0.28617    -21.151891    -21.139901
   0.30046    -21.153154    -21.141204
   0.31476    -21.153913    -21.141988
   0.32905    -21.154168    -21.142250
   0.32905    -21.154168    -21.142250
   0.34335    -21.153913    -21.141988
   0.35764    -21.153154    -21.141204
   0.37194    -21.151891    -21.139901
   0.38624    -21.150131    -21.138085
   0.40053    -21.147883    -21.135764
   0.41483    -21.145162    -21.132952
   0.42912    -21.141977    -21.129658
