      #Energy        TDOS-UP        TDOS-DOWN
     -25.01658       0.00000       0.00000
     -24.98158       0.00000       0.00000
     -24.94658       0.00000       0.00000
     -24.91158       0.00000       0.00000
     -24.87558       0.00000       0.00000
     -24.84058       0.00000       0.00000
     -24.80558       0.00000       0.00000
     -24.77058       0.00000       0.00000
     -24.73558       0.00000       0.00000
     -24.69958       0.00000       0.00000
     -24.66458       0.00000       0.00000
     -24.62958       0.00000       0.00000
     -24.59458       0.00000       0.00000
     -24.55958       0.00000       0.00000
     -24.52358       0.00000       0.00000
     -24.48858       0.00000       0.00000
     -24.45358       0.00000       0.00000
     -24.41858       0.00000       0.00000
     -24.38358       0.00000       0.00000
     -24.34758       0.00000       0.00000
     -24.31258       0.00000       0.00000
     -24.27758       0.00000       0.00000
     -24.24258       0.00000       0.00000
     -24.20758       0.00000       0.00000
     -24.17158       0.00000       0.00000
     -24.13658       0.00000       0.00000
     -24.10158       0.00000       0.00000
     -24.06658       0.00000       0.00000
     -24.03158       0.00000       0.00000
     -23.99658       0.00000       0.00000
     -23.96058       0.00000       0.00000
     -23.92558       0.00000       0.00000
     -23.89058       0.00000       0.00000
     -23.85558       0.00000       0.00000
     -23.82058       0.00000       0.00000
     -23.78458       0.00000       0.00000
     -23.74958       0.00000       0.00000
     -23.71458       0.00000      -0.00000
     -23.67958       0.00000      -0.00000
     -23.64458       0.00000      -0.00000
     -23.60858       0.00000      -0.00000
     -23.57358       0.00001      -0.00001
     -23.53858       0.00061      -0.00061
     -23.50358       0.01539      -0.01539
     -23.46858       0.16384      -0.16384
     -23.43258       0.80291      -0.80291
     -23.39758       2.06892      -2.06892
     -23.36258       3.29163      -3.29163
     -23.32758       3.86534      -3.86534
     -23.29258       3.98834      -3.98834
     -23.25758       3.99957      -3.99957
     -23.22158       3.99999      -3.99999
     -23.18658       3.99999      -3.99999
     -23.15158       3.99999      -3.99999
     -23.11658       3.99999      -3.99999
     -23.08158       3.99999      -3.99999
     -23.04558       3.99999      -3.99999
     -23.01058       3.99999      -3.99999
     -22.97558       3.99999      -3.99999
     -22.94058       3.99999      -3.99999
     -22.90558       3.99999      -3.99999
     -22.86958       3.99999      -3.99999
     -22.83458       3.99999      -3.99999
     -22.79958       3.99999      -3.99999
     -22.76458       3.99999      -3.99999
     -22.72958       3.99999      -3.99999
     -22.69358       3.99999      -3.99999
     -22.65858       3.99999      -3.99999
     -22.62358       3.99999      -3.99999
     -22.58858       3.99999      -3.99999
     -22.55358       3.99999      -3.99999
     -22.51858       3.99999      -3.99999
     -22.48258       3.99999      -3.99999
     -22.44758       3.99999      -3.99999
     -22.41258       3.99999      -3.99999
     -22.37758       3.99999      -3.99999
     -22.34258       3.99999      -3.99999
     -22.30658       3.99999      -3.99999
     -22.27158       3.99999      -3.99999
     -22.23658       3.99999      -3.99999
     -22.20158       3.99999      -3.99999
     -22.16658       3.99999      -3.99999
     -22.13058       3.99999      -3.99999
     -22.09558       3.99999      -3.99999
     -22.06058       3.99999      -3.99999
     -22.02558       3.99999      -3.99999
     -21.99058       3.99999      -3.99999
     -21.95458       3.99999      -3.99999
     -21.91958       3.99999      -3.99999
     -21.88458       3.99999      -3.99999
     -21.84958       3.99999      -3.99999
     -21.81458       3.99999      -3.99999
     -21.77858       3.99999      -3.99999
     -21.74358       3.99999      -3.99999
     -21.70858       3.99999      -3.99999
     -21.67358       3.99999      -3.99999
     -21.63858       3.99999      -3.99999
     -21.60358       3.99999      -3.99999
     -21.56758       3.99999      -3.99999
     -21.53258       3.99999      -3.99999
     -21.49758       3.99999      -3.99999
     -21.46258       3.99999      -3.99999
     -21.42758       3.99999      -3.99999
     -21.39158       3.99999      -3.99999
     -21.35658       3.99999      -3.99999
     -21.32158       3.99999      -3.99999
     -21.28658       3.99999      -3.99999
     -21.25158       3.99999      -3.99999
     -21.21558       3.99999      -3.99999
     -21.18058       3.99999      -3.99999
     -21.14558       3.99999      -3.99999
     -21.11058       3.99999      -3.99999
     -21.07558       3.99999      -3.99999
     -21.03958       3.99999      -3.99999
     -21.00458       3.99999      -3.99999
     -20.96958       3.99999      -3.99999
     -20.93458       3.99999      -3.99999
     -20.89958       3.99999      -3.99999
     -20.86458       3.99999      -3.99999
     -20.82858       3.99999      -3.99999
     -20.79358       3.99999      -3.99999
     -20.75858       3.99999      -3.99999
     -20.72358       3.99999      -3.99999
     -20.68858       3.99999      -3.99999
     -20.65258       3.99999      -3.99999
     -20.61758       3.99999      -3.99999
     -20.58258       3.99999      -3.99999
     -20.54758       3.99999      -3.99999
     -20.51258       3.99999      -3.99999
     -20.47658       3.99999      -3.99999
     -20.44158       3.99999      -3.99999
     -20.40658       3.99999      -3.99999
     -20.37158       3.99999      -3.99999
     -20.33658       3.99999      -3.99999
     -20.30058       3.99999      -3.99999
     -20.26558       3.99999      -3.99999
     -20.23058       3.99999      -3.99999
     -20.19558       3.99999      -3.99999
