      #Energy        TDOS-UP        TDOS-DOWN
     -27.80700       0.00000       0.00000
     -27.77200       0.00000       0.00000
     -27.73700       0.00000       0.00000
     -27.70200       0.00000       0.00000
     -27.66600       0.00000       0.00000
     -27.63100       0.00000       0.00000
     -27.59600       0.00000       0.00000
     -27.56100       0.00000       0.00000
     -27.52600       0.00000       0.00000
     -27.49000       0.00000       0.00000
     -27.45500       0.00000       0.00000
     -27.42000       0.00000       0.00000
     -27.38500       0.00000       0.00000
     -27.35000       0.00000       0.00000
     -27.31400       0.00000       0.00000
     -27.27900       0.00000       0.00000
     -27.24400       0.00000       0.00000
     -27.20900       0.00000       0.00000
     -27.17400       0.00000       0.00000
     -27.13800       0.00000       0.00000
     -27.10300       0.00000       0.00000
     -27.06800       0.00000       0.00000
     -27.03300       0.00000       0.00000
     -26.99800       0.00000       0.00000
     -26.96200       0.00000       0.00000
     -26.92700       0.00000       0.00000
     -26.89200       0.00000       0.00000
     -26.85700       0.00000       0.00000
     -26.82200       0.00000       0.00000
     -26.78700       0.00000       0.00000
     -26.75100       0.00000       0.00000
     -26.71600       0.00000       0.00000
     -26.68100       0.00000       0.00000
     -26.64600       0.00000       0.00000
     -26.61100       0.00000       0.00000
     -26.57500       0.00000       0.00000
     -26.54000       0.00000       0.00000
     -26.50500       0.00000      -0.00000
     -26.47000       0.00000      -0.00000
     -26.43500       0.00000      -0.00000
     -26.39900       0.00000      -0.00000
     -26.36400       0.00054      -0.00054
     -26.32900       0.03351      -0.03351
     -26.29400       0.80660      -0.80660
     -26.25900       7.63000      -7.63000
     -26.22300      28.69000     -28.69000
     -26.18800      43.26000     -43.26000
     -26.15300      26.23000     -26.23000
     -26.11800       6.37500      -6.37500
     -26.08300       0.61520      -0.61520
     -26.04800       0.02331      -0.02331
     -26.01200       0.00034      -0.00034
     -25.97700       0.00000      -0.00000
     -25.94200       0.00000      -0.00000
     -25.90700       0.00000      -0.00000
     -25.87200       0.00000       0.00000
     -25.83600       0.00000       0.00000
     -25.80100       0.00000       0.00000
     -25.76600       0.00000       0.00000
     -25.73100       0.00000       0.00000
     -25.69600       0.00000       0.00000
     -25.66000       0.00000       0.00000
     -25.62500       0.00000       0.00000
     -25.59000       0.00000       0.00000
     -25.55500       0.00000       0.00000
     -25.52000       0.00000       0.00000
     -25.48400       0.00000       0.00000
     -25.44900       0.00000       0.00000
     -25.41400       0.00000       0.00000
     -25.37900       0.00000       0.00000
     -25.34400       0.00000       0.00000
     -25.30900       0.00000       0.00000
     -25.27300       0.00000       0.00000
     -25.23800       0.00000       0.00000
     -25.20300       0.00000       0.00000
     -25.16800       0.00000       0.00000
     -25.13300       0.00000       0.00000
     -25.09700       0.00000       0.00000
     -25.06200       0.00000       0.00000
     -25.02700       0.00000       0.00000
     -24.99200       0.00000       0.00000
     -24.95700       0.00000       0.00000
     -24.92100       0.00000       0.00000
     -24.88600       0.00000       0.00000
     -24.85100       0.00000       0.00000
     -24.81600       0.00000       0.00000
     -24.78100       0.00000       0.00000
     -24.74500       0.00000       0.00000
     -24.71000       0.00000       0.00000
     -24.67500       0.00000       0.00000
     -24.64000       0.00000       0.00000
     -24.60500       0.00000       0.00000
     -24.56900       0.00000       0.00000
     -24.53400       0.00000       0.00000
     -24.49900       0.00000       0.00000
     -24.46400       0.00000       0.00000
     -24.42900       0.00000       0.00000
     -24.39400       0.00000       0.00000
     -24.35800       0.00000       0.00000
     -24.32300       0.00000       0.00000
     -24.28800       0.00000       0.00000
     -24.25300       0.00000       0.00000
     -24.21800       0.00000       0.00000
     -24.18200       0.00000       0.00000
     -24.14700       0.00000       0.00000
     -24.11200       0.00000       0.00000
     -24.07700       0.00000       0.00000
     -24.04200       0.00000       0.00000
     -24.00600       0.00000       0.00000
     -23.97100       0.00000       0.00000
     -23.93600       0.00000       0.00000
     -23.90100       0.00000       0.00000
     -23.86600       0.00000       0.00000
     -23.83000       0.00000       0.00000
     -23.79500       0.00000       0.00000
     -23.76000       0.00000       0.00000
     -23.72500       0.00000       0.00000
     -23.69000       0.00000       0.00000
     -23.65500       0.00000       0.00000
     -23.61900       0.00000       0.00000
     -23.58400       0.00000       0.00000
     -23.54900       0.00000       0.00000
     -23.51400       0.00000       0.00000
     -23.47900       0.00000       0.00000
     -23.44300       0.00000       0.00000
     -23.40800       0.00000       0.00000
     -23.37300       0.00000       0.00000
     -23.33800       0.00000       0.00000
     -23.30300       0.00000       0.00000
     -23.26700       0.00000       0.00000
     -23.23200       0.00000       0.00000
     -23.19700       0.00000       0.00000
     -23.16200       0.00000       0.00000
     -23.12700       0.00000       0.00000
     -23.09100       0.00000       0.00000
     -23.05600       0.00000       0.00000
     -23.02100       0.00000       0.00000
     -22.98600       0.00000       0.00000
     -22.95100       0.00000       0.00000
     -22.91500       0.00000       0.00000
     -22.88000       0.00000       0.00000
     -22.84500       0.00000       0.00000
     -22.81000       0.00000       0.00000
     -22.77500       0.00000       0.00000
     -22.74000       0.00000       0.00000
     -22.70400       0.00000       0.00000
     -22.66900       0.00000       0.00000
     -22.63400       0.00000       0.00000
     -22.59900       0.00000       0.00000
     -22.56400       0.00000       0.00000
     -22.52800       0.00000       0.00000
     -22.49300       0.00000       0.00000
     -22.45800       0.00000       0.00000
     -22.42300       0.00000       0.00000
     -22.38800       0.00000       0.00000
     -22.35200       0.00000       0.00000
     -22.31700       0.00000       0.00000
     -22.28200       0.00000       0.00000
     -22.24700       0.00000       0.00000
     -22.21200       0.00000       0.00000
     -22.17600       0.00000       0.00000
     -22.14100       0.00000       0.00000
     -22.10600       0.00000       0.00000
     -22.07100       0.00000       0.00000
     -22.03600       0.00000       0.00000
     -22.00100       0.00000       0.00000
     -21.96500       0.00000       0.00000
     -21.93000       0.00000       0.00000
     -21.89500       0.00000       0.00000
     -21.86000       0.00000       0.00000
     -21.82500       0.00000       0.00000
     -21.78900       0.00000       0.00000
     -21.75400       0.00000       0.00000
     -21.71900       0.00000       0.00000
     -21.68400       0.00000       0.00000
     -21.64900       0.00000       0.00000
     -21.61300       0.00000       0.00000
     -21.57800       0.00000       0.00000
     -21.54300       0.00000      -0.00000
     -21.50800       0.00000      -0.00000
     -21.47300       0.00000      -0.00000
     -21.43700       0.00000      -0.00000
     -21.40200       0.00053      -0.00053
     -21.36700       0.02652      -0.02652
     -21.33200       0.54940      -0.54940
     -21.29700       4.87600      -4.87600
     -21.26200      19.32000     -19.32000
     -21.22600      36.50000     -36.50000
     -21.19100      40.60000     -40.60000
     -21.15600      44.98000     -44.98000
     -21.12100      59.76000     -59.76000
     -21.08600      66.45000     -66.45000
     -21.05000      48.82000     -48.82000
     -21.01500      29.15000     -29.15000
     -20.98000      31.30000     -31.30000
     -20.94500      38.59000     -38.59000
     -20.91000      38.27000     -38.27000
     -20.87400      36.27000     -36.27000
     -20.83900      36.38000     -36.38000
     -20.80400      26.04000     -26.04000
     -20.76900       9.03200      -9.03200
     -20.73400       1.33000      -1.33000
     -20.69800       0.07968      -0.07968
     -20.66300       0.00191      -0.00191
     -20.62800       0.00067      -0.00067
     -20.59300       0.02899      -0.02899
     -20.55800       0.55140      -0.55140
     -20.52200       4.83500      -4.83500
     -20.48700      21.85000     -21.85000
     -20.45200      57.35000     -57.35000
     -20.41700      95.70000     -95.70000
     -20.38200     106.00000    -106.00000
     -20.34700      75.10000     -75.10000
     -20.31100      30.43000     -30.43000
     -20.27600       8.90300      -8.90300
     -20.24100      10.53000     -10.53000
     -20.20600      19.61000     -19.61000
     -20.17100      28.91000     -28.91000
     -20.13500      33.92000     -33.92000
     -20.10000      32.55000     -32.55000
     -20.06500      24.69000     -24.69000
     -20.03000      12.62000     -12.62000
     -19.99500       3.99500      -3.99500
     -19.95900       0.71940      -0.71940
     -19.92400       0.06435      -0.06435
     -19.88900       0.00255      -0.00255
     -19.85400       0.00042      -0.00042
     -19.81900       0.01439      -0.01439
     -19.78300       0.22620      -0.22620
     -19.74800       1.60300      -1.60300
     -19.71300       6.12200      -6.12200
     -19.67800      16.42000     -16.42000
     -19.64300      31.90000     -31.90000
     -19.60800      36.29000     -36.29000
     -19.57200      26.86000     -26.86000
     -19.53700      23.63000     -23.63000
     -19.50200      19.41000     -19.41000
     -19.46700      13.41000     -13.41000
     -19.43200      17.29000     -17.29000
     -19.39600      19.57000     -19.57000
     -19.36100      11.21000     -11.21000
     -19.32600       3.29000      -3.29000
     -19.29100       2.84000      -2.84000
     -19.25600       9.72700      -9.72700
     -19.22000      18.85000     -18.85000
     -19.18500      21.53000     -21.53000
     -19.15000      19.96000     -19.96000
     -19.11500      18.93000     -18.93000
     -19.08000      18.35000     -18.35000
     -19.04400      21.28000     -21.28000
     -19.00900      22.39000     -22.39000
     -18.97400      12.92000     -12.92000
     -18.93900       3.39600      -3.39600
     -18.90400       0.39370      -0.39370
     -18.86900       0.18420      -0.18420
     -18.83300       2.07400      -2.07400
     -18.79800      12.02000     -12.02000
     -18.76300      34.71000     -34.71000
     -18.72800      53.64000     -53.64000
     -18.69300      53.66000     -53.66000
     -18.65700      56.54000     -56.54000
     -18.62200      63.77000     -63.77000
     -18.58700      55.14000     -55.14000
     -18.55200      38.51000     -38.51000
     -18.51700      21.18000     -21.18000
     -18.48100       9.70100      -9.70100
     -18.44600       9.47300      -9.47300
     -18.41100      13.33000     -13.33000
     -18.37600      20.19000     -20.19000
     -18.34100      29.15000     -29.15000
     -18.30500      34.45000     -34.45000
     -18.27000      32.12000     -32.12000
     -18.23500      20.51000     -20.51000
     -18.20000      10.67000     -10.67000
     -18.16500      10.62000     -10.62000
     -18.12900      18.15000     -18.15000
     -18.09400      28.57000     -28.57000
     -18.05900      36.31000     -36.31000
     -18.02400      33.84000     -33.84000
