#K-Path              Spin-Up       Spin-Down
# NKPTS & NBANDS:  60 508
# Band-Index    1
   0.00000    -26.211693    -26.203224
   0.01681    -26.211693    -26.203224
   0.03361    -26.211690    -26.203220
   0.05042    -26.211689    -26.203219
   0.06722    -26.211687    -26.203217
   0.08403    -26.211686    -26.203216
   0.10083    -26.211684    -26.203215
   0.11764    -26.211684    -26.203215
   0.13444    -26.211683    -26.203213
   0.15125    -26.211684    -26.203215
   0.15125    -26.211684    -26.203215
   0.15671    -26.211685    -26.203215
   0.16217    -26.211685    -26.203215
   0.16763    -26.211685    -26.203216
   0.17309    -26.211685    -26.203216
   0.17855    -26.211686    -26.203217
   0.18401    -26.211685    -26.203215
   0.18947    -26.211684    -26.203215
   0.19493    -26.211684    -26.203215
   0.20039    -26.211685    -26.203215
   0.20039    -26.211685    -26.203215
   0.21469    -26.211685    -26.203216
   0.22898    -26.211686    -26.203217
   0.24328    -26.211686    -26.203216
   0.25758    -26.211684    -26.203215
   0.27187    -26.211685    -26.203215
   0.28617    -26.211685    -26.203216
   0.30046    -26.211685    -26.203216
   0.31476    -26.211684    -26.203214
   0.32905    -26.211685    -26.203215
   0.32905    -26.211685    -26.203215
   0.34335    -26.211684    -26.203214
   0.35764    -26.211685    -26.203216
   0.37194    -26.211685    -26.203216
   0.38624    -26.211685    -26.203215
   0.40053    -26.211684    -26.203215
   0.41483    -26.211686    -26.203216
   0.42912    -26.211686    -26.203217
   0.44342    -26.211685    -26.203216
   0.45771    -26.211685    -26.203215
   0.45771    -26.211685    -26.203215
   0.46317    -26.211684    -26.203215
   0.46863    -26.211684    -26.203215
   0.47409    -26.211685    -26.203215
   0.47956    -26.211686    -26.203217
   0.48502    -26.211685    -26.203216
   0.49048    -26.211685    -26.203216
   0.49594    -26.211685    -26.203215
   0.50140    -26.211685    -26.203215
   0.50686    -26.211684    -26.203215
   0.50686    -26.211684    -26.203215
   0.52366    -26.211683    -26.203213
   0.54047    -26.211684    -26.203215
   0.55727    -26.211684    -26.203214
   0.57408    -26.211686    -26.203216
   0.59088    -26.211687    -26.203217
   0.60769    -26.211689    -26.203219
   0.62450    -26.211690    -26.203220
   0.64130    -26.211693    -26.203224
