      #Energy        TDOS-UP        TDOS-DOWN
     -27.80900       0.00000       0.00000
     -27.77400       0.00000       0.00000
     -27.73900       0.00000       0.00000
     -27.70400       0.00000       0.00000
     -27.66900       0.00000       0.00000
     -27.63400       0.00000       0.00000
     -27.59800       0.00000       0.00000
     -27.56300       0.00000       0.00000
     -27.52800       0.00000       0.00000
     -27.49300       0.00000       0.00000
     -27.45800       0.00000       0.00000
     -27.42200       0.00000       0.00000
     -27.38700       0.00000       0.00000
     -27.35200       0.00000       0.00000
     -27.31700       0.00000       0.00000
     -27.28200       0.00000       0.00000
     -27.24600       0.00000       0.00000
     -27.21100       0.00000       0.00000
     -27.17600       0.00000       0.00000
     -27.14100       0.00000       0.00000
     -27.10600       0.00000       0.00000
     -27.07100       0.00000       0.00000
     -27.03500       0.00000       0.00000
     -27.00000       0.00000       0.00000
     -26.96500       0.00000       0.00000
     -26.93000       0.00000       0.00000
     -26.89500       0.00000       0.00000
     -26.85900       0.00000       0.00000
     -26.82400       0.00000       0.00000
     -26.78900       0.00000       0.00000
     -26.75400       0.00000       0.00000
     -26.71900       0.00000       0.00000
     -26.68400       0.00000       0.00000
     -26.64800       0.00000       0.00000
     -26.61300       0.00000       0.00000
     -26.57800       0.00000       0.00000
     -26.54300       0.00000       0.00000
     -26.50800       0.00000       0.00000
     -26.47200       0.00000      -0.00000
     -26.43700       0.00000      -0.00000
     -26.40200       0.00000      -0.00000
     -26.36700       0.00001      -0.00000
     -26.33200       0.00060      -0.00024
     -26.29600       0.01525      -0.00761
     -26.26100       0.16264      -0.09927
     -26.22600       0.79897      -0.58141
     -26.19100       2.06303      -1.72760
     -26.15600       3.28751      -3.04356
     -26.12100       3.86407      -3.78356
     -26.08500       3.98820      -3.97710
     -26.05000       3.99960      -3.99902
     -26.01500       4.00003      -4.00004
     -25.98000       4.00003      -4.00005
     -25.94500       4.00003      -4.00005
     -25.90900       4.00003      -4.00005
     -25.87400       4.00003      -4.00005
     -25.83900       4.00003      -4.00005
     -25.80400       4.00003      -4.00005
     -25.76900       4.00003      -4.00005
     -25.73300       4.00003      -4.00005
     -25.69800       4.00003      -4.00005
     -25.66300       4.00003      -4.00005
     -25.62800       4.00003      -4.00005
     -25.59300       4.00003      -4.00005
     -25.55800       4.00003      -4.00005
     -25.52200       4.00003      -4.00005
     -25.48700       4.00003      -4.00005
     -25.45200       4.00003      -4.00005
     -25.41700       4.00003      -4.00005
     -25.38200       4.00003      -4.00005
     -25.34600       4.00003      -4.00005
     -25.31100       4.00003      -4.00005
     -25.27600       4.00003      -4.00005
     -25.24100       4.00003      -4.00005
     -25.20600       4.00003      -4.00005
     -25.17100       4.00003      -4.00005
     -25.13500       4.00003      -4.00005
     -25.10000       4.00003      -4.00005
     -25.06500       4.00003      -4.00005
     -25.03000       4.00003      -4.00005
     -24.99500       4.00003      -4.00005
     -24.95900       4.00003      -4.00005
     -24.92400       4.00003      -4.00005
     -24.88900       4.00003      -4.00005
     -24.85400       4.00003      -4.00005
     -24.81900       4.00003      -4.00005
     -24.78300       4.00003      -4.00005
     -24.74800       4.00003      -4.00005
     -24.71300       4.00003      -4.00005
     -24.67800       4.00003      -4.00005
     -24.64300       4.00003      -4.00005
     -24.60800       4.00003      -4.00005
     -24.57200       4.00003      -4.00005
     -24.53700       4.00003      -4.00005
     -24.50200       4.00003      -4.00005
     -24.46700       4.00003      -4.00005
     -24.43200       4.00003      -4.00005
     -24.39600       4.00003      -4.00005
     -24.36100       4.00003      -4.00005
     -24.32600       4.00003      -4.00005
     -24.29100       4.00003      -4.00005
     -24.25600       4.00003      -4.00005
     -24.22000       4.00003      -4.00005
     -24.18500       4.00003      -4.00005
     -24.15000       4.00003      -4.00005
     -24.11500       4.00003      -4.00005
     -24.08000       4.00003      -4.00005
     -24.04500       4.00003      -4.00005
     -24.00900       4.00003      -4.00005
     -23.97400       4.00003      -4.00005
     -23.93900       4.00003      -4.00005
     -23.90400       4.00003      -4.00005
     -23.86900       4.00003      -4.00005
     -23.83300       4.00003      -4.00005
     -23.79800       4.00003      -4.00005
     -23.76300       4.00003      -4.00005
     -23.72800       4.00003      -4.00005
     -23.69300       4.00003      -4.00005
     -23.65800       4.00003      -4.00005
     -23.62200       4.00003      -4.00005
     -23.58700       4.00003      -4.00005
     -23.55200       4.00003      -4.00005
     -23.51700       4.00003      -4.00005
     -23.48200       4.00003      -4.00005
     -23.44600       4.00003      -4.00005
     -23.41100       4.00003      -4.00005
     -23.37600       4.00003      -4.00005
     -23.34100       4.00003      -4.00005
     -23.30600       4.00003      -4.00005
     -23.27000       4.00003      -4.00005
     -23.23500       4.00003      -4.00005
     -23.20000       4.00003      -4.00005
     -23.16500       4.00003      -4.00005
     -23.13000       4.00003      -4.00005
     -23.09500       4.00003      -4.00005
     -23.05900       4.00003      -4.00005
     -23.02400       4.00003      -4.00005
     -22.98900       4.00003      -4.00005
     -22.95400       4.00003      -4.00005
     -22.91900       4.00003      -4.00005
     -22.88300       4.00003      -4.00005
     -22.84800       4.00003      -4.00005
     -22.81300       4.00003      -4.00005
     -22.77800       4.00003      -4.00005
     -22.74300       4.00003      -4.00005
     -22.70700       4.00003      -4.00005
     -22.67200       4.00003      -4.00005
     -22.63700       4.00003      -4.00005
     -22.60200       4.00003      -4.00005
     -22.56700       4.00003      -4.00005
     -22.53200       4.00003      -4.00005
     -22.49600       4.00003      -4.00005
     -22.46100       4.00003      -4.00005
     -22.42600       4.00003      -4.00005
     -22.39100       4.00003      -4.00005
     -22.35600       4.00003      -4.00005
     -22.32000       4.00003      -4.00005
     -22.28500       4.00003      -4.00005
     -22.25000       4.00003      -4.00005
     -22.21500       4.00003      -4.00005
     -22.18000       4.00003      -4.00005
     -22.14400       4.00003      -4.00005
     -22.10900       4.00003      -4.00005
     -22.07400       4.00003      -4.00005
     -22.03900       4.00003      -4.00005
     -22.00400       4.00003      -4.00005
     -21.96900       4.00003      -4.00005
     -21.93300       4.00003      -4.00005
     -21.89800       4.00003      -4.00005
     -21.86300       4.00003      -4.00005
     -21.82800       4.00003      -4.00005
     -21.79300       4.00003      -4.00005
     -21.75700       4.00003      -4.00005
     -21.72200       4.00003      -4.00005
     -21.68700       4.00003      -4.00005
     -21.65200       4.00003      -4.00005
     -21.61700       4.00003      -4.00005
     -21.58200       4.00003      -4.00005
     -21.54600       4.00003      -4.00005
     -21.51100       4.00003      -4.00005
     -21.47600       4.00003      -4.00005
     -21.44100       4.00003      -4.00005
     -21.40600       4.00004      -4.00006
     -21.37000       4.00045      -4.00015
     -21.33500       4.00960      -4.00314
     -21.30000       4.09942      -4.04306
     -21.26500       4.51476      -4.28822
     -21.23000       5.50683      -5.03681
     -21.19400       6.93328      -6.32004
     -21.15900       8.56838      -7.85803
     -21.12400      10.53669      -9.62508
     -21.08900      12.78579     -11.75437
     -21.05400      14.71539     -13.90160
     -21.01900      15.97646     -15.47917
     -20.98300      17.00935     -16.57610
     -20.94800      18.22820     -17.72686
     -20.91300      19.56088     -19.04141
     -20.87800      20.89760     -20.37268
     -20.84300      22.21637     -21.69814
     -20.80700      23.28462     -22.90379
     -20.77200      23.83258     -23.67349
     -20.73700      23.97966     -23.94866
     -20.70200      23.99794     -23.99617
     -20.66700      23.99892     -23.99980
     -20.63100      23.99894     -23.99991
     -20.59600      23.99924     -23.99999
     -20.56100      24.00639     -24.00237
     -20.52600      24.08735     -24.03540
     -20.49100      24.55641     -24.26600
     -20.45600      26.08455     -25.17872
     -20.42000      29.10545     -27.42219
     -20.38500      32.90907     -30.98655
     -20.35000      35.97818     -34.63183
     -20.31500      37.51230     -36.95183
     -20.28000      38.00994     -37.84027
     -20.24400      38.31352     -38.14750
     -20.20900      38.84536     -38.54481
     -20.17400      39.71375     -39.27052
     -20.13900      40.87243     -40.34159
     -20.10400      42.08688     -41.58489
     -20.06900      43.05960     -42.69431
     -20.03300      43.64721     -43.44835
     -19.99800      43.90600     -43.82989
     -19.96300      43.98301     -43.96590
     -19.92800      43.99638     -43.99632
     -19.89300      43.99754     -43.99995
     -19.85700      43.99760     -44.00016
     -19.82200      43.99792     -44.00027
     -19.78700      44.00284     -44.00247
     -19.75200      44.03874     -44.02249
     -19.71700      44.18589     -44.11810
     -19.68100      44.60700     -44.41762
     -19.64600      45.48859     -45.12099
