#K-Path              Spin-Up       Spin-Down
# NKPTS & NBANDS:  60 516
# Band-Index    1
   0.00000    -21.052428    -21.052428
   0.01681    -21.052426    -21.052426
   0.03361    -21.052423    -21.052423
   0.05042    -21.052424    -21.052424
   0.06722    -21.052422    -21.052422
   0.08403    -21.052422    -21.052422
   0.10083    -21.052421    -21.052421
   0.11764    -21.052419    -21.052419
   0.13444    -21.052419    -21.052419
   0.15125    -21.052419    -21.052419
   0.15125    -21.052419    -21.052419
   0.15671    -21.052420    -21.052420
   0.16217    -21.052421    -21.052421
   0.16763    -21.052423    -21.052423
   0.17309    -21.052424    -21.052424
   0.17855    -21.052425    -21.052425
   0.18401    -21.052422    -21.052422
   0.18947    -21.052422    -21.052422
   0.19493    -21.052421    -21.052421
   0.20039    -21.052421    -21.052421
   0.20039    -21.052421    -21.052421
   0.21469    -21.052421    -21.052421
   0.22898    -21.052423    -21.052423
   0.24328    -21.052423    -21.052423
   0.25758    -21.052420    -21.052420
   0.27187    -21.052421    -21.052421
   0.28617    -21.052420    -21.052420
   0.30046    -21.052420    -21.052420
   0.31476    -21.052421    -21.052421
   0.32905    -21.052423    -21.052423
   0.32905    -21.052423    -21.052423
   0.34335    -21.052421    -21.052421
   0.35764    -21.052420    -21.052420
   0.37194    -21.052420    -21.052420
   0.38624    -21.052421    -21.052421
   0.40053    -21.052420    -21.052420
   0.41483    -21.052423    -21.052423
   0.42912    -21.052423    -21.052423
   0.44342    -21.052421    -21.052421
   0.45771    -21.052421    -21.052421
   0.45771    -21.052421    -21.052421
   0.46317    -21.052421    -21.052421
   0.46863    -21.052422    -21.052422
   0.47409    -21.052422    -21.052422
   0.47956    -21.052425    -21.052425
   0.48502    -21.052424    -21.052424
   0.49048    -21.052423    -21.052423
   0.49594    -21.052422    -21.052422
   0.50140    -21.052420    -21.052420
   0.50686    -21.052419    -21.052419
   0.50686    -21.052419    -21.052419
   0.52366    -21.052419    -21.052419
   0.54047    -21.052419    -21.052419
   0.55727    -21.052421    -21.052421
   0.57408    -21.052422    -21.052422
   0.59088    -21.052422    -21.052422
   0.60769    -21.052424    -21.052424
   0.62450    -21.052423    -21.052423
   0.64130    -21.052426    -21.052426
   0.65811    -21.052428    -21.052428
 
 
# Band-Index    2
   0.65811    -21.050912    -21.050912
   0.64130    -21.050911    -21.050911
   0.62450    -21.050908    -21.050908
   0.60769    -21.050908    -21.050908
   0.59088    -21.050907    -21.050907
   0.57408    -21.050906    -21.050906
   0.55727    -21.050905    -21.050905
   0.54047    -21.050904    -21.050904
   0.52366    -21.050904    -21.050904
   0.50686    -21.050904    -21.050904
   0.50686    -21.050904    -21.050904
